Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,85.19,85.25,82.78,84.26,1544900,84.26
2014-02-20,83.00,84.74,82.41,84.74,1066600,84.74
2014-02-19,86.06,86.32,84.82,85.27,785700,85.27
2014-02-18,86.90,87.00,85.47,86.05,631500,86.05
2014-02-17,87.02,87.11,86.53,86.73,438700,86.73
2014-02-14,86.60,87.05,86.06,86.70,656300,86.70
2014-02-13,85.99,86.40,85.04,86.38,909200,86.38
2014-02-12,86.42,86.52,85.87,86.07,837900,86.07
2014-02-11,85.54,86.05,85.12,85.82,692500,85.82
2014-02-10,85.77,85.77,84.78,85.00,771400,85.00
2014-02-07,85.60,85.75,84.17,84.98,1154900,84.98
2014-02-06,83.33,85.48,83.10,85.00,1698500,85.00
2014-02-05,82.58,83.08,81.87,82.55,1111500,82.55
2014-02-04,80.40,82.67,79.95,82.45,1510100,82.45
2014-02-03,83.13,83.26,80.50,81.02,1391800,81.02
2014-01-31,83.57,84.00,81.73,82.89,1383200,82.89
2014-01-30,84.56,84.65,83.20,83.34,1436200,83.34
2014-01-29,86.62,87.31,84.33,84.60,1525800,84.60
2014-01-28,85.98,86.30,84.53,85.59,1225800,85.59
2014-01-27,86.50,86.50,83.73,85.58,1786900,85.58
2014-01-24,90.25,90.60,85.76,86.12,3116100,86.12
2014-01-23,92.97,93.13,90.85,91.09,1080500,91.09
2014-01-22,91.91,92.92,91.90,92.92,747200,92.92
2014-01-21,91.21,92.27,91.10,91.68,629100,91.68
2014-01-20,90.70,91.49,90.23,90.66,723800,90.66
2014-01-17,90.00,91.19,89.93,90.79,1013100,90.79
2014-01-16,90.90,90.90,89.55,89.87,663400,89.87
2014-01-15,90.90,91.20,90.35,90.64,674900,90.64
2014-01-14,88.61,90.45,87.08,90.27,951900,90.27
2014-01-13,90.23,90.36,88.63,89.04,738700,89.04
2014-01-10,89.40,90.25,89.28,90.00,793300,90.00
2014-01-09,90.78,90.95,88.43,88.63,959100,88.63
2014-01-08,91.36,91.51,90.39,90.61,593000,90.61
2014-01-07,91.06,91.33,90.23,91.07,650200,91.07
2014-01-06,91.21,91.49,90.91,91.17,475700,91.17
2014-01-03,91.39,91.58,90.47,91.22,613800,91.22
2014-01-02,92.88,93.22,91.14,91.40,801500,91.40
2014-01-01,92.64,92.64,92.64,92.64,000,92.64
2013-12-31,92.64,92.64,92.64,92.64,000,92.64
2013-12-30,92.03,92.68,91.79,92.64,340200,92.64
2013-12-27,92.32,92.62,91.41,91.89,584000,91.89
