Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,82.40,82.62,81.88,82.17,2385600,82.17
2014-02-20,81.40,82.24,81.07,82.24,2880500,82.24
2014-02-19,82.49,83.07,81.76,82.75,2071700,82.75
2014-02-18,82.20,82.92,81.91,82.63,1897700,82.63
2014-02-17,82.43,82.74,82.20,82.20,1224300,82.20
2014-02-14,81.37,82.74,81.27,82.51,2861600,82.51
2014-02-13,80.09,81.26,79.86,81.26,2243200,81.26
2014-02-12,80.03,81.08,79.89,80.57,2392800,80.57
2014-02-11,78.56,80.05,78.55,80.04,2602500,80.04
2014-02-10,78.86,79.25,78.17,78.32,1795200,78.32
2014-02-07,78.26,78.95,77.65,78.82,3114500,78.82
2014-02-06,76.91,78.31,76.32,78.17,3876600,78.17
2014-02-05,76.46,76.93,75.73,76.65,3059000,76.65
2014-02-04,77.61,77.85,75.87,76.59,4193300,76.59
2014-02-03,79.80,79.92,77.65,77.99,2844600,77.99
2014-01-31,79.46,79.75,78.10,79.53,3952100,79.53
2014-01-30,79.12,79.99,78.67,79.73,2748000,79.73
2014-01-29,79.95,80.42,77.90,79.00,4363000,79.00
2014-01-28,78.26,79.64,77.67,79.13,3385700,79.13
2014-01-27,77.80,78.72,77.19,77.61,3239200,77.61
2014-01-24,80.00,80.15,77.55,77.81,3847300,77.81
2014-01-23,79.96,80.46,79.23,79.74,2646600,79.74
2014-01-22,80.94,81.22,79.94,80.22,2077600,80.22
2014-01-21,80.30,81.27,79.74,80.61,2743500,80.61
2014-01-20,79.27,80.09,78.92,79.86,1616000,79.86
2014-01-17,79.17,80.60,79.02,79.49,4689400,79.49
2014-01-16,78.62,79.07,78.07,78.99,2794000,78.99
2014-01-15,77.70,78.51,77.08,78.18,3309500,78.18
2014-01-14,76.67,77.57,76.29,77.57,2302600,77.57
2014-01-13,77.90,77.91,76.99,77.49,1784200,77.49
2014-01-10,77.32,77.98,77.07,77.40,2154300,77.40
2014-01-09,77.72,78.06,76.55,76.72,3067300,76.72
2014-01-08,77.99,78.42,77.40,78.00,2642700,78.00
2014-01-07,78.43,78.86,78.21,78.52,3974100,78.52
2014-01-06,76.21,76.99,76.06,76.42,1749000,76.42
2014-01-03,76.39,76.85,76.03,76.57,1707200,76.57
2014-01-02,78.40,78.72,76.26,76.38,2960700,76.38
2014-01-01,77.49,77.49,77.49,77.49,000,77.49
2013-12-31,77.49,77.49,77.49,77.49,000,77.49
2013-12-30,77.95,78.03,77.49,77.49,1312900,77.49
2013-12-27,77.72,77.99,77.41,77.95,1712800,77.95
2013-12-26,76.90,76.90,76.90,76.90,000,76.90
2013-12-25,76.90,76.90,76.90,76.90,000,76.90
2013-12-24,76.90,76.90,76.90,76.90,000,76.90
2013-12-23,76.66,77.18,76.51,76.90,1863700,76.90
2013-12-20,75.58,76.24,75.39,76.01,6577100,76.01
2013-12-19,75.38,75.72,74.83,75.25,3829100,75.25
2013-12-18,74.99,75.04,74.28,74.51,2691900,74.51
2013-12-17,74.93,75.15,74.25,74.25,2282400,74.25
2013-12-16,73.43,75.33,73.37,75.17,2977200,75.17
2013-12-13,73.93,74.17,73.46,73.65,2082100,73.65
2013-12-12,73.75,74.26,71.54,73.94,3513300,73.94
2013-12-11,74.89,75.26,74.20,74.36,2202700,74.36
2013-12-10,75.37,75.92,74.65,75.09,2147000,75.09
2013-12-09,76.25,76.25,75.28,75.62,1941200,75.62
2013-12-06,75.14,75.98,74.74,75.64,2178800,75.64
2013-12-05,75.27,75.97,74.93,74.96,2410400,74.96
2013-12-04,77.45,77.66,74.20,75.72,4870100,75.72
2013-12-03,78.97,79.12,77.08,77.26,3322000,77.26
2013-12-02,78.80,79.18,78.73,78.97,1949000,78.97
2013-11-29,78.10,78.91,77.90,78.60,1760400,78.60
2013-11-28,77.86,78.37,77.82,78.18,1219200,78.18
2013-11-27,77.68,78.09,77.37,78.00,1393800,78.00
2013-11-26,77.86,77.92,77.36,77.51,2122600,77.51
2013-11-25,76.87,77.76,76.82,77.69,2252900,77.69
2013-11-22,76.78,77.17,76.06,76.64,1649700,76.64
2013-11-21,76.70,76.85,76.10,76.75,1869700,76.75
2013-11-20,77.26,77.47,76.83,77.20,1974200,77.20
2013-11-19,77.80,78.15,77.04,77.53,1982100,77.53
2013-11-18,77.76,78.20,77.20,77.96,2150900,77.96
2013-11-15,77.68,78.35,77.56,78.00,2929000,78.00
2013-11-14,77.00,77.94,76.83,77.82,3205000,77.82
2013-11-13,75.90,76.47,75.50,76.26,1913600,76.26
2013-11-12,75.83,76.36,75.58,76.09,2135700,76.09
2013-11-11,75.72,75.95,75.37,75.87,1596800,75.87
2013-11-08,75.62,75.80,75.15,75.68,2699700,75.68
2013-11-07,75.58,76.94,75.16,76.17,3067900,76.17
2013-11-06,75.90,76.23,75.55,75.85,1758200,75.85
2013-11-05,76.26,76.58,75.36,75.83,2454700,75.83
2013-11-04,76.64,76.97,75.91,76.10,1864100,76.10
2013-11-01,76.66,77.00,75.91,76.58,1776200,76.58
2013-10-31,75.83,76.63,75.38,76.63,2994400,76.63
2013-10-30,76.02,76.15,75.55,75.83,1887400,75.83
2013-10-29,75.81,76.14,75.37,76.04,2055100,76.04
2013-10-28,75.59,75.92,75.20,75.69,2107900,75.69
2013-10-25,74.60,75.57,74.40,75.17,3611600,75.17
2013-10-24,74.50,74.54,73.54,74.19,2186300,74.19
2013-10-23,73.76,74.36,73.52,74.05,1946600,74.05
2013-10-22,73.28,74.49,73.26,73.97,2833400,73.97
2013-10-21,73.21,73.48,72.79,73.48,1846500,73.48
2013-10-18,73.34,73.60,72.70,73.51,5816400,73.51
2013-10-17,73.01,73.15,72.58,72.95,1922100,72.95
2013-10-16,72.12,73.39,71.88,73.11,2803500,73.11
2013-10-15,71.72,72.56,71.71,72.17,2399300,72.17
2013-10-14,71.46,71.55,71.01,71.45,1359500,71.45
2013-10-11,71.35,71.93,71.27,71.69,1703300,71.69
2013-10-10,70.32,71.85,70.05,71.57,2796700,71.57
2013-10-09,70.28,70.43,69.56,69.90,1955200,69.90
2013-10-08,69.99,70.29,69.73,70.05,1782400,70.05
2013-10-07,70.40,70.42,69.13,70.37,2314100,70.37
2013-10-04,71.00,71.01,70.26,70.76,1575400,70.76
2013-10-03,71.48,71.90,70.72,70.95,1335100,70.95
2013-10-02,71.47,71.73,70.95,71.54,2185100,71.54
2013-10-01,71.31,71.78,70.75,71.63,2366500,71.63
2013-09-30,70.51,70.92,69.87,70.90,2633000,70.90
2013-09-27,72.05,72.34,70.83,71.53,1995400,71.53
2013-09-26,72.31,72.43,71.56,72.09,1919800,72.09
2013-09-25,72.13,72.37,71.55,72.19,1908800,72.19
2013-09-24,72.32,72.48,71.83,72.35,1561800,72.35
2013-09-23,72.02,72.74,71.38,72.30,2608800,72.30
2013-09-20,72.36,72.78,71.92,71.99,6257600,71.99
2013-09-19,73.35,73.58,71.90,72.25,4085600,72.25
2013-09-18,72.08,72.50,71.75,72.16,2012500,72.16
2013-09-17,72.36,72.49,71.85,72.08,2187400,72.08
2013-09-16,70.63,72.76,70.51,72.34,5503200,72.34
2013-09-13,69.74,69.79,69.32,69.79,1899100,69.79
2013-09-12,69.70,69.99,69.26,69.82,1812500,69.82
2013-09-11,69.40,69.85,69.15,69.62,2072400,69.62
2013-09-10,67.90,69.92,67.73,69.39,4590300,69.39
2013-09-09,67.02,67.58,66.85,67.26,1686800,67.26
2013-09-06,66.72,67.31,65.86,66.85,3205000,66.85
2013-09-05,67.97,68.05,66.74,67.11,2924600,67.11
2013-09-04,67.68,68.11,66.75,67.87,2000600,67.87
2013-09-03,67.61,68.01,66.79,67.23,2103600,67.23
2013-09-02,67.00,68.04,66.98,67.60,2024300,67.60
2013-08-30,66.58,66.98,66.03,66.13,2629400,66.13
2013-08-29,66.87,67.05,66.07,66.75,1939100,66.75
2013-08-28,67.87,68.08,66.32,66.84,3437500,66.84
2013-08-27,68.72,69.15,67.89,68.10,3098500,68.10
2013-08-26,69.14,69.32,68.48,69.24,1125900,69.24
2013-08-23,68.31,69.35,67.83,69.03,2276100,69.03
2013-08-22,66.97,68.66,66.90,68.31,2838500,68.31
2013-08-21,67.63,67.70,66.55,67.04,1880700,67.04
2013-08-20,67.50,67.77,67.06,67.62,2057200,67.62
2013-08-19,68.35,68.52,67.57,67.98,1877900,67.98
2013-08-16,67.70,68.08,67.35,68.01,2678200,68.01
2013-08-15,67.94,67.99,66.93,67.79,2136300,67.79
2013-08-14,68.10,68.57,67.74,67.90,2323800,67.90
2013-08-13,66.86,68.33,66.80,67.93,3707800,67.93
2013-08-12,64.95,66.90,64.55,66.11,3723400,66.11
2013-08-09,65.28,65.32,64.09,64.79,2990700,64.79
