Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,101.70,101.75,100.85,101.40,1271200,101.40
2014-02-20,99.87,101.20,99.62,101.20,1486300,101.20
2014-02-19,101.15,102.10,100.80,101.90,1108400,101.90
2014-02-18,101.55,101.65,100.60,101.30,1220800,101.30
2014-02-17,101.15,101.65,100.90,100.95,740400,100.95
2014-02-14,100.10,101.35,99.50,101.10,1701500,101.10
2014-02-13,98.64,100.15,98.60,99.99,1801400,99.99
2014-02-12,99.00,100.05,98.47,99.10,2212100,99.10
2014-02-11,96.05,99.00,95.99,99.00,2708100,99.00
2014-02-10,95.75,96.13,95.27,95.45,1512700,95.45
2014-02-07,95.25,95.93,94.42,95.46,2364500,95.46
2014-02-06,94.95,95.28,93.53,95.26,3297500,95.26
2014-02-05,95.22,95.61,94.25,94.84,3055900,94.84
2014-02-04,96.93,97.55,95.83,95.96,2083000,95.96
2014-02-03,98.18,98.60,96.84,97.22,2217100,97.22
2014-01-31,98.34,98.61,96.32,97.89,2597500,97.89
2014-01-30,98.07,99.43,96.77,98.44,1801100,98.44
2014-01-29,100.00,100.50,96.50,98.00,2878400,98.00
2014-01-28,98.98,99.15,97.77,98.06,2186200,98.06
2014-01-27,99.71,100.05,97.70,98.03,2599800,98.03
2014-01-24,103.05,103.10,98.88,99.12,2705400,99.12
2014-01-23,103.75,104.25,102.35,102.70,1660300,102.70
2014-01-22,103.80,104.35,103.40,104.05,1565200,104.05
2014-01-21,102.50,103.65,102.10,103.10,1842200,103.10
2014-01-20,100.65,102.15,100.65,102.05,1041100,102.05
2014-01-17,101.10,102.05,100.20,101.30,3139100,101.30
2014-01-16,101.70,102.00,101.10,101.25,1423800,101.25
2014-01-15,98.29,101.70,98.18,101.70,2381700,101.70
2014-01-14,96.53,98.22,96.06,98.11,2025700,98.11
2014-01-13,98.78,99.10,97.77,98.22,1853100,98.22
2014-01-10,99.06,100.10,98.91,99.16,1539500,99.16
2014-01-09,99.85,100.55,98.64,98.82,1736200,98.82
2014-01-08,101.50,101.50,99.92,100.10,1566100,100.10
2014-01-07,100.30,101.40,100.05,101.40,1329800,101.40
2014-01-06,100.25,101.10,99.89,100.35,1132500,100.35
2014-01-03,100.05,101.00,99.85,100.80,1122800,100.80
2014-01-02,102.50,103.25,99.99,100.05,2073200,100.05
2014-01-01,101.95,101.95,101.95,101.95,000,101.95
2013-12-31,101.95,101.95,101.95,101.95,000,101.95
2013-12-30,103.05,103.15,101.90,101.95,943600,101.95
2013-12-27,102.70,103.05,102.25,103.05,1377300,103.05
2013-12-26,101.50,101.50,101.50,101.50,000,101.50
2013-12-25,101.50,101.50,101.50,101.50,000,101.50
2013-12-24,101.50,101.50,101.50,101.50,000,101.50
2013-12-23,99.92,101.50,99.72,101.50,1506700,101.50
2013-12-20,99.34,100.00,99.27,99.46,7894000,99.46
2013-12-19,99.02,99.97,98.31,99.40,2439700,99.40
2013-12-18,96.80,98.38,96.66,98.31,2019700,98.31
2013-12-17,96.85,97.08,96.16,96.16,1572700,96.16
2013-12-16,95.10,97.41,95.07,96.96,1925200,96.96
2013-12-13,95.69,96.34,95.22,95.43,1572200,95.43
2013-12-12,95.37,96.21,95.07,95.69,1703800,95.69
2013-12-11,95.76,96.85,95.59,95.81,1587200,95.81
2013-12-10,96.58,97.50,95.48,95.76,1575700,95.76
2013-12-09,96.30,97.34,96.21,96.98,1714700,96.98
2013-12-06,96.00,96.47,95.32,96.01,1783600,96.01
2013-12-05,95.50,96.66,95.18,95.32,1850100,95.32
2013-12-04,97.50,97.97,95.54,95.75,2300600,95.75
2013-12-03,98.48,98.68,97.08,97.16,2383500,97.16
2013-12-02,98.34,98.89,97.56,98.55,1461200,98.55
2013-11-29,97.25,98.37,97.00,98.20,1690700,98.20
2013-11-28,96.98,97.42,96.66,97.17,1031000,97.17
2013-11-27,95.97,96.83,95.76,96.73,1078300,96.73
2013-11-26,96.09,96.70,95.35,95.79,1834400,95.79
2013-11-25,96.02,96.71,95.80,96.06,1337500,96.06
2013-11-22,96.45,97.10,95.60,95.93,1589800,95.93
2013-11-21,95.90,96.31,94.50,95.98,1859200,95.98
2013-11-20,94.00,95.50,93.51,94.94,1310000,94.94
2013-11-19,94.38,94.69,94.07,94.24,1323600,94.24
2013-11-18,94.51,94.97,93.24,94.59,1655900,94.59
2013-11-15,94.77,95.03,94.29,94.89,2671500,94.89
2013-11-14,93.90,95.05,93.79,95.05,1913600,95.05
2013-11-13,93.20,93.42,92.39,93.03,1608700,93.03
2013-11-12,93.53,93.82,93.03,93.47,1492800,93.47
2013-11-11,94.00,94.30,93.58,93.60,1172800,93.60
2013-11-08,92.77,93.87,92.55,93.80,1807100,93.80
2013-11-07,93.49,94.66,92.57,93.39,2032800,93.39
2013-11-06,92.95,94.38,92.81,93.87,1911600,93.87
2013-11-05,92.75,93.33,92.15,92.71,1921200,92.71
2013-11-04,91.66,92.97,91.58,92.56,1510400,92.56
2013-11-01,91.50,91.65,90.85,91.15,1078500,91.15
2013-10-31,92.51,93.28,90.71,91.54,3117400,91.54
2013-10-30,92.40,92.67,91.90,92.52,1642200,92.52
2013-10-29,91.40,92.47,91.39,92.30,1814000,92.30
2013-10-28,91.61,91.76,91.20,91.39,1031200,91.39
2013-10-25,90.20,91.48,90.20,91.20,1533100,91.20
2013-10-24,91.68,91.68,90.39,90.62,1617000,90.62
2013-10-23,90.04,91.45,89.98,91.22,1886500,91.22
2013-10-22,88.96,90.84,88.80,90.39,2552500,90.39
2013-10-21,90.04,90.04,88.50,89.30,1841700,89.30
2013-10-18,89.96,90.65,89.68,90.49,5376900,90.49
2013-10-17,89.47,89.79,88.98,89.41,1346100,89.41
2013-10-16,88.03,89.61,87.93,89.47,1738000,89.47
2013-10-15,87.30,88.50,87.24,88.14,2042200,88.14
2013-10-14,86.80,87.05,86.25,86.97,1407800,86.97
2013-10-11,86.21,87.24,85.57,87.24,1647300,87.24
2013-10-10,84.60,86.03,84.28,85.64,1696600,85.64
2013-10-09,84.00,84.95,83.72,84.11,1796500,84.11
2013-10-08,85.10,85.98,84.31,84.32,1741800,84.32
2013-10-07,85.67,85.68,84.59,84.86,1840700,84.86
2013-10-04,86.11,86.25,85.18,86.10,1551800,86.10
2013-10-03,86.46,87.10,86.26,86.26,930100,86.26
2013-10-02,87.54,87.54,85.93,86.48,1527200,86.48
2013-10-01,87.48,87.99,87.04,87.73,1810400,87.73
2013-09-30,86.58,87.63,86.56,87.16,1791300,87.16
2013-09-27,87.00,87.97,86.48,87.49,1608000,87.49
2013-09-26,87.20,87.30,86.00,86.87,1479500,86.87
2013-09-25,86.27,86.60,85.51,86.54,1531300,86.54
2013-09-24,86.45,87.08,86.05,86.47,1357000,86.47
2013-09-23,87.85,87.95,85.82,86.24,2183900,86.24
2013-09-20,86.63,88.17,86.52,87.68,6533800,87.68
2013-09-19,86.50,86.89,85.91,86.61,2312400,86.61
2013-09-18,84.95,85.42,84.65,85.22,1401500,85.22
2013-09-17,84.80,85.79,84.80,84.83,1880300,84.83
2013-09-16,84.67,85.56,84.18,85.17,2014500,85.17
2013-09-13,82.31,84.38,82.27,83.68,1850300,83.68
2013-09-12,84.64,84.79,83.35,83.44,1611800,83.44
2013-09-11,83.84,84.67,83.75,84.32,1650700,84.32
