Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,73.72,73.88,72.81,72.90,554300,72.90
2014-02-20,72.11,73.49,72.10,73.46,581500,73.46
2014-02-19,74.18,74.41,73.66,74.01,299500,74.01
2014-02-18,74.20,74.53,73.98,74.10,291600,74.10
2014-02-17,74.33,74.48,74.01,74.15,181000,74.15
2014-02-14,73.70,74.37,73.58,74.24,281200,74.24
2014-02-13,73.71,74.00,73.12,73.79,414100,73.79
2014-02-12,75.00,75.58,73.88,73.90,619500,73.90
2014-02-11,74.22,74.85,73.67,74.81,583100,74.81
2014-02-10,73.50,74.36,73.42,73.72,260100,73.72
2014-02-07,73.84,73.89,72.81,73.33,496300,73.33
2014-02-06,73.12,74.10,72.92,73.83,485300,73.83
2014-02-05,72.54,73.32,72.45,72.96,361400,72.96
2014-02-04,73.10,73.45,72.30,72.65,488400,72.65
2014-02-03,73.53,74.40,73.47,73.73,433200,73.73
2014-01-31,73.39,73.74,72.19,73.44,516300,73.44
2014-01-30,73.35,73.67,72.75,73.19,396300,73.19
2014-01-29,75.01,75.48,73.10,73.70,737300,73.70
2014-01-28,75.13,75.37,74.47,74.56,471700,74.56
2014-01-27,75.68,75.83,74.56,74.86,444000,74.86
2014-01-24,77.02,77.16,75.18,75.49,496600,75.49
2014-01-23,76.64,77.28,76.36,76.93,513600,76.93
2014-01-22,77.05,77.30,76.39,76.88,381800,76.88
2014-01-21,75.95,77.07,75.91,76.86,581300,76.86
2014-01-20,76.79,77.19,75.79,75.92,420200,75.92
2014-01-17,76.66,77.33,76.61,76.81,718100,76.81
2014-01-16,76.25,77.05,75.81,76.65,833400,76.65
2014-01-15,74.10,75.50,73.90,75.35,766600,75.35
2014-01-14,73.22,74.15,72.81,74.10,453000,74.10
2014-01-13,73.32,73.68,72.09,73.53,664000,73.53
2014-01-10,73.36,73.46,72.85,73.23,383700,73.23
2014-01-09,73.17,73.48,72.71,72.88,432700,72.88
2014-01-08,73.19,73.19,72.44,72.77,364200,72.77
2014-01-07,73.35,73.46,72.77,73.40,277200,73.40
2014-01-06,73.32,73.53,73.02,73.20,256100,73.20
2014-01-03,73.06,73.60,72.95,73.50,229400,73.50
2014-01-02,74.21,74.26,73.05,73.12,407300,73.12
2014-01-01,73.64,73.64,73.64,73.64,000,73.64
2013-12-31,73.64,73.64,73.64,73.64,000,73.64
2013-12-30,73.51,73.78,73.31,73.64,145500,73.64
2013-12-27,73.30,73.79,73.24,73.61,184400,73.61
2013-12-26,73.11,73.11,73.11,73.11,000,73.11
2013-12-25,73.11,73.11,73.11,73.11,000,73.11
2013-12-24,73.11,73.11,73.11,73.11,000,73.11
2013-12-23,73.54,73.60,72.98,73.11,185200,73.11
2013-12-20,73.45,73.78,73.01,73.04,571000,73.04
2013-12-19,73.00,73.59,72.88,73.50,358100,73.50
2013-12-18,71.77,72.83,71.77,72.63,374000,72.63
2013-12-17,72.72,72.74,71.68,71.68,298900,71.68
2013-12-16,71.98,72.93,71.88,72.76,311200,72.76
2013-12-13,72.54,72.54,71.94,72.15,270200,72.15
2013-12-12,73.20,73.72,72.32,72.49,292900,72.49
2013-12-11,73.56,73.75,73.13,73.23,252200,73.23
2013-12-10,74.03,74.60,73.40,73.53,294000,73.53
2013-12-09,74.04,74.39,73.42,74.39,285400,74.39
2013-12-06,73.74,74.21,73.54,73.88,319500,73.88
2013-12-05,73.34,73.60,73.05,73.38,340500,73.38
2013-12-04,73.52,73.95,72.92,73.31,451500,73.31
2013-12-03,74.89,75.16,73.26,73.34,545600,73.34
2013-12-02,74.76,75.25,74.46,75.25,279900,75.25
2013-11-29,74.66,74.78,74.33,74.73,258000,74.73
2013-11-28,73.86,74.62,73.59,74.56,236700,74.56
2013-11-27,74.12,74.23,73.71,73.73,227200,73.73
2013-11-26,74.28,74.65,73.77,74.11,468500,74.11
2013-11-25,73.79,74.35,73.60,74.12,228000,74.12
2013-11-22,74.33,74.45,73.54,73.65,270300,73.65
2013-11-21,73.87,74.46,73.49,73.99,222600,73.99
2013-11-20,73.66,74.64,73.65,74.21,415200,74.21
2013-11-19,73.72,73.98,73.21,73.85,170700,73.85
2013-11-18,73.89,74.28,73.15,73.85,216800,73.85
2013-11-15,73.71,74.34,73.48,73.93,378400,73.93
2013-11-14,74.37,74.65,73.60,73.68,428600,73.68
2013-11-13,73.50,73.59,72.46,72.84,342500,72.84
2013-11-12,73.29,73.75,72.91,73.63,219200,73.63
2013-11-11,73.19,73.95,73.08,73.45,307000,73.45
2013-11-08,73.26,73.49,72.60,73.06,360700,73.06
2013-11-07,74.55,74.55,73.24,73.36,579400,73.36
2013-11-06,74.90,74.91,73.03,74.02,652000,74.02
2013-11-05,72.50,73.69,72.00,73.44,1489800,73.44
2013-11-04,70.25,71.55,69.73,69.74,415700,69.74
2013-11-01,70.41,70.59,70.04,70.16,266700,70.16
2013-10-31,70.07,70.87,69.93,70.31,508300,70.31
2013-10-30,70.03,70.58,69.99,70.43,301300,70.43
2013-10-29,70.03,70.26,69.71,70.12,276200,70.12
2013-10-28,69.60,70.07,69.55,69.92,158600,69.92
2013-10-25,69.33,69.74,69.14,69.52,251300,69.52
2013-10-24,69.83,70.20,69.45,69.54,226200,69.54
2013-10-23,69.59,70.38,69.58,69.79,235400,69.79
2013-10-22,69.48,70.63,69.46,70.03,348400,70.03
2013-10-21,69.51,69.75,69.09,69.60,245100,69.60
2013-10-18,69.25,69.94,69.25,69.61,967200,69.61
2013-10-17,68.46,69.30,68.43,68.79,278700,68.79
2013-10-16,68.77,68.92,68.22,68.81,377000,68.81
2013-10-15,68.97,69.16,68.67,69.00,340700,69.00
2013-10-14,68.50,68.79,68.10,68.55,311900,68.55
2013-10-11,68.71,68.86,68.29,68.62,273500,68.62
2013-10-10,67.67,68.73,67.66,68.43,290200,68.43
2013-10-09,67.70,68.02,67.30,67.64,520400,67.64
2013-10-08,68.10,68.18,67.71,67.80,285200,67.80
2013-10-07,67.02,68.15,66.27,68.00,357700,68.00
2013-10-04,67.89,67.89,67.15,67.39,292500,67.39
2013-10-03,68.30,68.33,67.53,67.64,363100,67.64
2013-10-02,66.43,68.70,66.25,67.95,944000,67.95
2013-10-01,64.99,68.01,64.34,66.44,1133600,66.44
2013-09-30,65.73,66.24,65.40,65.64,304800,65.64
2013-09-27,65.79,66.09,65.24,66.02,296900,66.02
