Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,84.92,85.39,84.15,85.22,1236700,85.22
2014-02-20,83.81,84.67,83.24,84.43,1671600,84.43
2014-02-19,84.66,85.36,83.92,85.00,1202000,85.00
2014-02-18,85.00,85.15,83.49,84.62,1702100,84.62
2014-02-17,85.96,85.96,84.69,84.93,1193300,84.93
2014-02-14,85.48,86.36,85.25,86.00,1495600,86.00
2014-02-13,84.87,85.54,83.86,85.36,1323700,85.36
2014-02-12,84.77,85.67,84.52,84.97,1564100,84.97
2014-02-11,83.50,84.45,82.96,84.45,2127000,84.45
2014-02-10,82.35,82.36,81.63,82.00,1562100,82.00
2014-02-07,81.90,82.18,80.95,81.80,1567500,81.80
2014-02-06,81.48,81.86,80.55,81.44,2804400,81.44
2014-02-05,80.37,80.53,79.52,79.88,1726300,79.88
2014-02-04,79.95,80.80,79.04,80.29,1882400,80.29
2014-02-03,81.07,81.46,79.89,79.99,2267400,79.99
2014-01-31,80.99,81.13,78.67,80.82,2293700,80.82
2014-01-30,80.66,81.29,79.49,80.82,1722900,80.82
2014-01-29,82.78,83.08,78.87,80.83,2668700,80.83
2014-01-28,81.06,81.90,80.60,81.53,2214000,81.53
2014-01-27,82.13,82.30,80.44,80.44,2596600,80.44
2014-01-24,84.49,84.88,81.58,81.97,2827300,81.97
2014-01-23,85.50,85.78,84.11,84.64,1679600,84.64
2014-01-22,86.35,86.51,85.27,85.73,1081800,85.73
2014-01-21,86.13,86.54,85.63,85.93,939600,85.93
2014-01-20,86.12,86.58,85.58,86.13,834700,86.13
2014-01-17,85.75,86.88,85.74,86.21,1779600,86.21
2014-01-16,84.93,85.57,84.49,85.50,1371800,85.50
2014-01-15,84.70,85.77,84.61,84.96,1541600,84.96
2014-01-14,83.33,84.14,83.11,84.12,1071700,84.12
2014-01-13,83.50,84.23,83.28,84.15,1077400,84.15
2014-01-10,83.74,84.18,83.03,83.15,1964300,83.15
2014-01-09,84.13,85.13,83.54,83.86,1297400,83.86
2014-01-08,83.82,84.66,83.73,84.45,1435800,84.45
2014-01-07,83.10,84.01,82.41,83.55,1231600,83.55
2014-01-06,84.00,84.53,82.87,82.99,987200,82.99
2014-01-03,83.63,84.51,83.35,83.98,826200,83.98
2014-01-02,85.90,86.10,83.38,83.54,1499400,83.54
2014-01-01,85.22,85.22,85.22,85.22,000,85.22
2013-12-31,85.22,85.22,85.22,85.22,000,85.22
2013-12-30,85.61,85.73,85.22,85.22,483800,85.22
2013-12-27,85.12,85.69,85.01,85.42,805800,85.42
2013-12-26,84.55,84.55,84.55,84.55,000,84.55
2013-12-25,84.55,84.55,84.55,84.55,000,84.55
2013-12-24,84.55,84.55,84.55,84.55,000,84.55
2013-12-23,84.70,84.95,84.35,84.55,820000,84.55
2013-12-20,83.87,84.35,83.46,83.99,2760500,83.99
2013-12-19,82.84,83.60,82.61,83.39,1735600,83.39
2013-12-18,81.09,82.14,80.81,82.14,1730600,82.14
2013-12-17,80.77,81.00,80.41,80.44,947900,80.44
2013-12-16,79.69,81.23,79.35,80.92,1543900,80.92
2013-12-13,80.05,80.30,79.67,79.79,1081900,79.79
2013-12-12,80.44,80.77,79.33,79.78,1856500,79.78
2013-12-11,80.92,81.38,80.51,80.58,1174600,80.58
2013-12-10,82.14,82.32,80.74,81.05,1213700,81.05
2013-12-09,82.69,82.89,81.78,82.11,964300,82.11
2013-12-06,82.29,82.63,81.47,82.14,1335000,82.14
2013-12-05,82.38,82.49,81.32,81.58,1262600,81.58
2013-12-04,83.79,83.79,81.90,82.54,1943700,82.54
2013-12-03,85.28,85.46,83.37,83.52,1728500,83.52
2013-12-02,84.72,85.44,84.52,85.11,914500,85.11
2013-11-29,84.69,84.99,84.44,84.57,669200,84.57
2013-11-28,84.96,85.02,84.64,84.73,605600,84.73
2013-11-27,84.73,85.00,84.15,84.80,726300,84.80
2013-11-26,84.16,84.84,84.14,84.32,993100,84.32
2013-11-25,84.18,84.88,83.93,84.57,1363600,84.57
2013-11-22,83.37,83.89,83.12,83.77,1104300,83.77
2013-11-21,82.54,83.53,82.05,83.14,822500,83.14
2013-11-20,82.84,83.53,82.65,83.28,775400,83.28
2013-11-19,83.13,83.43,82.59,83.02,865300,83.02
2013-11-18,81.55,83.27,81.37,83.20,1592700,83.20
2013-11-15,81.75,82.00,80.80,81.55,2013400,81.55
2013-11-14,82.00,82.31,81.42,81.60,1212600,81.60
2013-11-13,81.37,81.38,79.92,80.96,1391900,80.96
2013-11-12,82.03,82.43,81.30,81.54,1275300,81.54
2013-11-11,82.00,82.20,81.79,82.07,759300,82.07
2013-11-08,81.41,82.14,80.43,81.77,1915200,81.77
2013-11-07,82.15,83.67,81.57,81.82,2408800,81.82
2013-11-06,81.71,82.63,81.00,82.16,1471200,82.16
2013-11-05,81.26,81.99,79.56,81.20,4387200,81.20
2013-11-04,83.15,83.61,82.55,83.60,1149300,83.60
2013-11-01,83.36,83.60,82.44,82.68,1064800,82.68
2013-10-31,82.27,83.74,81.95,83.54,1819600,83.54
2013-10-30,82.60,83.55,82.31,82.69,1344600,82.69
2013-10-29,82.05,83.08,81.38,82.21,1308100,82.21
2013-10-28,84.03,84.05,81.73,82.39,1436400,82.39
2013-10-25,83.28,83.94,82.90,83.66,1532000,83.66
2013-10-24,82.57,83.72,82.42,83.56,1693500,83.56
2013-10-23,81.69,82.39,81.36,82.00,1194300,82.00
2013-10-22,81.16,82.37,80.72,81.85,2065300,81.85
2013-10-21,82.35,82.49,81.11,82.10,970100,82.10
2013-10-18,82.21,82.39,81.51,82.03,2610200,82.03
2013-10-17,82.20,82.71,81.00,81.94,1440700,81.94
2013-10-16,82.73,82.82,81.67,82.20,1964100,82.20
2013-10-15,81.33,83.30,81.22,82.95,2004200,82.95
2013-10-14,80.30,80.65,80.07,80.63,582400,80.63
2013-10-11,80.84,80.94,80.09,80.74,812100,80.74
2013-10-10,79.27,80.91,79.07,80.38,1299200,80.38
2013-10-09,78.39,79.35,78.23,78.80,995200,78.80
2013-10-08,79.17,79.39,78.53,78.62,775000,78.62
2013-10-07,79.51,79.51,78.25,79.17,970400,79.17
2013-10-04,79.55,79.85,78.75,79.68,972000,79.68
2013-10-03,79.45,79.91,79.29,79.56,689100,79.56
2013-10-02,80.79,80.79,78.68,79.30,1540400,79.30
2013-10-01,79.97,81.32,79.75,80.91,1270800,80.91
2013-09-30,79.38,80.02,78.80,79.47,1008900,79.47
2013-09-27,80.03,80.32,79.38,80.10,899200,80.10
2013-09-26,80.53,80.70,79.47,79.72,1150700,79.72
2013-09-25,80.95,81.11,79.63,80.37,1046900,80.37
2013-09-24,80.57,81.53,80.46,80.80,1267000,80.80
2013-09-23,80.79,81.41,80.13,80.31,1202600,80.31
2013-09-20,81.50,81.78,79.87,80.47,3373700,80.47
2013-09-19,81.44,82.44,80.68,81.44,2465800,81.44
2013-09-18,80.50,80.52,79.66,80.05,1150400,80.05
2013-09-17,80.55,80.66,79.23,80.18,1388000,80.18
2013-09-16,80.98,81.05,80.08,80.58,1093400,80.58
2013-09-13,79.47,79.90,79.25,79.90,944500,79.90
2013-09-12,80.00,80.04,79.04,79.55,1293600,79.55
2013-09-11,79.35,80.06,79.17,80.00,1338800,80.00
2013-09-10,79.00,79.96,78.85,79.14,1817400,79.14
2013-09-09,77.80,78.69,77.55,78.17,1659800,78.17
2013-09-06,77.07,77.89,76.15,77.70,2179900,77.70
2013-09-05,74.35,77.13,74.08,76.97,4185000,76.97
2013-09-04,72.23,72.59,70.89,72.59,1088600,72.59
2013-09-03,72.93,73.12,71.67,72.23,923600,72.23
2013-09-02,72.33,72.90,72.33,72.76,865100,72.76
2013-08-30,72.43,72.45,71.08,71.29,1419100,71.29
2013-08-29,72.15,72.77,71.74,72.41,905000,72.41
2013-08-28,72.40,72.71,70.57,71.75,1617900,71.75
2013-08-27,74.90,75.33,72.97,73.00,1693800,73.00
2013-08-26,75.70,75.72,74.98,75.42,490100,75.42
2013-08-23,75.37,75.72,74.55,75.40,905200,75.40
2013-08-22,73.70,75.46,73.66,75.18,1171900,75.18
2013-08-21,74.00,74.26,73.69,73.70,809600,73.70
2013-08-20,74.47,74.54,73.31,74.05,1266400,74.05
2013-08-19,75.52,75.75,74.88,75.03,1437100,75.03
2013-08-16,74.25,75.70,74.06,75.53,1884100,75.53
2013-08-15,74.38,74.57,73.66,74.36,878100,74.36
2013-08-14,74.22,74.68,74.00,74.40,1025400,74.40
2013-08-13,73.44,74.17,73.25,73.97,1191400,73.97
2013-08-12,72.55,73.40,71.13,73.16,1236700,73.16
2013-08-09,71.99,72.83,71.80,72.30,1038700,72.30
2013-08-08,70.72,71.99,70.21,71.68,1351300,71.68
2013-08-07,71.04,71.09,70.08,70.64,1236700,70.64
2013-08-06,72.19,72.51,71.04,71.37,1476200,71.37
2013-08-05,72.75,72.91,71.95,72.18,1184400,72.18
2013-08-02,73.30,73.50,72.07,72.48,1348000,72.48
2013-08-01,73.46,73.55,71.31,73.01,2712000,73.01
2013-07-31,74.28,74.58,72.95,73.59,1712400,73.59
2013-07-30,74.35,74.96,74.24,74.45,1128900,74.45
2013-07-29,74.45,74.91,73.61,73.97,1163500,73.97
2013-07-26,74.19,74.60,73.63,74.16,1260800,74.16
2013-07-25,73.57,74.07,73.13,74.04,1313300,74.04
2013-07-24,72.84,74.01,72.26,73.86,1819400,73.86
2013-07-23,72.59,72.98,72.22,72.40,958800,72.40
2013-07-22,72.60,72.94,71.91,72.13,915200,72.13
2013-07-19,71.67,72.65,71.59,72.23,1917800,72.23
2013-07-18,71.33,72.08,70.93,72.02,1135000,72.02
2013-07-17,71.03,71.39,70.31,71.27,1124500,71.27
2013-07-16,70.69,71.33,70.26,71.10,1223800,71.10
2013-07-15,70.80,71.14,70.50,70.86,734900,70.86
2013-07-12,70.49,71.20,70.21,70.52,1459300,70.52
2013-07-11,70.00,70.32,69.50,70.15,1452800,70.15
2013-07-10,68.98,69.32,68.37,69.00,1131500,69.00
2013-07-09,68.50,69.53,68.21,69.03,1738100,69.03
2013-07-08,67.19,68.67,66.80,67.90,1515400,67.90
2013-07-05,67.99,68.67,66.14,66.20,1774100,66.20
2013-07-04,66.50,68.00,66.35,67.70,1587800,67.70
2013-07-03,64.95,66.15,64.44,66.12,2288800,66.12
2013-07-02,67.61,67.64,65.59,66.43,1969200,66.43
2013-07-01,67.54,67.97,66.35,67.28,1628300,67.28
2013-06-28,67.55,68.12,66.55,67.18,2225600,67.18
2013-06-27,67.04,67.72,66.63,67.29,1823800,67.29
2013-06-26,66.14,66.90,65.90,66.77,2244300,66.77
2013-06-25,64.60,66.32,64.53,65.92,2845400,65.92
2013-06-24,64.52,65.33,63.82,64.04,3551100,64.04
2013-06-21,66.63,66.93,64.36,64.36,4351900,64.36
2013-06-20,68.42,68.71,66.11,66.43,3679600,66.43
2013-06-19,70.09,70.17,69.28,69.80,1540800,69.80
2013-06-18,70.05,70.12,69.43,69.87,2013600,69.87
2013-06-17,70.40,71.12,70.04,70.55,1455600,70.55
2013-06-14,69.95,70.54,69.43,70.03,2168100,70.03
