Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,13.09,13.13,12.86,12.91,6486200,12.91
2014-02-20,12.62,13.00,12.49,13.00,11719800,13.00
2014-02-19,13.12,13.19,12.62,12.76,13700500,12.76
2014-02-18,13.32,13.37,13.19,13.19,5681600,13.19
2014-02-17,13.32,13.35,13.22,13.31,4393300,13.31
2014-02-14,13.67,13.68,13.17,13.25,13786500,13.25
2014-02-13,13.85,13.95,13.55,13.60,21889400,13.60
2014-02-12,13.22,13.53,13.20,13.40,13205200,13.40
2014-02-11,13.07,13.16,12.97,13.16,7881400,13.16
2014-02-10,13.04,13.06,12.89,12.98,6294000,12.98
2014-02-07,13.06,13.16,12.82,12.91,9367500,12.91
2014-02-06,12.73,13.08,12.69,12.98,15900500,12.98
2014-02-05,12.55,12.70,12.48,12.60,9781100,12.60
2014-02-04,11.91,12.59,11.72,12.51,19731100,12.51
2014-02-03,12.76,12.81,12.25,12.27,11606800,12.27
2014-01-31,12.97,12.98,12.18,12.62,19273500,12.62
2014-01-30,13.00,13.15,12.77,12.93,12303000,12.93
2014-01-29,13.40,13.48,12.83,13.12,17906800,13.12
2014-01-28,12.92,13.06,12.84,13.00,8906100,13.00
2014-01-27,13.00,13.00,12.61,12.77,13549400,12.77
2014-01-24,13.37,13.43,12.97,13.05,14139600,13.05
2014-01-23,12.88,13.49,12.83,13.35,15713100,13.35
2014-01-22,13.16,13.25,12.83,13.01,10303300,13.01
2014-01-21,13.05,13.24,12.98,13.16,9769100,13.16
2014-01-20,13.27,13.40,12.73,12.94,17642400,12.94
2014-01-17,13.49,13.69,13.35,13.55,12302600,13.55
2014-01-16,13.84,13.87,13.46,13.49,12387400,13.49
2014-01-15,13.56,13.92,13.56,13.77,13889300,13.77
2014-01-14,13.34,13.45,13.02,13.38,16981700,13.38
2014-01-13,13.15,13.69,13.11,13.69,15915900,13.69
2014-01-10,13.06,13.15,12.84,12.97,11889700,12.97
2014-01-09,12.83,13.20,12.73,12.89,20010100,12.89
2014-01-08,12.52,12.85,12.52,12.85,16152300,12.85
2014-01-07,11.80,12.49,11.76,12.40,16417600,12.40
2014-01-06,11.31,11.71,11.30,11.70,7652300,11.70
2014-01-03,11.42,11.45,11.08,11.28,9658800,11.28
2014-01-02,11.83,11.83,11.38,11.47,8685600,11.47
2014-01-01,11.71,11.71,11.71,11.71,000,11.71
2013-12-31,11.71,11.71,11.71,11.71,000,11.71
2013-12-30,11.70,11.80,11.65,11.71,3883200,11.71
2013-12-27,11.46,11.69,11.46,11.67,5997200,11.67
2013-12-26,11.40,11.40,11.40,11.40,000,11.40
2013-12-25,11.40,11.40,11.40,11.40,000,11.40
2013-12-24,11.40,11.40,11.40,11.40,000,11.40
