Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,66.88,67.13,66.27,67.13,3286200,67.13
2014-02-20,64.90,66.27,64.41,66.27,3355500,66.27
2014-02-19,66.59,66.74,65.82,66.20,2548900,66.20
2014-02-18,66.99,66.99,65.97,66.66,2458600,66.66
2014-02-17,67.00,67.13,66.62,66.75,1851400,66.75
2014-02-14,66.74,67.17,66.43,67.01,3303800,67.01
2014-02-13,66.13,66.70,65.50,66.65,3578100,66.65
2014-02-12,65.94,66.94,65.91,66.45,4524000,66.45
2014-02-11,63.99,65.53,63.85,65.53,4841800,65.53
2014-02-10,64.12,64.36,63.13,63.20,2629400,63.20
2014-02-07,63.00,63.90,62.80,63.54,4955000,63.54
2014-02-06,63.02,63.51,61.94,62.48,8487100,62.48
2014-02-05,60.78,61.35,60.29,60.88,5054100,60.88
2014-02-04,59.77,61.00,58.78,60.69,5128100,60.69
2014-02-03,62.13,62.53,60.34,60.69,4131200,60.69
2014-01-31,62.46,62.47,60.67,62.13,5457100,62.13
2014-01-30,61.77,62.76,60.77,62.50,3510500,62.50
2014-01-29,63.55,63.90,60.34,61.79,5997400,61.79
2014-01-28,62.74,63.33,62.38,62.83,3404100,62.83
2014-01-27,63.01,63.13,61.81,62.33,4298400,62.33
2014-01-24,65.30,66.02,62.71,62.83,5646800,62.83
2014-01-23,65.75,66.85,64.87,65.26,3710000,65.26
2014-01-22,65.94,66.32,65.28,65.99,2558900,65.99
2014-01-21,66.15,66.40,65.52,65.57,2757700,65.57
2014-01-20,65.81,66.20,65.44,65.97,1731600,65.97
2014-01-17,65.82,66.42,65.71,66.09,5031000,66.09
2014-01-16,65.43,65.81,64.81,65.54,2708100,65.54
2014-01-15,64.00,65.84,63.84,65.50,4723700,65.50
2014-01-14,62.60,63.63,62.10,63.63,2923600,63.63
2014-01-13,62.42,63.08,62.33,62.87,2586500,62.87
2014-01-10,62.33,63.03,61.91,62.11,2969600,62.11
2014-01-09,62.05,63.62,61.95,62.15,3760500,62.15
2014-01-08,62.60,62.61,61.95,62.21,2399700,62.21
2014-01-07,61.54,62.58,61.32,62.40,2427000,62.40
2014-01-06,61.99,62.42,61.47,61.54,2175500,61.54
