Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,58.46,59.61,58.14,59.58,1103500,59.58
2014-02-20,58.63,59.04,57.61,58.12,746800,58.12
2014-02-19,58.35,59.25,58.35,58.75,643000,58.75
2014-02-18,59.57,59.59,58.28,58.80,872000,58.80
2014-02-17,59.93,60.14,59.53,59.54,273600,59.54
2014-02-14,59.44,60.50,59.35,59.92,684000,59.92
2014-02-13,59.40,59.55,58.59,59.25,542200,59.25
2014-02-12,58.89,60.69,58.83,59.80,747100,59.80
2014-02-11,57.34,58.97,57.34,58.97,577900,58.97
2014-02-10,57.79,57.79,57.14,57.50,374800,57.50
2014-02-07,58.05,58.10,57.20,57.47,717400,57.47
2014-02-06,57.00,58.12,56.57,58.10,849900,58.10
2014-02-05,56.82,57.60,56.56,56.83,564200,56.83
2014-02-04,56.76,57.05,56.19,57.00,632500,57.00
2014-02-03,57.14,57.50,56.57,56.67,505100,56.67
2014-01-31,57.25,57.64,56.38,57.09,737200,57.09
2014-01-30,56.75,57.53,56.30,57.19,612500,57.19
2014-01-29,57.78,58.04,55.96,56.64,791900,56.64
2014-01-28,56.93,57.89,56.85,57.37,662900,57.37
2014-01-27,57.03,57.31,56.13,56.53,790100,56.53
2014-01-24,59.00,59.18,56.87,57.02,1398300,57.02
2014-01-23,60.04,60.39,58.75,58.91,709200,58.91
2014-01-22,60.36,60.36,59.97,60.11,593300,60.11
2014-01-21,60.00,60.49,59.61,59.80,564100,59.80
2014-01-20,59.85,60.44,59.67,59.95,513400,59.95
2014-01-17,60.40,60.85,60.20,60.33,928000,60.33
2014-01-16,60.89,61.03,60.20,60.36,878100,60.36
2014-01-15,61.58,61.58,60.34,60.70,1209400,60.70
2014-01-14,61.30,61.55,60.98,61.43,674200,61.43
2014-01-13,63.00,63.00,61.43,61.79,933000,61.79
2014-01-10,61.89,63.29,61.49,63.14,1035500,63.14
2014-01-09,60.06,61.80,60.02,61.62,1028300,61.62
2014-01-08,59.38,60.12,59.31,60.00,476400,60.00
2014-01-07,59.37,59.52,58.78,59.45,495900,59.45
2014-01-06,60.33,60.41,59.64,59.74,307400,59.74
2014-01-03,59.80,60.38,59.64,59.76,359800,59.76
2014-01-02,60.36,60.42,59.67,59.77,475100,59.77
2014-01-01,60.20,60.20,60.20,60.20,000,60.20
2013-12-31,60.20,60.20,60.20,60.20,000,60.20
2013-12-30,60.31,60.48,59.90,60.20,298700,60.20
2013-12-27,60.00,60.38,59.68,60.38,363700,60.38
2013-12-26,59.56,59.56,59.56,59.56,000,59.56
2013-12-25,59.56,59.56,59.56,59.56,000,59.56
2013-12-24,59.56,59.56,59.56,59.56,000,59.56
2013-12-23,59.03,59.90,59.03,59.56,486000,59.56
2013-12-20,57.40,58.92,57.40,58.92,1666400,58.92
2013-12-19,56.24,57.23,56.24,57.08,571000,57.08
2013-12-18,55.66,55.94,55.37,55.75,562200,55.75
2013-12-17,55.63,55.67,55.39,55.48,459900,55.48
2013-12-16,53.56,55.32,53.56,55.32,635600,55.32
2013-12-13,54.33,54.54,53.34,53.49,551700,53.49
2013-12-12,54.34,54.68,54.06,54.24,550000,54.24
2013-12-11,54.68,55.07,54.52,54.59,424800,54.59
2013-12-10,55.37,55.72,54.85,55.09,461100,55.09
2013-12-09,56.24,56.43,55.65,55.65,465200,55.65
2013-12-06,55.18,56.19,55.14,56.04,455700,56.04
2013-12-05,55.27,55.51,54.97,55.15,480600,55.15
2013-12-04,55.95,56.01,55.25,55.31,588900,55.31
2013-12-03,56.70,56.91,56.07,56.09,512300,56.09
2013-12-02,57.17,57.57,56.71,56.79,485000,56.79
2013-11-29,56.75,57.18,56.71,56.92,393900,56.92
2013-11-28,56.74,56.80,56.41,56.68,254500,56.68
2013-11-27,56.57,56.96,56.42,56.53,358900,56.53
2013-11-26,56.64,56.74,56.20,56.44,499300,56.44
2013-11-25,55.60,56.82,55.44,56.62,709600,56.62
2013-11-22,55.26,55.50,54.94,55.43,407700,55.43
2013-11-21,54.93,55.55,54.75,55.00,371500,55.00
2013-11-20,55.18,55.50,54.84,55.00,540700,55.00
