Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,35.44,35.44,34.97,35.23,4379500,34.48
2014-02-20,35.15,35.27,34.80,35.25,7424900,34.50
2014-02-19,36.10,36.35,35.43,35.56,6508100,34.80
2014-02-18,36.15,36.15,35.71,35.90,4868500,35.14
2014-02-17,35.83,35.86,35.51,35.69,3825300,34.94
2014-02-14,36.00,36.12,35.45,35.69,6850400,34.93
2014-02-13,35.76,35.93,35.24,35.75,7200100,34.99
2014-02-12,35.65,36.24,35.53,35.91,8611700,35.15
2014-02-11,35.25,35.54,35.15,35.51,6071000,34.75
2014-02-10,35.65,35.65,35.01,35.12,6744700,34.37
2014-02-07,35.90,35.92,35.27,35.42,8460900,34.67
2014-02-06,35.28,35.91,35.01,35.72,10576900,34.96
2014-02-05,34.93,35.53,34.72,35.14,8917100,34.39
2014-02-04,34.70,35.19,34.35,34.92,10877800,34.17
2014-02-03,35.82,36.00,35.06,35.22,8932200,34.47
2014-01-31,36.50,36.53,35.28,35.89,11660000,35.13
2014-01-30,36.60,37.09,36.43,36.92,5826900,36.13
2014-01-29,37.30,37.60,36.05,36.61,8508500,35.83
2014-01-28,37.00,37.28,36.66,36.88,5021100,36.09
2014-01-27,36.69,37.18,36.40,36.62,6799500,35.84
2014-01-24,37.52,37.66,36.51,36.79,9120100,36.01
2014-01-23,37.10,38.04,37.08,37.44,7625800,36.64
2014-01-22,37.62,37.85,37.05,37.42,5965800,36.62
2014-01-21,37.20,38.00,37.20,37.62,7591400,36.82
2014-01-20,37.55,38.06,36.95,37.21,16740200,36.42
2014-01-17,39.43,39.92,39.26,39.34,8276200,38.50
2014-01-16,39.98,40.00,39.41,39.56,7903500,38.72
2014-01-15,39.00,39.99,38.90,39.96,10596700,39.10
2014-01-14,37.86,38.74,37.71,38.74,7530300,37.92
2014-01-13,37.50,38.56,37.47,38.56,13691800,37.74
2014-01-10,36.37,36.87,36.19,36.83,8261900,36.05
2014-01-09,36.28,36.47,35.64,36.17,8977000,35.40
2014-01-08,35.80,36.58,35.72,36.27,9684200,35.50
2014-01-07,34.54,35.73,34.54,35.56,7970500,34.80
2014-01-06,34.35,34.78,34.28,34.51,4058800,33.78
2014-01-03,34.25,34.55,34.01,34.40,4549900,33.67
2014-01-02,34.87,34.98,34.01,34.09,5928800,33.36
2014-01-01,34.67,34.67,34.67,34.67,000,33.94
2013-12-31,34.67,34.67,34.67,34.67,000,33.94
2013-12-30,34.70,34.87,34.58,34.67,2217700,33.94
2013-12-27,34.60,34.76,34.54,34.63,3327000,33.90
2013-12-26,34.38,34.38,34.38,34.38,000,33.65
2013-12-25,34.38,34.38,34.38,34.38,000,33.65
2013-12-24,34.38,34.38,34.38,34.38,000,33.65
2013-12-23,34.30,34.42,34.10,34.38,3594400,33.65
2013-12-20,33.71,34.10,33.54,34.00,12696900,33.28
2013-12-19,33.50,33.92,33.29,33.52,7152500,32.81
2013-12-18,33.30,33.40,32.94,33.04,7760000,32.34
2013-12-17,33.61,33.69,33.19,33.22,4750800,32.52
2013-12-16,33.06,33.88,33.03,33.65,5779000,32.94
2013-12-13,33.17,33.47,33.02,33.13,3621900,32.42
2013-12-12,33.31,33.38,33.01,33.17,4862700,32.46
2013-12-11,33.60,33.78,33.40,33.48,4765400,32.77
2013-12-10,34.06,34.27,33.62,33.65,5250000,32.93
2013-12-09,34.20,34.24,33.81,34.10,3307900,33.37
2013-12-06,33.95,34.22,33.48,34.02,6901600,33.30
