Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,26.35,26.58,26.26,26.54,3210600,26.54
2014-02-20,25.96,26.17,25.90,26.15,3702300,26.15
2014-02-19,26.48,26.64,26.41,26.50,2244700,26.50
2014-02-18,26.45,26.67,26.27,26.58,2674200,26.58
2014-02-17,26.12,26.42,26.06,26.38,1975000,26.38
2014-02-14,26.38,26.46,26.17,26.25,3301100,26.25
2014-02-13,26.18,26.33,26.03,26.30,2770500,26.30
2014-02-12,26.00,26.35,25.92,26.25,3690100,26.25
2014-02-11,25.47,25.84,25.35,25.84,3046500,25.84
2014-02-10,25.58,25.58,25.32,25.33,2016300,25.33
2014-02-07,25.44,25.56,25.22,25.55,3771800,25.55
2014-02-06,25.15,25.41,24.95,25.41,4378800,25.41
2014-02-05,25.09,25.30,24.95,25.01,3122900,25.01
2014-02-04,25.00,25.23,24.55,25.08,5487000,25.08
2014-02-03,25.78,25.92,25.18,25.22,4407700,25.22
2014-01-31,26.16,26.16,25.35,25.67,5121800,25.67
2014-01-30,25.67,26.15,25.43,26.15,4718700,26.15
2014-01-29,26.10,26.38,25.45,25.75,4757600,25.75
2014-01-28,25.52,26.02,25.49,25.77,4286800,25.77
2014-01-27,25.13,25.50,25.00,25.38,5249700,25.38
2014-01-24,26.42,26.61,25.26,25.31,6887900,25.31
2014-01-23,26.65,26.82,26.33,26.46,3582900,26.46
2014-01-22,26.93,27.00,26.75,26.76,3268400,26.76
2014-01-21,26.86,26.91,26.73,26.86,3933400,26.86
2014-01-20,26.53,26.72,26.46,26.64,1979500,26.64
2014-01-17,26.39,26.81,26.30,26.60,6956600,26.60
2014-01-16,26.38,26.45,26.23,26.34,2961400,26.34
2014-01-15,26.15,26.34,26.03,26.32,4148400,26.32
2014-01-14,25.66,26.06,25.57,26.06,2775100,26.06
2014-01-13,25.95,26.16,25.94,25.99,2803100,25.99
2014-01-10,25.83,26.07,25.72,26.00,2952000,26.00
2014-01-09,26.00,26.25,25.66,25.69,3040800,25.69
2014-01-08,26.03,26.18,25.91,26.05,2558200,26.05
2014-01-07,25.90,26.04,25.67,26.00,3512100,26.00
2014-01-06,26.01,26.16,25.88,25.95,1947400,25.95
2014-01-03,25.99,26.27,25.90,25.98,3072200,25.98
2014-01-02,26.64,26.64,25.89,25.91,3995700,25.91
2014-01-01,26.50,26.50,26.50,26.50,000,26.50
2013-12-31,26.50,26.50,26.50,26.50,000,26.50
2013-12-30,26.75,26.75,26.48,26.50,1638900,26.50
2013-12-27,26.59,26.74,26.56,26.71,2354300,26.71
2013-12-26,26.49,26.49,26.49,26.49,000,26.49
2013-12-25,26.49,26.49,26.49,26.49,000,26.49
2013-12-24,26.49,26.49,26.49,26.49,000,26.49
2013-12-23,26.35,26.54,26.22,26.49,2316300,26.49
2013-12-20,26.08,26.47,26.05,26.35,9311700,26.35
