Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,12.27,12.29,12.16,12.28,9753100,12.28
2014-02-20,12.03,12.22,12.03,12.21,9506600,12.21
2014-02-19,12.17,12.28,12.16,12.20,9580800,12.20
2014-02-18,12.20,12.25,12.13,12.22,8102500,12.22
2014-02-17,12.07,12.19,12.03,12.16,6501700,12.16
2014-02-14,12.09,12.18,12.01,12.06,10429700,12.06
2014-02-13,11.81,12.07,11.77,12.06,12232000,12.06
2014-02-12,11.81,11.84,11.76,11.83,10619600,11.83
2014-02-11,11.75,11.78,11.68,11.78,9784300,11.78
2014-02-10,11.78,11.81,11.64,11.65,7845600,11.65
2014-02-07,11.72,11.77,11.57,11.76,12233500,11.76
2014-02-06,11.62,11.80,11.56,11.69,18549300,11.69
2014-02-05,11.50,11.60,11.33,11.47,17738300,11.47
2014-02-04,11.55,11.65,11.47,11.50,15702000,11.50
2014-02-03,11.94,11.97,11.66,11.68,17227200,11.68
2014-01-31,12.19,12.20,11.92,12.00,18444000,12.00
2014-01-30,12.21,12.28,12.15,12.19,12247700,12.19
2014-01-29,12.47,12.52,12.10,12.25,19171500,12.25
2014-01-28,12.55,12.58,12.35,12.40,12179100,12.40
2014-01-27,12.53,12.59,12.36,12.48,13247100,12.48
2014-01-24,12.88,12.93,12.55,12.59,17870200,12.59
2014-01-23,12.76,12.91,12.72,12.82,10923500,12.82
2014-01-22,12.70,12.86,12.66,12.82,9563600,12.82
2014-01-21,12.63,12.74,12.61,12.66,11357500,12.66
2014-01-20,12.45,12.56,12.43,12.56,5782300,12.56
2014-01-17,12.49,12.53,12.40,12.46,16042800,12.46
2014-01-16,12.65,12.68,12.38,12.44,10407000,12.44
2014-01-15,12.48,12.64,12.43,12.64,12891600,12.64
2014-01-14,12.10,12.42,12.07,12.42,11171700,12.42
2014-01-13,12.23,12.23,12.10,12.20,7884000,12.20
2014-01-10,12.33,12.37,12.18,12.22,10824100,12.22
2014-01-09,12.27,12.38,12.19,12.25,10204800,12.25
2014-01-08,12.23,12.23,12.14,12.23,7622300,12.23
2014-01-07,12.19,12.29,12.14,12.25,9837900,12.25
2014-01-06,12.24,12.31,12.16,12.19,6392800,12.19
2014-01-03,12.05,12.31,12.00,12.27,8341800,12.27
2014-01-02,12.46,12.56,12.12,12.13,14491200,12.13
2014-01-01,12.43,12.43,12.43,12.43,000,12.43
2013-12-31,12.43,12.43,12.43,12.43,000,12.43
2013-12-30,12.60,12.60,12.43,12.43,5339100,12.43
2013-12-27,12.51,12.60,12.50,12.60,8193200,12.60
2013-12-26,12.44,12.44,12.44,12.44,000,12.44
2013-12-25,12.44,12.44,12.44,12.44,000,12.44
2013-12-24,12.44,12.44,12.44,12.44,000,12.44
2013-12-23,12.41,12.44,12.24,12.44,6511700,12.44
2013-12-20,12.42,12.55,12.35,12.38,25438800,12.38
2013-12-19,12.29,12.40,12.17,12.37,17718900,12.37
2013-12-18,11.81,12.08,11.77,11.98,15225500,11.98
2013-12-17,11.76,11.88,11.62,11.74,12026300,11.74
2013-12-16,11.62,11.90,11.61,11.78,27823300,11.78
2013-12-13,11.38,11.44,11.32,11.35,7214200,11.35
2013-12-12,11.41,11.47,11.35,11.39,8872700,11.39
2013-12-11,11.47,11.60,11.41,11.44,9303200,11.44
2013-12-10,11.56,11.66,11.45,11.49,8946400,11.49
2013-12-09,11.54,11.60,11.48,11.57,8203900,11.57
2013-12-06,11.50,11.56,11.40,11.54,13075300,11.54
2013-12-05,11.37,11.42,11.28,11.35,11173800,11.35
2013-12-04,11.41,11.47,11.23,11.36,12379900,11.36
2013-12-03,11.60,11.63,11.36,11.38,14186600,11.38
2013-12-02,11.64,11.69,11.55,11.62,8302000,11.62
2013-11-29,11.63,11.69,11.60,11.69,6783900,11.69
2013-11-28,11.65,11.69,11.56,11.65,5911100,11.65
2013-11-27,11.64,11.70,11.55,11.65,10541800,11.65
2013-11-26,11.38,11.63,11.34,11.61,17346600,11.61
2013-11-25,11.27,11.39,11.27,11.38,7421000,11.38
2013-11-22,11.29,11.35,11.24,11.28,7909500,11.28
2013-11-21,11.12,11.30,11.08,11.28,9250300,11.28
2013-11-20,11.20,11.21,11.10,11.18,8104300,11.18
2013-11-19,11.22,11.25,11.16,11.21,8237500,11.21
2013-11-18,11.18,11.28,11.14,11.24,8502900,11.24
2013-11-15,11.16,11.28,11.14,11.18,12652800,11.18
2013-11-14,11.26,11.26,11.10,11.18,9690300,11.18
2013-11-13,11.13,11.27,11.04,11.13,11072400,11.13
2013-11-12,11.19,11.25,11.12,11.15,10049700,11.15
2013-11-11,11.04,11.32,10.91,11.24,12411700,11.24
2013-11-08,11.15,11.36,11.12,11.35,12292700,11.35
2013-11-07,11.51,11.56,11.17,11.34,20582800,11.34
2013-11-06,11.73,11.75,11.53,11.60,11900900,11.60
2013-11-05,11.78,11.84,11.68,11.72,14191000,11.72
2013-11-04,11.64,11.77,11.62,11.75,6896100,11.75
2013-11-01,11.60,11.77,11.60,11.62,7414600,11.62
2013-10-31,11.52,11.60,11.42,11.60,9056200,11.60
2013-10-30,11.77,11.81,11.52,11.53,9890500,11.53
2013-10-29,11.62,11.79,11.61,11.78,10135600,11.78
2013-10-28,11.40,11.63,11.40,11.59,8814000,11.59
2013-10-25,11.53,11.56,11.34,11.35,10190400,11.35
2013-10-24,11.50,11.60,11.49,11.59,9974100,11.59
2013-10-23,11.53,11.56,11.31,11.44,12802500,11.44
2013-10-22,11.60,11.63,11.48,11.59,13582500,11.59
2013-10-21,11.59,11.69,11.55,11.64,9787700,11.64
2013-10-18,11.75,11.81,11.62,11.68,29974600,11.68
2013-10-17,11.75,11.81,11.65,11.71,16584000,11.71
2013-10-16,11.67,11.93,11.64,11.93,13616000,11.93
2013-10-15,11.53,11.73,11.52,11.72,19244100,11.72
2013-10-14,11.33,11.49,11.31,11.47,9293400,11.47
2013-10-11,11.52,11.57,11.19,11.30,16154700,11.30
2013-10-10,11.17,11.45,11.10,11.45,15810500,11.45
2013-10-09,11.07,11.18,11.07,11.11,11009900,11.11
2013-10-08,11.31,11.41,11.12,11.14,15410400,11.14
2013-10-07,11.18,11.32,11.02,11.31,15288100,11.31
2013-10-04,10.93,11.19,10.92,11.19,26363600,11.19
2013-10-03,10.73,10.81,10.71,10.80,6968900,10.80
2013-10-02,10.76,10.81,10.65,10.73,9302800,10.73
2013-10-01,10.73,10.83,10.72,10.82,12883300,10.82
2013-09-30,10.60,10.76,10.45,10.72,12870400,10.72
2013-09-27,10.80,10.89,10.73,10.78,12975400,10.78
2013-09-26,10.62,10.85,10.62,10.81,19403900,10.81
2013-09-25,10.48,10.60,10.43,10.57,13638500,10.57
2013-09-24,10.39,10.48,10.37,10.48,12577700,10.48
2013-09-23,10.32,10.43,10.30,10.35,11699800,10.35
2013-09-20,10.08,10.37,10.07,10.32,37901800,10.32
2013-09-19,10.02,10.12,9.99,10.12,17499200,10.12
2013-09-18,9.95,10.00,9.90,10.00,11320500,10.00
2013-09-17,9.98,9.98,9.91,9.94,11857100,9.94
2013-09-16,9.95,10.01,9.92,9.98,12710900,9.98
2013-09-13,9.86,9.93,9.83,9.89,10424100,9.89
2013-09-12,9.83,9.93,9.80,9.90,10963300,9.90
2013-09-11,9.72,9.81,9.71,9.81,10469200,9.81
2013-09-10,9.72,9.74,9.67,9.72,14382200,9.72
2013-09-09,9.66,9.68,9.56,9.63,10496400,9.63
2013-09-06,9.80,9.82,9.60,9.63,21721000,9.63
2013-09-05,9.82,9.85,9.72,9.82,13310000,9.82
2013-09-04,9.81,9.82,9.70,9.80,11005800,9.80
2013-09-03,9.81,9.86,9.73,9.83,16545000,9.83
2013-09-02,9.80,9.85,9.76,9.82,9836100,9.82
2013-08-30,9.67,9.73,9.63,9.69,16669800,9.69
2013-08-29,9.63,9.76,9.61,9.69,10844000,9.69
2013-08-28,9.55,9.62,9.51,9.56,8894600,9.56
2013-08-27,9.69,9.71,9.57,9.58,10643700,9.58
2013-08-26,9.75,9.79,9.71,9.76,4794500,9.76
2013-08-23,9.73,9.74,9.65,9.74,7062100,9.74
2013-08-22,9.65,9.75,9.61,9.74,8888300,9.74
2013-08-21,9.58,9.65,9.55,9.62,7666900,9.62
2013-08-20,9.59,9.64,9.53,9.57,9499000,9.57
2013-08-19,9.73,9.74,9.60,9.66,7766000,9.66
2013-08-16,9.68,9.80,9.68,9.77,12586300,9.77
2013-08-15,9.88,9.90,9.67,9.72,10549700,9.72
2013-08-14,9.91,9.94,9.85,9.93,9757200,9.93
2013-08-13,9.95,10.02,9.84,9.94,15243100,9.94
2013-08-12,9.72,9.90,9.58,9.90,16055900,9.90
2013-08-09,9.70,9.76,9.57,9.72,17940700,9.72
2013-08-08,9.37,9.75,9.35,9.75,45146700,9.75
2013-08-07,8.98,9.12,8.97,9.05,9321400,9.05
2013-08-06,9.20,9.22,8.95,9.03,12403100,9.03
2013-08-05,9.21,9.24,9.13,9.19,4365100,9.19
2013-08-02,9.30,9.32,9.15,9.19,8651500,9.19
2013-08-01,9.17,9.25,9.17,9.25,8122000,9.25
2013-07-31,9.19,9.22,9.09,9.15,9637900,9.15
2013-07-30,9.25,9.28,9.19,9.22,8459500,9.22
2013-07-29,9.25,9.28,9.17,9.20,7318000,9.20
2013-07-26,9.28,9.30,9.12,9.20,8298200,9.20
2013-07-25,9.29,9.35,9.16,9.24,10272500,9.24
2013-07-24,9.32,9.36,9.22,9.31,13526700,9.31
2013-07-23,9.30,9.48,9.27,9.30,23122000,9.30
2013-07-22,8.94,9.15,8.90,9.15,20485100,9.15
2013-07-19,8.93,8.98,8.88,8.95,16714100,8.95
2013-07-18,8.87,8.95,8.86,8.95,7654300,8.95
2013-07-17,8.89,8.92,8.78,8.88,7527700,8.88
2013-07-16,8.99,9.00,8.84,8.88,7819500,8.88
2013-07-15,9.00,9.03,8.94,8.97,6913600,8.97
2013-07-12,8.99,9.04,8.97,9.00,11338800,9.00
2013-07-11,8.95,8.97,8.87,8.95,10279000,8.95
2013-07-10,8.90,8.93,8.78,8.86,8726500,8.86
2013-07-09,8.89,8.93,8.83,8.91,8122100,8.91
2013-07-08,8.84,8.92,8.82,8.88,9090100,8.88
2013-07-05,9.04,9.04,8.80,8.81,13554700,8.81
2013-07-04,8.95,9.04,8.90,9.03,11805000,9.03
2013-07-03,8.88,8.92,8.77,8.89,9854400,8.89
