Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,14.20,14.39,14.10,14.38,11383900,14.38
2014-02-20,13.85,14.17,13.81,14.15,10622400,14.15
2014-02-19,13.97,14.08,13.91,13.98,8616600,13.98
2014-02-18,13.85,13.99,13.85,13.98,5808700,13.98
2014-02-17,13.86,13.95,13.85,13.89,4060900,13.89
2014-02-14,13.82,13.91,13.77,13.91,8587700,13.91
2014-02-13,13.65,13.85,13.65,13.85,7523500,13.85
2014-02-12,13.72,13.81,13.66,13.72,6655900,13.72
2014-02-11,13.56,13.71,13.56,13.70,5984400,13.70
2014-02-10,13.61,13.68,13.52,13.54,5509200,13.54
2014-02-07,13.49,13.61,13.40,13.60,7703600,13.60
2014-02-06,13.30,13.52,13.26,13.50,10271600,13.50
2014-02-05,13.20,13.31,13.13,13.28,8348300,13.28
2014-02-04,13.31,13.44,13.24,13.26,8966200,13.26
2014-02-03,13.50,13.60,13.38,13.38,11176000,13.38
2014-01-31,13.44,13.56,13.27,13.47,15024900,13.47
2014-01-30,13.14,13.32,13.09,13.28,8638000,13.28
2014-01-29,13.39,13.39,13.02,13.10,13473200,13.10
2014-01-28,13.61,13.61,13.28,13.31,10527500,13.31
2014-01-27,13.65,13.68,13.40,13.48,9472500,13.48
2014-01-24,13.95,13.99,13.57,13.59,12116800,13.59
2014-01-23,13.78,13.98,13.74,13.85,10673800,13.85
2014-01-22,13.68,13.85,13.65,13.77,7659500,13.77
2014-01-21,13.65,13.77,13.60,13.60,7188200,13.60
2014-01-20,13.59,13.71,13.57,13.65,6297500,13.65
2014-01-17,13.66,13.77,13.51,13.56,14952100,13.56
2014-01-16,13.80,13.81,13.58,13.65,10053300,13.65
2014-01-15,13.64,13.89,13.57,13.80,15474100,13.80
2014-01-14,13.05,13.52,13.03,13.51,15839100,13.51
2014-01-13,13.14,13.16,13.06,13.13,6310800,13.13
2014-01-10,13.00,13.16,12.98,13.14,7744900,13.14
2014-01-09,13.07,13.10,12.89,12.93,9799700,12.93
2014-01-08,13.16,13.16,12.99,13.06,10010300,13.06
2014-01-07,13.11,13.19,13.06,13.18,6338800,13.18
2014-01-06,13.18,13.19,13.07,13.10,6099300,13.10
2014-01-03,13.11,13.22,13.07,13.14,5979500,13.14
2014-01-02,13.46,13.49,13.04,13.06,10554200,13.06
2014-01-01,13.41,13.41,13.41,13.41,000,13.41
2013-12-31,13.41,13.41,13.41,13.41,000,13.41
2013-12-30,13.50,13.54,13.41,13.41,3373500,13.41
2013-12-27,13.43,13.48,13.36,13.48,5009300,13.48
2013-12-26,13.33,13.33,13.33,13.33,000,13.33
2013-12-25,13.33,13.33,13.33,13.33,000,13.33
2013-12-24,13.33,13.33,13.33,13.33,000,13.33
2013-12-23,13.27,13.34,13.16,13.33,5009200,13.33
2013-12-20,13.24,13.25,13.11,13.23,18071800,13.23
2013-12-19,13.10,13.20,13.02,13.19,9642500,13.19
2013-12-18,12.98,13.05,12.93,13.05,9839400,13.05
2013-12-17,13.16,13.17,12.96,12.96,10086800,12.96
2013-12-16,13.10,13.23,13.03,13.18,9345300,13.18
2013-12-13,13.23,13.28,13.06,13.10,9837900,13.10
2013-12-12,13.27,13.38,13.15,13.16,7376800,13.16
2013-12-11,13.39,13.48,13.22,13.30,8183100,13.30
2013-12-10,13.45,13.59,13.39,13.43,9017200,13.43
2013-12-09,13.61,13.72,13.52,13.60,7151800,13.60
2013-12-06,13.50,13.54,13.31,13.52,8329700,13.52
2013-12-05,13.60,13.77,13.43,13.47,8314500,13.47
2013-12-04,13.72,13.88,13.55,13.64,8881000,13.64
2013-12-03,14.05,14.15,13.73,13.76,11200100,13.76
2013-12-02,14.11,14.17,14.03,14.09,6588500,14.09
2013-11-29,14.14,14.32,14.07,14.16,7610900,14.16
2013-11-28,14.09,14.23,14.03,14.16,5326400,14.16
2013-11-27,14.11,14.20,14.03,14.07,6200700,14.07
2013-11-26,14.10,14.22,14.00,14.05,12039800,14.05
2013-11-25,14.04,14.14,13.97,14.05,6606200,14.05
2013-11-22,14.00,14.04,13.69,14.02,10857300,14.02
2013-11-21,13.78,14.20,13.75,14.09,10247700,14.09
2013-11-20,13.81,13.97,13.73,13.90,7134600,13.90
2013-11-19,14.05,14.18,13.82,13.85,13147100,13.85
2013-11-18,13.49,14.13,13.44,14.05,21373900,14.05
2013-11-15,13.49,13.54,13.42,13.50,8888400,13.50
2013-11-14,13.48,13.67,13.31,13.54,16042000,13.54
2013-11-13,13.43,13.85,13.30,13.77,17246500,13.77
2013-11-12,13.52,13.57,13.33,13.49,7919200,13.49
2013-11-11,13.52,13.55,13.36,13.55,6499400,13.55
2013-11-08,13.45,13.48,13.30,13.44,10089400,13.44
2013-11-07,13.66,13.79,13.48,13.52,10137000,13.52
2013-11-06,13.82,13.84,13.59,13.73,7419500,13.73
2013-11-05,13.50,13.65,13.47,13.60,9319700,13.60
