Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,53.50,53.72,52.47,52.66,769800,52.66
2014-02-20,53.06,53.35,52.98,53.35,839600,53.35
2014-02-19,53.18,53.66,53.18,53.50,516900,53.50
2014-02-18,53.47,53.51,52.95,53.21,504000,53.21
2014-02-17,53.63,53.76,53.23,53.30,368200,53.30
2014-02-14,53.55,53.73,53.36,53.42,495300,53.42
2014-02-13,53.41,53.63,53.17,53.56,529000,53.56
2014-02-12,52.61,53.86,52.59,53.43,973200,53.43
2014-02-11,51.87,52.44,51.73,52.44,583400,52.44
2014-02-10,51.84,52.05,51.69,51.82,391600,51.82
2014-02-07,51.69,51.88,51.43,51.84,615200,51.84
2014-02-06,51.85,51.88,51.40,51.75,659900,51.75
2014-02-05,51.82,52.19,51.59,51.66,623600,51.66
2014-02-04,52.57,52.69,51.72,51.82,734600,51.82
2014-02-03,52.66,52.95,52.40,52.59,585800,52.59
2014-01-31,52.65,52.75,51.72,52.20,766400,52.20
2014-01-30,52.84,53.05,52.47,52.66,491800,52.66
2014-01-29,53.89,53.89,52.44,52.70,682700,52.70
2014-01-28,53.28,53.53,52.89,53.48,795900,53.48
2014-01-27,53.44,53.72,52.90,53.05,705700,53.05
2014-01-24,54.00,54.32,53.43,53.54,930000,53.54
2014-01-23,53.82,54.27,53.70,54.05,703000,54.05
2014-01-22,53.63,54.31,53.61,53.97,571300,53.97
2014-01-21,54.10,54.30,53.50,53.71,674200,53.71
2014-01-20,53.30,54.10,53.20,54.00,623200,54.00
2014-01-17,52.87,53.47,52.65,53.29,1052800,53.29
2014-01-16,52.19,53.37,52.19,52.90,856100,52.90
2014-01-15,51.66,52.22,51.53,52.19,644900,52.19
2014-01-14,51.45,51.91,51.13,51.51,568100,51.51
2014-01-13,52.30,52.39,51.45,51.60,532300,51.60
2014-01-10,52.61,52.68,52.18,52.42,615600,52.42
2014-01-09,52.30,52.84,52.00,52.45,1281400,52.45
2014-01-08,51.20,52.12,50.99,51.91,836300,51.91
2014-01-07,51.24,51.29,50.95,51.20,381800,51.20
2014-01-06,51.20,51.42,51.08,51.30,317700,51.30
2014-01-03,50.76,51.32,50.76,51.16,403900,51.16
2014-01-02,51.70,51.72,50.44,50.64,639200,50.64
2014-01-01,51.73,51.73,51.73,51.73,000,51.73
2013-12-31,51.73,51.73,51.73,51.73,000,51.73
2013-12-30,51.48,51.96,51.01,51.73,273800,51.73
2013-12-27,51.52,51.91,51.36,51.52,395200,51.52
2013-12-26,51.18,51.18,51.18,51.18,000,51.18
2013-12-25,51.18,51.18,51.18,51.18,000,51.18
2013-12-24,51.18,51.18,51.18,51.18,000,51.18
2013-12-23,51.16,51.32,50.97,51.18,364700,51.18
2013-12-20,51.48,51.57,51.03,51.04,1321300,51.04
2013-12-19,50.63,51.50,50.63,51.47,844800,51.47
2013-12-18,50.30,50.66,50.20,50.52,568400,50.52
2013-12-17,49.96,50.37,49.93,49.98,502900,49.98
2013-12-16,50.17,50.44,49.97,50.13,569200,50.13
2013-12-13,50.35,50.57,50.22,50.42,531600,50.42
2013-12-12,50.55,51.04,50.44,50.72,747300,50.72
2013-12-11,50.90,51.32,50.46,50.60,633700,50.60
2013-12-10,51.30,51.71,50.93,50.98,629300,50.98
2013-12-09,51.38,51.52,51.08,51.35,489600,51.35
2013-12-06,51.83,52.32,51.36,51.41,757600,51.41
2013-12-05,51.39,51.93,51.05,51.86,646300,51.86
2013-12-04,51.72,51.96,51.07,51.27,785900,51.27
2013-12-03,51.55,52.00,51.39,51.80,1199800,51.80
2013-12-02,51.16,51.74,51.16,51.31,518000,51.31
2013-11-29,50.74,51.59,50.73,51.44,769800,51.44
2013-11-28,51.15,51.34,50.56,50.85,723200,50.85
2013-11-27,51.60,51.87,51.28,51.32,701000,51.32
2013-11-26,51.18,51.95,51.06,51.77,1288200,51.77
2013-11-25,51.50,52.47,51.08,51.19,4472200,51.19
2013-11-22,47.97,48.13,47.70,47.86,688200,47.86
2013-11-21,48.12,48.26,47.87,47.88,514400,47.88
2013-11-20,48.40,48.80,48.24,48.31,562100,48.31
2013-11-19,47.99,48.45,47.99,48.34,1189600,48.34
2013-11-18,48.05,48.20,47.93,48.00,655800,48.00
2013-11-15,47.92,48.12,47.81,48.00,672700,48.00
2013-11-14,47.83,48.13,47.83,48.01,515300,48.01
2013-11-13,47.50,47.97,47.32,47.56,814300,47.56
2013-11-12,48.04,48.19,47.83,48.06,585000,48.06
2013-11-11,47.94,48.19,47.90,48.05,410000,48.05
2013-11-08,47.60,47.95,47.53,47.89,700400,47.89
2013-11-07,47.90,47.92,47.60,47.70,1233100,47.70
2013-11-06,48.83,49.01,47.90,47.90,1104400,47.90
2013-11-05,48.79,49.40,48.34,49.15,1192800,49.15
2013-11-04,49.00,49.37,48.57,48.57,713400,48.57
2013-11-01,48.81,49.04,48.46,48.98,612000,48.98
2013-10-31,48.69,49.04,48.60,48.76,620400,48.76
2013-10-30,48.60,49.11,48.60,48.92,604700,48.92
2013-10-29,49.24,49.65,48.68,48.72,990500,48.72
2013-10-28,48.87,49.47,48.79,49.26,602000,49.26
2013-10-25,48.52,49.14,48.42,49.10,667600,49.10
2013-10-24,48.90,48.94,48.40,48.71,926000,48.71
2013-10-23,48.99,49.51,48.88,48.94,623600,48.94
2013-10-22,49.18,49.45,48.83,49.28,763300,49.28
2013-10-21,48.40,49.17,48.28,49.09,701200,49.09
2013-10-18,47.49,48.55,47.31,48.52,1620200,48.52
2013-10-17,47.03,47.42,46.95,47.33,533700,47.33
2013-10-16,47.12,47.31,46.64,47.03,874900,47.03
2013-10-15,47.60,47.87,47.24,47.24,744100,47.24
2013-10-14,47.33,48.07,47.27,47.52,565900,47.52
2013-10-11,47.00,47.60,46.88,47.44,733400,47.44
2013-10-10,47.15,47.17,46.71,47.00,867700,47.00
2013-10-09,47.45,47.59,47.05,47.16,598900,47.16
2013-10-08,47.69,47.79,47.33,47.47,647600,47.47
2013-10-07,48.07,48.08,47.54,47.69,516500,47.69
2013-10-04,48.15,48.24,47.86,48.05,536900,48.05
2013-10-03,48.15,48.39,48.00,48.19,362000,48.19
2013-10-02,48.35,48.37,47.85,48.18,491100,48.18
2013-10-01,48.13,48.44,47.91,48.35,652500,48.35
2013-09-30,48.00,48.39,47.95,48.09,618300,48.09
2013-09-27,48.55,48.60,48.01,48.15,440400,48.15
2013-09-26,48.36,48.53,48.20,48.44,556000,48.44
2013-09-25,48.40,48.52,48.12,48.50,884700,48.50
2013-09-24,48.49,48.74,47.98,48.40,660200,48.40
2013-09-23,48.44,48.60,48.19,48.50,574600,48.50
2013-09-20,48.38,48.70,48.21,48.40,1573300,48.40
2013-09-19,48.63,48.87,48.30,48.42,931000,48.42
2013-09-18,48.33,48.83,48.28,48.53,694600,48.53
2013-09-17,48.54,48.72,48.20,48.27,597100,48.27
2013-09-16,48.99,49.16,48.35,48.48,913300,48.48
2013-09-13,49.00,49.69,48.53,48.57,555000,48.57
2013-09-12,48.97,49.12,48.40,48.85,611400,48.85
2013-09-11,48.92,49.16,48.75,48.95,504500,48.95
2013-09-10,48.10,49.12,48.06,49.03,744000,49.03
2013-09-09,48.27,48.54,48.10,48.22,464200,48.22
2013-09-06,48.65,48.75,48.08,48.30,745200,48.30
2013-09-05,49.37,49.51,48.45,48.45,638600,48.45
2013-09-04,49.06,49.62,48.97,49.55,554800,49.55
2013-09-03,49.56,49.56,49.01,49.06,545600,49.06
2013-09-02,49.35,49.51,48.96,49.35,470100,49.35
2013-08-30,49.65,49.66,48.99,49.19,694000,49.19
2013-08-29,49.53,49.92,49.23,49.72,499500,49.72
2013-08-28,50.09,50.17,49.58,49.90,485800,49.90
2013-08-27,50.14,50.40,49.75,50.24,535100,50.24
2013-08-26,49.98,50.48,49.98,50.43,224200,50.43
2013-08-23,50.24,50.32,49.90,50.12,312400,50.12
2013-08-22,49.63,50.45,49.30,50.22,510900,50.22
2013-08-21,50.20,50.21,49.81,49.81,371900,49.81
2013-08-20,50.09,50.36,49.92,50.20,547000,50.20
2013-08-19,49.74,50.53,49.11,50.50,527700,50.50
2013-08-16,50.25,50.35,49.89,50.22,565300,50.22
2013-08-15,49.81,50.25,49.46,50.25,417400,50.25
2013-08-14,49.70,50.00,49.69,49.85,526300,49.85
2013-08-13,49.46,49.83,49.42,49.78,736300,49.78
2013-08-12,49.17,49.46,48.83,49.37,592900,49.37
2013-08-09,48.63,49.28,48.51,49.21,561300,49.21
2013-08-08,48.54,49.16,47.72,49.10,924300,49.10
2013-08-07,47.50,48.58,47.50,48.57,887900,48.57
2013-08-06,47.22,47.59,47.05,47.49,802300,47.49
2013-08-05,47.45,47.92,47.37,47.72,538100,47.72
2013-08-02,48.21,48.22,47.74,47.86,680000,47.86
2013-08-01,47.58,48.48,47.38,48.31,933700,48.31
2013-07-31,47.50,47.61,46.51,47.58,1446400,47.58
2013-07-30,48.30,49.08,46.81,47.40,1447800,47.40
2013-07-29,48.83,49.12,48.19,48.38,1004500,48.38
2013-07-26,49.69,49.72,48.44,48.56,705900,48.56
2013-07-25,49.48,49.83,49.33,49.47,710700,49.47
2013-07-24,49.90,50.02,49.28,49.47,730700,49.47
2013-07-23,49.65,49.95,49.54,49.80,584800,49.80
2013-07-22,49.40,49.78,49.31,49.56,490500,49.56
2013-07-19,49.90,50.08,49.77,49.85,1383300,49.85
2013-07-18,49.85,50.08,49.50,49.99,785400,49.99
2013-07-17,49.97,50.05,49.34,49.75,643200,49.75
2013-07-16,50.00,50.01,49.68,49.86,504400,49.86
2013-07-15,50.30,50.55,49.62,50.00,536400,50.00
2013-07-12,50.04,50.36,49.98,50.14,590400,50.14
2013-07-11,49.70,50.42,49.59,50.03,901600,50.03
2013-07-10,49.28,49.69,49.12,49.69,877100,49.69
2013-07-09,48.70,49.40,48.65,49.35,1189000,49.35
2013-07-08,48.08,48.69,48.00,48.25,828400,48.25
2013-07-05,49.47,49.47,47.85,48.11,1698500,48.11
2013-07-04,49.88,49.97,49.18,49.28,1232900,49.28
2013-07-03,49.54,49.80,48.90,49.80,1639700,49.80
2013-07-02,49.80,50.28,48.75,49.71,5390300,49.71
2013-07-01,54.39,55.05,54.22,54.44,689300,54.44
