Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,119.40,119.65,118.50,119.00,342400,119.00
2014-02-20,118.55,119.85,118.30,119.35,436700,119.35
2014-02-19,118.35,119.60,118.35,119.00,291800,119.00
2014-02-18,119.75,119.95,117.95,118.40,290000,118.40
2014-02-17,120.00,120.60,119.40,119.70,262100,119.70
2014-02-14,118.15,119.85,118.10,119.35,280600,119.35
2014-02-13,116.80,118.25,116.75,118.25,248800,118.25
2014-02-12,116.45,118.25,116.25,117.15,248300,117.15
2014-02-11,116.45,117.15,116.15,116.45,297500,116.45
2014-02-10,116.35,116.85,115.75,116.55,275700,116.55
2014-02-07,115.15,116.50,114.85,116.05,333200,116.05
2014-02-06,114.50,115.60,113.65,115.30,396100,115.30
2014-02-05,114.05,114.80,113.85,114.50,508500,114.50
2014-02-04,115.75,116.00,114.00,114.50,459600,114.50
2014-02-03,115.80,116.15,114.45,115.85,417300,115.85
2014-01-31,117.00,117.00,111.45,115.65,629800,115.65
2014-01-30,116.55,119.30,115.60,118.10,357500,118.10
2014-01-29,117.25,118.50,115.30,116.45,323100,116.45
2014-01-28,116.70,117.25,115.95,116.70,272300,116.70
2014-01-27,116.00,116.75,115.50,116.30,356100,116.30
2014-01-24,118.50,119.75,116.05,116.45,564200,116.45
2014-01-23,117.35,118.25,116.75,118.00,352900,118.00
2014-01-22,118.50,119.35,117.40,117.90,279100,117.90
2014-01-21,118.00,118.80,117.60,117.90,230100,117.90
2014-01-20,116.55,117.45,116.45,117.45,170600,117.45
2014-01-17,116.40,117.10,115.50,116.75,416100,116.75
2014-01-16,116.00,117.00,115.90,116.45,265100,116.45
2014-01-15,114.60,116.65,114.55,115.90,375300,115.90
2014-01-14,114.25,115.20,113.50,114.35,300300,114.35
2014-01-13,116.60,116.75,114.30,114.40,381100,114.40
2014-01-10,115.65,116.85,114.20,116.60,328500,116.60
2014-01-09,115.80,116.40,114.50,115.05,440700,115.05
2014-01-08,112.30,113.85,112.00,113.85,293000,113.85
2014-01-07,113.15,113.25,111.55,112.80,302000,112.80
2014-01-06,112.20,113.25,112.00,113.25,297800,113.25
2014-01-03,110.90,111.90,110.70,111.55,211700,111.55
2014-01-02,111.65,111.80,110.75,110.95,296400,110.95
2014-01-01,111.60,111.60,111.60,111.60,000,111.60
2013-12-31,111.60,111.60,111.60,111.60,000,111.60
2013-12-30,111.50,112.20,111.45,111.60,143800,111.60
2013-12-27,112.20,112.75,111.05,111.55,252400,111.55
2013-12-26,111.95,111.95,111.95,111.95,000,111.95
2013-12-25,111.95,111.95,111.95,111.95,000,111.95
2013-12-24,111.95,111.95,111.95,111.95,000,111.95
2013-12-23,111.15,112.05,110.45,111.95,351300,111.95
2013-12-20,111.55,111.90,110.15,110.80,772700,110.80
2013-12-19,109.50,111.30,109.25,111.30,517700,111.30
2013-12-18,108.10,111.65,107.70,108.70,473000,108.70
2013-12-17,106.25,107.30,105.55,107.05,386400,107.05
2013-12-16,104.85,106.25,104.30,106.00,308000,106.00
2013-12-13,105.10,105.30,103.90,104.95,276100,104.95
2013-12-12,104.35,106.10,104.15,104.90,305400,104.90
2013-12-11,105.15,105.70,104.40,104.50,252800,104.50
2013-12-10,106.00,106.75,104.90,105.30,263200,105.30
2013-12-09,105.75,106.85,105.45,106.05,254900,106.05
2013-12-06,107.00,107.40,105.80,106.60,340400,106.60
2013-12-05,103.50,106.85,102.70,106.65,433500,106.65
2013-12-04,104.70,105.50,103.20,103.50,375800,103.50
2013-12-03,104.85,107.10,104.15,104.65,632300,104.65
2013-12-02,104.00,104.20,103.30,103.40,374500,103.40
2013-11-29,103.95,104.65,102.95,104.20,303600,104.20
