Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,57.55,58.50,57.42,58.48,737400,58.48
2014-02-20,57.14,57.30,56.61,57.30,751200,57.30
2014-02-19,57.16,58.00,57.03,57.87,496600,57.87
2014-02-18,57.95,57.95,56.99,57.37,477700,57.37
2014-02-17,58.10,58.28,57.51,57.80,356600,57.80
2014-02-14,57.81,58.42,57.76,58.10,662600,58.10
2014-02-13,57.64,57.91,56.93,57.80,519900,57.80
2014-02-12,57.18,58.46,57.14,57.90,724100,57.90
2014-02-11,56.27,57.14,56.27,57.14,576300,57.14
2014-02-10,56.61,56.66,56.03,56.13,466200,56.13
2014-02-07,55.94,57.09,55.79,56.46,914400,56.46
2014-02-06,54.78,56.20,54.22,55.73,1485800,55.73
2014-02-05,55.13,55.41,54.70,55.31,1069100,55.31
2014-02-04,54.25,55.46,53.84,55.31,1220600,55.31
2014-02-03,55.42,55.70,54.33,54.39,1109600,54.39
2014-01-31,56.65,56.69,54.93,55.25,1351000,55.25
2014-01-30,57.11,57.29,55.97,56.64,855100,56.64
2014-01-29,58.35,58.87,56.50,57.09,1558200,57.09
2014-01-28,56.91,57.13,56.38,57.02,768600,57.02
2014-01-27,57.36,58.05,56.39,56.50,1090300,56.50
2014-01-24,59.58,59.77,57.24,57.36,1155800,57.36
2014-01-23,59.38,60.13,59.01,59.44,1513300,59.44
2014-01-22,58.67,59.81,58.00,59.50,1319900,59.50
2014-01-21,57.70,58.05,57.37,57.50,543200,57.50
2014-01-20,57.64,58.07,57.20,57.54,485000,57.54
2014-01-17,57.66,57.98,57.24,57.49,852100,57.49
2014-01-16,57.64,57.67,57.00,57.60,620600,57.60
2014-01-15,57.95,58.23,57.27,57.47,983200,57.47
2014-01-14,57.20,57.73,56.75,57.55,700400,57.55
2014-01-13,57.00,57.80,56.87,57.80,621100,57.80
2014-01-10,56.20,57.04,56.18,56.87,630200,56.87
2014-01-09,55.70,56.46,55.15,56.05,945700,56.05
2014-01-08,55.88,56.54,55.57,56.13,523000,56.13
2014-01-07,56.20,56.20,55.09,55.82,514400,55.82
2014-01-06,55.96,56.15,55.48,55.82,398300,55.82
2014-01-03,55.40,56.00,54.73,55.96,528700,55.96
2014-01-02,55.56,56.02,55.15,55.27,816800,55.27
2014-01-01,55.15,55.15,55.15,55.15,000,55.15
2013-12-31,55.15,55.15,55.15,55.15,000,55.15
2013-12-30,54.55,55.40,54.53,55.15,353800,55.15
2013-12-27,53.99,54.56,53.78,54.43,432300,54.43
2013-12-26,53.78,53.78,53.78,53.78,000,53.78
2013-12-25,53.78,53.78,53.78,53.78,000,53.78
2013-12-24,53.78,53.78,53.78,53.78,000,53.78
2013-12-23,53.97,54.09,53.43,53.78,574100,53.78
2013-12-20,54.05,54.29,53.76,53.99,1158600,53.99
2013-12-19,54.59,54.88,53.57,54.02,834600,54.02
2013-12-18,53.99,54.44,53.80,54.20,513200,54.20
2013-12-17,54.82,54.84,53.83,53.83,606000,53.83
2013-12-16,54.37,55.41,54.20,54.97,685800,54.97
2013-12-13,54.36,54.80,54.08,54.38,593000,54.38
2013-12-12,54.37,54.54,53.74,54.26,720300,54.26
2013-12-11,54.10,54.89,54.05,54.42,593900,54.42
2013-12-10,53.84,54.66,53.53,54.09,843600,54.09
2013-12-09,55.05,55.10,53.41,53.65,1112600,53.65
2013-12-06,54.79,55.24,54.15,54.83,584500,54.83
2013-12-05,54.50,55.43,54.30,54.56,768200,54.56
2013-12-04,55.61,55.73,54.13,54.61,1153400,54.61
2013-12-03,57.10,57.17,55.42,55.57,653400,55.57
2013-12-02,57.73,57.90,57.10,57.22,543000,57.22
2013-11-29,57.18,57.80,57.18,57.57,393800,57.57
2013-11-28,56.63,57.40,56.55,57.38,421300,57.38
2013-11-27,56.80,56.88,56.11,56.41,709400,56.41
2013-11-26,56.41,56.43,55.62,55.62,517900,55.62
2013-11-25,56.52,56.69,55.95,56.22,577200,56.22
2013-11-22,56.80,56.82,56.08,56.34,509600,56.34
2013-11-21,56.88,56.89,56.33,56.75,554100,56.75
2013-11-20,56.35,56.92,55.96,56.90,617400,56.90
2013-11-19,55.92,56.34,55.87,56.21,417700,56.21
2013-11-18,56.15,56.33,55.35,55.97,940000,55.97
2013-11-15,56.99,57.07,56.24,56.24,1025000,56.24
2013-11-14,57.24,57.43,56.58,57.07,608600,57.07
2013-11-13,57.52,57.82,56.05,56.56,801300,56.56
2013-11-12,57.90,58.55,57.70,57.87,737100,57.87
2013-11-11,57.17,57.76,56.99,57.52,607100,57.52
2013-11-08,56.05,57.00,54.75,56.98,1351700,56.98
2013-11-07,57.30,57.94,56.27,56.88,2040300,56.88
2013-11-06,58.46,59.80,58.26,59.12,910700,59.12
2013-11-05,57.69,58.34,57.50,58.34,610000,58.34
2013-11-04,57.13,57.97,56.77,57.97,539300,57.97
2013-11-01,58.00,58.00,56.00,56.91,857100,56.91
2013-10-31,57.85,58.46,57.77,58.06,605300,58.06
2013-10-30,57.69,58.31,57.62,58.31,575400,58.31
2013-10-29,57.22,57.69,56.88,57.57,469900,57.57
2013-10-28,57.52,57.56,57.07,57.44,516900,57.44
2013-10-25,57.91,57.91,57.06,57.35,606800,57.35
2013-10-24,58.37,58.90,57.57,57.91,1207100,57.91
2013-10-23,59.16,59.98,58.90,59.30,1168900,59.30
2013-10-22,58.25,60.30,58.15,59.81,929900,59.81
2013-10-21,57.94,58.49,57.48,58.35,524300,58.35
2013-10-18,57.93,58.03,56.62,58.00,1451100,58.00
2013-10-17,58.05,58.08,57.22,57.74,538000,57.74
2013-10-16,58.35,58.35,57.57,58.20,642300,58.20
2013-10-15,58.36,58.78,58.13,58.57,459700,58.57
2013-10-14,57.72,58.22,57.54,58.07,310900,58.07
2013-10-11,57.73,58.28,57.24,58.28,810700,58.28
2013-10-10,55.90,57.75,55.67,57.70,910300,57.70
2013-10-09,55.79,55.93,55.11,55.70,736100,55.70
2013-10-08,56.06,56.39,55.78,55.98,564000,55.98
2013-10-07,55.86,56.13,55.35,56.12,464200,56.12
2013-10-04,56.32,56.47,55.41,56.16,849300,56.16
2013-10-03,57.25,57.39,56.50,56.63,342900,56.63
2013-10-02,57.35,57.47,56.81,57.12,527400,57.12
2013-10-01,57.40,57.81,57.00,57.45,689300,57.45
2013-09-30,57.59,57.67,56.55,57.01,787100,57.01
