Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,7.73,7.92,7.72,7.89,10037300,7.89
2014-02-20,7.70,7.75,7.65,7.70,6826100,7.70
2014-02-19,7.84,7.87,7.76,7.79,5150400,7.79
2014-02-18,7.82,7.87,7.80,7.83,5270500,7.83
2014-02-17,7.83,7.85,7.75,7.83,5266500,7.83
2014-02-14,7.64,7.83,7.64,7.82,12644200,7.82
2014-02-13,7.73,7.75,7.65,7.74,8543500,7.74
2014-02-12,7.73,7.76,7.69,7.72,6152800,7.72
2014-02-11,7.59,7.72,7.57,7.72,7417100,7.72
2014-02-10,7.55,7.58,7.50,7.54,3739000,7.54
2014-02-07,7.55,7.57,7.48,7.50,5487200,7.50
2014-02-06,7.48,7.55,7.40,7.50,9007400,7.50
2014-02-05,7.45,7.53,7.40,7.45,6302100,7.45
2014-02-04,7.46,7.47,7.33,7.44,9304400,7.44
2014-02-03,7.71,7.73,7.48,7.50,10560600,7.50
2014-01-31,7.75,7.76,7.55,7.66,10728800,7.66
2014-01-30,7.60,7.77,7.51,7.70,16565800,7.70
2014-01-29,7.48,7.52,7.23,7.38,10147700,7.38
2014-01-28,7.30,7.42,7.28,7.38,12528800,7.38
2014-01-27,7.39,7.48,7.23,7.29,11493700,7.29
2014-01-24,7.63,7.64,7.35,7.38,10040400,7.38
2014-01-23,7.68,7.73,7.54,7.60,9034800,7.60
2014-01-22,7.73,7.80,7.70,7.71,7945600,7.71
2014-01-21,7.73,7.77,7.70,7.72,6283900,7.72
2014-01-20,7.68,7.75,7.68,7.71,3880700,7.71
2014-01-17,7.63,7.77,7.58,7.70,9483800,7.70
2014-01-16,7.66,7.70,7.61,7.64,6977700,7.64
2014-01-15,7.61,7.70,7.60,7.64,8396700,7.64
2014-01-14,7.43,7.58,7.41,7.56,8635900,7.56
2014-01-13,7.55,7.69,7.51,7.67,5671900,7.67
2014-01-10,7.54,7.61,7.49,7.54,5827100,7.54
2014-01-09,7.64,7.67,7.46,7.49,7672400,7.49
2014-01-08,7.73,7.76,7.62,7.65,5860300,7.65
2014-01-07,7.67,7.67,7.51,7.65,6103900,7.65
2014-01-06,7.73,7.74,7.66,7.68,2915400,7.68
2014-01-03,7.68,7.77,7.66,7.73,3346000,7.73
2014-01-02,7.79,7.84,7.66,7.67,7144000,7.67
2014-01-01,7.76,7.76,7.76,7.76,000,7.76
2013-12-31,7.76,7.76,7.76,7.76,000,7.76
2013-12-30,7.74,7.80,7.71,7.76,2387400,7.76
2013-12-27,7.72,7.79,7.71,7.77,4264300,7.77
2013-12-26,7.70,7.70,7.70,7.70,000,7.70
2013-12-25,7.70,7.70,7.70,7.70,000,7.70
2013-12-24,7.70,7.70,7.70,7.70,000,7.70
2013-12-23,7.64,7.70,7.62,7.70,4084000,7.70
2013-12-20,7.59,7.64,7.57,7.61,9648600,7.61
2013-12-19,7.55,7.59,7.50,7.58,6815900,7.58
2013-12-18,7.42,7.51,7.41,7.44,6438100,7.44
2013-12-17,7.29,7.45,7.25,7.36,5069900,7.36
2013-12-16,7.26,7.34,7.20,7.27,5231500,7.27
2013-12-13,7.28,7.35,7.26,7.29,5994700,7.29
2013-12-12,7.40,7.41,7.27,7.28,7509800,7.28
2013-12-11,7.43,7.57,7.41,7.45,4833400,7.45
2013-12-10,7.51,7.57,7.42,7.43,5335100,7.43
2013-12-09,7.52,7.56,7.51,7.53,4933200,7.53
2013-12-06,7.37,7.50,7.36,7.50,5849300,7.50
2013-12-05,7.40,7.47,7.34,7.37,4978200,7.37
2013-12-04,7.40,7.47,7.33,7.42,5738000,7.42
2013-12-03,7.54,7.57,7.37,7.39,9118800,7.39
2013-12-02,7.50,7.59,7.47,7.53,7085800,7.53
2013-11-29,7.44,7.49,7.44,7.47,4294200,7.47
2013-11-28,7.36,7.52,7.36,7.44,6786200,7.44
2013-11-27,7.33,7.42,7.32,7.36,3886200,7.36
2013-11-26,7.35,7.41,7.32,7.34,7368100,7.34
2013-11-25,7.31,7.37,7.30,7.33,4834300,7.33
2013-11-22,7.24,7.38,7.24,7.28,6332000,7.28
2013-11-21,7.20,7.24,7.16,7.22,3956600,7.22
2013-11-20,7.19,7.25,7.14,7.24,5478400,7.24
2013-11-19,7.07,7.25,7.07,7.20,11819400,7.20
2013-11-18,7.09,7.12,7.04,7.08,6306100,7.08
2013-11-15,7.00,7.11,7.00,7.10,7497100,7.10
2013-11-14,7.00,7.07,6.96,6.97,11304800,6.97
2013-11-13,6.87,6.90,6.76,6.89,11301200,6.89
2013-11-12,7.10,7.16,6.81,6.88,28923600,6.88
2013-11-11,7.17,7.30,7.16,7.29,7846900,7.29
2013-11-08,7.10,7.12,7.04,7.12,6042400,7.12
2013-11-07,7.20,7.28,7.11,7.12,5620200,7.12
2013-11-06,7.22,7.30,7.17,7.23,4617300,7.23
2013-11-05,7.22,7.23,7.11,7.19,5911000,7.19
2013-11-04,7.13,7.27,7.12,7.18,5706500,7.18
2013-11-01,7.15,7.16,7.11,7.13,3749200,7.13
2013-10-31,7.05,7.15,7.04,7.13,4801800,7.13
2013-10-30,7.12,7.21,7.04,7.07,6277900,7.07
2013-10-29,6.94,7.12,6.94,7.11,7834600,7.11
2013-10-28,6.96,7.00,6.89,6.94,5057500,6.94
2013-10-25,6.99,7.04,6.89,6.94,8350300,6.94
2013-10-24,7.09,7.09,6.97,7.04,7948300,7.04
2013-10-23,7.10,7.20,7.03,7.07,9531200,7.07
2013-10-22,7.27,7.27,7.13,7.13,9395900,7.13
2013-10-21,7.20,7.32,7.15,7.29,5477400,7.29
2013-10-18,7.19,7.24,7.08,7.22,9430800,7.22
2013-10-17,7.25,7.27,7.11,7.15,7864400,7.15
2013-10-16,7.28,7.35,7.23,7.24,7549600,7.24
2013-10-15,7.40,7.42,7.32,7.33,9669800,7.33
2013-10-14,7.30,7.37,7.22,7.36,8099500,7.36
2013-10-11,7.46,7.51,7.41,7.48,4339200,7.48
2013-10-10,7.29,7.43,7.29,7.41,6449500,7.41
2013-10-09,7.30,7.31,7.18,7.22,5986400,7.22
2013-10-08,7.30,7.42,7.30,7.34,5299600,7.34
2013-10-07,7.38,7.38,7.21,7.30,5031300,7.30
2013-10-04,7.40,7.44,7.34,7.39,3490900,7.39
2013-10-03,7.49,7.50,7.38,7.39,3454900,7.39
2013-10-02,7.47,7.51,7.41,7.46,4001000,7.46
2013-10-01,7.40,7.51,7.36,7.51,7566700,7.51
2013-09-30,7.50,7.51,7.36,7.39,5415300,7.39
2013-09-27,7.59,7.63,7.53,7.57,4223600,7.57
2013-09-26,7.58,7.58,7.45,7.55,4802500,7.55
2013-09-25,7.54,7.61,7.53,7.57,4007800,7.57
2013-09-24,7.59,7.65,7.51,7.55,5542300,7.55
2013-09-23,7.61,7.70,7.54,7.61,7273800,7.61
2013-09-20,7.51,7.59,7.31,7.49,9939000,7.49
2013-09-19,7.64,7.72,7.48,7.51,8311500,7.51
2013-09-18,7.50,7.54,7.47,7.54,4059100,7.54
2013-09-17,7.50,7.52,7.40,7.46,6376100,7.46
2013-09-16,7.51,7.55,7.45,7.53,5361000,7.53
2013-09-13,7.45,7.51,7.41,7.41,3623500,7.41
2013-09-12,7.48,7.50,7.43,7.48,5520300,7.48
2013-09-11,7.42,7.51,7.38,7.44,6225600,7.44
2013-09-10,7.24,7.54,7.24,7.40,12547600,7.40
2013-09-09,7.14,7.20,7.12,7.18,3744000,7.18
2013-09-06,7.16,7.19,7.03,7.13,5445200,7.13
2013-09-05,7.18,7.21,7.10,7.17,6459400,7.17
2013-09-04,7.07,7.16,7.03,7.16,10238200,7.16
2013-09-03,7.05,7.10,6.97,7.01,7027000,7.01
2013-09-02,6.98,7.07,6.96,7.03,6806300,7.03
2013-08-30,6.91,6.93,6.80,6.86,6850900,6.86
2013-08-29,6.81,6.91,6.78,6.83,5805200,6.83
2013-08-28,6.76,6.80,6.61,6.76,6541700,6.76
2013-08-27,6.97,6.98,6.79,6.82,7793900,6.82
2013-08-26,7.06,7.08,6.97,7.00,2261400,7.00
2013-08-23,7.09,7.13,7.04,7.05,3210900,7.05
2013-08-22,6.89,7.09,6.87,7.07,4893700,7.07
2013-08-21,6.87,6.94,6.81,6.91,3293900,6.91
2013-08-20,6.94,6.95,6.84,6.87,8636300,6.87
2013-08-19,7.07,7.11,7.04,7.05,3033100,7.05
2013-08-16,7.03,7.12,6.97,7.08,5316800,7.08
