Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,18.42,18.50,18.19,18.38,1837300,18.38
2014-02-20,18.21,18.41,18.12,18.36,1917000,18.36
2014-02-19,18.38,18.50,18.24,18.47,2120800,18.47
2014-02-18,18.40,18.57,18.30,18.55,2414300,18.55
2014-02-17,18.10,18.33,18.05,18.31,1510800,18.31
2014-02-14,18.16,18.30,18.05,18.11,1680800,18.11
2014-02-13,18.00,18.12,17.76,18.09,2007300,18.09
2014-02-12,18.07,18.26,17.97,18.12,2425600,18.12
2014-02-11,17.82,18.02,17.67,18.01,2203400,18.01
2014-02-10,17.79,17.79,17.53,17.64,1888900,17.64
2014-02-07,17.50,17.84,17.47,17.62,3125800,17.62
2014-02-06,17.25,17.50,17.08,17.41,3140400,17.41
2014-02-05,17.12,17.33,16.99,17.21,2381900,17.21
2014-02-04,17.02,17.18,16.81,17.10,2891000,17.10
2014-02-03,17.67,17.85,17.20,17.22,2976000,17.22
2014-01-31,17.52,17.69,17.27,17.67,2964100,17.67
2014-01-30,17.50,17.60,17.37,17.56,2363100,17.56
2014-01-29,17.96,18.01,17.32,17.52,3040000,17.52
2014-01-28,17.83,17.94,17.52,17.80,3135400,17.80
2014-01-27,17.41,17.75,17.25,17.73,3697700,17.73
2014-01-24,18.08,18.14,17.42,17.45,5248500,17.45
2014-01-23,18.27,18.44,18.06,18.08,2868500,18.08
2014-01-22,18.23,18.38,18.19,18.34,2654800,18.34
2014-01-21,18.26,18.44,18.17,18.23,3020100,18.23
2014-01-20,18.20,18.30,18.07,18.18,2236300,18.18
2014-01-17,18.27,18.42,18.01,18.25,5156900,18.25
2014-01-16,18.50,18.58,18.19,18.41,3940400,18.41
2014-01-15,18.00,18.73,17.94,18.54,7875600,18.54
2014-01-14,17.45,17.79,17.35,17.75,4254700,17.75
2014-01-13,17.12,17.62,17.07,17.60,5242500,17.60
2014-01-10,16.60,17.35,16.55,17.35,14882800,17.35
2014-01-09,15.99,16.06,15.76,15.94,4465200,15.94
2014-01-08,15.63,16.11,15.60,15.97,4808600,15.97
2014-01-07,15.24,15.64,15.18,15.60,2787000,15.60
2014-01-06,15.21,15.40,15.05,15.26,2748500,15.26
2014-01-03,15.18,15.44,15.09,15.41,2245000,15.41
2014-01-02,15.45,15.48,15.15,15.17,2951700,15.17
2014-01-01,15.42,15.42,15.42,15.42,000,15.42
2013-12-31,15.42,15.42,15.42,15.42,000,15.42
2013-12-30,15.35,15.49,15.28,15.42,1286500,15.42
2013-12-27,15.31,15.40,15.26,15.39,1517900,15.39
2013-12-26,15.27,15.27,15.27,15.27,000,15.27
2013-12-25,15.27,15.27,15.27,15.27,000,15.27
2013-12-24,15.27,15.27,15.27,15.27,000,15.27
2013-12-23,15.39,15.42,15.23,15.27,1489400,15.27
2013-12-20,15.38,15.48,15.26,15.34,3562500,15.34
2013-12-19,15.32,15.55,15.20,15.39,2436300,15.39
2013-12-18,15.18,15.26,15.10,15.20,1730400,15.20
2013-12-17,15.34,15.43,15.15,15.17,1761000,15.17
2013-12-16,15.09,15.45,15.05,15.40,2266400,15.40
2013-12-13,15.09,15.19,15.02,15.06,1997700,15.06
2013-12-12,15.14,15.23,15.03,15.12,2606800,15.12
2013-12-11,15.28,15.40,15.21,15.27,2268000,15.27
2013-12-10,15.32,15.49,15.18,15.31,2532800,15.31
2013-12-09,15.40,15.54,15.31,15.36,1969500,15.36
2013-12-06,15.40,15.41,15.17,15.36,2919400,15.36
2013-12-05,15.35,15.51,15.27,15.39,2543100,15.39
2013-12-04,15.42,15.64,15.26,15.44,2927100,15.44
2013-12-03,15.89,15.89,15.35,15.35,5591800,15.35
2013-12-02,16.03,16.06,15.91,15.96,1663500,15.96
2013-11-29,15.87,16.07,15.79,15.98,2351800,15.98
2013-11-28,15.94,16.01,15.85,15.85,1685500,15.85
2013-11-27,15.90,16.06,15.76,15.88,3210600,15.88
2013-11-26,16.00,16.09,15.81,15.88,2430400,15.88
2013-11-25,15.91,16.18,15.90,16.07,4037100,16.07
2013-11-22,15.61,15.81,15.48,15.78,3519400,15.78
2013-11-21,15.36,15.77,15.33,15.70,5014100,15.70
2013-11-20,15.40,15.48,15.27,15.44,2552400,15.44
2013-11-19,15.23,15.45,15.22,15.39,2835600,15.39
2013-11-18,15.16,15.50,15.12,15.24,3389000,15.24
2013-11-15,15.00,15.29,14.94,15.19,5742000,15.19
2013-11-14,14.84,14.97,14.84,14.94,2707900,14.94
2013-11-13,14.78,14.82,14.56,14.68,2340600,14.68
2013-11-12,14.74,14.89,14.71,14.85,3483300,14.85
2013-11-11,14.53,14.77,14.45,14.71,3095700,14.71
2013-11-08,14.18,14.53,14.18,14.49,3793400,14.49
2013-11-07,14.31,14.36,14.16,14.23,3410600,14.23
2013-11-06,14.36,14.47,14.27,14.31,2289900,14.31
2013-11-05,14.40,14.40,14.21,14.32,2793000,14.32
2013-11-04,14.28,14.37,14.08,14.36,3655200,14.36
2013-11-01,14.34,14.34,14.05,14.31,2742500,14.31
2013-10-31,14.60,14.82,14.14,14.27,4868400,14.27
2013-10-30,14.40,14.72,14.40,14.69,3076400,14.69
2013-10-29,14.30,14.52,14.16,14.40,2715900,14.40
2013-10-28,14.50,14.55,14.25,14.32,2440100,14.32
2013-10-25,14.64,14.64,14.27,14.47,4126500,14.47
2013-10-24,14.64,14.74,14.61,14.73,2977300,14.73
2013-10-23,14.35,14.60,14.33,14.57,3291100,14.57
2013-10-22,14.10,14.68,14.01,14.51,9432700,14.51
2013-10-21,14.85,14.98,14.57,14.85,2329900,14.85
2013-10-18,14.50,14.87,14.48,14.84,5858900,14.84
2013-10-17,14.03,14.49,14.00,14.49,4464300,14.49
2013-10-16,14.15,14.17,14.02,14.05,2807100,14.05
2013-10-15,14.10,14.26,14.03,14.22,2302200,14.22
2013-10-14,14.06,14.12,13.96,14.02,1668200,14.02
2013-10-11,14.24,14.26,14.07,14.15,2169000,14.15
2013-10-10,14.06,14.47,13.98,14.14,4383000,14.14
2013-10-09,14.00,14.17,13.90,14.02,3003500,14.02
2013-10-08,14.24,14.27,13.96,14.01,2867600,14.01
2013-10-07,14.40,14.40,14.15,14.26,2535800,14.26
2013-10-04,14.10,14.55,14.05,14.41,3107200,14.41
2013-10-03,14.23,14.34,13.98,14.12,2952700,14.12
2013-10-02,14.41,14.55,14.16,14.27,5562500,14.27
2013-10-01,14.48,14.87,14.48,14.80,2839500,14.80
2013-09-30,14.45,14.45,14.23,14.41,2879300,14.41
2013-09-27,14.61,14.70,14.51,14.63,2630100,14.63
2013-09-26,14.58,14.76,14.48,14.68,3841400,14.68
2013-09-25,14.08,14.58,13.94,14.51,4326500,14.51
2013-09-24,13.92,14.10,13.80,14.08,2303200,14.08
2013-09-23,14.02,14.07,13.82,13.92,1743900,13.92
2013-09-20,13.74,14.02,13.74,14.02,3866800,14.02
2013-09-19,14.02,14.08,13.73,13.80,3637700,13.80
2013-09-18,13.85,13.94,13.62,13.85,4184600,13.85
2013-09-17,14.03,14.03,13.81,13.85,2796200,13.85
2013-09-16,14.06,14.18,13.84,14.00,3907100,14.00
2013-09-13,13.90,14.02,13.73,13.94,2148000,13.94
2013-09-12,14.01,14.14,13.84,13.95,4494900,13.95
2013-09-11,13.95,14.14,13.74,13.97,5556400,13.97
2013-09-10,13.36,13.81,13.33,13.81,7757700,13.81
2013-09-09,12.95,13.15,12.95,13.04,2674200,13.04
2013-09-06,13.03,13.15,12.89,12.96,4375500,12.96
2013-09-05,12.98,13.07,12.82,13.00,4886900,13.00
2013-09-04,13.13,13.13,12.54,12.93,10287200,12.93
2013-09-03,13.81,13.81,13.14,13.31,5476200,13.31
2013-09-02,13.77,13.85,13.68,13.70,2059700,13.70
2013-08-30,13.81,13.86,13.43,13.51,2428900,13.51
2013-08-29,13.63,13.91,13.60,13.77,3230800,13.77
