Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,148.10,148.95,147.85,148.05,397200,148.05
2014-02-20,146.85,147.90,146.35,147.70,408400,147.70
2014-02-19,147.80,148.95,147.05,148.70,301200,148.70
2014-02-18,148.90,149.00,147.25,148.00,376100,148.00
2014-02-17,149.65,149.70,148.20,148.30,264600,148.30
2014-02-14,148.30,149.80,147.25,149.00,549300,149.00
2014-02-13,145.00,147.60,144.70,147.60,473400,147.60
2014-02-12,145.80,147.95,145.25,145.35,595300,145.35
2014-02-11,142.65,145.45,142.45,145.45,504700,145.45
2014-02-10,141.00,142.85,140.25,142.30,402800,142.30
2014-02-07,140.05,141.50,139.50,140.45,455200,140.45
2014-02-06,139.65,140.10,138.65,140.05,645200,140.05
2014-02-05,139.40,140.25,138.65,139.15,537800,139.15
2014-02-04,139.95,140.55,137.90,139.50,720000,139.50
2014-02-03,141.05,142.00,140.45,140.65,538300,140.65
2014-01-31,143.10,143.10,137.05,140.50,903300,140.50
2014-01-30,142.90,144.15,142.40,142.85,587300,142.85
2014-01-29,146.30,146.65,142.10,142.75,827800,142.75
2014-01-28,146.50,146.60,144.70,144.95,454700,144.95
2014-01-27,146.45,146.95,145.40,146.00,505200,146.00
2014-01-24,148.95,149.10,146.35,146.55,553600,146.55
2014-01-23,149.75,150.40,148.30,148.70,418700,148.70
2014-01-22,150.55,151.05,149.70,150.35,294200,150.35
2014-01-21,150.00,151.25,149.20,149.90,401300,149.90
2014-01-20,148.50,149.80,148.20,149.30,212300,149.30
2014-01-17,149.35,150.90,148.65,149.00,724000,149.00
2014-01-16,147.80,149.00,147.20,149.00,433200,149.00
2014-01-15,147.50,148.40,146.85,147.60,484600,147.60
2014-01-14,146.50,147.45,146.10,146.95,366400,146.95
2014-01-13,148.10,148.40,146.85,147.40,334900,147.40
2014-01-10,147.70,148.45,146.95,147.85,416500,147.85
2014-01-09,148.40,148.90,146.75,147.00,538900,147.00
2014-01-08,149.45,149.75,148.45,149.20,425000,149.20
2014-01-07,150.40,150.40,148.35,148.45,469100,148.45
2014-01-06,151.15,151.90,150.40,150.55,281900,150.55
2014-01-03,151.00,151.95,150.40,151.50,292800,151.50
2014-01-02,152.90,153.30,150.20,150.50,445500,150.50
2014-01-01,152.05,152.05,152.05,152.05,000,152.05
2013-12-31,152.05,152.05,152.05,152.05,000,152.05
2013-12-30,152.50,152.85,152.05,152.05,203100,152.05
2013-12-27,151.75,153.70,151.60,152.85,325600,152.85
2013-12-26,151.25,151.25,151.25,151.25,000,151.25
2013-12-25,151.25,151.25,151.25,151.25,000,151.25
2013-12-24,151.25,151.25,151.25,151.25,000,151.25
2013-12-23,150.05,151.25,149.85,151.25,313300,151.25
2013-12-20,149.45,150.65,148.85,150.30,1004400,150.30
2013-12-19,148.50,149.75,148.15,149.45,586700,149.45
2013-12-18,147.80,148.40,147.25,147.85,391500,147.85
2013-12-17,148.85,148.85,146.95,146.95,353700,146.95
2013-12-16,145.80,149.25,145.40,148.65,522800,148.65
2013-12-13,145.40,146.55,145.10,146.10,320800,146.10
2013-12-12,145.90,146.40,144.95,145.70,408600,145.70
