Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,123.45,123.95,123.05,123.45,278500,123.45
2014-02-20,122.00,123.35,121.45,123.10,335300,123.10
2014-02-19,122.20,122.85,121.60,122.75,331600,122.75
2014-02-18,122.00,122.10,120.75,121.90,287600,121.90
2014-02-17,123.00,123.90,121.50,121.70,245900,121.70
2014-02-14,121.75,122.65,121.60,122.40,285200,122.40
2014-02-13,120.60,121.40,120.45,121.15,237200,121.15
2014-02-12,119.95,121.70,119.35,121.10,377600,121.10
2014-02-11,119.10,119.85,118.35,119.75,341500,119.75
2014-02-10,118.15,118.85,117.75,118.25,334100,118.25
2014-02-07,117.00,117.85,116.50,117.30,418200,117.30
2014-02-06,114.95,116.75,113.50,116.65,577400,116.65
2014-02-05,115.00,115.65,113.75,114.00,403300,114.00
2014-02-04,116.10,116.30,114.30,114.45,465900,114.45
2014-02-03,115.75,117.75,115.60,116.50,611200,116.50
2014-01-31,115.80,116.20,114.20,115.15,663600,115.15
2014-01-30,115.85,117.05,112.90,116.15,823900,116.15
2014-01-29,119.85,120.30,115.60,116.70,821400,116.70
2014-01-28,120.00,120.35,117.70,118.70,896000,118.70
2014-01-27,118.30,122.10,116.55,119.30,2625800,119.30
2014-01-24,135.00,135.05,132.40,132.75,271900,132.75
2014-01-23,135.40,135.45,134.20,134.90,231200,134.90
2014-01-22,133.60,135.55,133.40,135.45,266100,135.45
2014-01-21,132.20,133.25,132.10,133.00,217600,133.00
2014-01-20,131.05,132.00,131.05,131.95,124500,131.95
2014-01-17,132.20,132.60,130.05,131.35,316700,131.35
2014-01-16,132.50,133.25,131.80,132.00,243800,132.00
2014-01-15,131.15,133.20,130.70,132.50,273000,132.50
2014-01-14,129.35,130.95,129.35,130.95,207700,130.95
2014-01-13,130.45,130.60,129.75,130.00,149900,130.00
2014-01-10,130.70,132.20,130.60,130.65,263500,130.65
2014-01-09,131.80,133.15,130.40,130.55,266500,130.55
2014-01-08,131.30,132.10,130.45,132.10,168400,132.10
2014-01-07,131.05,132.05,130.85,131.50,136100,131.50
2014-01-06,130.25,131.85,129.70,131.30,134000,131.30
2014-01-03,129.25,130.85,129.00,130.65,128600,130.65
2014-01-02,129.85,130.55,128.60,129.00,171800,129.00
2014-01-01,130.25,130.25,130.25,130.25,000,130.25
2013-12-31,130.25,130.25,130.25,130.25,000,130.25
2013-12-30,129.80,130.25,129.55,130.25,63000,130.25
2013-12-27,130.75,131.40,129.45,129.85,129100,129.85
2013-12-26,129.85,129.85,129.85,129.85,000,129.85
2013-12-25,129.85,129.85,129.85,129.85,000,129.85
2013-12-24,129.85,129.85,129.85,129.85,000,129.85
2013-12-23,129.05,130.00,128.60,129.85,118500,129.85
2013-12-20,128.95,129.80,128.00,128.70,455200,128.70
2013-12-19,127.00,128.00,126.85,128.00,239300,128.00
2013-12-18,125.35,125.75,124.75,125.75,287000,125.75
2013-12-17,125.40,125.50,124.70,124.70,229700,124.70
2013-12-16,124.00,125.75,123.40,125.50,343100,125.50
2013-12-13,124.65,124.90,123.65,124.00,246000,124.00
2013-12-12,124.35,127.00,123.90,124.20,273900,124.20
2013-12-11,125.75,126.15,124.20,124.50,210300,124.50
2013-12-10,127.40,128.35,125.35,125.50,332800,125.50
