Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,158.35,158.40,156.65,157.35,562800,157.35
2014-02-20,156.00,157.65,155.55,157.65,645400,157.65
2014-02-19,157.60,158.65,156.60,158.00,505100,158.00
2014-02-18,157.90,158.30,156.75,158.05,573000,158.05
2014-02-17,158.00,158.35,157.10,157.80,407300,157.80
2014-02-14,157.00,158.60,156.80,158.05,738800,158.05
2014-02-13,156.30,158.45,156.25,158.40,701800,158.40
2014-02-12,155.95,157.60,155.75,156.40,650400,156.40
2014-02-11,154.10,155.65,154.00,155.65,704300,155.65
2014-02-10,153.90,154.25,152.65,153.55,639800,153.55
2014-02-07,153.50,153.95,151.60,152.80,1038800,152.80
2014-02-06,152.70,154.05,151.45,153.20,1060100,153.20
2014-02-05,151.30,152.60,150.10,152.20,1069100,152.20
2014-02-04,154.00,154.95,151.05,151.35,1379600,151.35
2014-02-03,153.70,154.05,151.50,153.10,953000,153.10
2014-01-31,153.75,153.85,151.00,153.15,865100,153.15
2014-01-30,152.05,153.90,151.40,153.75,867300,153.75
2014-01-29,153.85,154.15,150.60,152.10,1084300,152.10
2014-01-28,151.90,153.05,151.05,152.00,796300,152.00
2014-01-27,151.50,151.75,150.10,151.05,891900,151.05
2014-01-24,154.45,154.90,150.90,151.15,1089500,151.15
2014-01-23,156.30,156.90,153.05,153.95,1183600,153.95
2014-01-22,157.95,158.50,154.95,156.40,1022600,156.40
2014-01-21,158.50,159.60,158.25,158.55,720000,158.55
2014-01-20,157.90,158.05,157.10,158.00,566900,158.00
2014-01-17,157.30,158.85,156.70,158.15,1108000,158.15
2014-01-16,157.80,157.80,156.25,157.25,938000,157.25
2014-01-15,154.80,157.90,154.65,157.30,1024100,157.30
2014-01-14,151.85,153.90,151.10,153.90,1003100,153.90
2014-01-13,153.60,153.60,151.95,152.60,666000,152.60
2014-01-10,153.25,153.70,151.65,152.85,1054900,152.85
2014-01-09,154.00,155.50,152.10,152.45,901400,152.45
