Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,30.00,30.67,29.69,30.62,3987400,30.62
2014-02-20,29.19,30.00,29.18,29.86,4456000,29.86
2014-02-19,29.15,29.69,29.13,29.53,3166000,29.53
2014-02-18,28.78,29.37,28.78,29.18,2304500,29.18
2014-02-17,28.83,28.98,28.75,28.84,1174400,28.84
2014-02-14,28.59,29.09,28.51,28.88,3987300,28.88
2014-02-13,27.74,28.65,27.74,28.41,4209800,28.41
2014-02-12,27.90,27.96,27.64,27.84,2105500,27.84
2014-02-11,27.53,27.90,27.49,27.84,2171000,27.84
2014-02-10,27.75,27.87,27.42,27.48,1903100,27.48
2014-02-07,27.62,27.79,27.34,27.78,2742400,27.78
2014-02-06,27.18,27.67,26.85,27.59,3435200,27.59
2014-02-05,26.78,27.12,26.56,27.03,2955800,27.03
2014-02-04,27.17,27.50,26.83,26.89,3457300,26.89
2014-02-03,27.45,27.77,27.17,27.23,2869200,27.23
2014-01-31,27.33,27.78,27.01,27.44,3866300,27.44
2014-01-30,26.96,27.45,26.72,27.32,2855100,27.32
2014-01-29,26.95,27.17,26.54,26.87,3304000,26.87
2014-01-28,27.30,27.30,26.49,26.81,4975900,26.81
2014-01-27,27.09,27.30,26.91,27.04,3247400,27.04
2014-01-24,27.73,27.86,27.12,27.15,3788100,27.15
2014-01-23,27.61,27.98,27.54,27.68,2693700,27.68
2014-01-22,26.98,27.95,26.93,27.61,4711000,27.61
2014-01-21,27.01,27.17,26.83,26.89,1876000,26.89
2014-01-20,26.69,27.03,26.65,26.95,1857900,26.95
2014-01-17,27.56,27.97,26.70,26.82,7335300,26.82
2014-01-16,27.61,27.69,27.34,27.55,2503900,27.55
2014-01-15,27.00,27.90,26.94,27.59,6127400,27.59
2014-01-14,25.32,26.82,25.26,26.81,6622700,26.81
2014-01-13,25.42,25.67,25.36,25.52,1960000,25.52
2014-01-10,25.08,25.48,25.07,25.37,2702200,25.37
2014-01-09,25.08,25.35,24.81,24.95,2870400,24.95
2014-01-08,25.60,25.60,24.92,25.12,3904600,25.12
2014-01-07,25.62,25.72,25.45,25.65,2161500,25.65
2014-01-06,25.67,25.83,25.60,25.66,1768800,25.66
2014-01-03,25.72,25.89,25.50,25.66,2266600,25.66
2014-01-02,26.58,26.58,25.64,25.65,4834800,25.65
2014-01-01,26.60,26.60,26.60,26.60,000,26.60
2013-12-31,26.60,26.60,26.60,26.60,000,26.60
2013-12-30,26.70,26.74,26.52,26.60,832900,26.60
2013-12-27,26.50,26.77,26.45,26.67,1443200,26.67
2013-12-26,26.41,26.41,26.41,26.41,000,26.41
2013-12-25,26.41,26.41,26.41,26.41,000,26.41
2013-12-24,26.41,26.41,26.41,26.41,000,26.41
2013-12-23,26.30,26.45,26.00,26.41,1975500,26.41
2013-12-20,26.32,26.35,26.08,26.26,7992700,26.26
2013-12-19,26.12,26.31,25.87,26.24,4128400,26.24
2013-12-18,25.83,25.96,25.69,25.85,3384600,25.85
2013-12-17,26.15,26.19,25.89,25.89,2978400,25.89
2013-12-16,26.06,26.42,25.93,26.19,3197700,26.19
2013-12-13,26.31,26.44,25.92,26.15,3662200,26.15
2013-12-12,26.55,26.81,26.44,26.53,2618600,26.53
2013-12-11,26.70,26.90,26.56,26.67,2454500,26.67
2013-12-10,26.98,27.19,26.80,26.80,2334700,26.80
2013-12-09,27.10,27.45,26.98,27.10,3373600,27.10
2013-12-06,26.82,26.92,26.45,26.90,2623200,26.90
2013-12-05,27.03,27.40,26.76,26.81,2298800,26.81
2013-12-04,27.09,27.56,26.92,27.19,3731400,27.19
2013-12-03,27.89,27.95,27.12,27.12,4340600,27.12
2013-12-02,28.18,28.18,27.84,27.97,2180400,27.97
2013-11-29,28.15,28.38,28.11,28.26,2235300,28.26
2013-11-28,28.06,28.43,27.91,28.16,1902800,28.16
2013-11-27,28.10,28.47,27.91,28.06,3096000,28.06
2013-11-26,28.43,28.47,28.03,28.03,4283200,28.03
2013-11-25,28.82,28.90,28.31,28.43,3173900,28.43
2013-11-22,28.43,29.00,27.86,28.78,5508900,28.78
2013-11-21,27.41,28.58,27.22,28.39,6190100,28.39
2013-11-20,27.34,27.73,27.08,27.58,3280400,27.58
2013-11-19,27.74,28.34,27.17,27.48,5913200,27.48
2013-11-18,26.50,28.34,26.41,27.78,10342300,27.78
2013-11-15,25.41,26.25,25.31,26.23,5839400,26.23
2013-11-14,25.74,25.93,24.35,25.76,17842800,25.76
2013-11-13,26.42,27.30,26.40,27.15,4243600,27.15
2013-11-12,26.88,27.06,26.40,26.65,2873500,26.65
2013-11-11,27.00,27.11,26.72,26.95,2174300,26.95
2013-11-08,26.73,27.00,26.60,27.00,2775100,27.00
2013-11-07,27.58,27.68,26.75,26.85,5501000,26.85
2013-11-06,27.80,27.90,27.26,27.74,3237000,27.74
2013-11-05,27.08,27.76,27.06,27.67,3288000,27.67
2013-11-04,26.92,27.17,26.72,27.03,1480600,27.03
2013-11-01,27.25,27.30,26.82,26.96,1957800,26.96
2013-10-31,27.37,27.42,26.97,27.19,3347000,27.19
2013-10-30,27.42,27.83,27.26,27.50,2370000,27.50
2013-10-29,27.16,27.60,27.16,27.48,2570500,27.48
2013-10-28,27.19,27.39,27.03,27.25,2755700,27.25
2013-10-25,26.50,27.12,26.50,26.94,2942100,26.94
2013-10-24,26.70,26.78,26.45,26.63,2102700,26.63
2013-10-23,26.94,26.97,26.50,26.58,2659100,26.58
2013-10-22,27.03,27.29,26.71,27.12,2745600,27.12
2013-10-21,27.10,27.20,26.83,27.14,1939500,27.14
2013-10-18,27.54,27.56,26.97,27.20,5808900,27.20
2013-10-17,27.24,27.64,27.06,27.50,3598900,27.50
2013-10-16,27.05,27.64,27.01,27.41,4049500,27.41
2013-10-15,27.25,27.36,26.77,27.18,3675700,27.18
2013-10-14,26.75,27.42,26.70,27.12,3406400,27.12
2013-10-11,27.33,27.36,26.32,26.78,4492000,26.78
2013-10-10,27.44,27.45,26.72,27.36,4976000,27.36
2013-10-09,27.08,27.48,26.99,27.23,3504600,27.23
2013-10-08,27.05,27.47,26.42,27.07,5488200,27.07
2013-10-07,25.80,27.10,25.69,26.92,8423800,26.92
2013-10-04,24.98,25.63,24.96,25.58,3000800,25.58
2013-10-03,24.96,25.24,24.92,25.04,1324700,25.04
2013-10-02,25.15,25.17,24.76,25.00,3245400,25.00
2013-10-01,25.06,25.31,24.96,25.28,2835900,25.28
2013-09-30,25.20,25.48,24.99,25.14,2589600,25.14
2013-09-27,25.56,25.68,25.37,25.44,2450900,25.44
2013-09-26,25.02,25.66,24.99,25.55,4276000,25.55
2013-09-25,24.95,25.06,24.74,25.05,2537400,25.05
2013-09-24,24.53,25.09,24.52,24.96,2830500,24.96
2013-09-23,24.28,24.67,24.27,24.61,3736700,24.61
2013-09-20,24.69,25.28,24.33,24.69,11713100,24.69
2013-09-19,25.71,25.90,25.27,25.70,5589900,25.70
2013-09-18,25.44,25.68,25.28,25.45,2744700,25.45
2013-09-17,25.20,25.64,25.19,25.51,2780800,25.51
2013-09-16,25.84,25.93,25.16,25.27,3991200,25.27
2013-09-13,25.80,26.17,25.08,25.59,6218500,25.59
2013-09-12,24.15,26.47,23.97,25.89,14848800,25.89
