Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,58.10,58.20,57.73,58.09,2240900,58.09
2014-02-20,57.79,57.99,57.51,57.91,2523000,57.91
2014-02-19,58.24,58.65,58.12,58.34,1555300,58.34
2014-02-18,58.30,58.85,58.20,58.50,2012000,58.50
2014-02-17,58.30,58.43,58.20,58.30,1410200,58.30
2014-02-14,57.74,58.32,57.55,58.25,2578100,58.25
2014-02-13,57.25,57.77,56.93,57.70,2222200,57.70
2014-02-12,57.25,57.57,57.02,57.52,3213700,57.52
2014-02-11,56.23,57.21,56.05,57.21,2979300,57.21
2014-02-10,56.12,56.59,55.76,55.97,2339200,55.97
2014-02-07,56.11,56.23,55.41,56.07,3219100,56.07
2014-02-06,55.24,56.09,54.92,56.02,4797400,56.02
2014-02-05,55.74,55.93,54.86,55.28,4867200,55.28
2014-02-04,55.77,56.06,55.53,55.87,2899200,55.87
2014-02-03,56.65,57.07,55.94,55.94,3663000,55.94
2014-01-31,57.04,57.04,55.94,56.66,3165700,56.66
2014-01-30,57.27,57.28,56.38,56.93,2219200,56.93
2014-01-29,57.13,57.64,56.05,56.73,3918800,56.73
2014-01-28,57.49,57.57,56.21,56.47,4385800,56.47
2014-01-27,56.93,58.03,56.56,57.20,3760800,57.20
2014-01-24,57.90,58.15,56.76,56.78,4726400,56.78
2014-01-23,58.85,59.04,57.73,58.00,4781200,58.00
2014-01-22,59.76,59.96,58.81,58.94,3778000,58.94
2014-01-21,59.40,60.50,58.31,59.62,6222900,59.62
2014-01-20,60.72,60.97,60.30,60.65,1728200,60.65
2014-01-17,60.85,61.19,60.37,60.68,4641100,60.68
2014-01-16,61.28,61.29,60.55,60.80,2334100,60.80
2014-01-15,60.41,61.00,59.86,60.98,3750000,60.98
2014-01-14,60.60,60.66,60.06,60.36,3247000,60.36
2014-01-13,61.15,61.26,60.48,61.21,2581900,61.21
2014-01-10,62.51,62.90,60.41,61.00,7381400,61.00
2014-01-09,62.65,63.01,61.49,61.75,3569100,61.75
