Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,23.86,24.09,23.70,24.00,1487500,24.00
2014-02-20,23.25,23.74,23.06,23.63,1712900,23.63
2014-02-19,23.69,23.75,23.31,23.53,2213700,23.53
2014-02-18,24.01,24.11,23.74,23.80,1388200,23.80
2014-02-17,24.32,24.44,23.91,23.94,1333500,23.94
2014-02-14,23.67,24.30,23.66,24.30,2050400,24.30
2014-02-13,24.09,24.23,23.61,23.74,2336600,23.74
2014-02-12,24.30,24.50,24.19,24.24,1604700,24.24
2014-02-11,24.16,24.44,23.95,24.41,2217700,24.41
2014-02-10,24.30,24.36,23.83,24.06,2954000,24.06
2014-02-07,23.81,23.95,23.60,23.89,2489000,23.89
2014-02-06,22.56,23.62,22.52,23.60,4157700,23.60
2014-02-05,22.39,22.58,22.23,22.38,1737900,22.38
2014-02-04,22.35,22.53,22.17,22.47,1764400,22.47
2014-02-03,22.26,22.83,22.20,22.55,3349300,22.55
2014-01-31,22.02,22.39,21.74,22.09,2358900,22.09
2014-01-30,22.58,22.68,21.61,21.98,3956600,21.98
2014-01-29,22.79,22.96,22.20,22.59,2866500,22.59
2014-01-28,23.10,23.13,22.47,22.51,2620800,22.51
2014-01-27,22.95,23.08,22.73,22.97,2427700,22.97
2014-01-24,23.64,23.86,22.85,23.08,3406800,23.08
2014-01-23,23.83,24.05,23.50,23.81,2271200,23.81
2014-01-22,24.20,24.32,23.65,23.70,2354600,23.70
2014-01-21,24.56,24.75,24.09,24.14,2354600,24.14
2014-01-20,25.00,25.04,23.86,24.58,4191500,24.58
2014-01-17,25.85,26.10,24.12,24.63,8302100,24.63
2014-01-16,25.48,26.07,25.27,25.83,6102300,25.83
2014-01-15,24.82,25.55,24.45,25.42,6768700,25.42
2014-01-14,23.10,24.47,22.88,24.35,4344200,24.35
2014-01-13,23.23,23.38,23.04,23.22,1874200,23.22
2014-01-10,22.92,23.14,22.85,23.02,1436200,23.02
2014-01-09,23.33,23.45,22.76,22.90,3560200,22.90
2014-01-08,22.45,23.23,22.36,23.14,5786900,23.14
2014-01-07,22.21,22.35,21.89,21.94,1815600,21.94
2014-01-06,22.03,22.80,21.91,22.13,2478600,22.13
2014-01-03,21.72,22.12,21.70,22.08,1425300,22.08
2014-01-02,22.58,22.59,21.50,21.61,3509700,21.61
2014-01-01,22.38,22.38,22.38,22.38,000,22.38
2013-12-31,22.38,22.38,22.38,22.38,000,22.38
2013-12-30,21.99,22.44,21.92,22.38,2124400,22.38
2013-12-27,21.45,21.98,21.42,21.98,2356300,21.98
2013-12-26,21.38,21.38,21.38,21.38,000,21.38
2013-12-25,21.38,21.38,21.38,21.38,000,21.38
2013-12-24,21.38,21.38,21.38,21.38,000,21.38
2013-12-23,21.00,21.45,20.98,21.38,2080700,21.38
2013-12-20,20.50,21.05,20.45,21.03,4853100,21.03
2013-12-19,20.55,20.65,20.34,20.58,1923700,20.58
2013-12-18,20.55,20.57,20.18,20.40,1725800,20.40
2013-12-17,20.59,20.73,20.39,20.50,1722300,20.50
2013-12-16,20.19,20.64,20.09,20.38,1671900,20.38
2013-12-13,20.11,20.88,20.01,20.17,2721700,20.17
2013-12-12,20.50,20.65,19.89,20.00,2146500,20.00
2013-12-11,20.83,20.90,20.42,20.47,1722600,20.47
2013-12-10,20.92,20.99,20.81,20.82,1300200,20.82
2013-12-09,21.15,21.18,20.94,20.99,1575100,20.99
2013-12-06,20.99,21.08,20.68,21.01,2024300,21.01
2013-12-05,20.73,21.20,20.62,20.96,2543900,20.96
2013-12-04,20.55,20.94,20.22,20.80,2705700,20.80
2013-12-03,21.05,21.15,20.40,20.46,3216000,20.46
2013-12-02,20.70,21.22,20.41,21.10,3749400,21.10
2013-11-29,19.46,20.88,19.45,20.59,6253300,20.59
2013-11-28,19.09,19.48,19.03,19.41,1528900,19.41
2013-11-27,19.20,19.20,18.98,19.09,1172900,19.09
2013-11-26,19.28,19.33,18.95,19.15,2459400,19.15
2013-11-25,19.26,19.35,19.08,19.24,1560800,19.24
2013-11-22,19.55,19.55,18.75,19.11,3621700,19.11
2013-11-21,19.80,19.80,19.38,19.42,2311000,19.42
2013-11-20,19.91,19.98,19.64,19.75,2199700,19.75
2013-11-19,20.55,20.58,19.67,19.95,4354800,19.95
2013-11-18,20.98,21.16,20.50,20.63,2952600,20.63
2013-11-15,20.00,20.61,19.52,20.61,5565900,20.61
2013-11-14,21.40,21.85,19.33,19.69,8492000,19.69
2013-11-13,20.39,20.71,20.31,20.55,1868500,20.55
2013-11-12,20.90,20.99,20.40,20.47,2744300,20.47
2013-11-11,20.98,21.15,20.85,21.05,1674600,21.05
2013-11-08,20.72,21.15,20.55,20.81,3209000,20.81
2013-11-07,19.97,20.56,19.97,20.50,2751600,20.50
2013-11-06,20.31,20.68,19.74,20.05,3351900,20.05
2013-11-05,21.28,21.35,20.36,20.82,3303700,20.82
2013-11-04,19.44,21.28,19.42,20.98,6619300,20.98
2013-11-01,18.82,19.30,18.64,19.20,2623800,19.20
2013-10-31,19.03,19.05,18.72,18.79,1513000,18.79
2013-10-30,19.00,19.11,18.97,19.06,1260800,19.06
2013-10-29,18.86,19.08,18.86,19.00,1246900,19.00
2013-10-28,18.78,18.99,18.64,18.95,1579000,18.95
2013-10-25,18.38,18.76,18.38,18.64,1594300,18.64
2013-10-24,19.10,19.40,18.37,18.44,3713000,18.44
2013-10-23,18.83,19.03,18.81,19.03,1144200,19.03
2013-10-22,18.94,19.17,18.75,18.93,2543100,18.93
2013-10-21,18.75,19.07,18.60,18.91,2356500,18.91
2013-10-18,18.77,18.86,18.65,18.75,2242100,18.75
2013-10-17,19.08,19.12,18.71,18.73,1869600,18.73
2013-10-16,19.06,19.09,18.76,19.02,1663000,19.02
2013-10-15,19.04,19.25,18.99,19.10,1353600,19.10
2013-10-14,19.03,19.27,18.86,18.96,1496500,18.96
2013-10-11,18.65,19.49,18.52,19.05,4221000,19.05
2013-10-10,18.66,18.89,18.63,18.89,1764600,18.89
2013-10-09,18.90,18.93,18.61,18.62,1698900,18.62
2013-10-08,18.50,19.00,18.44,18.98,2348200,18.98
2013-10-07,18.90,18.90,18.42,18.69,1946400,18.69
2013-10-04,19.30,19.30,18.66,18.85,2604600,18.85
2013-10-03,19.20,19.67,18.80,19.15,3348900,19.15
2013-10-02,18.71,18.87,18.34,18.62,2862800,18.62
2013-10-01,19.08,19.19,18.82,19.01,2005000,19.01
2013-09-30,19.15,19.16,18.77,19.16,2428400,19.16
2013-09-27,20.04,20.14,19.22,19.31,3108100,19.31
2013-09-26,19.68,20.02,19.54,20.02,2089800,20.02
2013-09-25,19.70,19.77,19.22,19.59,4315700,19.59
2013-09-24,21.17,21.17,19.79,20.00,4210300,20.00
2013-09-23,20.68,21.17,20.47,21.17,2222000,21.17
2013-09-20,20.54,20.95,20.25,20.58,5412800,20.58
2013-09-19,21.70,21.79,20.20,20.67,5699800,20.67
2013-09-18,22.30,22.51,21.29,21.42,5171800,21.42
2013-09-17,22.88,22.89,21.25,22.58,5094800,22.58
2013-09-16,23.35,23.70,22.87,23.15,5145400,23.15
2013-09-13,21.37,22.83,21.18,22.59,4378600,22.59
2013-09-12,20.89,21.44,20.88,21.36,3267500,21.36
2013-09-11,21.14,21.20,20.62,20.93,3478100,20.93
2013-09-10,20.80,21.50,20.36,21.08,9370200,21.08
2013-09-09,19.05,20.67,19.02,20.34,7531900,20.34
2013-09-06,18.93,18.93,18.60,18.81,1825100,18.81
2013-09-05,19.20,19.49,18.31,18.98,4801000,18.98
2013-09-04,19.00,19.08,18.73,19.00,2581300,19.00
2013-09-03,18.80,19.32,18.44,18.57,3059600,18.57
2013-09-02,18.64,18.83,18.51,18.75,1463400,18.75
2013-08-30,18.70,18.75,18.25,18.36,2037000,18.36
2013-08-29,18.95,19.15,18.55,18.61,1848600,18.61
2013-08-28,19.20,19.32,18.60,18.88,2743400,18.88
2013-08-27,19.53,19.69,19.07,19.34,3785300,19.34
2013-08-26,18.50,19.80,18.49,19.26,5521900,19.26
2013-08-23,18.56,18.65,18.26,18.48,2614300,18.48
2013-08-22,19.00,19.33,18.59,18.66,3486400,18.66
2013-08-21,18.60,19.46,18.58,19.08,5510600,19.08
2013-08-20,18.52,19.09,18.02,18.93,3367700,18.93
2013-08-19,18.51,18.95,18.24,18.80,3663100,18.80
2013-08-16,18.00,18.61,17.85,18.43,3459300,18.43
2013-08-15,18.30,18.33,17.76,18.24,4747700,18.24
2013-08-14,18.35,18.61,18.17,18.30,2410500,18.30
2013-08-13,18.10,18.57,17.55,18.31,6248500,18.31
2013-08-12,18.56,18.85,18.13,18.58,4607400,18.58
2013-08-09,18.50,18.58,17.85,18.20,4370600,18.20
2013-08-08,17.40,18.20,17.30,17.84,8363600,17.84
2013-08-07,16.20,17.03,16.06,16.98,7628400,16.98
2013-08-06,16.70,17.00,15.02,15.92,17508400,15.92
2013-08-05,18.75,18.84,17.13,17.33,6313000,17.33
2013-08-02,18.99,19.24,18.16,18.73,4592200,18.73
2013-08-01,17.66,19.48,16.91,18.89,13070700,18.89
2013-07-31,20.40,20.87,17.95,18.52,19486300,18.52
2013-07-30,23.75,23.75,19.40,20.24,40597200,20.24
2013-07-29,26.89,27.53,26.51,26.54,4504100,26.54
2013-07-26,25.93,26.52,25.87,26.45,3433700,26.45
2013-07-25,25.81,25.89,25.00,25.73,3375000,25.73
2013-07-24,25.92,26.22,25.53,25.84,2240300,25.84
2013-07-23,25.94,26.11,25.75,25.90,1756600,25.90
2013-07-22,26.46,26.47,25.56,25.77,2451500,25.77
2013-07-19,25.90,26.50,25.82,26.27,3529500,26.27
2013-07-18,26.15,26.33,24.97,25.75,4011000,25.75
2013-07-17,26.68,26.70,26.07,26.25,2740600,26.25
2013-07-16,27.10,27.12,26.52,26.58,2865700,26.58
2013-07-15,26.98,27.18,26.92,27.00,1381800,27.00
2013-07-12,27.47,27.56,26.81,26.89,2480000,26.89
2013-07-11,27.41,27.91,27.27,27.42,3271900,27.42
2013-07-10,27.82,27.88,26.92,27.19,3577400,27.19
2013-07-09,27.55,28.51,27.49,28.31,2156300,28.31
2013-07-08,27.18,27.55,26.93,27.40,1189100,27.40
2013-07-05,27.79,27.82,26.90,27.01,2471700,27.01
2013-07-04,27.88,28.06,27.47,27.70,1972100,27.70
2013-07-03,27.92,27.92,27.50,27.67,1851300,27.67
2013-07-02,28.45,28.45,27.94,28.00,1696200,28.00
2013-07-01,28.50,28.66,28.21,28.32,1734300,28.32
