Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,95.55,95.70,94.38,94.85,1789800,94.85
2014-02-20,94.05,95.15,93.95,95.04,2172700,95.04
2014-02-19,94.69,95.61,94.42,95.18,1295100,95.18
2014-02-18,95.54,95.78,94.56,94.73,1487500,94.73
2014-02-17,95.00,95.60,94.82,95.44,751000,95.44
2014-02-14,94.42,95.75,94.42,95.06,1944900,95.06
2014-02-13,94.35,94.73,93.31,94.29,1838400,94.29
2014-02-12,94.62,95.49,94.10,94.41,2307900,94.41
2014-02-11,93.63,94.43,93.37,94.08,2076300,94.08
2014-02-10,93.39,94.08,92.98,93.24,1448600,93.24
2014-02-07,92.87,93.80,92.34,93.40,2259200,93.40
2014-02-06,92.13,93.10,91.39,92.97,2916000,92.97
2014-02-05,91.55,92.50,90.86,92.08,2057200,92.08
2014-02-04,92.15,92.97,91.66,91.84,2571500,91.84
2014-02-03,93.95,94.98,92.72,92.72,2874600,92.72
2014-01-31,93.97,93.97,91.61,93.96,4101700,93.96
2014-01-30,94.95,95.21,93.02,94.14,2852200,94.14
2014-01-29,96.80,96.88,93.76,94.87,4653500,94.87
2014-01-28,98.35,99.50,95.86,98.94,5531800,95.94
2014-01-27,96.68,97.90,96.42,97.41,3769200,94.46
2014-01-24,98.20,98.82,96.16,96.33,3879400,93.41
2014-01-23,98.35,99.29,97.61,97.99,2435900,95.02
2014-01-22,99.86,100.80,98.28,98.51,3203200,95.52
2014-01-21,100.20,100.55,99.87,99.97,1936700,96.94
2014-01-20,100.10,100.65,99.95,100.40,1234100,97.36
2014-01-17,99.69,100.55,99.62,100.55,3588700,97.50
2014-01-16,101.15,101.30,100.00,100.00,1984300,96.97
2014-01-15,99.00,101.35,98.83,101.35,3041400,98.28
2014-01-14,97.80,98.73,97.15,98.73,2025000,95.74
2014-01-13,98.26,98.67,97.67,98.52,1491100,95.53
2014-01-10,97.40,98.48,97.15,97.94,2315800,94.97
2014-01-09,98.15,98.97,97.71,97.76,1917200,94.80
2014-01-08,99.76,99.79,98.06,98.42,1951600,95.44
2014-01-07,99.06,99.69,98.45,99.69,1536400,96.67
2014-01-06,99.25,99.95,98.96,99.19,1266300,96.18
2014-01-03,98.85,99.73,97.64,99.50,1467800,96.48
2014-01-02,100.30,100.90,98.96,98.99,2872200,95.99
2014-01-01,99.29,99.29,99.29,99.29,000,96.28
2013-12-31,99.29,99.29,99.29,99.29,000,96.28
2013-12-30,100.25,100.45,99.25,99.29,1200300,96.28
2013-12-27,99.50,100.25,99.41,100.25,1493500,97.21
2013-12-26,99.06,99.06,99.06,99.06,000,96.06
2013-12-25,99.06,99.06,99.06,99.06,000,96.06
2013-12-24,99.06,99.06,99.06,99.06,000,96.06
2013-12-23,98.21,99.06,98.04,99.06,1528000,96.06
2013-12-20,97.80,98.41,97.50,98.01,4891500,95.04
2013-12-19,96.64,97.40,95.75,97.40,3045900,94.45
2013-12-18,95.06,95.64,94.87,95.20,2206500,92.31
2013-12-17,95.58,95.99,94.90,94.90,1894200,92.02
