Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,19.98,20.08,19.77,20.08,2737700,20.08
2014-02-20,20.05,20.10,19.78,19.84,4697700,19.84
2014-02-19,20.12,20.39,20.08,20.38,2517900,20.38
2014-02-18,20.17,20.25,20.01,20.11,1989900,20.11
2014-02-17,20.10,20.27,19.95,20.09,3297000,20.09
2014-02-14,20.24,20.72,20.02,20.45,5980100,20.45
2014-02-13,19.73,19.79,19.25,19.70,3080200,19.70
2014-02-12,19.17,19.76,19.17,19.74,3852400,19.74
2014-02-11,19.39,19.45,18.88,19.06,2839200,19.06
2014-02-10,19.29,19.48,19.19,19.30,1921500,19.30
2014-02-07,19.01,19.34,18.76,19.25,4521700,19.25
2014-02-06,18.47,18.78,18.35,18.78,3437500,18.78
2014-02-05,18.74,18.80,18.38,18.42,3722600,18.42
2014-02-04,18.80,18.99,18.71,18.90,3637200,18.90
2014-02-03,19.08,19.47,19.00,19.17,2901500,19.17
2014-01-31,19.03,19.09,18.66,19.09,2661600,19.09
2014-01-30,19.15,19.20,18.75,18.93,2146400,18.93
2014-01-29,19.27,19.45,18.75,19.16,3354900,19.16
2014-01-28,18.90,19.09,18.76,19.07,2474000,19.07
2014-01-27,18.62,18.92,18.31,18.77,3501300,18.77
2014-01-24,19.00,19.06,18.49,18.56,3424600,18.56
2014-01-23,18.94,19.24,18.84,18.98,2536100,18.98
2014-01-22,18.82,19.31,18.82,19.02,2454300,19.02
2014-01-21,18.95,19.03,18.62,18.74,2480700,18.74
2014-01-20,19.00,19.09,18.90,18.90,1937500,18.90
2014-01-17,18.78,19.56,18.78,19.16,5874200,19.16
2014-01-16,18.55,18.85,18.55,18.70,2219500,18.70
2014-01-15,18.49,18.68,18.40,18.53,2748500,18.53
2014-01-14,18.02,18.35,17.89,18.34,3201300,18.34
2014-01-13,17.75,18.28,17.69,18.21,4298500,18.21
2014-01-10,17.61,17.85,17.55,17.60,1995600,17.60
2014-01-09,17.80,17.86,17.57,17.61,2101800,17.61
2014-01-08,17.80,17.86,17.68,17.79,2173600,17.79
2014-01-07,17.56,17.78,17.43,17.71,2628700,17.71
2014-01-06,17.35,17.62,17.26,17.50,2496900,17.50
2014-01-03,17.02,17.47,17.02,17.39,1957700,17.39
2014-01-02,17.75,17.75,17.10,17.10,3105200,17.10
2014-01-01,17.69,17.69,17.69,17.69,000,17.69
2013-12-31,17.69,17.69,17.69,17.69,000,17.69
2013-12-30,17.42,17.75,17.42,17.69,2137500,17.69
2013-12-27,17.29,17.48,17.19,17.42,1647600,17.42
2013-12-26,17.17,17.17,17.17,17.17,000,17.17
2013-12-25,17.17,17.17,17.17,17.17,000,17.17
2013-12-24,17.17,17.17,17.17,17.17,000,17.17
2013-12-23,17.19,17.26,17.08,17.17,1631400,17.17
2013-12-20,17.27,17.27,17.06,17.20,4548200,17.20
2013-12-19,17.28,17.40,16.97,17.09,2956700,17.09
2013-12-18,16.90,17.12,16.78,17.07,2728300,17.07
2013-12-17,17.03,17.08,16.76,16.76,1755800,16.76
2013-12-16,16.85,17.19,16.69,16.99,2871000,16.99
2013-12-13,16.69,16.85,16.62,16.85,5323400,16.85
2013-12-12,16.86,17.03,16.58,16.64,3915700,16.64
2013-12-11,17.17,17.27,16.88,16.93,2677600,16.93
2013-12-10,17.23,17.39,17.16,17.20,3070900,17.20
2013-12-09,17.57,17.60,17.25,17.29,2814500,17.29
2013-12-06,17.26,17.62,17.15,17.47,5724800,17.47
2013-12-05,17.12,17.40,17.03,17.20,5206600,17.20
2013-12-04,17.30,17.31,16.73,17.17,7555500,17.17
2013-12-03,17.31,17.61,17.06,17.25,16260000,17.25
2013-12-02,18.10,18.28,17.43,17.64,12190600,17.64
2013-11-29,19.35,19.59,19.17,19.26,3383600,19.26
2013-11-28,19.24,19.49,19.10,19.41,2032200,19.41
2013-11-27,18.88,19.19,18.82,19.15,1868100,19.15
2013-11-26,18.89,18.97,18.78,18.85,2020200,18.85
2013-11-25,18.85,18.95,18.74,18.90,1798100,18.90
2013-11-22,18.68,18.81,18.53,18.77,1797500,18.77
2013-11-21,18.71,18.80,18.52,18.72,3344600,18.72
2013-11-20,19.60,19.60,18.77,19.08,5777000,19.08
2013-11-19,19.31,19.41,19.23,19.40,1537800,19.40
2013-11-18,19.19,19.46,19.18,19.41,1300900,19.41
2013-11-15,19.33,19.50,19.26,19.31,2005200,19.31
2013-11-14,19.29,19.45,19.25,19.32,1787700,19.32
2013-11-13,19.22,19.28,18.81,19.19,1904000,19.19
2013-11-12,19.36,19.42,19.22,19.30,1295300,19.30
2013-11-11,19.20,19.49,19.11,19.33,1236000,19.33
2013-11-08,19.00,19.24,18.91,19.22,1919500,19.22
2013-11-07,19.10,19.36,19.04,19.09,2770100,19.09
2013-11-06,19.00,19.19,18.97,19.06,1288400,19.06
2013-11-05,19.22,19.40,18.92,19.00,2387200,19.00
2013-11-04,18.92,19.21,18.84,19.14,1417300,19.14
2013-11-01,18.83,19.02,18.74,18.86,1474500,18.86
2013-10-31,18.85,19.03,18.75,18.83,2275800,18.83
2013-10-30,18.59,19.00,18.55,18.92,2281000,18.92
2013-10-29,18.30,18.49,18.25,18.45,2129800,18.45
2013-10-28,18.85,18.95,18.26,18.31,3281100,18.31
2013-10-25,19.19,19.28,18.93,19.00,1983100,19.00
2013-10-24,19.07,19.43,19.07,19.36,1950200,19.36
2013-10-23,19.03,19.14,18.92,18.98,1810400,18.98
2013-10-22,18.75,19.30,18.62,19.17,2287500,19.17
2013-10-21,18.83,19.27,18.73,19.22,2272700,19.22
2013-10-18,19.06,19.06,18.90,18.94,4383800,18.94
2013-10-17,18.89,19.09,18.81,18.98,3420600,18.98
2013-10-16,18.80,19.07,18.79,19.00,2221100,19.00
2013-10-15,18.60,18.95,18.58,18.89,3061500,18.89
2013-10-14,18.32,18.60,18.25,18.52,1954600,18.52
2013-10-11,18.50,18.55,18.32,18.38,1679200,18.38
2013-10-10,18.25,18.55,18.20,18.44,2392200,18.44
