Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,71.50,71.66,70.54,71.00,918500,69.50
2015-03-17,72.03,72.15,70.97,71.48,1024600,69.97
2015-03-16,70.99,72.69,70.90,72.24,1154600,70.71
2015-03-13,71.66,71.71,70.54,70.86,912300,69.36
2015-03-12,71.47,71.99,70.95,71.24,988900,69.73
2015-03-11,70.64,71.78,70.50,71.36,1505100,69.85
2015-03-10,71.47,71.81,70.18,70.42,1356500,68.93
2015-03-09,71.90,72.40,71.02,71.47,1253300,69.96
2015-03-06,71.14,73.73,71.11,71.97,2296500,70.45
2015-03-05,70.00,72.07,69.82,71.37,2374600,69.86
2015-03-04,68.40,69.24,68.40,69.00,1260300,67.54
2015-03-03,69.21,70.65,68.36,68.44,1302800,66.99
2015-03-02,69.38,70.10,68.24,68.88,900800,67.42
2015-02-27,68.96,69.50,68.52,69.43,984400,67.96
2015-02-26,68.40,69.09,68.24,68.89,752000,67.43
2015-02-25,69.02,69.32,67.82,68.23,886900,66.79
2015-02-24,69.21,69.39,68.42,68.92,1060900,67.46
2015-02-23,68.98,69.40,67.60,69.23,932700,67.77
2015-02-20,68.24,69.36,68.21,68.82,2680600,67.37
2015-02-19,64.66,68.86,63.76,67.87,5144300,66.44
2015-02-18,64.07,64.81,63.98,64.66,937900,63.29
2015-02-17,64.44,64.92,63.32,63.63,1400500,62.29
2015-02-16,64.88,65.55,64.56,65.03,603500,63.66
2015-02-13,65.50,65.85,64.74,64.88,1257600,63.51
2015-02-12,63.20,65.90,63.05,65.33,2126000,63.95
2015-02-11,62.80,63.53,62.72,63.51,889000,62.17
2015-02-10,62.24,62.71,61.59,62.71,900500,61.39
2015-02-09,63.12,63.45,62.06,62.41,913600,61.09
2015-02-06,63.85,64.50,63.27,63.39,910000,62.05
2015-02-05,63.50,63.85,62.72,63.65,821300,62.31
2015-02-04,63.63,63.85,62.43,63.83,1171300,62.48
2015-02-03,62.00,63.85,61.80,63.33,1545000,61.99
2015-02-02,61.59,61.89,61.01,61.79,1246300,60.48
2015-01-30,61.89,61.95,60.86,61.19,1342200,59.90
2015-01-29,61.09,61.43,60.26,61.43,862100,60.13
2015-01-28,62.05,62.80,60.56,61.40,1400400,60.10
