Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,158.70,158.95,156.55,157.90,1986400,151.05
2015-03-17,160.00,160.40,157.90,158.80,1994900,151.91
2015-03-16,156.00,160.45,156.00,159.95,2547800,153.01
2015-03-13,154.75,155.75,153.30,155.50,1681600,148.75
2015-03-12,154.10,154.50,153.10,154.50,1667400,147.80
2015-03-11,150.95,153.85,150.80,153.85,1970500,147.18
2015-03-10,150.95,151.65,149.80,150.65,1791600,144.11
2015-03-09,150.90,151.75,149.60,151.55,1532900,144.98
2015-03-06,151.00,152.30,150.85,151.25,1513800,144.69
2015-03-05,151.50,151.70,150.15,150.75,1733500,144.21
2015-03-04,149.95,151.05,148.00,151.05,1864900,144.50
2015-03-03,151.25,151.50,149.30,149.45,1830500,142.97
2015-03-02,149.95,151.25,149.40,151.25,2385400,144.69
2015-02-27,149.70,149.90,148.25,149.60,2029500,143.11
2015-02-26,145.40,149.20,143.90,149.05,3658100,142.58
2015-02-25,149.70,149.95,148.65,149.95,1581900,143.44
2015-02-24,148.25,149.70,148.00,149.20,1263400,142.73
2015-02-23,148.00,148.15,146.60,147.90,1155000,141.48
2015-02-20,146.00,146.60,144.60,146.60,2900500,140.24
2015-02-19,146.10,147.15,145.10,146.90,1436000,140.53
2015-02-18,147.75,147.90,144.80,146.45,1480700,140.10
2015-02-17,146.00,147.00,143.35,147.00,1634700,140.62
2015-02-16,148.60,148.65,146.55,147.10,939000,140.72
2015-02-13,149.05,149.55,148.10,148.60,1370600,142.15
2015-02-12,147.00,149.25,146.40,148.20,1581500,141.77
2015-02-11,146.80,147.70,145.70,146.45,1139700,140.10
2015-02-10,147.00,147.50,145.35,146.20,2004700,139.86
2015-02-09,148.45,148.55,145.75,146.90,1983200,140.53
2015-02-06,148.60,150.20,148.00,149.15,1500000,142.68
2015-02-05,148.50,149.20,147.70,148.75,1301400,142.30
2015-02-04,150.00,150.10,148.55,149.60,1625300,143.11
2015-02-03,149.10,151.45,148.75,150.20,2067600,143.68
2015-02-02,146.50,148.95,146.50,148.95,1549100,142.49
2015-01-30,148.70,148.95,145.60,146.40,2274900,140.05
2015-01-29,146.75,148.30,146.60,148.20,1333500,141.77
2015-01-28,148.00,148.20,145.90,147.75,1629600,141.34
2015-01-27,147.95,148.35,146.05,146.80,2234600,140.43
2015-01-26,146.95,149.20,146.50,148.70,1873000,142.25
2015-01-23,145.30,148.30,145.10,147.75,3348600,141.34
2015-01-22,143.50,145.20,142.20,144.90,2555700,138.61
2015-01-21,142.70,143.65,141.55,143.30,2175200,137.08
2015-01-20,142.85,143.15,141.75,142.50,1924700,136.32
