Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,142.55,144.10,141.65,142.70,2130800,142.70
2015-03-17,145.30,145.30,141.15,142.60,2343000,142.60
2015-03-16,142.20,145.85,141.60,145.25,2485400,145.25
2015-03-13,141.10,141.70,139.15,141.70,1851700,141.70
2015-03-12,141.10,141.50,139.90,140.25,1786300,140.25
2015-03-11,136.15,141.40,136.05,141.10,2397700,141.10
2015-03-10,136.45,136.75,134.05,136.15,1818900,136.15
2015-03-09,133.60,136.50,132.70,136.05,1716000,136.05
2015-03-06,133.00,134.50,132.55,133.65,1675600,133.65
2015-03-05,132.65,133.85,131.60,133.35,1870700,133.35
2015-03-04,131.75,132.50,129.85,132.50,1675300,132.50
2015-03-03,131.90,133.40,131.45,131.45,2118200,131.45
2015-03-02,132.25,132.85,131.25,131.90,1524800,131.90
2015-02-27,132.50,133.15,131.05,132.05,2484600,132.05
2015-02-26,128.80,132.80,127.30,132.00,2999100,132.00
2015-02-25,128.00,128.40,126.65,127.30,1714500,127.30
2015-02-24,126.30,128.35,125.80,128.00,1649500,128.00
2015-02-23,126.20,126.95,125.80,126.30,1651000,126.30
2015-02-20,124.80,125.90,123.55,124.50,3951800,124.50
2015-02-19,124.60,126.25,124.00,124.80,1961300,124.80
2015-02-18,126.00,126.05,124.55,125.05,1746000,125.05
2015-02-17,125.00,125.85,124.10,125.65,1622900,125.65
2015-02-16,126.55,126.75,125.10,125.40,970200,125.40
2015-02-13,126.40,127.90,125.90,126.45,1939500,126.45
2015-02-12,124.40,126.25,123.90,125.95,2279700,125.95
2015-02-11,124.15,124.75,122.65,123.60,1675600,123.60
2015-02-10,122.05,124.45,121.10,123.75,2182500,123.75
2015-02-09,124.10,124.55,120.70,121.60,3090800,121.60
2015-02-06,127.05,127.30,123.90,125.25,2473900,125.25
2015-02-05,128.65,129.30,126.45,127.80,2046100,127.80
2015-02-04,129.75,130.30,127.80,129.70,1997500,129.70
2015-02-03,129.45,131.70,128.90,129.65,2565600,129.65
2015-02-02,128.05,129.25,126.85,129.05,2134200,129.05
2015-01-30,129.40,129.80,126.85,128.05,2698500,128.05
2015-01-29,128.00,129.25,127.60,128.75,1741900,128.75
2015-01-28,129.30,129.90,126.75,129.20,2252300,129.20
2015-01-27,130.85,130.90,126.90,127.60,2403400,127.60
2015-01-26,127.15,129.55,127.10,129.45,2164600,129.45
2015-01-23,124.10,129.55,123.40,128.10,4095100,128.10
2015-01-22,122.90,123.70,120.85,123.10,3240000,123.10
2015-01-21,123.65,123.90,120.80,123.20,2574200,123.20
2015-01-20,124.70,125.25,122.85,123.80,2204900,123.80
2015-01-19,124.65,124.75,122.20,124.00,2001000,124.00
2015-01-16,119.50,124.45,118.55,123.70,3586300,123.70
2015-01-15,119.05,120.95,114.25,120.50,3916700,120.50
2015-01-14,116.50,119.90,116.35,116.85,2669000,116.85
2015-01-13,114.55,119.60,114.40,118.40,2580400,118.40
2015-01-12,113.50,116.10,113.35,115.30,1797000,115.30
2015-01-09,116.45,116.45,112.65,113.15,2636000,113.15
2015-01-08,112.25,116.90,112.15,116.45,3056200,116.45
2015-01-07,110.75,112.00,109.95,110.45,1909000,110.45
2015-01-06,109.80,112.90,108.35,110.45,2535800,110.45
2015-01-05,112.85,113.80,109.20,109.20,2964900,109.20
2015-01-02,114.05,115.40,112.15,113.00,1874200,113.00
2015-01-01,113.00,113.00,113.00,113.00,000,113.00
2014-12-31,113.00,113.00,113.00,113.00,000,113.00
2014-12-30,114.85,115.25,113.00,113.00,927800,113.00
2014-12-29,115.45,115.60,113.55,115.05,1118700,115.05
2014-12-26,115.20,115.20,115.20,115.20,000,115.20
2014-12-25,115.20,115.20,115.20,115.20,000,115.20
2014-12-24,115.20,115.20,115.20,115.20,000,115.20
2014-12-23,116.10,116.50,114.40,115.20,1449100,115.20
2014-12-22,114.35,116.60,114.30,115.40,1841600,115.40
2014-12-19,116.50,116.50,112.45,114.00,5279600,114.00
2014-12-18,114.35,115.40,113.85,115.00,3532900,115.00
2014-12-17,110.95,112.70,110.15,112.10,2553800,112.10
2014-12-16,109.90,112.55,107.45,112.30,4664500,112.30
2014-12-15,112.75,114.00,109.10,109.10,2953200,109.10
2014-12-12,115.10,115.55,112.80,112.80,2601700,112.80
2014-12-11,115.50,117.00,113.95,115.80,3179400,115.80
