Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,82.14,82.82,81.39,81.95,509600,81.25
2015-03-17,82.92,83.20,81.40,81.93,508600,81.23
2015-03-16,80.98,83.24,80.98,82.67,608100,81.96
2015-03-13,80.31,80.76,79.70,80.64,305200,79.95
2015-03-12,80.02,80.52,79.63,79.92,453600,79.24
2015-03-11,79.06,80.24,78.73,79.99,421700,79.31
2015-03-10,78.67,79.30,78.01,78.63,346200,77.96
2015-03-09,79.00,79.53,78.27,78.84,320500,78.17
2015-03-06,78.47,79.56,78.47,79.12,422900,78.44
2015-03-05,78.68,79.06,78.33,78.57,414200,77.90
2015-03-04,77.80,78.56,77.18,78.56,478800,77.89
2015-03-03,77.61,78.41,77.42,77.46,422800,76.80
2015-03-02,77.96,78.00,77.28,77.59,390700,76.93
2015-02-27,76.76,77.88,76.62,77.63,636500,76.97
2015-02-26,75.55,76.88,75.39,76.88,408400,76.22
2015-02-25,75.90,76.03,75.27,75.43,296000,74.79
2015-02-24,75.30,76.08,75.21,75.92,363500,75.27
2015-02-23,74.85,75.34,74.22,75.34,490400,74.70
2015-02-20,74.45,74.56,73.59,74.41,804000,73.77
2015-02-19,74.43,74.76,73.85,74.68,576900,74.04
2015-02-18,74.30,74.70,73.97,74.59,392600,73.95
2015-02-17,74.53,74.98,74.06,74.41,470600,73.77
2015-02-16,75.32,75.95,74.47,74.53,548600,73.89
2015-02-13,77.25,79.22,73.94,75.25,1296400,74.61
2015-02-12,76.72,77.46,76.27,77.08,382800,76.42
2015-02-11,76.88,77.12,76.43,76.48,226300,75.83
2015-02-10,76.33,77.03,75.70,76.56,315300,75.91
2015-02-09,76.94,77.13,76.10,76.33,422200,75.68
2015-02-06,77.43,77.50,76.94,77.26,223000,76.60
2015-02-05,77.17,78.10,77.17,77.55,419000,76.89
2015-02-04,77.00,77.50,76.22,77.50,451700,76.84
2015-02-03,78.67,78.89,76.99,76.99,577200,76.33
2015-02-02,77.67,78.72,77.56,78.28,479200,77.61
2015-01-30,79.11,79.18,77.46,77.80,579200,77.14
2015-01-29,77.30,78.46,77.30,78.46,505300,77.79
2015-01-28,78.08,78.35,76.96,77.71,529200,77.05
2015-01-27,78.69,79.22,77.47,77.72,529700,77.06
2015-01-26,78.33,79.16,77.88,78.69,605000,78.02
2015-01-23,76.60,78.38,76.47,78.33,865100,77.66
2015-01-22,75.66,76.54,75.05,76.51,744400,75.86
2015-01-21,75.20,75.90,75.00,75.59,485400,74.94
2015-01-20,75.74,75.75,74.47,75.13,420300,74.49
2015-01-19,75.07,75.66,74.86,75.29,427500,74.65
2015-01-16,73.95,75.29,73.70,75.07,881100,74.43
2015-01-15,72.50,74.67,72.15,73.95,1522900,73.32
2015-01-14,69.44,70.39,69.07,70.03,544100,69.43
2015-01-13,69.84,70.49,69.70,70.05,520300,69.45
2015-01-12,68.25,69.92,68.13,69.88,533900,69.28
2015-01-09,68.89,69.31,67.80,68.14,527800,67.56
2015-01-08,67.49,68.99,67.20,68.93,417800,68.34
2015-01-07,66.60,67.34,66.03,66.84,368000,66.27
2015-01-06,66.06,67.05,65.69,66.23,497700,65.66
2015-01-05,66.72,67.55,65.91,66.01,432700,65.45
2015-01-02,67.55,67.64,66.51,67.09,283800,66.52
2015-01-01,67.42,67.42,67.42,67.42,000,66.84
2014-12-31,67.42,67.42,67.42,67.42,000,66.84
2014-12-30,68.09,68.13,67.42,67.42,137100,66.84
2014-12-29,67.54,68.28,67.49,68.25,206300,67.67
2014-12-26,67.82,67.82,67.82,67.82,000,67.24
2014-12-25,67.82,67.82,67.82,67.82,000,67.24
2014-12-24,67.82,67.82,67.82,67.82,000,67.24
2014-12-23,68.11,68.21,67.50,67.82,210800,67.24
2014-12-22,68.11,68.43,67.86,67.92,291600,67.34
2014-12-19,67.41,68.27,67.24,67.99,701700,67.41
2014-12-18,67.40,67.40,65.49,67.25,492400,66.68
2014-12-17,66.07,66.96,65.50,66.58,486900,66.01
2014-12-16,66.01,66.55,65.30,66.45,588400,65.88
2014-12-15,67.66,68.04,65.97,66.01,455500,65.45
2014-12-12,68.54,68.64,67.57,67.57,581700,66.99
2014-12-11,69.74,70.22,68.99,68.99,640200,68.40
2014-12-10,70.52,71.17,70.05,70.06,424000,69.46
2014-12-09,70.96,71.44,70.04,70.15,493200,69.55
2014-12-08,71.37,71.59,70.97,71.26,330700,70.65
2014-12-05,70.80,71.40,70.47,71.40,328100,70.79
2014-12-04,71.04,71.45,70.14,70.24,653600,69.64
2014-12-03,70.39,71.44,69.72,71.20,661800,70.59
2014-12-02,71.88,71.88,71.16,71.50,344200,70.89
2014-12-01,71.45,71.91,71.37,71.56,276700,70.95
2014-11-28,71.31,71.58,70.72,71.58,440300,70.97
2014-11-27,70.65,71.29,70.52,71.20,285600,70.59
2014-11-26,70.35,70.78,70.10,70.48,283800,69.88
2014-11-25,70.34,70.89,70.19,70.33,422600,69.73
2014-11-24,70.30,70.56,69.77,70.46,404400,69.86
2014-11-21,69.49,70.63,69.48,70.59,745000,69.99
2014-11-20,68.73,69.59,68.65,69.51,544000,68.92
2014-11-19,68.77,68.81,68.10,68.74,463700,68.15
2014-11-18,67.91,68.86,67.91,68.75,542200,68.16
2014-11-17,67.48,68.18,67.41,67.93,563200,67.35
2014-11-14,68.00,68.13,67.54,67.77,404900,67.19
2014-11-13,67.69,68.19,67.59,67.85,490500,67.27
2014-11-12,67.48,67.86,67.33,67.38,543300,66.80
2014-11-11,67.54,67.79,67.10,67.50,661800,66.92
2014-11-10,67.03,67.71,67.03,67.54,391000,66.96
2014-11-07,67.90,68.27,66.82,67.17,768200,66.60
2014-11-06,66.25,68.62,66.07,68.23,2358300,67.65
2014-11-05,63.61,64.44,63.14,64.16,635900,63.61
2014-11-04,62.10,64.08,62.01,63.10,1063400,62.56
2014-11-03,64.34,64.75,63.82,63.82,461600,63.27
2014-10-31,64.92,64.99,64.28,64.56,528400,64.01
2014-10-30,64.07,64.07,63.02,63.99,431700,63.44
2014-10-29,63.88,64.18,63.72,63.91,480800,63.36
2014-10-28,63.10,63.47,62.99,63.38,315800,62.84
2014-10-27,63.24,63.34,62.32,62.69,405600,62.15
2014-10-24,63.27,63.35,62.57,62.72,451100,62.18
2014-10-23,63.00,63.66,61.96,63.52,501500,62.98
2014-10-22,62.68,63.51,62.57,63.41,480000,62.87
2014-10-21,61.90,62.82,61.67,62.74,525800,62.20
2014-10-20,62.70,63.06,61.99,62.25,425800,61.72
2014-10-17,61.87,62.62,61.57,62.52,794900,61.99
2014-10-16,62.28,62.36,60.78,61.59,1104300,61.06
2014-10-15,62.33,62.90,61.88,61.93,920100,61.40
2014-10-14,62.99,62.99,61.92,62.33,1199500,61.80
2014-10-13,63.61,63.80,63.10,63.22,566000,62.68
2014-10-10,64.07,64.50,63.15,64.09,947000,63.54
2014-10-09,65.29,65.67,64.50,64.61,495600,64.06
2014-10-08,64.50,64.83,64.10,64.70,584600,64.15
2014-10-07,64.94,65.05,64.50,64.54,445600,63.99
