Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,121.25,121.70,113.70,115.90,4162200,115.90
2015-03-17,123.30,123.75,120.10,121.00,2158300,121.00
2015-03-16,120.50,123.40,120.35,122.60,2002700,122.60
2015-03-13,119.70,120.10,117.20,119.95,1479400,119.95
2015-03-12,119.20,119.25,116.35,118.55,2214700,118.55
2015-03-11,113.80,119.65,113.80,119.35,2282100,119.35
2015-03-10,114.35,114.95,112.25,113.70,1559700,113.70
2015-03-09,115.00,115.20,114.00,114.35,1375600,114.35
2015-03-06,114.95,116.30,114.35,115.30,1314900,115.30
2015-03-05,114.05,114.70,113.15,114.50,1341300,114.50
2015-03-04,111.90,113.20,110.60,113.00,1947400,113.00
2015-03-03,114.20,114.75,110.95,111.00,1388500,111.00
2015-03-02,113.50,114.85,112.70,114.20,1501800,114.20
2015-02-27,111.90,113.00,110.45,113.00,1761200,113.00
2015-02-26,109.70,112.05,109.65,112.00,1319500,112.00
2015-02-25,110.80,111.00,109.10,109.65,1316700,109.65
2015-02-24,111.40,111.70,109.60,110.65,1396300,110.65
2015-02-23,112.45,112.95,110.90,111.65,1213300,111.65
2015-02-20,109.45,111.20,109.00,111.10,2282100,111.10
2015-02-19,108.35,109.65,107.85,109.45,1029500,109.45
2015-02-18,107.50,108.75,107.25,108.75,952700,108.75
2015-02-17,106.15,106.95,104.40,106.75,989400,106.75
2015-02-16,107.15,107.45,106.10,106.60,726500,106.60
2015-02-13,107.75,107.95,106.90,107.80,1154300,107.80
2015-02-12,104.75,107.50,104.75,106.70,1288500,106.70
2015-02-11,104.65,105.00,103.40,104.45,859000,104.45
2015-02-10,102.75,105.60,102.45,104.70,1595600,104.70
2015-02-09,105.50,105.75,101.45,102.50,1964700,102.50
2015-02-06,106.75,107.20,105.80,106.85,943300,106.85
2015-02-05,105.85,108.35,105.60,106.65,1389000,106.65
2015-02-04,105.80,106.65,104.65,106.65,1334000,106.65
2015-02-03,105.05,108.15,104.50,106.30,1987800,106.30
2015-02-02,103.65,104.65,102.75,104.25,1109500,104.25
2015-01-30,103.90,104.00,102.45,103.40,1644000,103.40
2015-01-29,102.20,103.25,101.20,102.95,1402000,102.95
2015-01-28,103.00,103.65,101.35,103.10,1465500,103.10
2015-01-27,103.05,104.65,101.25,102.00,2657300,102.00
2015-01-26,102.40,105.55,102.25,105.25,2068600,105.25
2015-01-23,99.27,103.30,99.16,102.80,3804900,102.80
2015-01-22,95.33,98.53,95.08,98.04,3261000,98.04
2015-01-21,94.49,95.25,93.66,94.92,2118700,94.92
2015-01-20,94.45,95.41,94.33,94.74,1851200,94.74
2015-01-19,94.05,95.11,93.35,94.22,1510500,94.22
2015-01-16,90.70,94.00,90.32,93.59,2767600,93.59
2015-01-15,89.68,91.29,86.88,91.07,2373000,91.07
2015-01-14,89.00,90.48,88.57,88.78,2081100,88.78
2015-01-13,88.65,91.35,88.59,90.63,1693700,90.63
2015-01-12,88.00,89.17,87.13,88.65,1932400,88.65
2015-01-09,89.00,90.05,87.48,88.16,1976700,88.16
2015-01-08,87.52,89.87,86.88,89.39,1837500,89.39
2015-01-07,86.40,87.05,85.27,86.29,1239300,86.29
2015-01-06,85.80,87.12,84.55,85.83,1841500,85.83
2015-01-05,87.18,87.23,84.55,85.08,2308100,85.08
2015-01-02,88.60,89.59,87.38,88.01,1532800,88.01
2015-01-01,89.77,89.77,89.77,89.77,000,89.77
2014-12-31,89.77,89.77,89.77,89.77,000,89.77
2014-12-30,90.70,90.79,89.60,89.77,599900,89.77
2014-12-29,90.80,91.07,89.06,91.01,759800,91.01
2014-12-26,90.83,90.83,90.83,90.83,000,90.83
2014-12-25,90.83,90.83,90.83,90.83,000,90.83
2014-12-24,90.83,90.83,90.83,90.83,000,90.83
2014-12-23,90.19,90.83,89.74,90.83,786700,90.83
2014-12-22,90.47,90.95,89.60,90.02,848000,90.02
2014-12-19,91.00,91.40,88.64,89.94,2719400,89.94
2014-12-18,89.00,90.33,88.50,90.33,1784100,90.33
2014-12-17,86.76,88.04,86.56,87.50,1489200,87.50
2014-12-16,85.36,88.06,83.26,88.06,3185400,88.06
2014-12-15,87.76,88.85,85.01,85.01,1724800,85.01
2014-12-12,89.70,89.95,87.85,87.98,1313400,87.98
2014-12-11,89.81,90.85,89.41,90.31,1414800,90.31
2014-12-10,89.70,90.55,89.29,89.79,1308700,89.79
2014-12-09,90.06,91.17,88.90,88.90,1861300,88.90
2014-12-08,92.11,92.37,91.52,91.60,777800,91.60
2014-12-05,90.70,92.49,90.10,92.35,1791000,92.35
2014-12-04,91.22,92.65,89.59,89.87,2128900,89.87
2014-12-03,91.55,91.99,90.25,91.25,1618500,91.25
2014-12-02,92.50,92.99,91.32,91.81,1475900,91.81
2014-12-01,91.10,92.23,90.75,92.23,1390900,92.23
2014-11-28,91.49,91.95,91.11,91.95,1057700,91.95
2014-11-27,90.73,91.59,90.16,91.49,1174100,91.49
2014-11-26,90.40,90.97,89.70,90.48,1161400,90.48
2014-11-25,89.78,90.60,89.50,90.35,1658000,90.35
2014-11-24,88.19,90.11,87.84,89.40,1704800,89.40
2014-11-21,85.40,88.42,85.32,88.16,3609200,88.16
2014-11-20,85.00,85.07,84.03,84.90,1094300,84.90
2014-11-19,84.40,85.33,83.80,84.75,1206600,84.75
2014-11-18,83.50,84.61,83.16,84.43,1232400,84.43
2014-11-17,82.16,83.70,81.73,83.46,1217600,83.46
2014-11-14,83.00,83.51,82.05,83.06,1318300,83.06
2014-11-13,83.06,83.76,82.30,82.72,1411300,82.72
2014-11-12,83.80,84.07,82.23,82.71,1640600,82.71
2014-11-11,83.72,84.58,83.32,84.31,1275800,84.31
2014-11-10,83.16,84.25,82.63,83.91,1139400,83.91
2014-11-07,85.08,85.22,82.67,83.33,1546000,83.33
2014-11-06,83.64,85.58,83.41,84.38,1864400,84.38
2014-11-05,83.00,84.76,83.00,83.85,1752300,83.85
2014-11-04,84.90,85.03,82.07,82.89,2954700,82.89
2014-11-03,85.40,85.98,84.96,85.27,1863400,85.27
2014-10-31,84.76,85.67,84.25,85.32,2141700,85.32
2014-10-30,83.65,84.47,81.20,83.03,1898600,83.03
2014-10-29,83.11,83.50,82.54,82.67,1095500,82.67
2014-10-28,81.85,82.64,81.59,82.42,1249000,82.42
2014-10-27,82.99,83.16,80.28,81.29,1435900,81.29
2014-10-24,83.02,83.54,81.85,82.29,1457300,82.29
2014-10-23,82.17,84.17,81.21,83.15,1993100,83.15
2014-10-22,82.12,82.93,81.66,82.59,2303400,82.59
2014-10-21,78.45,81.76,77.44,81.35,3029700,81.35
2014-10-20,80.50,80.69,78.82,79.61,1671200,79.61
2014-10-17,78.62,80.75,77.99,80.57,3401000,80.57
2014-10-16,77.73,78.50,74.74,77.85,3706300,77.85
2014-10-15,79.78,79.81,76.37,77.41,2906700,77.41
2014-10-14,78.90,80.86,78.12,79.47,2633900,79.47
2014-10-13,78.60,80.34,77.58,79.44,1928800,79.44
2014-10-10,81.65,82.01,79.10,79.53,2989300,79.53
2014-10-09,83.00,83.75,82.08,82.50,2699400,82.50
2014-10-08,81.94,82.34,80.73,81.24,1922100,81.24
2014-10-07,81.61,83.17,81.08,82.33,2319700,82.33
2014-10-06,85.43,85.54,81.65,81.98,2928600,81.98
2014-10-03,83.62,83.62,83.62,83.62,000,83.62
2014-10-02,84.98,86.35,83.57,83.62,2453500,83.62
2014-10-01,86.00,86.56,84.54,84.83,2116700,84.83
2014-09-30,84.67,85.30,83.94,85.02,1684200,85.02
2014-09-29,85.60,85.96,84.39,85.21,1260700,85.21
2014-09-26,85.31,86.20,84.86,85.64,1305500,85.64
2014-09-25,86.73,87.44,84.96,85.25,1758400,85.25
2014-09-24,85.25,86.82,84.63,86.79,2121900,86.79
2014-09-23,86.37,86.39,84.06,84.90,3092500,84.90
2014-09-22,88.30,88.32,86.30,86.77,2207700,86.77
2014-09-19,91.25,91.55,88.99,88.99,3012800,88.99
2014-09-18,90.20,90.55,89.57,90.38,1251600,90.38
2014-09-17,89.99,90.47,89.58,89.80,1194700,89.80
2014-09-16,89.48,89.72,88.51,89.27,805500,89.27
2014-09-15,89.05,90.29,88.95,89.49,915900,89.49
2014-09-12,90.18,90.22,88.86,89.43,829400,89.43
2014-09-11,90.95,90.96,89.02,90.00,1175600,90.00
2014-09-10,90.45,90.80,89.89,90.33,1132500,90.33
2014-09-09,91.71,92.31,90.64,91.24,1034000,91.24
2014-09-08,92.23,92.75,91.35,91.91,875500,91.91
2014-09-05,91.67,92.59,91.12,92.05,1376200,92.05
2014-09-04,89.86,91.80,89.02,91.54,1824400,91.54
2014-09-03,88.09,90.54,87.99,90.01,1720000,90.01
2014-09-02,88.60,89.16,87.82,87.99,1025700,87.99
2014-09-01,88.75,88.83,87.51,88.01,809700,88.01
2014-08-29,89.54,89.87,87.71,88.60,1415000,88.60
2014-08-28,89.79,89.97,88.56,89.28,1374100,89.28
2014-08-27,91.07,91.22,89.78,90.28,1045700,90.28
2014-08-26,91.26,91.50,90.12,91.14,1242900,91.14
2014-08-25,90.50,91.25,90.30,91.13,1024000,91.13
2014-08-22,89.93,90.18,88.55,89.06,1091000,89.06
