Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,12.55,12.57,12.24,12.35,11309700,12.35
2015-03-17,12.80,12.82,12.41,12.53,9354500,12.53
2015-03-16,12.60,12.93,12.60,12.78,14266800,12.78
2015-03-13,12.12,12.65,12.11,12.59,25020800,12.59
2015-03-12,11.99,12.15,11.63,11.99,15150500,11.99
2015-03-11,11.78,12.00,11.78,11.99,7942700,11.99
2015-03-10,11.86,11.93,11.68,11.78,7148800,11.78
2015-03-09,11.84,12.03,11.84,11.88,6663600,11.88
2015-03-06,11.73,11.98,11.67,11.86,7858300,11.86
2015-03-05,11.81,11.85,11.68,11.78,6686400,11.78
2015-03-04,11.86,11.93,11.66,11.76,7770100,11.76
2015-03-03,12.03,12.03,11.82,11.82,8102800,11.82
2015-03-02,12.03,12.13,11.94,11.99,6680000,11.99
2015-02-27,12.03,12.13,11.98,12.06,6902300,12.06
2015-02-26,11.82,12.10,11.82,12.05,9212700,12.05
2015-02-25,12.15,12.15,11.82,11.90,10267200,11.90
2015-02-24,12.15,12.24,12.02,12.19,9668800,12.19
2015-02-23,12.13,12.25,11.97,12.11,11924300,12.11
2015-02-20,11.74,11.98,11.69,11.96,13056200,11.96
2015-02-19,11.82,11.91,11.64,11.80,9605000,11.80
2015-02-18,11.71,11.94,11.71,11.82,7898300,11.82
2015-02-17,11.45,11.73,11.40,11.60,8851200,11.60
2015-02-16,11.55,11.89,11.53,11.69,11681400,11.69
2015-02-13,11.27,11.64,11.26,11.56,16476100,11.56
2015-02-12,11.22,11.33,11.07,11.24,16557800,11.24
2015-02-11,11.36,11.38,11.18,11.27,7548800,11.27
2015-02-10,11.12,11.36,11.01,11.30,9981500,11.30
2015-02-09,11.14,11.18,10.98,11.14,9267700,11.14
2015-02-06,11.12,11.42,11.10,11.25,9198800,11.25
2015-02-05,11.02,11.18,10.93,11.15,7644900,11.15
2015-02-04,11.15,11.25,10.99,11.17,9847500,11.17
2015-02-03,10.85,11.20,10.81,11.15,15032300,11.15
2015-02-02,10.65,10.78,10.47,10.78,10822000,10.78
2015-01-30,10.82,10.86,10.60,10.67,9114600,10.67
2015-01-29,10.72,10.80,10.50,10.74,11973400,10.74
2015-01-28,11.14,11.18,10.64,10.71,15638700,10.71
2015-01-27,11.28,11.32,10.94,11.05,12663200,11.05
2015-01-26,11.32,11.39,11.11,11.30,14222200,11.30
2015-01-23,11.56,11.92,11.31,11.45,20643800,11.45
2015-01-22,11.20,11.58,11.15,11.45,21932700,11.45
2015-01-21,11.13,11.27,10.84,11.15,15064800,11.15
2015-01-20,10.85,11.19,10.83,10.97,13580600,10.97
2015-01-19,10.61,10.89,10.51,10.77,10440600,10.77
2015-01-16,10.65,10.74,10.34,10.54,16125600,10.54
2015-01-15,10.69,10.78,10.37,10.70,17570000,10.70
2015-01-14,10.78,10.85,10.51,10.59,19978500,10.59
2015-01-13,10.60,11.17,10.57,11.04,17689400,11.04
2015-01-12,10.68,10.72,10.31,10.50,11087600,10.50
2015-01-09,10.85,10.96,10.52,10.62,12430300,10.62
2015-01-08,10.90,10.97,10.48,10.90,15226300,10.90
2015-01-07,10.85,10.96,10.66,10.73,8197600,10.73
2015-01-06,10.89,11.02,10.64,10.75,9233500,10.75
2015-01-05,11.15,11.31,10.82,10.85,9639700,10.85
2015-01-02,11.06,11.34,10.94,11.21,7560600,11.21
2015-01-01,10.98,10.98,10.98,10.98,000,10.98
2014-12-31,10.98,10.98,10.98,10.98,000,10.98
2014-12-30,10.95,11.10,10.89,10.98,3394100,10.98
2014-12-29,11.09,11.10,10.81,11.02,6453300,11.02
2014-12-26,11.10,11.10,11.10,11.10,000,11.10
2014-12-25,11.10,11.10,11.10,11.10,000,11.10
2014-12-24,11.10,11.10,11.10,11.10,000,11.10
2014-12-23,11.04,11.10,10.93,11.10,4567000,11.10
2014-12-22,10.95,11.05,10.93,11.01,4945600,11.01
2014-12-19,11.06,11.06,10.77,10.90,13751900,10.90
2014-12-18,11.07,11.08,10.90,10.98,11987000,10.98
2014-12-17,10.98,10.99,10.69,10.85,14473600,10.85
2014-12-16,10.98,11.10,10.56,11.09,19947200,11.09
2014-12-15,11.36,11.43,10.84,10.89,13098400,10.89
2014-12-12,11.35,11.49,11.31,11.35,10697000,11.35
2014-12-11,11.65,11.75,11.48,11.65,8001900,11.65
2014-12-10,11.87,11.89,11.53,11.65,9837100,11.65
2014-12-09,11.98,12.06,11.74,11.81,10624100,11.81
2014-12-08,12.20,12.32,12.10,12.11,9711600,12.11
2014-12-05,11.86,12.19,11.85,12.16,12775800,12.16
2014-12-04,12.17,12.20,11.68,11.76,15124800,11.76
2014-12-03,12.10,12.19,12.10,12.15,5830100,12.15
2014-12-02,12.12,12.21,11.93,12.06,8673100,12.06
2014-12-01,12.21,12.24,11.94,12.06,7696800,12.06
2014-11-28,12.31,12.38,12.22,12.31,5294200,12.31
2014-11-27,12.26,12.36,12.21,12.31,6003700,12.31
2014-11-26,12.23,12.32,12.15,12.26,7659300,12.26
2014-11-25,11.98,12.28,11.95,12.16,14614700,12.16
2014-11-24,11.90,12.09,11.90,11.93,10390200,11.93
2014-11-21,11.69,11.98,11.66,11.94,13603700,11.94
2014-11-20,11.74,11.74,11.40,11.67,9164300,11.67
2014-11-19,11.72,11.88,11.67,11.75,6092000,11.75
2014-11-18,11.68,11.84,11.57,11.69,7400100,11.69
2014-11-17,11.31,11.72,11.28,11.66,7490400,11.66
2014-11-14,11.42,11.51,11.30,11.41,7101300,11.41
2014-11-13,11.46,11.56,11.19,11.38,7747400,11.38
2014-11-12,11.64,11.65,11.28,11.37,9342100,11.37
2014-11-11,11.81,11.85,11.56,11.69,6784000,11.69
2014-11-10,11.97,11.99,11.61,11.73,10506900,11.73
2014-11-07,12.24,12.27,11.85,12.02,10548200,12.02
2014-11-06,12.30,12.47,11.76,12.16,20851000,12.16
2014-11-05,11.98,12.13,11.77,11.98,8100400,11.98
2014-11-04,12.15,12.27,11.72,11.81,9782700,11.81
2014-11-03,11.96,12.28,11.93,12.16,10659600,12.16
2014-10-31,11.96,12.15,11.70,12.02,11751200,12.02
2014-10-30,11.69,11.81,11.19,11.71,15902200,11.71
2014-10-29,12.13,12.21,11.51,11.56,13444600,11.56
