Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,74.89,75.27,74.11,74.78,770100,74.78
2015-03-17,75.09,75.39,74.28,74.83,684400,74.83
2015-03-16,73.68,75.63,73.46,75.02,624700,75.02
2015-03-13,73.16,73.65,72.60,73.61,521200,73.61
2015-03-12,72.62,73.21,72.25,73.00,419600,73.00
2015-03-11,71.37,72.62,71.13,72.34,462200,72.34
2015-03-10,71.27,71.78,70.68,70.95,522000,70.95
2015-03-09,71.51,71.51,70.81,71.27,447600,71.27
2015-03-06,72.00,72.37,71.68,72.01,422900,72.01
2015-03-05,70.92,72.07,70.80,71.83,646200,71.83
2015-03-04,70.35,70.62,69.11,70.61,949100,70.61
2015-03-03,71.53,71.72,69.83,69.96,925000,69.96
2015-03-02,72.61,73.24,71.84,71.92,1150900,71.92
2015-02-27,73.07,73.14,72.63,72.90,530100,72.90
2015-02-26,72.97,73.45,72.45,72.85,426100,72.85
2015-02-25,73.28,73.69,72.63,72.63,537300,72.63
2015-02-24,72.97,73.45,72.59,73.14,614400,73.14
2015-02-23,71.42,72.83,71.32,72.83,704700,72.83
2015-02-20,70.00,71.25,69.60,70.90,1128500,70.90
2015-02-19,68.75,70.31,66.75,70.00,1362100,70.00
2015-02-18,69.21,69.64,68.86,69.10,504900,69.10
2015-02-17,69.70,69.82,68.38,69.21,663600,69.21
2015-02-16,70.53,70.64,69.79,69.97,502900,69.97
2015-02-13,71.00,71.41,70.60,70.79,438300,70.79
2015-02-12,69.49,71.53,69.37,70.93,929800,70.93
2015-02-11,68.89,69.71,68.68,69.24,482600,69.24
2015-02-10,68.35,69.18,67.97,68.65,569600,68.65
2015-02-09,68.74,68.74,67.59,68.35,617300,68.35
2015-02-06,68.37,69.41,68.37,69.15,465400,69.15
2015-02-05,68.35,69.01,68.14,68.60,401500,68.60
2015-02-04,68.31,68.61,67.70,68.61,506000,68.61
2015-02-03,68.51,69.46,68.00,68.40,693300,68.40
2015-02-02,68.19,68.72,67.46,68.18,672400,68.18
2015-01-30,68.78,68.82,67.85,68.03,771700,68.03
2015-01-29,67.64,68.56,67.64,68.39,558300,68.39
2015-01-28,67.92,68.18,66.34,67.98,823000,67.98
2015-01-27,67.20,68.15,67.20,67.86,826300,67.86
2015-01-26,65.99,67.87,64.67,67.08,1112600,67.08
2015-01-23,66.40,66.97,66.09,66.52,1106100,66.52
2015-01-22,65.13,66.24,64.40,66.10,964200,66.10
2015-01-21,65.55,65.55,64.62,65.42,701000,65.42
2015-01-20,64.61,66.26,64.58,65.55,939300,65.55
2015-01-19,64.10,64.31,63.38,64.31,670800,64.31
2015-01-16,62.67,63.83,62.45,63.66,674500,63.66
2015-01-15,62.25,63.22,60.90,63.11,1018000,63.11
2015-01-14,62.20,62.64,61.28,61.63,705100,61.63
2015-01-13,61.80,63.40,61.46,62.70,1080700,62.70
2015-01-12,61.67,62.63,61.67,62.00,782600,62.00
2015-01-09,61.60,62.36,61.33,61.60,800100,61.60
2015-01-08,60.71,62.18,60.71,62.00,926100,62.00
2015-01-07,58.96,60.39,58.88,60.29,722800,60.29
2015-01-06,59.31,59.72,58.66,58.85,485900,58.85
2015-01-05,59.04,60.71,59.04,59.13,857200,59.13
2015-01-02,59.69,59.69,58.65,59.25,299400,59.25
2015-01-01,59.22,59.22,59.22,59.22,000,59.22
2014-12-31,59.22,59.22,59.22,59.22,000,59.22
2014-12-30,59.64,59.83,59.16,59.22,206300,59.22
2014-12-29,59.75,60.00,59.34,59.99,266900,59.99
2014-12-26,59.78,59.78,59.78,59.78,000,59.78
2014-12-25,59.78,59.78,59.78,59.78,000,59.78
2014-12-24,59.78,59.78,59.78,59.78,000,59.78
2014-12-23,59.77,59.84,59.26,59.78,332500,59.78
2014-12-22,59.50,59.99,59.30,59.79,431400,59.79
2014-12-19,59.48,59.79,58.89,59.25,1006300,59.25
2014-12-18,57.90,59.32,57.66,59.19,686300,59.19
2014-12-17,57.08,57.70,57.01,57.28,556100,57.28
2014-12-16,55.72,57.95,55.23,57.90,1115600,57.90
2014-12-15,56.93,57.14,55.56,55.60,610300,55.60
2014-12-12,58.63,58.65,56.85,56.85,728400,56.85
2014-12-11,58.35,59.45,58.31,58.85,828200,58.85
2014-12-10,58.04,58.83,58.04,58.47,412200,58.47
2014-12-09,58.31,58.88,57.83,57.91,654700,57.91
2014-12-08,59.00,59.26,58.65,59.01,347000,59.01
2014-12-05,58.57,59.14,58.48,59.09,351900,59.09
2014-12-04,59.07,59.40,58.21,58.26,566800,58.26
2014-12-03,58.99,59.18,58.80,59.06,419700,59.06
2014-12-02,58.34,58.91,58.26,58.91,491400,58.91
2014-12-01,58.35,58.99,58.13,58.23,556300,58.23
2014-11-28,58.49,58.90,58.38,58.75,532400,58.75
2014-11-27,58.15,58.83,58.10,58.56,415700,58.56
2014-11-26,57.83,58.45,57.78,58.32,679700,58.32
2014-11-25,57.54,58.17,57.39,57.77,902200,57.77
2014-11-24,57.00,57.74,56.87,57.55,1041100,57.55
2014-11-21,55.52,56.43,55.46,56.24,1054900,56.24
2014-11-20,55.43,55.45,54.84,55.32,340100,55.32
2014-11-19,55.67,55.99,55.23,55.32,425800,55.32
2014-11-18,55.22,55.79,55.19,55.67,536200,55.67
2014-11-17,54.44,55.34,54.44,55.18,371700,55.18
2014-11-14,55.18,55.55,54.80,54.99,595100,54.99
2014-11-13,55.22,55.45,54.76,55.15,523900,55.15
2014-11-12,55.71,55.71,54.89,55.04,622100,55.04
2014-11-11,55.85,56.29,55.67,55.74,617700,55.74
2014-11-10,55.23,55.55,55.04,55.55,487100,55.55
2014-11-07,55.10,55.81,55.10,55.21,699700,55.21
2014-11-06,54.45,55.50,54.45,55.17,814000,55.17
2014-11-05,54.26,54.81,54.26,54.72,687200,54.72
2014-11-04,53.98,54.90,53.80,53.95,991500,53.95
2014-11-03,54.16,54.41,53.69,53.74,879100,53.74
2014-10-31,54.99,54.99,54.21,54.51,962500,54.51
2014-10-30,54.10,54.56,53.29,54.11,1023800,54.11
2014-10-29,54.58,54.95,54.00,54.05,872600,54.05
2014-10-28,53.50,54.27,53.48,54.12,990600,54.12
2014-10-27,53.26,53.66,52.50,52.63,628300,52.63
