Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,30.53,30.73,30.05,30.66,7872100,30.66
2015-03-17,31.00,31.24,30.31,30.48,9584600,30.48
2015-03-16,30.20,30.98,30.19,30.92,9165700,30.92
2015-03-13,29.85,30.18,29.74,30.12,6383200,30.12
2015-03-12,29.78,30.07,29.57,29.69,6764000,29.69
2015-03-11,29.05,29.97,29.00,29.94,8812700,29.94
2015-03-10,29.47,29.52,28.82,29.19,6560200,29.19
2015-03-09,29.28,29.72,29.17,29.37,5276000,29.37
2015-03-06,29.26,29.74,29.17,29.49,5711000,29.49
2015-03-05,29.05,29.32,28.80,29.24,5835600,29.24
2015-03-04,28.91,29.10,28.58,28.93,5533900,28.93
2015-03-03,29.41,29.47,28.75,28.77,7104300,28.77
2015-03-02,29.15,29.64,29.15,29.42,6052300,29.42
2015-02-27,29.10,29.38,29.00,29.38,6871000,29.38
2015-02-26,28.94,29.39,28.93,29.17,6683000,29.17
2015-02-25,29.25,29.25,28.83,28.90,5518800,28.90
2015-02-24,28.95,29.38,28.67,29.25,7322700,29.25
2015-02-23,29.25,29.39,28.72,29.04,7698100,29.04
2015-02-20,28.70,29.24,28.59,29.17,11365000,29.17
2015-02-19,28.72,28.94,28.28,28.86,7918700,28.86
2015-02-18,28.68,29.00,28.65,28.89,7346600,28.89
2015-02-17,28.23,28.70,28.07,28.39,8340800,28.39
2015-02-16,28.24,28.90,28.23,28.82,8578600,28.82
2015-02-13,27.61,28.42,27.60,28.35,13013800,28.35
2015-02-12,26.58,27.57,26.51,27.50,12125000,27.50
2015-02-11,26.68,26.92,26.50,26.66,6534500,26.66
2015-02-10,26.79,27.16,26.43,26.77,8736800,26.77
2015-02-09,26.84,26.94,26.59,26.86,7938100,26.86
2015-02-06,27.11,27.14,26.75,27.08,7883100,27.08
2015-02-05,26.95,27.22,26.61,27.13,8671100,27.13
2015-02-04,27.30,27.42,26.86,27.13,9487500,27.13
2015-02-03,26.55,27.35,26.47,27.22,14431400,27.22
2015-02-02,25.80,26.36,25.41,26.36,10172800,26.36
2015-01-30,26.07,26.20,25.59,25.80,10766900,25.80
2015-01-29,25.75,26.10,25.28,25.80,13957800,25.80
2015-01-28,25.53,25.60,24.88,25.15,10970700,25.15
2015-01-27,26.30,26.30,25.10,25.36,14161900,25.36
2015-01-26,25.98,26.40,25.65,26.25,8106500,26.25
2015-01-23,26.77,26.77,25.99,26.12,14204100,26.12
2015-01-22,25.70,26.40,25.62,26.29,15247700,26.29
2015-01-21,25.34,25.68,24.79,25.60,8949000,25.60
2015-01-20,25.26,25.67,25.23,25.33,8029300,25.33
2015-01-19,24.72,25.31,24.61,25.05,6576300,25.05
2015-01-16,24.60,24.82,24.30,24.70,10086600,24.70
2015-01-15,24.34,24.93,23.60,24.75,13342000,24.75
2015-01-14,24.30,24.55,24.00,24.19,10260600,24.19
2015-01-13,23.97,24.84,23.91,24.67,9022700,24.67
2015-01-12,23.99,24.27,23.48,23.91,8146100,23.91
2015-01-09,24.42,24.67,23.65,23.91,9820400,23.91
2015-01-08,24.44,24.67,23.89,24.49,10744200,24.49
2015-01-07,24.14,24.32,23.90,24.05,5408000,24.05
2015-01-06,24.20,24.56,23.71,23.92,8201400,23.92
2015-01-05,25.20,25.38,24.16,24.23,10106600,24.23
2015-01-02,25.16,25.53,24.91,25.25,5898700,25.25
2015-01-01,24.99,24.99,24.99,24.99,000,24.99
2014-12-31,24.99,24.99,24.99,24.99,000,24.99
2014-12-30,25.20,25.25,24.99,24.99,2848600,24.99
2014-12-29,25.30,25.42,24.82,25.35,4380300,25.35
2014-12-26,25.35,25.35,25.35,25.35,000,25.35
2014-12-25,25.35,25.35,25.35,25.35,000,25.35
2014-12-24,25.35,25.35,25.35,25.35,000,25.35
2014-12-23,25.14,25.36,24.88,25.35,4152700,25.35
2014-12-22,25.10,25.38,24.93,25.06,5293700,25.06
2014-12-19,25.70,25.77,24.75,24.99,15411500,24.99
2014-12-18,24.68,25.42,24.68,25.36,10857600,25.36
2014-12-17,24.14,24.49,23.92,24.35,8604300,24.35
2014-12-16,24.10,24.51,23.25,24.45,14612800,24.45
2014-12-15,24.90,25.33,24.12,24.18,9057500,24.18
2014-12-12,25.33,25.47,24.87,24.90,6656300,24.90
2014-12-11,25.15,25.77,25.10,25.56,7314400,25.56
2014-12-10,25.55,25.73,25.22,25.33,5688000,25.33
2014-12-09,26.05,26.16,25.40,25.53,10181800,25.53
2014-12-08,26.85,26.89,26.52,26.52,4428700,26.52
2014-12-05,26.15,26.90,26.15,26.85,8824700,26.85
2014-12-04,26.70,26.75,25.78,25.91,9413700,25.91
2014-12-03,26.30,26.74,26.30,26.55,6175600,26.55
2014-12-02,25.90,26.33,25.83,26.24,6425600,26.24
2014-12-01,26.05,26.18,25.61,25.86,6538800,25.86
2014-11-28,26.44,26.47,26.07,26.28,5154600,26.28
2014-11-27,26.34,26.42,26.15,26.33,5322000,26.33
2014-11-26,26.28,26.43,26.15,26.26,9259500,26.26
2014-11-25,25.58,26.34,25.57,25.90,11179400,25.90
2014-11-24,25.00,25.77,24.99,25.43,10767000,25.43
2014-11-21,24.24,25.00,24.12,24.93,16019100,24.93
2014-11-20,24.41,24.43,23.76,24.16,6911900,24.16
2014-11-19,24.41,24.68,24.34,24.44,5382200,24.44
2014-11-18,24.25,24.54,24.13,24.34,5120700,24.34
2014-11-17,23.65,24.22,23.65,24.08,5108200,24.08
2014-11-14,23.80,23.93,23.65,23.89,4092000,23.89
2014-11-13,23.74,23.98,23.50,23.78,6253100,23.78
2014-11-12,24.08,24.12,23.58,23.68,7625000,23.68
2014-11-11,24.11,24.27,24.00,24.14,4671500,24.14
2014-11-10,24.05,24.30,23.93,24.16,6086200,24.16
2014-11-07,24.66,24.66,24.01,24.27,7960200,24.27
2014-11-06,24.70,25.19,24.36,24.67,9944500,24.67
2014-11-05,24.61,24.91,24.45,24.73,6077800,24.73
2014-11-04,24.80,25.04,24.22,24.42,7319400,24.42
2014-11-03,24.95,25.12,24.73,24.80,5444600,24.80
2014-10-31,24.80,25.01,24.47,24.88,9576300,24.88
2014-10-30,24.67,24.79,23.85,24.30,12137500,24.30
2014-10-29,25.35,25.39,24.50,24.65,10699300,24.65
2014-10-28,24.94,25.32,24.74,25.25,6617200,25.25
2014-10-27,25.95,26.00,24.51,24.73,11227500,24.73
2014-10-24,25.10,25.24,24.88,25.09,7564900,25.09
2014-10-23,24.80,25.25,24.57,25.13,7570400,25.13
2014-10-22,25.25,25.25,24.70,24.86,6715600,24.86
2014-10-21,24.06,24.89,23.94,24.80,10229900,24.80
2014-10-20,24.17,24.38,23.82,24.14,8174500,24.14
2014-10-17,23.57,24.09,23.42,24.09,14659300,24.09
2014-10-16,24.15,24.23,22.66,23.33,21651600,23.33
2014-10-15,25.03,25.03,23.82,24.08,12920600,24.08
2014-10-14,24.93,25.28,24.65,25.02,8849100,25.02
2014-10-13,25.00,25.39,24.89,25.15,8495200,25.15
2014-10-10,25.72,25.86,25.32,25.32,11100600,25.32
2014-10-09,26.48,26.50,25.70,25.93,10074400,25.93
2014-10-08,26.36,26.64,26.07,26.30,7394900,26.30
2014-10-07,27.11,27.11,26.45,26.57,7881700,26.57
2014-10-06,27.39,27.50,27.09,27.19,7803600,27.19
2014-10-03,26.84,26.84,26.84,26.84,000,26.84
2014-10-02,27.66,27.74,26.83,26.84,11101900,26.84
2014-10-01,27.65,28.01,27.65,27.72,5911500,27.72
2014-09-30,27.57,27.86,27.41,27.77,6090800,27.77
2014-09-29,27.85,27.89,27.28,27.49,5603100,27.49
2014-09-26,27.54,27.77,27.33,27.69,6455300,27.69
2014-09-25,27.83,28.03,27.42,27.59,6851200,27.59
2014-09-24,27.58,27.93,27.18,27.89,7194600,27.89
2014-09-23,28.07,28.08,27.43,27.56,7999400,27.56
2014-09-22,28.11,28.27,28.05,28.08,7083100,28.08
2014-09-19,28.07,28.30,27.89,28.30,29783000,28.30
2014-09-18,27.20,27.75,27.15,27.71,10268400,27.71
2014-09-17,27.00,27.15,26.91,27.08,4423300,27.08
2014-09-16,26.91,26.91,26.62,26.91,4873600,26.91
2014-09-15,26.83,27.08,26.75,26.94,4929900,26.94
2014-09-12,27.32,27.40,27.01,27.08,4569000,27.08
2014-09-11,27.40,27.47,26.99,27.27,6734600,27.27
2014-09-10,26.87,27.25,26.77,27.21,5907800,27.21
2014-09-09,27.05,27.26,26.84,26.95,5096900,26.95
2014-09-08,27.15,27.21,26.91,27.13,4925600,27.13
2014-09-05,27.07,27.31,26.90,27.05,7733200,27.05
2014-09-04,26.58,27.25,26.47,27.00,12901300,27.00
2014-09-03,26.16,26.91,26.11,26.66,11150200,26.66
2014-09-02,26.09,26.28,26.00,26.05,5008300,26.05
2014-09-01,26.19,26.19,25.70,25.98,4261000,25.98
2014-08-29,26.12,26.28,25.77,26.04,5772800,26.04
2014-08-28,26.50,26.61,25.98,26.11,8236000,26.11
