Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,29.38,29.38,28.77,29.15,4251900,29.15
2015-03-17,29.13,29.39,29.01,29.27,4645300,29.27
2015-03-16,29.25,29.52,29.21,29.43,6226100,29.43
2015-03-13,28.80,29.11,28.59,29.10,5717100,29.10
2015-03-12,29.68,29.74,28.50,28.70,9593200,28.70
2015-03-11,29.25,29.83,28.66,29.73,13690900,29.73
2015-03-10,30.19,30.44,29.97,30.25,3480500,30.25
2015-03-09,30.28,30.41,30.13,30.36,2821300,30.36
2015-03-06,30.39,30.54,30.33,30.37,2900900,30.37
2015-03-05,30.27,30.48,30.09,30.33,3498100,30.33
2015-03-04,29.85,30.11,29.55,30.07,3592600,30.07
2015-03-03,30.38,30.60,29.82,29.82,4343500,29.82
2015-03-02,30.40,30.77,30.39,30.40,3106300,30.40
2015-02-27,30.25,30.43,30.19,30.43,3405100,30.43
2015-02-26,30.25,30.29,30.07,30.27,2441300,30.27
2015-02-25,30.18,30.33,30.09,30.20,2613000,30.20
2015-02-24,30.00,30.17,29.80,30.15,3580700,30.15
2015-02-23,29.84,29.97,29.53,29.92,3263400,29.92
2015-02-20,29.05,30.23,29.01,29.64,6476100,29.64
2015-02-19,28.95,29.30,28.83,29.21,2901400,29.21
2015-02-18,28.86,29.19,28.77,29.07,2659800,29.07
2015-02-17,28.69,28.78,28.41,28.67,3474500,28.67
2015-02-16,29.01,29.22,28.96,28.98,2120800,28.98
2015-02-13,29.13,29.24,28.87,28.95,3198400,28.95
2015-02-12,27.85,29.02,27.77,28.93,5775900,28.93
2015-02-11,28.30,28.35,27.69,27.80,4475200,27.80
2015-02-10,28.16,28.34,27.94,28.28,3542900,28.28
2015-02-09,28.74,28.81,27.89,28.12,6179900,28.12
2015-02-06,29.30,29.30,28.86,28.97,3532900,28.97
2015-02-05,29.35,29.43,29.22,29.34,2636300,29.34
2015-02-04,29.36,29.54,29.25,29.53,3489900,29.53
2015-02-03,29.23,29.75,29.20,29.44,4337600,29.44
2015-02-02,28.71,29.17,28.63,29.17,3578300,29.17
2015-01-30,29.15,29.20,28.68,28.77,4446900,28.77
2015-01-29,28.50,28.97,28.44,28.92,2948400,28.92
2015-01-28,28.49,28.74,28.20,28.74,3739200,28.74
2015-01-27,29.07,29.11,28.44,28.49,6485300,28.49
2015-01-26,27.78,29.03,27.78,28.98,6022100,28.98
2015-01-23,28.25,28.25,27.58,27.84,10821000,27.84
2015-01-22,28.15,28.32,27.28,28.23,6116000,28.23
2015-01-21,28.06,28.24,27.77,28.20,4375900,28.20
2015-01-20,28.00,28.20,27.84,28.07,3850700,28.07
2015-01-19,27.67,28.08,27.58,27.98,4925700,27.98
2015-01-16,27.24,27.67,27.02,27.56,5089600,27.56
2015-01-15,27.10,27.33,26.27,27.33,5522500,27.33
2015-01-14,26.76,27.16,26.67,26.88,4194200,26.88
2015-01-13,26.43,27.25,26.37,27.19,4257200,27.19
2015-01-12,26.59,26.70,26.28,26.61,3472800,26.61
2015-01-09,26.81,26.94,26.35,26.47,3989400,26.47
2015-01-08,26.77,26.95,26.50,26.89,5291800,26.89
2015-01-07,26.34,26.58,26.15,26.31,3041000,26.31
2015-01-06,26.25,26.67,25.99,26.26,4350100,26.26
2015-01-05,27.00,27.14,26.11,26.11,4427700,26.11
2015-01-02,27.24,27.35,26.77,27.06,2487200,27.06
2015-01-01,27.05,27.05,27.05,27.05,000,27.05
2014-12-31,27.05,27.05,27.05,27.05,000,27.05
2014-12-30,27.35,27.40,27.05,27.05,1715100,27.05
2014-12-29,27.44,27.50,27.03,27.47,2214000,27.47
2014-12-26,27.44,27.44,27.44,27.44,000,27.44
2014-12-25,27.44,27.44,27.44,27.44,000,27.44
2014-12-24,27.44,27.44,27.44,27.44,000,27.44
2014-12-23,27.23,27.44,27.15,27.44,2131700,27.44
2014-12-22,26.99,27.44,26.94,27.26,3003700,27.26
2014-12-19,27.05,27.24,26.58,26.78,7285500,26.78
2014-12-18,26.49,26.89,26.38,26.89,5168700,26.89
2014-12-17,25.98,26.26,25.90,26.08,4286400,26.08
2014-12-16,25.85,26.32,25.47,26.32,7098800,26.32
2014-12-15,26.25,26.61,25.81,25.82,4887000,25.82
2014-12-12,26.58,26.76,26.20,26.22,4165700,26.22
2014-12-11,26.08,26.90,25.95,26.77,5548900,26.77
2014-12-10,26.46,26.72,26.23,26.26,3030100,26.26
2014-12-09,26.38,26.66,26.27,26.30,4089400,26.30
2014-12-08,26.86,26.94,26.75,26.75,1996100,26.75
2014-12-05,26.46,27.00,26.42,26.94,3301700,26.94
2014-12-04,26.89,27.15,26.19,26.30,5787700,26.30
2014-12-03,26.73,26.88,26.66,26.83,2497400,26.83
2014-12-02,26.75,26.81,26.50,26.67,2749800,26.67
2014-12-01,26.57,26.83,26.57,26.79,3103800,26.79
2014-11-28,26.50,26.72,26.43,26.72,4803700,26.72
2014-11-27,26.14,26.41,26.03,26.40,3409400,26.40
2014-11-26,26.00,26.13,25.86,26.02,4005500,26.02
2014-11-25,25.60,26.00,25.53,25.89,4530200,25.89
2014-11-24,25.32,25.72,25.30,25.58,3266700,25.58
2014-11-21,24.68,25.39,24.68,25.36,8035000,25.36
2014-11-20,24.65,24.65,24.28,24.57,2822800,24.57
2014-11-19,24.73,24.75,24.50,24.60,3273200,24.60
2014-11-18,24.51,24.75,24.42,24.71,2821700,24.71
2014-11-17,24.10,24.40,24.00,24.36,3230700,24.36
2014-11-14,24.57,24.60,24.25,24.32,2951700,24.32
2014-11-13,24.35,24.65,24.32,24.55,3511300,24.55
2014-11-12,25.00,25.11,24.23,24.31,6469800,24.31
2014-11-11,25.23,25.37,25.01,25.09,5273000,25.09
2014-11-10,24.85,25.17,24.73,25.07,3484600,25.07
2014-11-07,25.32,25.44,24.85,24.97,4578900,24.97
2014-11-06,24.93,25.72,24.93,25.28,5746600,25.28
2014-11-05,24.85,25.15,24.85,25.09,2954500,25.09
2014-11-04,24.69,25.05,24.58,24.65,3437400,24.65
2014-11-03,25.09,25.23,24.66,24.75,4370100,24.75
2014-10-31,24.81,25.15,24.58,25.06,6907700,25.06
2014-10-30,24.25,24.42,23.66,24.39,4945400,24.39
2014-10-29,24.20,24.43,24.06,24.12,3300700,24.12
2014-10-28,23.97,24.08,23.88,24.03,3026600,24.03
2014-10-27,24.17,24.18,23.59,23.76,4074200,23.76
2014-10-24,23.82,23.98,23.69,23.92,3551100,23.92
2014-10-23,23.51,23.99,23.38,23.92,4085800,23.92
2014-10-22,23.49,23.68,23.32,23.68,5126500,23.68
2014-10-21,22.67,23.40,22.63,23.40,6201500,23.40
2014-10-20,23.10,23.19,22.91,23.09,6892000,23.09
2014-10-17,22.52,23.01,22.30,23.00,9557500,23.00
2014-10-16,22.41,22.57,21.55,22.38,11161600,22.38
2014-10-15,23.08,23.17,22.30,22.30,6483900,22.30
2014-10-14,22.80,23.09,22.67,23.05,4150600,23.05
2014-10-13,22.92,23.23,22.75,23.04,4731300,23.04
2014-10-10,23.42,23.51,23.06,23.12,6104200,23.12
2014-10-09,23.92,24.10,23.50,23.62,4079400,23.62
2014-10-08,23.83,23.86,23.52,23.67,4138600,23.67
2014-10-07,24.40,24.41,23.94,24.01,4016000,24.01
2014-10-06,24.94,24.98,24.45,24.53,4043800,24.53
2014-10-03,24.45,24.45,24.45,24.45,000,24.45
2014-10-02,25.07,25.12,24.45,24.45,4843500,24.45
2014-10-01,25.32,25.64,25.03,25.10,2886200,25.10
2014-09-30,25.31,25.43,25.08,25.39,3761900,25.39
2014-09-29,25.37,25.47,24.99,25.23,2468900,25.23
2014-09-26,25.34,25.49,25.10,25.36,3034200,25.36
2014-09-25,25.55,25.78,25.30,25.37,3723700,25.37
2014-09-24,25.50,25.72,25.27,25.59,4372700,25.59
2014-09-23,25.98,26.02,25.58,25.65,3223300,25.65
2014-09-22,26.06,26.22,25.98,26.09,2576800,26.09
2014-09-19,26.06,26.58,26.02,26.15,9666500,26.15
2014-09-18,25.56,25.91,25.49,25.90,3307700,25.90
2014-09-17,25.33,25.64,25.26,25.52,3976900,25.52
