Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,16.92,16.97,16.65,16.75,12364900,16.75
2015-03-17,17.17,17.18,16.75,16.90,13479600,16.90
2015-03-16,17.16,17.26,17.07,17.18,12879300,17.18
2015-03-13,17.15,17.19,16.89,17.15,8656900,17.15
2015-03-12,16.79,17.13,16.74,17.12,12708800,17.12
2015-03-11,16.45,16.86,16.43,16.80,11539400,16.80
2015-03-10,16.75,16.77,16.27,16.42,11979600,16.42
2015-03-09,16.69,16.85,16.50,16.83,9871300,16.83
2015-03-06,16.76,16.83,16.59,16.76,9700100,16.76
2015-03-05,16.61,16.81,16.57,16.74,9963800,16.74
2015-03-04,16.42,16.72,16.28,16.72,9213300,16.72
2015-03-03,16.72,16.76,16.32,16.33,11784800,16.33
2015-03-02,16.71,16.74,16.56,16.67,11609100,16.67
2015-02-27,16.18,16.70,16.15,16.67,16003500,16.67
2015-02-26,16.20,16.22,15.82,16.19,13303500,16.19
2015-02-25,16.02,16.13,15.94,16.13,9978000,16.13
2015-02-24,15.81,16.14,15.72,16.09,9036300,16.09
2015-02-23,16.00,16.07,15.74,15.82,8289100,15.82
2015-02-20,15.68,15.91,15.57,15.91,17916000,15.91
2015-02-19,15.57,15.80,15.53,15.65,12283000,15.65
2015-02-18,15.81,15.86,15.52,15.60,9121300,15.60
2015-02-17,15.75,15.82,15.58,15.76,9667400,15.76
2015-02-16,15.92,15.99,15.84,15.84,5631800,15.84
2015-02-13,15.88,16.00,15.77,15.94,9325400,15.94
2015-02-12,15.64,15.95,15.61,15.81,12099800,15.81
2015-02-11,15.75,15.84,15.62,15.64,9949600,15.64
2015-02-10,15.53,15.89,15.47,15.77,13668400,15.77
2015-02-09,15.75,15.75,15.49,15.56,12384300,15.56
2015-02-06,15.82,15.98,15.74,15.90,10345900,15.90
2015-02-05,15.66,15.86,15.61,15.84,12280400,15.84
2015-02-04,15.62,15.79,15.45,15.79,12294700,15.79
2015-02-03,15.57,15.77,15.53,15.69,14125300,15.69
2015-02-02,15.32,15.56,15.20,15.56,11472600,15.56
2015-01-30,15.52,15.60,15.20,15.28,17230400,15.28
2015-01-29,15.07,15.49,15.05,15.49,12609900,15.49
2015-01-28,15.05,15.26,14.96,15.23,13067700,15.23
2015-01-27,15.17,15.23,14.92,15.00,11615300,15.00
2015-01-26,14.82,15.19,14.74,15.17,13044500,15.17
2015-01-23,14.71,14.97,14.68,14.90,20494000,14.90
2015-01-22,14.35,14.65,14.13,14.63,17328300,14.63
2015-01-21,14.24,14.35,14.10,14.35,14525400,14.35
2015-01-20,14.26,14.33,14.16,14.30,12029800,14.30
2015-01-19,14.06,14.27,13.99,14.19,9070000,14.19
2015-01-16,13.85,14.10,13.77,14.05,19069000,14.05
2015-01-15,13.89,13.97,13.38,13.91,19120100,13.91
2015-01-14,13.67,14.08,13.61,13.74,15232700,13.74
2015-01-13,13.57,13.90,13.56,13.85,11076700,13.85
2015-01-12,13.28,13.66,13.27,13.60,11333500,13.60
2015-01-09,13.53,13.70,13.22,13.27,12612400,13.27
2015-01-08,13.20,13.65,13.16,13.63,16521100,13.63
2015-01-07,12.71,13.12,12.65,12.99,14199400,12.99
2015-01-06,12.83,12.85,12.62,12.63,11648800,12.63
2015-01-05,13.11,13.24,12.77,12.78,12980000,12.78
2015-01-02,13.27,13.34,12.98,13.19,8774200,13.19
2015-01-01,13.25,13.25,13.25,13.25,000,13.25
2014-12-31,13.25,13.25,13.25,13.25,000,13.25
2014-12-30,13.48,13.48,13.25,13.25,4694000,13.25
2014-12-29,13.56,13.57,13.29,13.53,5873300,13.53
2014-12-26,13.60,13.60,13.60,13.60,000,13.60
2014-12-25,13.60,13.60,13.60,13.60,000,13.60
2014-12-24,13.60,13.60,13.60,13.60,000,13.60
2014-12-23,13.52,13.60,13.38,13.60,7091100,13.60
2014-12-22,13.36,13.62,13.35,13.50,9835900,13.50
2014-12-19,13.57,13.60,13.25,13.31,25844000,13.31
2014-12-18,13.19,13.46,13.03,13.46,18773600,13.46
2014-12-17,12.77,12.97,12.76,12.93,12685900,12.93
2014-12-16,12.57,12.85,12.40,12.85,24883000,12.85
2014-12-15,12.68,12.88,12.48,12.48,16576600,12.48
2014-12-12,12.97,13.03,12.70,12.70,10704200,12.70
2014-12-11,12.93,13.14,12.82,13.03,16853400,13.03
2014-12-10,13.26,13.27,12.76,12.91,21084400,12.91
2014-12-09,13.55,13.61,13.23,13.23,19097800,13.23
2014-12-08,13.73,13.88,13.68,13.70,10879600,13.70
2014-12-05,13.48,13.70,13.46,13.70,12458500,13.70
2014-12-04,13.39,13.53,13.27,13.33,14028600,13.33
2014-12-03,13.55,13.59,13.27,13.39,12374100,13.39
2014-12-02,13.59,13.65,13.44,13.48,11091900,13.48
2014-12-01,13.60,13.75,13.46,13.58,11606200,13.58
2014-11-28,13.48,13.70,13.47,13.70,17849800,13.70
2014-11-27,13.50,13.65,13.45,13.48,14646000,13.48
2014-11-26,13.37,13.56,13.36,13.52,13927700,13.52
2014-11-25,13.30,13.50,13.27,13.34,19418400,13.34
2014-11-24,13.21,13.38,13.19,13.31,18466200,13.31
2014-11-21,13.00,13.18,12.98,13.16,23206800,13.16
2014-11-20,12.90,13.00,12.80,13.00,12806600,13.00
2014-11-19,12.83,12.95,12.76,12.90,12380800,12.90
2014-11-18,12.65,12.81,12.65,12.78,9470500,12.78
2014-11-17,12.39,12.68,12.38,12.64,11841400,12.64
2014-11-14,12.54,12.61,12.42,12.52,11804300,12.52
2014-11-13,12.33,12.52,12.31,12.44,11783600,12.44
2014-11-12,12.48,12.53,12.28,12.31,13136500,12.31
2014-11-11,12.30,12.57,12.29,12.53,20384500,12.53
2014-11-10,11.98,12.27,11.97,12.26,10554500,12.26
2014-11-07,12.09,12.19,12.02,12.05,14948700,12.05
2014-11-06,11.98,12.15,11.91,12.03,13597000,12.03
2014-11-05,11.90,12.03,11.79,12.03,10469500,12.03
2014-11-04,11.90,11.96,11.75,11.77,10169400,11.77
2014-11-03,11.93,12.02,11.86,11.90,9026400,11.90
2014-10-31,11.93,12.02,11.81,12.02,17409200,12.02
2014-10-30,11.66,11.68,11.36,11.68,12815400,11.68
2014-10-29,11.59,11.74,11.57,11.62,11236900,11.62
2014-10-28,11.20,11.52,11.20,11.50,13280600,11.50
2014-10-27,11.30,11.30,11.00,11.10,11692000,11.10
2014-10-24,10.88,11.29,10.82,11.18,19766500,11.18
2014-10-23,10.77,10.93,10.74,10.90,19115700,10.90
2014-10-22,10.88,10.90,10.80,10.86,10638100,10.86
2014-10-21,10.59,10.85,10.56,10.85,13684400,10.85
2014-10-20,10.66,10.74,10.62,10.65,12551200,10.65
2014-10-17,10.44,10.68,10.37,10.68,27444600,10.68
2014-10-16,10.51,10.64,10.06,10.35,36595300,10.35
2014-10-15,10.81,10.81,10.49,10.49,19754700,10.49
2014-10-14,10.80,10.91,10.76,10.80,15440400,10.80
2014-10-13,10.74,10.94,10.69,10.90,13451500,10.90
2014-10-10,11.10,11.16,10.86,10.87,22641700,10.87
2014-10-09,11.35,11.38,11.15,11.18,10962200,11.18
2014-10-08,11.35,11.41,11.22,11.27,13057300,11.27
2014-10-07,11.53,11.54,11.38,11.39,12899900,11.39
2014-10-06,11.83,11.84,11.56,11.59,12733600,11.59
2014-10-03,11.60,11.60,11.60,11.60,000,11.60
2014-10-02,11.82,11.85,11.60,11.60,13727000,11.60
2014-10-01,11.94,11.99,11.84,11.86,7370000,11.86
2014-09-30,11.96,12.04,11.88,12.00,9331900,12.00
2014-09-29,11.94,11.99,11.84,11.91,7863700,11.91
2014-09-26,11.90,12.00,11.86,11.96,8511600,11.96
2014-09-25,12.15,12.24,11.87,11.91,12169000,11.91
2014-09-24,11.98,12.18,11.93,12.16,10127400,12.16
2014-09-23,12.07,12.10,11.92,11.93,9264900,11.93
2014-09-22,12.08,12.25,12.07,12.12,10379200,12.12
2014-09-19,11.90,12.11,11.84,12.09,31546500,12.09
2014-09-18,11.55,11.67,11.48,11.65,8809000,11.65
2014-09-17,11.65,11.68,11.55,11.57,9831600,11.57
2014-09-16,11.56,11.60,11.48,11.57,7531400,11.57
2014-09-15,11.49,11.61,11.49,11.56,5875000,11.56
2014-09-12,11.66,11.67,11.49,11.56,6358000,11.56
2014-09-11,11.65,11.69,11.56,11.65,7448600,11.65
2014-09-10,11.70,11.73,11.52,11.62,9188700,11.62
2014-09-09,11.74,11.86,11.73,11.73,5677600,11.73
2014-09-08,11.75,11.77,11.70,11.74,5454900,11.74
2014-09-05,11.70,11.77,11.62,11.73,8401100,11.73
2014-09-04,11.59,11.74,11.52,11.68,11914600,11.68
2014-09-03,11.57,11.72,11.55,11.64,10925500,11.64
2014-09-02,11.55,11.63,11.52,11.56,7351500,11.56
2014-09-01,11.41,11.48,11.39,11.47,6285300,11.47
2014-08-29,11.45,11.47,11.27,11.38,10657900,11.38
2014-08-28,11.49,11.53,11.35,11.43,7884200,11.43
2014-08-27,11.36,11.58,11.36,11.53,11451100,11.53
2014-08-26,11.31,11.40,11.23,11.39,7611200,11.39
2014-08-25,11.32,11.35,11.23,11.35,6160500,11.35
2014-08-22,11.30,11.31,11.12,11.19,7607600,11.19
2014-08-21,11.16,11.31,11.12,11.31,7616900,11.31
2014-08-20,11.14,11.17,11.03,11.15,7509300,11.15
2014-08-19,11.32,11.32,11.12,11.19,6704300,11.19
2014-08-18,11.24,11.30,11.13,11.24,6927200,11.24
2014-08-15,11.21,11.43,11.08,11.11,11552300,11.11
2014-08-14,11.27,11.31,11.15,11.24,6521100,11.24
2014-08-13,11.27,11.36,11.24,11.33,7825000,11.33
2014-08-12,11.32,11.34,11.14,11.16,7908800,11.16
2014-08-11,11.13,11.35,11.06,11.34,12218700,11.34
2014-08-08,11.17,11.24,11.02,11.09,15338700,11.09
2014-08-07,11.51,11.60,11.34,11.36,10157900,11.36
2014-08-06,11.39,11.60,11.23,11.53,15669900,11.53
2014-08-05,11.88,11.98,11.82,11.86,5880600,11.86
2014-08-04,12.12,12.14,11.82,11.88,11573500,11.88
2014-08-01,12.50,12.50,12.07,12.09,21022000,12.09
2014-07-31,12.31,12.34,12.05,12.10,12471900,12.10
2014-07-30,12.36,12.41,12.27,12.27,6654600,12.27
2014-07-29,12.20,12.40,12.19,12.34,7350300,12.34
2014-07-28,12.12,12.24,12.08,12.19,5492400,12.19
2014-07-25,12.24,12.30,12.11,12.14,6532100,12.14
2014-07-24,12.19,12.26,12.10,12.22,5599000,12.22
2014-07-23,12.22,12.30,12.14,12.16,5694100,12.16
2014-07-22,12.15,12.27,12.06,12.26,6254700,12.26
2014-07-21,12.12,12.16,12.06,12.06,6437600,12.06
2014-07-18,12.19,12.22,12.03,12.12,13589600,12.12
2014-07-17,12.37,12.39,12.21,12.23,6851900,12.23
2014-07-16,12.19,12.43,12.19,12.43,6567900,12.43
2014-07-15,12.26,12.31,12.16,12.16,7441300,12.16
2014-07-14,12.19,12.27,12.15,12.27,6264200,12.27
2014-07-11,12.14,12.17,12.05,12.07,6637500,12.07
2014-07-10,12.19,12.24,12.05,12.07,8475600,12.07
2014-07-09,12.11,12.21,12.03,12.20,7168600,12.20
2014-07-08,12.35,12.39,12.19,12.19,7273000,12.19
2014-07-07,12.47,12.52,12.34,12.34,6802400,12.34
2014-07-04,12.57,12.61,12.39,12.47,5677800,12.47
2014-07-03,12.48,12.60,12.41,12.59,10676300,12.59
2014-07-02,12.85,12.90,12.47,12.48,16871700,12.48
2014-07-01,12.84,12.97,12.81,12.90,6351200,12.90
2014-06-30,12.81,12.91,12.74,12.80,8012000,12.80
2014-06-27,12.82,12.94,12.78,12.78,8543800,12.78
2014-06-26,12.84,12.95,12.77,12.77,11266900,12.77
2014-06-25,12.70,12.86,12.69,12.80,11146200,12.80
2014-06-24,12.68,12.80,12.61,12.75,6959900,12.75
2014-06-23,12.71,12.73,12.56,12.68,5994900,12.68
2014-06-20,12.80,12.86,12.73,12.73,24528700,12.73
2014-06-19,12.72,12.81,12.68,12.80,12908100,12.80
2014-06-18,12.59,12.66,12.54,12.66,9063300,12.66
2014-06-17,12.57,12.64,12.53,12.59,8026600,12.59
2014-06-16,12.64,12.64,12.56,12.57,7012100,12.57
2014-06-13,12.60,12.73,12.56,12.66,8413200,12.66
2014-06-12,12.62,12.69,12.56,12.62,8507200,12.62
2014-06-11,12.68,12.69,12.56,12.59,8290900,12.59
2014-06-10,12.63,12.73,12.60,12.71,7352200,12.71
2014-06-09,12.62,12.69,12.60,12.69,5308600,12.69
2014-06-06,12.55,12.62,12.47,12.60,10132000,12.60
2014-06-05,12.58,12.60,12.41,12.49,19410500,12.49
2014-06-04,12.32,12.41,12.27,12.41,9111700,12.41
