Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,13.85,14.09,13.70,13.98,13021200,13.48
2015-03-17,13.77,13.86,13.68,13.81,9815500,13.32
2015-03-16,13.59,13.81,13.38,13.74,13857100,13.25
2015-03-13,13.78,13.84,13.39,13.53,13380200,13.05
2015-03-12,14.03,14.05,13.75,13.77,13454600,13.27
2015-03-11,13.84,14.14,13.81,14.05,11038800,13.55
2015-03-10,14.11,14.12,13.78,13.87,12185500,13.37
2015-03-09,13.90,14.07,13.81,14.03,7944900,13.53
2015-03-06,14.23,14.27,13.99,14.00,11868500,13.50
2015-03-05,13.92,14.35,13.90,14.29,11549400,13.78
2015-03-04,14.10,14.18,13.87,14.07,9391800,13.57
2015-03-03,14.24,14.27,14.02,14.03,8818700,13.53
2015-03-02,14.38,14.43,14.12,14.19,8961900,13.68
2015-02-27,14.15,14.44,14.12,14.44,10068000,13.93
2015-02-26,14.27,14.30,14.03,14.15,8762800,13.64
2015-02-25,13.99,14.40,13.98,14.24,13750000,13.74
2015-02-24,13.55,14.01,13.51,13.90,14635400,13.40
2015-02-23,13.45,13.51,13.31,13.51,6519600,13.03
2015-02-20,13.26,13.39,13.20,13.34,12188600,12.86
2015-02-19,13.36,13.37,13.21,13.31,8223600,12.83
2015-02-18,13.60,13.65,13.39,13.44,7928400,12.96
2015-02-17,13.38,13.61,13.23,13.57,8817000,13.09
2015-02-16,13.31,13.50,13.23,13.44,6889400,12.96
2015-02-13,13.28,13.40,13.17,13.36,7862300,12.88
2015-02-12,13.00,13.35,12.95,13.25,9164000,12.78
2015-02-11,13.02,13.14,12.95,13.06,6979500,12.60
2015-02-10,12.90,12.99,12.73,12.99,8433900,12.53
2015-02-09,13.05,13.07,12.79,12.86,11500300,12.40
2015-02-06,13.16,13.18,13.07,13.14,6130000,12.67
2015-02-05,13.18,13.22,12.90,13.15,12122500,12.68
2015-02-04,13.30,13.34,13.18,13.28,9951400,12.81
2015-02-03,13.99,14.11,13.15,13.38,20776400,12.90
2015-02-02,13.75,13.92,13.66,13.92,7731200,13.42
2015-01-30,14.00,14.00,13.65,13.73,9652700,13.23
2015-01-29,13.74,13.95,13.69,13.93,8261100,13.43
2015-01-28,13.70,13.80,13.49,13.75,6703400,13.26
2015-01-27,13.72,13.80,13.54,13.61,7164400,13.12
2015-01-26,13.51,13.73,13.48,13.71,6895600,13.22
2015-01-23,13.51,13.64,13.41,13.60,13465300,13.11
2015-01-22,13.31,13.46,13.18,13.45,11946100,12.97
2015-01-21,13.27,13.34,13.09,13.31,8901400,12.83
2015-01-20,13.20,13.30,13.10,13.28,7738200,12.81
2015-01-19,13.23,13.24,13.04,13.20,6626000,12.73
2015-01-16,12.88,13.17,12.80,13.11,13932800,12.64
2015-01-15,12.72,12.90,12.35,12.89,15285400,12.42
2015-01-14,12.60,12.84,12.50,12.59,16198900,12.14
2015-01-13,12.95,12.99,12.71,12.78,16910800,12.33
2015-01-12,13.10,13.15,12.84,13.06,8808600,12.60
2015-01-09,13.46,13.48,12.98,13.05,12225400,12.58
2015-01-08,13.43,13.56,13.16,13.54,10845300,13.06
2015-01-07,13.32,13.39,13.20,13.27,7411100,12.80
2015-01-06,13.35,13.49,13.04,13.27,10534800,12.79
2015-01-05,13.90,14.06,13.30,13.30,12352400,12.82
2015-01-02,14.30,14.37,13.93,14.02,7281400,13.52
2015-01-01,14.19,14.19,14.19,14.19,000,13.69
2014-12-31,14.19,14.19,14.19,14.19,000,13.69
2014-12-30,14.41,14.44,14.19,14.19,3792300,13.69
2014-12-29,14.40,14.46,14.10,14.45,4441500,13.94
2014-12-26,14.47,14.47,14.47,14.47,000,13.95
2014-12-25,14.47,14.47,14.47,14.47,000,13.95
2014-12-24,14.47,14.47,14.47,14.47,000,13.95
2014-12-23,14.30,14.47,14.20,14.47,4800000,13.95
2014-12-22,14.40,14.49,14.24,14.31,5746700,13.80
2014-12-19,14.50,14.57,14.27,14.35,20240300,13.84
2014-12-18,14.15,14.42,14.07,14.42,13912800,13.90
2014-12-17,13.72,13.94,13.61,13.87,10874500,13.37
2014-12-16,13.66,13.85,13.27,13.83,18125500,13.34
2014-12-15,14.10,14.20,13.54,13.55,12533800,13.07
2014-12-12,14.47,14.52,14.11,14.11,11858000,13.61
2014-12-11,14.77,14.88,14.56,14.59,11573900,14.06
2014-12-10,14.66,14.94,14.66,14.77,7321000,14.24
2014-12-09,14.90,15.05,14.64,14.64,12463600,14.11
2014-12-08,15.31,15.41,15.15,15.15,7866000,14.61
2014-12-05,15.16,15.46,15.15,15.46,10777100,14.91
2014-12-04,15.10,15.28,14.86,15.02,13821700,14.48
2014-12-03,14.90,15.10,14.85,15.06,11883700,14.52
2014-12-02,14.85,15.01,14.56,14.80,16468800,14.27
2014-12-01,14.93,15.15,14.68,14.86,24890400,14.33
2014-11-28,14.35,14.38,14.11,14.26,7764200,13.75
2014-11-27,14.20,14.31,14.07,14.30,6798600,13.78
2014-11-26,13.97,14.29,13.97,14.18,12084800,13.67
2014-11-25,13.52,14.07,13.52,13.94,15673200,13.44
2014-11-24,13.48,13.60,13.45,13.52,7650600,13.04
2014-11-21,13.27,13.56,13.21,13.52,16799300,13.04
2014-11-20,13.14,13.17,12.81,13.03,8775100,12.57
2014-11-19,13.17,13.28,13.03,13.14,6522500,12.67
2014-11-18,12.95,13.14,12.94,13.13,6322100,12.66
2014-11-17,12.67,12.95,12.58,12.91,7232700,12.45
2014-11-14,13.06,13.06,12.65,12.82,11084400,12.36
2014-11-13,13.16,13.16,12.80,13.03,9983000,12.57
2014-11-12,13.80,13.82,12.97,13.09,14337100,12.62
2014-11-11,13.57,13.57,13.41,13.54,6152700,13.06
2014-11-10,13.39,13.52,13.34,13.51,5103800,13.03
2014-11-07,13.65,13.68,13.28,13.42,8016500,12.94
2014-11-06,13.56,13.88,13.51,13.66,8094000,13.18
2014-11-05,13.48,13.65,13.48,13.60,6216500,13.11
2014-11-04,13.50,13.71,13.40,13.40,6519800,12.92
2014-11-03,13.67,13.74,13.50,13.52,5404900,13.03
2014-10-31,13.55,13.76,13.48,13.73,10414700,13.24
2014-10-30,13.30,13.34,12.93,13.32,7597200,12.84
2014-10-29,13.36,13.47,13.27,13.29,5041200,12.81
2014-10-28,13.14,13.32,13.10,13.31,5432600,12.83
2014-10-27,13.25,13.31,12.92,13.02,5844300,12.55
2014-10-24,13.19,13.24,13.10,13.17,6595500,12.70
2014-10-23,13.04,13.28,12.95,13.26,7044100,12.79
2014-10-22,12.99,13.12,12.88,13.12,7868000,12.65
2014-10-21,12.71,13.02,12.68,12.99,8324100,12.53
2014-10-20,12.97,12.99,12.65,12.80,9505000,12.34
2014-10-17,12.66,13.01,12.57,13.00,17095600,12.54
2014-10-16,12.76,12.81,12.23,12.56,19655700,12.11
2014-10-15,13.20,13.21,12.72,12.73,13438300,12.28
2014-10-14,13.24,13.32,13.09,13.23,8851400,12.76
2014-10-13,13.19,13.37,13.15,13.34,6727400,12.86
2014-10-10,13.50,13.58,13.23,13.28,12282400,12.81
2014-10-09,13.88,13.89,13.53,13.60,9218400,13.11
2014-10-08,13.73,13.90,13.72,13.80,8651600,13.31
2014-10-07,14.00,14.00,13.75,13.80,7977800,13.31
2014-10-06,14.20,14.26,13.99,14.06,7803900,13.56
2014-10-03,14.02,14.02,14.02,14.02,000,13.51
2014-10-02,14.35,14.40,14.02,14.02,9758300,13.51
2014-10-01,14.45,14.57,14.30,14.36,5867000,13.85
2014-09-30,14.31,14.56,14.31,14.49,8224300,13.98
2014-09-29,14.45,14.46,14.16,14.25,6363300,13.74
2014-09-26,14.44,14.52,14.32,14.46,6369300,13.94
2014-09-25,14.60,14.87,14.41,14.45,10276400,13.94
2014-09-24,14.35,14.61,14.31,14.59,7389300,14.06
2014-09-23,14.63,14.69,14.27,14.32,8054500,13.81
2014-09-22,14.55,14.72,14.55,14.65,5177900,14.13
2014-09-19,14.59,14.68,14.55,14.56,16262000,14.04
2014-09-18,14.32,14.44,14.22,14.44,6931300,13.92
2014-09-17,14.45,14.48,14.31,14.35,6209300,13.84
2014-09-16,14.40,14.45,14.28,14.40,5854100,13.89
2014-09-15,14.40,14.50,14.37,14.41,5371900,13.89
2014-09-12,14.71,14.73,14.40,14.40,8931200,13.89
2014-09-11,14.36,14.42,14.26,14.35,4937400,13.83
2014-09-10,14.19,14.35,14.17,14.31,5268600,13.80
2014-09-09,14.30,14.36,14.22,14.24,3829100,13.73
2014-09-08,14.40,14.42,14.32,14.34,3435700,13.83
2014-09-05,14.28,14.43,14.25,14.40,5322800,13.89
2014-09-04,14.18,14.45,14.09,14.34,8183600,13.83
2014-09-03,13.98,14.27,13.95,14.17,9213700,13.66
2014-09-02,13.95,14.09,13.88,13.91,5587700,13.42
2014-09-01,13.81,13.94,13.81,13.91,3977100,13.42
2014-08-29,13.85,13.95,13.68,13.83,6095000,13.34
2014-08-28,13.84,13.93,13.74,13.77,4886300,13.28
2014-08-27,13.83,13.94,13.82,13.89,4672100,13.39
2014-08-26,13.81,13.87,13.66,13.87,7278400,13.37
2014-08-25,13.85,13.91,13.77,13.88,5254200,13.38
2014-08-22,13.90,13.91,13.65,13.69,6742400,13.21
2014-08-21,13.83,13.93,13.78,13.85,5416300,13.36
2014-08-20,13.78,13.90,13.72,13.82,7736800,13.33
2014-08-19,13.75,13.76,13.64,13.72,6390500,13.23
2014-08-18,13.81,13.90,13.68,13.72,8983100,13.22
2014-08-15,13.82,14.03,13.62,13.65,12740900,13.16
2014-08-14,13.74,13.86,13.68,13.77,14285400,13.28
2014-08-13,13.50,13.90,13.50,13.80,21771900,13.30
2014-08-12,13.32,13.35,13.16,13.16,7295100,12.69
2014-08-11,13.30,13.37,13.19,13.36,8311200,12.88
2014-08-08,13.03,13.21,13.01,13.15,8957100,12.68
2014-08-07,13.38,13.38,13.11,13.15,7936000,12.68
2014-08-06,13.54,13.59,13.34,13.40,6275000,12.92
2014-08-05,13.59,13.71,13.56,13.61,5248500,13.12
2014-08-04,13.60,13.77,13.51,13.57,7035500,13.09
2014-08-01,14.07,14.11,13.58,13.60,13759300,13.11
2014-07-31,14.44,14.47,14.07,14.13,8639700,13.62
2014-07-30,14.67,14.73,14.38,14.43,6312900,13.91
2014-07-29,14.61,14.78,14.59,14.71,3841600,14.18
2014-07-28,14.74,14.74,14.45,14.61,5003300,14.09
2014-07-25,14.85,14.88,14.64,14.65,5753200,14.12
