Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,78.48,78.58,76.91,77.15,1011600,76.37
2015-03-17,79.98,80.32,77.44,78.29,1095700,77.50
2015-03-16,77.82,81.08,77.24,79.86,1234600,79.05
2015-03-13,77.03,77.74,75.92,77.71,634800,76.92
2015-03-12,76.30,76.77,76.22,76.66,619000,75.88
2015-03-11,75.59,76.79,75.43,76.29,794100,75.52
2015-03-10,74.80,75.90,73.99,75.19,790300,74.43
2015-03-09,74.51,75.27,73.82,74.89,615700,74.13
2015-03-06,74.39,75.08,74.15,74.75,706000,73.99
2015-03-05,73.94,74.78,73.91,74.49,654500,73.74
2015-03-04,73.55,73.88,72.47,73.72,1107100,72.97
2015-03-03,73.81,74.50,73.46,73.46,1130200,72.72
2015-03-02,73.74,73.88,72.57,73.82,1102600,73.07
2015-02-27,71.50,73.24,71.45,73.17,1506500,72.43
2015-02-26,69.23,71.50,68.50,71.43,1959000,70.71
2015-02-25,65.50,70.03,65.50,68.93,1805600,68.23
2015-02-24,65.18,65.89,64.88,65.50,788100,64.84
2015-02-23,64.44,65.27,64.31,65.13,564500,64.47
2015-02-20,64.41,64.62,63.88,64.19,982000,63.54
2015-02-19,64.40,64.92,64.08,64.49,564000,63.84
2015-02-18,64.57,64.73,63.95,64.42,514200,63.77
2015-02-17,63.00,64.55,62.65,64.51,899100,63.86
2015-02-16,63.59,63.60,62.65,63.00,694100,62.36
2015-02-13,64.53,64.57,63.25,63.84,875100,63.19
2015-02-12,64.56,65.25,64.27,64.75,624200,64.10
2015-02-11,64.65,65.06,64.23,64.33,546100,63.68
2015-02-10,64.63,64.63,63.75,64.54,615600,63.89
2015-02-09,64.22,64.64,63.38,64.37,696700,63.72
2015-02-06,64.79,64.92,63.71,64.25,867000,63.60
2015-02-05,64.87,65.82,64.87,65.12,640800,64.46
2015-02-04,64.98,65.10,63.91,64.90,826900,64.24
2015-02-03,65.86,66.11,64.78,64.90,733400,64.24
2015-02-02,65.96,66.34,64.79,65.59,676800,64.93
2015-01-30,66.13,66.13,64.93,65.64,840300,64.98
2015-01-29,66.00,66.40,65.62,65.80,777900,65.13
2015-01-28,66.50,66.72,65.60,66.44,938800,65.77
2015-01-27,66.25,66.86,65.40,65.51,849100,64.85
2015-01-26,65.80,66.28,65.72,66.17,709700,65.50
2015-01-23,64.08,65.88,63.96,65.79,1513900,65.12
2015-01-22,64.29,64.35,62.11,63.51,1402600,62.87
2015-01-21,63.72,64.90,63.50,64.21,1363400,63.56
2015-01-20,66.36,66.59,65.56,65.73,788500,65.07
2015-01-19,65.42,66.29,65.21,66.11,781000,65.44
2015-01-16,63.67,65.20,63.38,64.90,944000,64.24
2015-01-15,63.79,64.35,61.62,63.95,926500,63.30
2015-01-14,62.70,63.64,62.60,63.45,762600,62.81
2015-01-13,62.53,63.08,62.18,63.02,840700,62.38
2015-01-12,62.50,62.91,62.06,62.79,951600,62.16
2015-01-09,63.25,63.74,62.10,62.26,828600,61.63
2015-01-08,60.99,63.37,60.88,63.26,1029300,62.62
2015-01-07,61.57,61.73,60.51,60.57,1013600,59.96
2015-01-06,61.39,62.05,60.81,61.16,940300,60.54
2015-01-05,60.67,62.67,60.63,61.25,1002600,60.63
2015-01-02,61.91,62.39,60.41,60.77,583900,60.16
2015-01-01,61.85,61.85,61.85,61.85,000,61.22
2014-12-31,61.85,61.85,61.85,61.85,000,61.22
2014-12-30,61.42,61.85,61.00,61.85,402700,61.22
2014-12-29,61.13,61.72,61.01,61.55,387300,60.93
2014-12-26,61.18,61.18,61.18,61.18,000,60.56
2014-12-25,61.18,61.18,61.18,61.18,000,60.56
2014-12-24,61.18,61.18,61.18,61.18,000,60.56
2014-12-23,61.88,62.23,61.02,61.18,396400,60.56
2014-12-22,60.68,61.75,60.68,61.61,707400,60.99
2014-12-19,60.49,60.87,60.00,60.55,1432600,59.94
2014-12-18,60.00,60.00,58.92,60.00,886600,59.39
2014-12-17,59.45,59.72,58.96,59.09,798300,58.49
2014-12-16,58.33,59.91,57.70,59.91,1381800,59.30
2014-12-15,59.26,59.78,58.30,58.30,853200,57.71
2014-12-12,60.19,60.25,59.07,59.10,756500,58.50
2014-12-11,59.73,60.52,59.73,60.44,1019600,59.83
2014-12-10,59.79,60.24,59.32,59.58,553200,58.98
2014-12-09,59.83,60.25,59.20,59.46,634100,58.86
2014-12-08,59.60,60.32,59.47,60.10,537400,59.49
2014-12-05,59.60,59.90,59.03,59.59,471800,58.99
2014-12-04,59.79,60.00,59.24,59.28,703400,58.68
2014-12-03,59.46,59.79,59.33,59.72,509900,59.12
2014-12-02,60.09,60.43,59.37,59.40,686000,58.80
2014-12-01,58.90,60.13,58.84,59.96,663200,59.35
2014-11-28,59.55,59.88,59.02,59.39,761500,58.79
2014-11-27,59.50,60.07,59.50,59.90,575600,59.29
2014-11-26,59.35,59.86,59.35,59.51,544000,58.91
2014-11-25,58.93,59.69,58.87,59.35,1006600,58.75
2014-11-24,58.55,58.96,58.35,58.93,522300,58.33
2014-11-21,58.63,58.93,58.38,58.79,985100,58.20
2014-11-20,58.23,58.55,57.80,58.55,596200,57.96
2014-11-19,58.60,58.87,57.98,58.26,591800,57.67
2014-11-18,58.10,58.77,58.10,58.64,723200,58.05
2014-11-17,57.75,58.41,57.47,58.11,686200,57.52
2014-11-14,58.79,59.06,58.14,58.26,748300,57.67
2014-11-13,58.33,58.74,58.00,58.61,674100,58.02
2014-11-12,58.35,58.43,57.78,58.24,664400,57.65
2014-11-11,58.43,58.87,58.28,58.58,626700,57.99
2014-11-10,57.44,58.62,56.90,58.62,1205500,58.03
2014-11-07,57.33,57.92,56.44,57.32,1440100,56.74
2014-11-06,58.32,58.67,57.29,58.50,1220700,57.91
2014-11-05,58.45,59.03,58.14,58.78,932800,58.19
2014-11-04,58.50,59.15,57.24,58.03,1210800,57.44
2014-11-03,57.95,58.68,57.67,58.22,935800,57.63
2014-10-31,58.82,59.08,58.26,58.50,1380300,57.91
2014-10-30,57.50,58.26,56.85,58.18,1258600,57.59
2014-10-29,57.16,58.12,56.95,57.52,890100,56.94
2014-10-28,56.60,57.09,56.60,56.85,674600,56.28
2014-10-27,56.90,57.53,56.26,56.64,958400,56.07
2014-10-24,56.00,57.03,55.87,56.68,1778300,56.11
2014-10-23,54.30,55.75,54.16,55.65,874100,55.09
2014-10-22,53.94,54.60,53.82,54.50,936100,53.95
2014-10-21,53.60,54.31,53.41,53.93,699900,53.38
2014-10-20,54.03,54.63,53.63,53.87,1005400,53.33
2014-10-17,51.60,54.27,51.54,54.27,2071600,53.72
2014-10-16,52.06,52.23,50.75,51.47,1669100,50.95
2014-10-15,52.84,52.84,51.82,52.00,1117600,51.47
2014-10-14,53.35,53.63,52.67,52.94,963700,52.40
2014-10-13,53.89,54.14,53.39,53.63,760100,53.09
2014-10-10,54.89,55.29,53.96,54.16,1404800,53.61
2014-10-09,54.90,55.33,54.49,54.49,905300,53.94
2014-10-08,54.70,55.57,54.13,54.74,1369700,54.19
2014-10-07,54.88,55.01,54.40,54.83,935900,54.28
2014-10-06,55.90,55.90,54.72,54.92,1046800,54.36
2014-10-03,55.17,55.17,55.17,55.17,000,54.61
2014-10-02,55.61,55.70,55.17,55.17,873700,54.61
2014-10-01,55.20,56.11,55.14,55.65,939700,55.09
2014-09-30,54.35,55.30,54.25,55.30,961100,54.74
2014-09-29,54.05,54.34,53.79,54.23,639400,53.68
2014-09-26,54.10,54.29,53.61,54.09,617200,53.54
2014-09-25,54.20,54.84,54.15,54.35,764100,53.80
2014-09-24,53.86,54.20,53.75,54.12,747800,53.57
2014-09-23,54.08,54.22,53.74,53.74,478100,53.20
2014-09-22,54.23,54.51,53.86,54.25,691900,53.70
2014-09-19,54.46,54.94,54.39,54.55,1987300,54.00
2014-09-18,53.95,54.30,53.36,54.30,654900,53.75
2014-09-17,54.11,54.64,54.00,54.08,677500,53.53
2014-09-16,54.67,54.73,53.77,54.19,704900,53.64
2014-09-15,54.20,54.94,54.12,54.86,513500,54.31
2014-09-12,54.81,55.00,54.25,54.46,424700,53.91
2014-09-11,55.31,55.31,54.64,54.89,724500,54.34
2014-09-10,55.40,55.45,55.08,55.34,521000,54.78
2014-09-09,54.76,55.50,54.74,55.40,745800,54.84
2014-09-08,54.30,54.98,54.09,54.89,631700,54.34
2014-09-05,53.95,54.29,53.51,54.29,540900,53.74
2014-09-04,54.00,54.17,53.63,54.00,662700,53.45
2014-09-03,53.76,54.64,53.70,54.14,639300,53.59
2014-09-02,54.08,54.11,53.41,53.77,678500,53.23
2014-09-01,53.58,54.50,53.56,53.77,685300,53.23
2014-08-29,53.29,53.70,53.16,53.67,753200,53.13
2014-08-28,53.00,53.63,52.98,53.32,763400,52.78
2014-08-27,53.05,53.25,52.62,53.12,500800,52.58
2014-08-26,52.75,53.35,52.59,53.28,500500,52.74
2014-08-25,52.86,52.96,52.44,52.91,411200,52.38
2014-08-22,52.22,52.89,52.22,52.53,561900,52.00
2014-08-21,52.20,52.67,52.20,52.45,593300,51.92
2014-08-20,52.15,52.42,51.71,52.16,595500,51.63
2014-08-19,52.50,53.04,52.08,52.23,639800,51.70
2014-08-18,51.56,52.50,51.56,52.38,661000,51.85
