Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,55.09,55.75,54.66,55.27,1312500,54.83
2015-03-17,56.24,56.59,54.80,55.09,1611000,54.65
2015-03-16,54.83,56.71,54.50,56.15,1778600,55.70
2015-03-13,54.20,54.65,53.52,54.60,1017900,54.17
2015-03-12,53.30,54.00,53.18,54.00,1126600,53.57
2015-03-11,52.61,53.53,52.49,53.24,983900,52.82
2015-03-10,52.17,52.62,51.58,52.44,1010300,52.02
2015-03-09,51.82,52.42,51.17,52.20,906700,51.78
2015-03-06,51.65,52.02,51.50,51.80,795800,51.39
2015-03-05,51.58,51.92,51.39,51.81,717500,51.40
2015-03-04,51.26,51.42,50.29,51.27,1226100,50.86
2015-03-03,51.74,52.36,51.08,51.08,1599900,50.67
2015-03-02,51.25,51.71,50.97,51.60,1471200,51.19
2015-02-27,49.85,51.35,49.85,51.18,1838500,50.77
2015-02-26,49.84,50.30,49.31,49.49,1651600,49.10
2015-02-25,48.55,50.15,48.30,49.40,2343000,49.00
2015-02-24,48.49,48.69,47.70,48.24,1441200,47.85
2015-02-23,48.00,48.63,47.78,48.31,1017900,47.93
2015-02-20,47.80,47.88,47.18,47.68,1903600,47.30
2015-02-19,47.37,48.03,47.01,47.78,1103900,47.39
2015-02-18,47.81,48.15,47.16,47.43,947500,47.05
2015-02-17,47.30,47.76,46.75,47.74,903000,47.36
2015-02-16,47.97,47.97,47.31,47.44,705000,47.06
2015-02-13,48.50,48.63,47.44,47.59,1142800,47.21
2015-02-12,48.54,49.19,48.28,48.33,919300,47.95
2015-02-11,48.53,48.88,48.27,48.48,650200,48.09
2015-02-10,48.50,48.50,47.70,48.34,1177800,47.96
2015-02-09,47.90,48.30,47.40,48.14,1368000,47.76
2015-02-06,48.24,48.30,46.20,48.08,2093700,47.70
2015-02-05,49.50,49.98,48.90,49.21,1299900,48.81
2015-02-04,49.65,49.90,48.92,49.63,1292700,49.24
2015-02-03,50.69,50.74,49.74,49.83,1271300,49.43
2015-02-02,51.00,51.33,49.78,50.43,1812400,50.03
2015-01-30,50.76,51.15,50.26,50.76,1217800,50.36
2015-01-29,51.22,51.40,50.29,50.52,1264800,50.12
2015-01-28,51.29,51.66,50.27,51.40,1368900,50.99
2015-01-27,50.20,50.97,50.18,50.79,1519300,50.39
2015-01-26,49.25,50.34,49.25,50.28,1424400,49.88
2015-01-23,48.38,49.30,48.16,49.26,2002100,48.87
2015-01-22,48.39,48.51,46.85,48.03,2371300,47.65
2015-01-21,48.49,48.65,48.13,48.53,1376100,48.15
2015-01-20,48.40,48.90,48.10,48.52,1694300,48.13
2015-01-19,48.95,49.44,47.88,48.10,1571000,47.72
2015-01-16,47.03,48.58,46.74,48.31,2070400,47.93
2015-01-15,46.75,47.21,45.46,47.20,2243400,46.82
2015-01-14,45.59,46.58,45.47,46.16,1298000,45.79
2015-01-13,45.00,45.94,44.90,45.89,1607900,45.52
2015-01-12,43.84,45.49,43.82,44.99,1858000,44.64
2015-01-09,43.79,44.54,43.35,43.56,1391200,43.21
2015-01-08,42.90,43.81,42.81,43.81,1338900,43.46
2015-01-07,43.03,43.07,42.35,42.54,1018800,42.21
2015-01-06,42.53,43.30,42.28,42.84,1371600,42.50
2015-01-05,42.40,43.51,42.40,42.41,1293300,42.07
2015-01-02,43.26,43.51,42.40,42.53,867700,42.20
2015-01-01,43.16,43.16,43.16,43.16,000,42.82
2014-12-31,43.16,43.16,43.16,43.16,000,42.82
2014-12-30,43.31,43.46,42.92,43.16,426300,42.82
2014-12-29,43.19,43.54,43.11,43.50,784100,43.15
2014-12-26,43.04,43.04,43.04,43.04,000,42.70
2014-12-25,43.04,43.04,43.04,43.04,000,42.70
2014-12-24,43.04,43.04,43.04,43.04,000,42.70
2014-12-23,43.54,43.88,42.90,43.04,685000,42.70
2014-12-22,42.56,43.65,42.56,43.51,913700,43.16
2014-12-19,42.80,43.27,42.30,42.56,2229600,42.22
2014-12-18,42.20,42.60,41.72,42.54,1272800,42.20
2014-12-17,41.89,42.18,41.67,41.70,1231900,41.37
2014-12-16,41.42,42.22,40.85,42.19,2087600,41.85
2014-12-15,42.25,42.67,41.50,41.50,1504100,41.17
2014-12-12,43.16,43.34,42.25,42.28,1427300,41.94
2014-12-11,43.37,43.47,42.92,43.27,1296200,42.93
2014-12-10,43.26,43.51,43.04,43.09,1137100,42.75
2014-12-09,43.29,43.72,42.88,42.97,1153500,42.63
2014-12-08,43.18,43.62,43.07,43.51,857400,43.17
2014-12-05,42.94,43.17,42.81,43.16,1075900,42.82
2014-12-04,43.17,43.61,42.60,42.71,1205500,42.37
2014-12-03,42.80,43.37,42.60,43.21,1429800,42.87
2014-12-02,44.22,44.31,43.60,43.81,1090900,43.47
2014-12-01,43.47,44.16,43.47,44.12,934600,43.77
2014-11-28,43.56,43.80,43.32,43.60,1065100,43.25
2014-11-27,43.02,43.71,43.02,43.62,824300,43.27
2014-11-26,42.72,43.28,42.72,42.87,853400,42.53
2014-11-25,42.53,43.34,42.48,42.77,1186600,42.43
2014-11-24,42.19,42.44,41.83,42.44,844600,42.10
2014-11-21,41.99,42.53,41.90,42.33,1962900,41.99
2014-11-20,41.89,42.05,41.35,41.96,1015100,41.62
2014-11-19,42.00,42.30,41.67,41.87,823600,41.54
2014-11-18,41.50,42.08,41.50,41.97,1048100,41.64
2014-11-17,41.01,41.62,40.72,41.40,779000,41.07
2014-11-14,41.69,41.97,41.28,41.40,898900,41.08
