Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,72.31,72.63,71.08,72.03,821800,72.03
2015-03-17,73.27,73.41,70.95,71.96,686700,71.96
2015-03-16,71.52,73.62,71.51,73.16,763500,73.16
2015-03-13,71.64,72.27,71.17,71.44,648000,71.44
2015-03-12,72.28,72.85,71.14,71.38,601300,71.38
2015-03-11,70.41,72.36,70.31,72.08,532500,72.08
2015-03-10,70.00,70.74,69.76,69.94,706900,69.94
2015-03-09,71.57,71.99,71.17,71.31,666300,71.31
2015-03-06,70.55,72.56,70.55,71.83,878900,71.83
2015-03-05,69.58,70.79,69.27,70.57,587400,70.57
2015-03-04,68.69,69.40,67.44,69.34,816400,69.34
2015-03-03,69.72,70.35,68.25,68.40,1069700,68.40
2015-03-02,71.24,71.35,69.54,69.69,618800,69.69
2015-02-27,70.84,71.27,70.47,71.13,493000,71.13
2015-02-26,70.52,70.78,70.08,70.72,542800,70.72
2015-02-25,71.20,71.29,70.14,70.48,473600,70.48
2015-02-24,71.21,71.48,70.47,71.34,553300,71.34
2015-02-23,71.16,71.26,70.60,71.26,372400,71.26
2015-02-20,70.55,70.92,70.22,70.62,752100,70.62
2015-02-19,70.74,71.06,69.93,70.73,576800,70.73
2015-02-18,69.42,70.82,69.30,70.82,711800,70.82
2015-02-17,69.12,70.00,68.73,69.41,557400,69.41
2015-02-16,69.30,69.91,69.25,69.81,397400,69.81
2015-02-13,69.58,70.14,69.33,69.56,945700,69.56
2015-02-12,67.05,69.96,66.97,69.59,1124700,69.59
2015-02-11,66.97,67.65,66.73,67.22,680000,67.22
2015-02-10,66.00,67.36,65.48,66.88,1024400,66.88
2015-02-09,65.92,66.53,65.10,65.93,820600,65.93
2015-02-06,66.64,66.67,65.71,66.22,467700,66.22
2015-02-05,65.94,66.80,65.62,66.52,498500,66.52
2015-02-04,65.95,66.38,64.48,66.37,787600,66.37
2015-02-03,66.52,66.99,66.01,66.25,991000,66.25
2015-02-02,65.35,66.59,64.97,66.00,1121500,66.00
2015-01-30,65.70,65.99,64.64,65.26,777300,65.26
2015-01-29,64.69,65.40,64.30,65.31,748400,65.31
2015-01-28,64.55,64.79,63.41,64.79,676600,64.79
2015-01-27,65.23,65.75,63.59,63.98,954400,63.98
2015-01-26,62.53,65.59,62.34,65.51,1245100,65.51
2015-01-23,62.32,62.99,62.01,62.79,1268700,62.79
2015-01-22,60.83,62.05,60.00,61.92,1420100,61.92
2015-01-21,60.49,61.01,59.52,60.96,1379800,60.96
2015-01-20,60.88,61.92,60.60,61.51,792600,61.51
2015-01-19,60.89,61.23,59.88,60.60,972000,60.60
2015-01-16,61.47,61.83,59.83,60.24,1523000,60.24
2015-01-15,61.45,62.18,58.70,61.90,1426500,61.90
2015-01-14,60.15,61.51,59.91,60.85,926700,60.85
2015-01-13,59.39,61.27,59.16,60.90,804700,60.90
2015-01-12,58.94,59.93,58.77,59.56,554300,59.56
2015-01-09,59.20,60.13,58.21,58.67,851900,58.67
2015-01-08,58.48,59.54,58.19,59.46,506600,59.46
2015-01-07,57.37,58.11,57.10,57.59,536000,57.59
2015-01-06,56.96,57.58,55.82,56.95,587000,56.95
2015-01-05,57.89,59.05,56.92,57.00,624300,57.00
2015-01-02,59.00,59.48,57.98,58.33,411400,58.33
2015-01-01,58.81,58.81,58.81,58.81,000,58.81
2014-12-31,58.81,58.81,58.81,58.81,000,58.81
2014-12-30,58.96,59.11,58.65,58.81,196400,58.81
2014-12-29,59.27,59.44,58.34,59.14,426100,59.14
2014-12-26,59.06,59.06,59.06,59.06,000,59.06
2014-12-25,59.06,59.06,59.06,59.06,000,59.06
2014-12-24,59.06,59.06,59.06,59.06,000,59.06
2014-12-23,58.16,59.06,57.99,59.06,411000,59.06
2014-12-22,58.19,58.59,57.85,58.05,324200,58.05
2014-12-19,58.42,58.58,57.28,57.90,871100,57.90
2014-12-18,57.08,57.96,56.83,57.80,732500,57.80
2014-12-17,55.71,56.02,55.28,55.80,821400,55.80
2014-12-16,55.35,56.48,54.50,56.32,1132100,56.32
2014-12-15,56.80,56.90,55.07,55.14,1135500,55.14
2014-12-12,57.77,58.19,56.92,56.92,661300,56.92
2014-12-11,57.65,58.41,57.48,58.22,585800,58.22
2014-12-10,58.65,58.74,57.90,57.92,587300,57.92
2014-12-09,59.40,59.49,58.16,58.24,776600,58.24
2014-12-08,61.20,61.43,60.00,60.00,492400,60.00
2014-12-05,60.49,61.63,60.10,61.44,680000,61.44
2014-12-04,61.19,61.36,59.44,59.59,727000,59.59
2014-12-03,60.75,61.13,60.60,60.92,368700,60.92
2014-12-02,60.44,61.17,60.30,60.54,471700,60.54
2014-12-01,60.61,60.93,60.17,60.39,569200,60.39
2014-11-28,60.51,61.06,59.67,60.97,610400,60.97
2014-11-27,61.00,61.07,60.61,60.63,420800,60.63
2014-11-26,60.96,61.43,60.19,60.71,510500,60.71
2014-11-25,60.11,61.22,59.96,60.85,685900,60.85
2014-11-24,60.08,60.48,59.89,59.98,503000,59.98
2014-11-21,57.90,60.51,57.79,60.17,1535300,60.17
2014-11-20,57.80,57.92,57.04,57.59,611900,57.59
2014-11-19,58.15,58.42,57.63,57.91,404000,57.91
2014-11-18,57.09,58.41,57.07,58.16,567200,58.16
2014-11-17,56.60,57.32,56.42,56.97,448400,56.97
2014-11-14,56.49,57.39,56.27,57.23,616700,57.23
2014-11-13,56.89,57.25,56.12,56.51,499500,56.51
2014-11-12,57.72,58.09,56.51,56.58,724400,56.58
2014-11-11,57.91,58.05,57.05,57.86,651600,57.86
2014-11-10,57.65,58.37,57.22,57.92,518100,57.92
2014-11-07,57.60,58.14,57.01,57.65,850400,57.65
2014-11-06,56.70,58.00,56.39,57.64,1298500,57.64
2014-11-05,54.43,54.97,54.23,54.75,658500,54.75
2014-11-04,54.49,55.04,53.75,54.08,897200,54.08
2014-11-03,54.75,55.94,54.41,54.47,945300,54.47
