Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,109.75,110.50,108.35,110.15,500600,108.84
2015-03-17,111.00,111.70,109.05,109.60,605700,108.30
2015-03-16,109.40,111.85,109.05,111.00,661400,109.68
2015-03-13,107.05,108.80,106.50,108.65,508600,107.36
2015-03-12,105.55,107.15,105.30,106.90,551700,105.63
2015-03-11,104.45,105.80,103.90,105.40,491300,104.15
2015-03-10,104.95,105.85,103.80,103.90,593000,102.66
2015-03-09,104.95,105.75,103.80,105.25,469400,104.00
2015-03-06,104.15,105.55,104.00,104.90,526200,103.65
2015-03-05,104.50,105.30,104.35,104.60,688000,103.36
2015-03-04,103.15,105.80,101.15,105.50,1186700,104.25
2015-03-03,106.20,107.70,106.00,106.30,513400,105.04
2015-03-02,105.70,106.30,105.45,106.10,378800,104.84
2015-02-27,105.30,106.00,104.50,105.85,529900,104.59
2015-02-26,102.85,105.15,102.30,104.75,660100,103.50
2015-02-25,102.70,103.40,102.45,102.70,331200,101.48
2015-02-24,102.00,102.90,101.90,102.70,407000,101.48
2015-02-23,100.45,101.75,99.94,101.65,429500,100.44
2015-02-20,99.56,100.05,98.49,100.05,863300,98.86
2015-02-19,99.31,99.87,98.46,99.61,441000,98.43
2015-02-18,99.47,100.55,98.89,99.35,389200,98.17
2015-02-17,99.25,100.00,98.79,99.32,518900,98.14
2015-02-16,100.15,100.50,99.00,99.25,347200,98.07
2015-02-13,100.65,101.75,99.65,100.50,539600,99.30
2015-02-12,99.03,101.15,98.08,100.70,737600,99.50
2015-02-11,101.85,102.20,101.10,101.40,520500,100.19
2015-02-10,102.45,102.55,100.60,101.40,563200,100.19
2015-02-09,102.25,102.50,100.45,102.30,609300,101.08
2015-02-06,102.75,103.15,102.05,102.60,397200,101.38
2015-02-05,104.10,104.60,102.95,103.35,368800,102.12
2015-02-04,101.80,104.20,101.40,104.10,500600,102.86
2015-02-03,103.30,103.70,101.80,101.90,471700,100.69
2015-02-02,102.15,103.25,101.30,102.75,529400,101.53
2015-01-30,102.40,102.50,101.30,101.60,528900,100.39
2015-01-29,101.05,101.80,100.85,101.80,601700,100.59
2015-01-28,101.30,102.05,100.70,101.35,583500,100.14
2015-01-27,102.30,103.45,100.10,100.60,763400,99.40
2015-01-26,100.05,102.50,99.94,102.30,655100,101.08
2015-01-23,97.97,99.93,97.81,99.90,787000,98.71
2015-01-22,97.24,97.63,95.83,97.55,672400,96.39
2015-01-21,95.75,97.07,95.39,96.97,577000,95.82
2015-01-20,97.19,97.40,95.17,95.70,738200,94.56
2015-01-19,96.40,97.25,96.14,96.55,351100,95.40
2015-01-16,94.82,96.61,94.49,95.92,789700,94.78
2015-01-15,93.73,95.19,91.07,95.00,776500,93.87
2015-01-14,93.24,94.14,92.65,93.26,649500,92.15
2015-01-13,93.15,94.72,93.15,93.99,568400,92.87
2015-01-12,92.50,93.55,92.03,93.14,605100,92.03
2015-01-09,91.55,93.90,91.43,92.43,922400,91.33
2015-01-08,90.46,91.84,90.07,91.64,628700,90.55
2015-01-07,89.44,89.94,88.45,89.68,557900,88.61
2015-01-06,87.95,89.92,87.16,89.05,686000,87.99
2015-01-05,87.68,89.48,87.68,87.90,612300,86.85
2015-01-02,89.49,89.50,87.62,88.18,351200,87.13
2014-12-30,90.06,90.06,89.22,89.42,150800,88.36
2014-12-29,89.60,90.04,88.90,90.04,233300,88.97
2014-12-23,90.56,90.73,89.34,89.69,296300,88.62
2014-12-22,89.37,90.78,88.97,90.24,484300,89.17
2014-12-19,87.00,89.57,87.00,89.16,1181600,88.10
2014-12-18,86.85,87.30,85.77,86.80,918800,85.77
2014-12-17,86.60,87.50,86.49,86.54,907400,85.51
2014-12-16,86.84,87.49,85.73,87.36,1163800,86.32
2014-12-15,89.82,89.96,86.84,86.90,721300,85.87
2014-12-12,90.04,90.38,89.14,89.28,662500,88.22
2014-12-11,89.00,90.62,88.86,90.45,905600,89.37
2014-12-10,88.98,89.66,88.60,89.23,635500,88.17
2014-12-09,88.85,89.87,87.83,88.23,657800,87.18
2014-12-08,88.90,89.49,88.34,88.94,323100,87.88
2014-12-05,88.93,88.97,88.49,88.89,434500,87.83
2014-12-04,89.37,89.41,87.99,88.19,498100,87.14
2014-12-03,88.99,89.74,88.78,89.43,775000,88.37
2014-12-02,88.00,89.37,87.74,88.78,609700,87.72
2014-12-01,89.14,89.89,87.59,87.87,769700,86.82
2014-11-28,87.55,89.22,87.39,89.22,652900,88.16
2014-11-27,87.00,87.75,87.00,87.46,395200,86.42
2014-11-26,86.66,87.50,86.55,86.93,365100,85.90
2014-11-25,86.36,87.29,86.22,86.66,785100,85.63
2014-11-24,85.17,86.35,85.07,86.15,528100,85.13
2014-11-21,84.78,85.56,84.48,85.46,1034500,84.44
2014-11-20,84.00,84.90,83.90,84.85,633800,83.84
2014-11-19,83.05,83.98,83.05,83.75,451700,82.75
2014-11-18,82.95,83.98,82.95,83.16,556600,82.17
2014-11-17,82.25,83.43,82.25,83.01,368100,82.02
2014-11-14,83.26,83.75,82.86,83.03,546400,82.04
2014-11-13,82.75,83.46,82.71,83.27,537000,82.28
2014-11-12,83.44,83.71,82.44,82.58,750900,81.60
2014-11-11,81.95,83.68,81.90,83.20,1372700,82.21
2014-11-10,80.20,80.71,79.32,79.58,681900,78.63
2014-11-07,80.22,80.42,79.72,80.26,605500,79.31
2014-11-06,79.06,80.86,79.06,80.36,683700,79.40
2014-11-05,78.96,79.99,78.95,79.83,609300,78.88
2014-11-04,77.89,78.73,77.84,78.24,634100,77.31
2014-11-03,78.53,78.85,77.98,78.47,413400,77.54
2014-10-31,78.94,79.19,78.11,78.78,660000,77.84
2014-10-30,78.13,78.22,76.25,77.58,644200,76.66
2014-10-29,77.95,78.19,77.35,77.61,586500,76.69
2014-10-28,75.81,77.31,75.81,77.29,520700,76.37
2014-10-27,75.75,76.21,74.93,75.50,596400,74.60
2014-10-24,75.34,76.05,74.90,75.26,724700,74.36
2014-10-23,74.21,76.05,74.00,76.03,793700,75.13
2014-10-22,75.75,76.20,75.63,76.04,547800,75.14
2014-10-21,74.43,75.80,73.87,75.80,690900,74.90
2014-10-20,75.01,75.61,74.40,74.98,618900,74.09
2014-10-17,72.84,74.99,72.37,74.99,1093900,74.10
2014-10-16,74.50,74.65,72.16,72.64,1551200,71.78
2014-10-15,75.07,75.80,74.09,74.09,904300,73.21
2014-10-14,75.00,75.48,74.10,75.19,1110700,74.30
2014-10-13,76.61,76.87,76.17,76.61,491700,75.70
2014-10-10,77.47,78.40,76.58,77.08,1056300,76.16
2014-10-09,78.81,79.19,78.05,78.19,629000,77.26
2014-10-08,77.25,78.51,76.69,78.22,747200,77.29
2014-10-07,77.58,77.99,77.20,77.55,675000,76.63
2014-10-06,79.15,79.34,77.77,77.91,593300,76.98
2014-10-03,77.78,77.78,77.78,77.78,000,76.85
2014-10-02,78.55,78.77,77.74,77.78,683200,76.85
2014-10-01,78.73,79.36,77.74,78.43,595500,77.50
2014-09-30,79.00,79.33,78.44,79.06,607400,78.12
2014-09-29,79.19,79.27,78.54,78.87,403700,77.93
2014-09-26,78.93,80.12,78.54,79.15,588800,78.21
2014-09-25,80.30,80.65,78.84,78.94,833000,78.00
2014-09-24,80.57,80.97,80.07,80.68,646400,79.72
2014-09-23,81.54,81.77,80.57,80.80,405300,79.84
2014-09-22,81.88,82.07,81.10,81.62,579200,80.65
2014-09-19,83.16,83.69,82.45,82.45,1233100,81.47
2014-09-18,82.90,83.50,82.65,83.05,448200,82.06
2014-09-17,83.33,83.67,83.05,83.05,408000,82.06
2014-09-16,82.98,83.20,82.55,82.86,377400,81.87
2014-09-15,82.34,83.04,82.34,82.90,350900,81.91
2014-09-12,83.26,83.31,82.64,82.89,287200,81.90
2014-09-11,83.10,83.59,82.47,82.97,404700,81.98
2014-09-10,82.81,83.22,82.66,82.85,481300,81.86
2014-09-09,82.69,83.13,82.31,83.13,412800,82.14
2014-09-08,82.59,83.28,82.02,83.18,456000,82.19
2014-09-05,83.17,83.66,82.32,82.38,805900,81.40
2014-09-04,80.90,82.24,80.88,81.95,539300,80.98
