Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,11.26,11.27,10.86,11.02,7195200,11.02
2015-03-17,11.36,11.38,11.12,11.20,5302500,11.20
2015-03-16,11.19,11.41,11.18,11.31,5163700,11.31
2015-03-13,11.04,11.19,10.94,11.19,5792900,11.19
2015-03-12,11.21,11.26,10.92,10.95,10249100,10.95
2015-03-11,11.09,11.33,11.08,11.28,7776800,11.28
2015-03-10,10.84,11.08,10.83,11.05,8619100,11.05
2015-03-09,10.72,10.82,10.67,10.82,3272400,10.82
2015-03-06,10.72,10.81,10.69,10.74,4025100,10.74
2015-03-05,10.51,10.77,10.51,10.75,5035700,10.75
2015-03-04,10.35,10.49,10.23,10.49,4946200,10.49
2015-03-03,10.38,10.50,10.33,10.33,4811100,10.33
2015-03-02,10.33,10.40,10.30,10.38,5031900,10.38
2015-02-27,10.41,10.44,10.27,10.35,4592400,10.35
2015-02-26,10.38,10.44,10.31,10.43,4501000,10.43
2015-02-25,10.38,10.44,10.34,10.40,2902200,10.40
2015-02-24,10.35,10.39,10.28,10.38,2904000,10.38
2015-02-23,10.32,10.35,10.24,10.35,3371900,10.35
2015-02-20,10.07,10.23,10.07,10.23,5720800,10.23
2015-02-19,10.21,10.23,10.09,10.11,4819800,10.11
2015-02-18,10.03,10.25,10.02,10.25,5035100,10.25
2015-02-17,9.98,10.03,9.87,9.98,3583500,9.98
2015-02-16,10.06,10.12,10.01,10.06,2395800,10.06
2015-02-13,10.16,10.20,10.04,10.06,6670500,10.06
2015-02-12,10.15,10.28,10.13,10.25,6598100,10.07
2015-02-11,10.03,10.15,9.98,10.10,4767600,9.93
2015-02-10,9.82,10.02,9.81,10.02,7068900,9.84
2015-02-09,10.00,10.02,9.71,9.79,6854300,9.61
2015-02-06,10.04,10.09,9.93,10.08,4273200,9.90
2015-02-05,9.98,10.14,9.97,10.05,4490800,9.87
2015-02-04,10.05,10.08,9.90,10.05,7540300,9.87
2015-02-03,9.91,10.10,9.91,10.03,6564200,9.86
2015-02-02,9.93,9.98,9.76,9.86,7960100,9.69
2015-01-30,10.06,10.12,9.95,9.98,7115800,9.80
2015-01-29,10.01,10.05,9.81,10.00,10290600,9.82
2015-01-28,9.70,9.85,9.64,9.85,9090500,9.68
2015-01-27,9.80,9.89,9.53,9.56,7755100,9.39
2015-01-26,9.52,9.80,9.51,9.77,6584100,9.60
2015-01-23,9.40,9.57,9.40,9.53,10413200,9.37
2015-01-22,9.33,9.40,9.18,9.35,9158400,9.19
2015-01-21,9.38,9.40,9.16,9.33,8190200,9.17
2015-01-20,9.30,9.42,9.27,9.33,5618900,9.17
2015-01-19,9.18,9.34,9.16,9.27,4940900,9.11
2015-01-16,9.02,9.14,9.01,9.11,8359500,8.95
2015-01-15,9.05,9.11,8.80,9.08,9013900,8.92
2015-01-14,8.86,9.03,8.82,8.99,8400800,8.83
2015-01-13,8.86,8.97,8.81,8.96,5543100,8.80
2015-01-12,8.82,9.01,8.77,8.86,7817200,8.70
2015-01-09,8.88,8.93,8.72,8.77,5787300,8.62
2015-01-08,8.74,8.90,8.68,8.89,4678700,8.73
2015-01-07,8.52,8.71,8.51,8.61,5216900,8.45
2015-01-06,8.70,8.71,8.47,8.48,8101600,8.33
2015-01-05,8.87,8.97,8.69,8.70,7395100,8.55
2015-01-02,8.85,8.98,8.77,8.89,5545200,8.73
2015-01-01,8.85,8.85,8.85,8.85,000,8.69
2014-12-31,8.85,8.85,8.85,8.85,000,8.69
2014-12-30,8.75,8.85,8.72,8.85,2998000,8.69
2014-12-29,8.77,8.82,8.65,8.78,3286800,8.63
2014-12-26,8.75,8.75,8.75,8.75,000,8.59
2014-12-25,8.75,8.75,8.75,8.75,000,8.59
2014-12-24,8.75,8.75,8.75,8.75,000,8.59
2014-12-23,8.70,8.76,8.67,8.75,2808800,8.59
2014-12-22,8.65,8.70,8.61,8.69,3589700,8.54
2014-12-19,8.69,8.70,8.55,8.62,7026700,8.47
2014-12-18,8.56,8.61,8.49,8.60,7566300,8.45
2014-12-17,8.21,8.43,8.17,8.38,5773700,8.24
2014-12-16,8.23,8.32,8.08,8.32,8607000,8.18
2014-12-15,8.33,8.50,8.20,8.22,5889400,8.07
2014-12-12,8.46,8.49,8.35,8.35,4849800,8.20
2014-12-11,8.44,8.56,8.38,8.51,6741900,8.36
2014-12-10,8.43,8.59,8.43,8.51,5543900,8.36
2014-12-09,8.45,8.57,8.38,8.40,7507700,8.25
2014-12-08,8.56,8.62,8.52,8.56,5751900,8.40
2014-12-05,8.49,8.55,8.37,8.52,6467900,8.37
2014-12-04,8.21,8.45,8.21,8.39,12630100,8.24
2014-12-03,7.95,8.18,7.95,8.15,9537700,8.01
2014-12-02,7.90,7.95,7.87,7.89,5027200,7.75
2014-12-01,7.82,7.90,7.78,7.88,4764100,7.74
2014-11-28,7.93,7.93,7.81,7.88,8393600,7.74
2014-11-27,7.75,7.97,7.72,7.88,14644300,7.74
2014-11-26,8.07,8.18,8.04,8.07,8264100,7.93
2014-11-25,8.04,8.13,7.91,8.07,8898900,7.93
2014-11-24,8.18,8.21,8.10,8.10,6143600,7.96
2014-11-21,8.01,8.18,7.99,8.13,12183500,7.99
2014-11-20,7.89,7.95,7.82,7.94,4652900,7.80
2014-11-19,7.78,7.93,7.77,7.86,6212800,7.72
2014-11-18,7.65,7.74,7.63,7.72,4987500,7.59
2014-11-17,7.51,7.67,7.51,7.63,4650100,7.49
2014-11-14,7.60,7.63,7.55,7.58,3167100,7.45
2014-11-13,7.66,7.72,7.57,7.59,4217400,7.45
2014-11-12,7.63,7.67,7.57,7.61,4908100,7.48
2014-11-11,7.69,7.71,7.62,7.66,3863700,7.53
2014-11-10,7.57,7.69,7.53,7.69,5560300,7.55
2014-11-07,7.78,7.78,7.52,7.59,8739900,7.46
2014-11-06,7.66,7.82,7.63,7.77,6854700,7.64
2014-11-05,7.68,7.79,7.68,7.74,5162100,7.61
2014-11-04,7.76,7.85,7.61,7.64,7299100,7.50
2014-11-03,7.76,7.82,7.65,7.79,8755300,7.65
2014-10-31,7.59,7.77,7.44,7.74,15319000,7.61
2014-10-30,7.34,7.37,7.15,7.29,9488200,7.16
2014-10-29,7.40,7.40,7.19,7.28,10443600,7.16
2014-10-28,7.41,7.49,7.35,7.40,6824000,7.27
2014-10-27,7.63,7.67,7.28,7.34,9808100,7.22
2014-10-24,7.57,7.62,7.47,7.57,9356400,7.43
2014-10-23,7.53,7.65,7.43,7.58,10471100,7.45
2014-10-22,7.40,7.51,7.36,7.44,11651500,7.31
2014-10-21,7.12,7.38,7.12,7.32,9348700,7.20
2014-10-20,7.23,7.23,7.06,7.13,7090000,7.01
2014-10-17,7.14,7.35,7.09,7.24,13459000,7.11
2014-10-16,7.01,7.12,6.77,7.07,14552900,6.95
2014-10-15,7.27,7.27,6.88,6.95,11876700,6.83
2014-10-14,6.93,7.22,6.91,7.19,11817900,7.06
2014-10-13,6.96,7.12,6.88,7.03,18782900,6.90
2014-10-10,7.35,7.50,7.14,7.17,21860200,7.05
2014-10-09,7.79,7.93,7.68,7.70,8629800,7.57
2014-10-08,7.83,7.85,7.62,7.67,9405500,7.54
2014-10-07,7.81,7.97,7.76,7.87,7302100,7.74
2014-10-06,8.01,8.05,7.79,7.83,10082800,7.70
2014-10-03,7.86,7.86,7.86,7.86,000,7.72
2014-10-02,8.00,8.13,7.85,7.86,9213600,7.72
2014-10-01,8.12,8.16,7.98,8.02,9560700,7.88
2014-09-30,8.44,8.45,8.10,8.19,13364500,8.05
2014-09-29,8.53,8.58,8.36,8.47,5473600,8.32
2014-09-26,8.40,8.57,8.34,8.52,8323900,8.37
2014-09-25,8.58,8.62,8.31,8.39,10842400,8.24
2014-09-24,8.68,8.71,8.49,8.61,9515800,8.46
2014-09-23,8.81,8.84,8.64,8.68,8726400,8.53
2014-09-22,8.92,8.98,8.78,8.80,3829300,8.65
2014-09-19,9.01,9.02,8.91,9.00,10966900,8.84
2014-09-18,8.83,9.00,8.82,8.93,5455600,8.78
2014-09-17,8.84,8.87,8.77,8.81,5787900,8.66
2014-09-16,8.82,8.82,8.70,8.78,6019400,8.63
2014-09-15,8.95,8.96,8.84,8.87,5862800,8.72
2014-09-12,9.07,9.10,9.00,9.02,3507700,8.86
2014-09-11,9.09,9.13,9.00,9.06,4531700,8.90
2014-09-10,9.05,9.12,9.02,9.08,4443200,8.92
2014-09-09,9.08,9.16,9.06,9.09,3923700,8.93
2014-09-08,9.06,9.13,9.03,9.12,3670900,8.96
2014-09-05,8.98,9.09,8.96,9.05,4848600,8.89
2014-09-04,8.95,9.01,8.80,8.99,6631700,8.83
2014-09-03,9.04,9.11,8.98,8.99,5250800,8.83
2014-09-02,8.94,9.06,8.93,8.98,5386300,8.82
2014-09-01,8.85,8.96,8.84,8.91,4042600,8.75
2014-08-29,8.84,8.90,8.75,8.85,3937800,8.69
2014-08-28,8.90,8.91,8.76,8.83,5724700,8.68
2014-08-27,8.88,8.96,8.87,8.91,5778400,8.75
2014-08-26,8.81,8.88,8.75,8.85,4203900,8.69
2014-08-25,8.84,8.90,8.78,8.83,3934600,8.67
2014-08-22,8.64,8.77,8.60,8.73,7463400,8.58
2014-08-21,8.65,8.85,8.53,8.58,12337200,8.43
2014-08-20,8.71,8.71,8.44,8.60,8523800,8.45
2014-08-19,8.65,8.75,8.61,8.72,3645300,8.57
2014-08-18,8.57,8.68,8.57,8.59,5598400,8.44
2014-08-15,8.44,8.63,8.40,8.44,9271300,8.29
