Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,13.35,13.59,13.09,13.52,7317900,13.52
2015-03-17,13.05,13.42,12.97,13.36,8124900,13.36
2015-03-16,13.09,13.20,12.85,13.12,7667400,13.12
2015-03-13,13.00,13.23,12.99,13.04,5675200,13.04
2015-03-12,13.50,13.70,12.90,13.05,13495400,13.05
2015-03-11,13.07,13.49,13.07,13.41,7930500,13.41
2015-03-10,13.24,13.28,12.99,13.04,5494400,13.04
2015-03-09,13.08,13.33,13.06,13.19,5246800,13.19
2015-03-06,13.02,13.25,12.88,13.09,6333200,13.09
2015-03-05,13.11,13.13,12.83,12.99,6668800,12.99
2015-03-04,13.20,13.25,13.01,13.06,5439600,13.06
2015-03-03,13.03,13.40,13.00,13.11,7524700,13.11
2015-03-02,13.10,13.19,12.93,13.00,5296600,13.00
2015-02-27,13.24,13.31,12.98,13.10,5750300,13.10
2015-02-26,13.24,13.27,13.11,13.18,5019200,13.18
2015-02-25,13.48,13.53,13.20,13.24,3956000,13.24
2015-02-24,13.39,13.52,13.28,13.45,4297000,13.45
2015-02-23,13.32,13.44,13.05,13.40,9125600,13.40
2015-02-20,13.85,13.96,13.11,13.30,15923100,13.30
2015-02-19,13.81,13.91,13.68,13.89,6451900,13.89
2015-02-18,13.81,13.89,13.72,13.84,4591800,13.84
2015-02-17,13.56,13.76,13.45,13.70,4491300,13.70
2015-02-16,13.51,13.78,13.49,13.68,3844600,13.68
2015-02-13,13.72,13.73,13.40,13.47,5575600,13.47
2015-02-12,13.51,13.69,13.24,13.66,5673000,13.66
2015-02-11,13.60,13.80,13.48,13.53,4360600,13.53
2015-02-10,13.43,13.68,13.23,13.55,6684200,13.55
2015-02-09,13.70,13.73,13.35,13.46,8416100,13.46
2015-02-06,14.19,14.19,13.74,13.86,7165600,13.86
2015-02-05,14.23,14.36,14.15,14.20,4057500,14.20
2015-02-04,14.05,14.31,13.69,14.31,10387700,14.31
2015-02-03,14.60,14.64,14.11,14.20,9800500,14.20
2015-02-02,14.99,14.99,14.40,14.56,10224200,14.56
2015-01-30,15.23,15.43,14.95,15.06,6099300,15.06
2015-01-29,14.90,15.15,14.82,15.06,3430600,15.06
2015-01-28,15.22,15.27,14.92,15.02,5289300,15.02
2015-01-27,15.40,15.53,14.86,15.12,7037900,15.12
2015-01-26,14.91,15.44,14.90,15.35,7339300,15.35
2015-01-23,15.26,15.31,14.81,14.90,9224900,14.90
2015-01-22,15.15,15.25,14.81,15.16,7763700,15.16
2015-01-21,15.01,15.26,14.95,15.20,6781500,15.20
2015-01-20,14.50,15.19,14.50,15.00,11524000,15.00
2015-01-19,14.28,14.35,14.12,14.31,4536700,14.31
2015-01-16,14.54,14.57,14.10,14.24,9258800,14.24
2015-01-15,14.66,14.76,14.36,14.68,7832200,14.68
2015-01-14,14.60,14.85,14.52,14.58,5954700,14.58
2015-01-13,14.49,14.85,14.38,14.77,8087200,14.77
2015-01-12,14.18,14.57,14.16,14.30,8300300,14.30
