Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,193.60,194.55,191.50,193.85,658300,193.85
2015-03-17,193.50,193.75,190.80,193.30,672200,193.30
2015-03-16,190.90,195.10,189.05,193.80,796300,193.80
2015-03-13,189.05,189.40,186.25,188.70,677500,188.70
2015-03-12,189.55,193.75,189.00,189.15,703200,189.15
2015-03-11,186.25,189.85,186.00,189.25,433600,189.25
2015-03-10,185.00,186.20,183.85,185.50,507500,185.50
2015-03-09,185.35,186.60,184.90,185.90,296100,185.90
2015-03-06,184.05,186.75,183.40,186.40,387000,186.40
2015-03-05,182.50,184.65,181.95,184.10,261000,184.10
2015-03-04,181.50,182.50,179.45,182.40,327300,182.40
2015-03-03,182.25,184.00,181.25,181.25,336800,181.25
2015-03-02,181.80,182.85,180.50,182.25,303300,182.25
2015-02-27,181.10,182.00,180.30,181.80,330300,181.80
2015-02-26,180.10,181.85,179.30,181.50,287600,181.50
2015-02-25,180.50,181.60,179.85,179.95,278500,179.95
2015-02-24,178.95,180.95,178.45,180.50,276500,180.50
2015-02-23,178.10,179.65,177.65,179.00,296700,179.00
2015-02-20,176.05,178.10,174.95,178.00,757800,178.00
2015-02-19,176.20,177.50,175.40,176.30,316600,176.30
2015-02-18,176.10,177.25,176.00,176.55,388100,176.55
2015-02-17,175.60,177.05,174.20,176.70,410100,176.70
2015-02-16,177.75,178.05,176.35,176.85,237900,176.85
2015-02-13,178.20,178.40,177.00,178.10,412500,178.10
2015-02-12,173.80,178.05,173.75,177.60,482000,177.60
2015-02-11,174.45,174.75,173.05,173.50,302400,173.50
2015-02-10,174.10,174.50,171.85,174.05,355700,174.05
2015-02-09,173.00,175.60,171.15,173.70,568400,173.70
2015-02-06,173.95,174.10,172.65,173.50,303600,173.50
2015-02-05,172.70,174.55,172.30,174.15,382300,174.15
2015-02-04,171.50,173.20,170.10,173.00,462600,173.00
2015-02-03,172.70,173.85,170.90,171.80,518600,171.80
2015-02-02,170.50,171.95,169.15,171.55,437200,171.55
2015-01-30,171.00,171.20,168.95,169.90,534300,169.90
2015-01-29,168.60,169.55,167.45,169.35,404100,169.35
2015-01-28,167.85,169.55,165.45,169.55,599600,169.55
2015-01-27,169.40,173.50,166.15,166.80,820400,166.80
2015-01-26,164.15,168.55,164.15,168.55,457200,168.55
2015-01-23,164.00,165.35,163.10,165.20,681100,165.20
2015-01-22,162.50,163.05,160.45,162.90,571000,162.90
2015-01-21,161.40,162.60,160.05,162.55,437300,162.55
2015-01-20,162.10,162.70,159.80,161.00,536100,161.00
2015-01-19,160.95,161.95,159.80,160.90,325700,160.90
2015-01-16,156.40,160.35,154.55,159.80,641000,159.80
2015-01-15,155.90,156.85,150.60,156.85,730500,156.85
2015-01-14,153.40,155.00,152.80,154.10,385300,154.10
2015-01-13,153.80,155.35,153.75,154.90,555500,154.90
2015-01-12,152.65,155.00,152.30,154.30,411500,154.30
2015-01-09,154.25,155.00,151.15,151.75,525200,151.75
2015-01-08,150.65,154.70,150.35,154.70,477000,154.70
2015-01-07,150.80,150.80,148.65,149.30,455700,149.30
2015-01-06,150.00,152.45,148.25,150.30,445700,150.30
2015-01-05,153.10,154.45,150.05,150.10,492100,150.10
2015-01-02,155.00,155.50,152.80,153.40,327300,153.40
2015-01-01,154.20,154.20,154.20,154.20,000,154.20
2014-12-31,154.20,154.20,154.20,154.20,000,154.20
2014-12-30,155.25,155.75,153.70,154.20,176200,154.20
2014-12-29,155.65,156.05,154.35,155.85,249800,155.85
2014-12-26,155.00,155.00,155.00,155.00,000,155.00
2014-12-25,155.00,155.00,155.00,155.00,000,155.00
2014-12-24,155.00,155.00,155.00,155.00,000,155.00
2014-12-23,153.60,155.10,153.05,155.00,298400,155.00
2014-12-22,152.40,154.25,152.30,153.55,335700,153.55
2014-12-19,152.05,153.45,150.60,152.15,810500,152.15
2014-12-18,150.70,151.30,149.75,150.80,532200,150.80
2014-12-17,147.15,149.40,146.50,148.75,442500,148.75
2014-12-16,144.10,148.60,143.25,148.60,847200,148.60
2014-12-15,147.65,148.85,144.30,144.30,517300,144.30
2014-12-12,150.70,151.25,147.55,147.65,413600,147.65
2014-12-11,151.35,152.75,150.70,151.75,345200,151.75
2014-12-10,152.60,153.55,152.05,152.05,341800,152.05
2014-12-09,152.45,153.40,151.55,151.60,375500,151.60
2014-12-08,153.25,154.15,152.40,153.40,228800,153.40
2014-12-05,153.90,154.50,153.05,153.95,395900,153.95
2014-12-04,154.80,155.45,153.10,153.20,430700,153.20
2014-12-03,152.85,154.75,152.85,154.40,358900,154.40
2014-12-02,152.90,154.80,152.20,152.40,424000,152.40
2014-12-01,150.45,152.90,150.05,152.05,306700,152.05
2014-11-28,152.50,153.10,151.15,151.75,428900,151.75
2014-11-27,153.10,153.95,152.30,153.00,272600,153.00
2014-11-26,149.90,153.15,149.90,152.45,541900,152.45
2014-11-25,149.35,150.90,149.15,150.10,449100,150.10
2014-11-24,149.95,150.45,149.25,149.25,446900,149.25
2014-11-21,148.15,150.60,148.00,150.25,820900,150.25
2014-11-20,148.20,148.30,146.15,148.00,488700,148.00
2014-11-19,150.00,150.35,148.80,148.95,328000,148.95
2014-11-18,147.00,150.35,147.00,149.75,473400,149.75
2014-11-17,145.45,147.25,145.45,147.00,269800,147.00
2014-11-14,147.00,147.85,145.85,146.50,434200,146.50
2014-11-13,147.65,148.35,146.45,146.90,355300,146.90
2014-11-12,146.70,147.35,145.90,146.70,383000,146.70
2014-11-11,146.15,147.55,146.15,147.20,348100,147.20
2014-11-10,145.25,146.75,144.75,146.50,345300,146.50
2014-11-07,146.10,147.40,145.15,145.70,447300,145.70
2014-11-06,145.60,147.50,145.20,146.30,597100,146.30
2014-11-05,145.15,146.05,144.60,145.85,558100,145.85
2014-11-04,144.35,146.30,144.35,144.70,713400,144.70
2014-11-03,146.20,146.40,144.95,145.25,678700,145.25
2014-10-31,152.00,152.25,145.60,147.15,1341900,147.15
2014-10-30,145.00,151.10,143.95,150.90,2110600,150.90
2014-10-29,153.90,155.90,153.35,155.30,566600,155.30
2014-10-28,152.00,153.35,151.90,153.00,397800,153.00
2014-10-27,150.75,151.70,148.95,150.50,434000,150.50
2014-10-24,149.65,150.20,149.15,149.85,365100,149.85
2014-10-23,148.25,151.15,147.10,150.65,479900,150.65
2014-10-22,149.90,150.30,148.60,149.25,501900,149.25
2014-10-21,145.10,149.55,144.75,149.50,538200,149.50
2014-10-20,147.90,148.35,145.45,145.95,423400,145.95
2014-10-17,145.05,147.80,143.15,147.80,1171400,147.80
2014-10-16,146.90,147.50,142.85,144.60,1200200,144.60
2014-10-15,150.15,151.00,145.90,145.90,804200,145.90
2014-10-14,146.95,149.35,146.80,148.90,576600,148.90
2014-10-13,148.00,148.90,146.25,148.10,672300,148.10
2014-10-10,151.70,151.70,148.70,149.10,855300,149.10
2014-10-09,152.35,153.65,151.75,152.60,728900,152.60
2014-10-08,150.25,150.90,148.40,150.60,748500,150.60
2014-10-07,150.70,152.90,150.10,151.50,637100,151.50
2014-10-06,149.65,151.90,149.55,150.50,595800,150.50
2014-10-03,148.40,148.40,148.40,148.40,000,148.40
2014-10-02,149.75,151.15,148.40,148.40,484800,148.40
2014-10-01,151.90,152.60,149.35,150.05,363900,150.05
2014-09-30,151.35,152.85,151.05,152.15,368000,152.15
2014-09-29,150.55,152.65,150.40,150.90,460500,150.90
2014-09-26,150.90,151.40,150.10,150.85,343400,150.85
2014-09-25,153.55,154.70,150.65,150.75,441700,150.75
2014-09-24,152.15,153.95,151.75,153.70,314500,153.70
2014-09-23,154.85,155.05,152.05,152.25,400500,152.25
2014-09-22,155.00,155.75,154.50,155.05,299400,155.05
2014-09-19,156.00,156.75,155.90,156.60,1087400,156.60
2014-09-18,153.50,155.90,153.50,155.65,428900,155.65
2014-09-17,153.65,154.70,153.65,154.20,284100,154.20
2014-09-16,154.00,154.05,152.85,153.35,259300,153.35
2014-09-15,151.85,154.50,151.80,154.35,452000,154.35
2014-09-12,154.15,154.55,152.80,153.15,307700,153.15
2014-09-11,153.90,155.55,152.95,154.30,422300,154.30
2014-09-10,152.65,154.55,152.65,153.85,526800,153.85
2014-09-09,152.35,153.65,152.30,152.70,230000,152.70
2014-09-08,152.85,153.10,151.80,152.90,243200,152.90
2014-09-05,151.30,153.35,150.85,152.85,460300,152.85
2014-09-04,151.30,152.40,150.35,152.15,459100,152.15
2014-09-03,150.55,153.30,150.55,152.20,409500,152.20
2014-09-02,150.65,151.40,149.85,150.25,226400,150.25
2014-09-01,150.35,150.55,149.55,150.20,173900,150.20
2014-08-29,150.30,151.05,149.20,150.65,405500,150.65
2014-08-28,151.50,152.00,149.95,150.05,435500,150.05
2014-08-27,151.55,152.15,151.10,151.60,277500,151.60
2014-08-26,150.65,151.90,150.20,151.70,286300,151.70
2014-08-25,151.00,151.25,150.05,151.00,260400,151.00
2014-08-22,149.30,150.25,148.90,149.30,372200,149.30
2014-08-21,150.60,151.00,148.55,148.90,436200,148.90
2014-08-20,149.45,150.50,149.10,150.20,282300,150.20
2014-08-19,149.30,150.35,149.05,149.80,228900,149.80
2014-08-18,147.45,149.30,147.40,149.00,324300,149.00
2014-08-15,148.05,149.65,146.00,146.25,507500,146.25
2014-08-14,148.55,149.05,147.40,148.35,304300,148.35
2014-08-13,147.95,149.10,147.65,148.95,282600,148.95
2014-08-12,148.65,148.65,147.05,147.50,285100,147.50
2014-08-11,147.55,148.80,146.85,148.65,374200,148.65
2014-08-08,145.10,146.70,144.30,146.15,664300,146.15
2014-08-07,148.15,148.70,146.45,146.70,435900,146.70
2014-08-06,146.15,148.50,145.40,148.00,422700,148.00
2014-08-05,146.20,148.00,145.60,147.15,398300,147.15
2014-08-04,147.30,147.75,145.70,145.90,568300,145.90
2014-08-01,152.45,152.70,147.15,147.15,1013400,147.15
2014-07-31,156.90,157.00,152.90,152.90,676600,152.90
2014-07-30,156.25,157.20,155.95,156.40,491300,156.40
2014-07-29,152.80,157.40,152.60,156.20,647600,156.20
2014-07-28,153.50,154.35,152.90,153.95,490800,153.95
2014-07-25,154.50,154.65,152.60,152.85,430200,152.85
2014-07-24,152.70,154.80,152.40,154.60,414900,154.60
2014-07-23,153.25,154.70,152.30,152.90,335200,152.90
2014-07-22,153.20,153.70,152.60,153.35,357900,153.35
2014-07-21,152.60,152.65,150.85,151.80,355500,151.80
2014-07-18,151.15,152.40,150.20,152.35,761600,152.35
2014-07-17,151.45,152.65,150.90,151.20,298300,151.20
2014-07-16,151.15,152.90,151.15,152.45,395000,152.45
2014-07-15,152.10,153.65,151.10,151.10,320200,151.10
2014-07-14,151.60,153.65,151.60,152.90,273200,152.90
2014-07-11,151.25,151.65,149.95,151.50,624500,151.50
2014-07-10,152.50,153.10,150.95,151.05,449400,151.05
2014-07-09,153.35,153.85,152.15,152.90,356900,152.90
2014-07-08,155.75,155.85,153.45,153.45,284700,153.45
2014-07-07,157.15,157.15,155.75,155.80,300800,155.80
2014-07-04,156.55,157.60,156.35,157.10,246300,157.10
2014-07-03,156.05,156.80,155.40,156.20,412800,156.20
2014-07-02,156.75,156.75,155.60,156.05,276400,156.05
2014-07-01,156.05,156.60,154.75,156.60,308300,156.60
2014-06-30,154.30,155.95,154.25,155.30,335500,155.30
2014-06-27,154.30,154.95,153.25,154.50,243700,154.50
2014-06-26,153.90,154.70,153.50,153.90,292800,153.90
2014-06-25,155.00,155.40,153.75,153.90,405700,153.90
2014-06-24,155.75,156.05,155.15,155.70,302200,155.70
2014-06-23,157.45,157.50,155.20,155.20,334700,155.20
2014-06-20,156.05,157.95,156.05,157.30,1199000,157.30
2014-06-19,158.25,158.45,155.95,155.95,497300,155.95
2014-06-18,157.15,157.40,156.30,157.00,398600,157.00
2014-06-17,155.65,157.30,155.35,156.60,405900,156.60
2014-06-16,155.10,156.05,155.10,155.50,283800,155.50
2014-06-13,155.30,156.25,154.60,155.55,451500,155.55
2014-06-12,156.00,156.20,154.90,155.90,326500,155.90
2014-06-11,155.45,156.60,155.20,155.90,394200,155.90
2014-06-10,155.05,156.15,155.05,155.25,417500,155.25
2014-06-09,155.85,156.25,155.30,155.70,184700,155.70
2014-06-06,156.00,156.25,154.90,156.00,336300,156.00
2014-06-05,155.25,155.95,154.60,155.30,513400,155.30
2014-06-04,154.65,155.75,154.45,155.40,420600,155.40
2014-06-03,154.30,155.00,153.95,154.20,383400,154.20
2014-06-02,153.60,155.00,153.50,154.55,393100,154.55
2014-05-30,152.50,153.70,151.60,153.25,406400,153.25
2014-05-29,153.00,153.60,152.20,152.75,261000,152.75
2014-05-28,153.95,154.75,153.10,153.70,479400,153.70
2014-05-27,152.50,154.40,152.15,153.95,457000,153.95
2014-05-26,151.50,153.15,151.15,152.90,241400,152.90
2014-05-23,150.10,151.95,150.10,151.00,547500,151.00
2014-05-22,151.55,153.15,151.35,152.60,411100,152.60
2014-05-21,151.00,151.45,149.90,151.25,680300,151.25
2014-05-20,154.25,155.80,153.35,154.45,734600,151.45
2014-05-19,152.60,154.50,152.00,154.10,582000,151.11
2014-05-16,152.85,154.15,151.65,152.65,717400,149.68
2014-05-15,150.90,153.50,150.45,152.50,721100,149.54
2014-05-14,150.95,151.40,149.70,151.05,425800,148.12
2014-05-13,149.45,150.75,149.05,150.50,529100,147.58
