Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,49.74,49.75,47.69,48.28,1423200,48.28
2015-03-17,50.65,50.74,49.29,49.62,804600,49.62
2015-03-16,50.17,51.00,50.15,50.60,748200,50.60
2015-03-13,49.82,50.35,49.36,50.03,1058900,50.03
2015-03-12,49.00,50.16,48.73,49.42,979900,49.42
2015-03-11,47.80,48.98,47.69,48.87,755400,48.87
2015-03-10,47.86,47.87,47.28,47.72,690800,47.72
2015-03-09,47.54,48.10,47.53,48.00,806300,48.00
2015-03-06,46.70,47.67,46.60,47.65,819200,47.65
2015-03-05,45.97,46.69,45.69,46.56,654700,46.56
2015-03-04,45.41,45.88,45.03,45.82,476500,45.82
2015-03-03,45.49,46.08,45.20,45.25,430300,45.25
2015-03-02,46.28,46.34,45.37,45.56,439700,45.56
2015-02-27,46.01,46.30,45.42,46.03,467100,46.03
2015-02-26,45.37,46.04,45.37,45.87,492800,45.87
2015-02-25,45.75,45.75,45.17,45.37,389400,45.37
2015-02-24,45.09,45.99,44.88,45.78,590600,45.78
2015-02-23,45.40,45.63,44.40,45.08,616400,45.08
2015-02-20,44.95,45.49,44.92,45.35,845000,45.35
2015-02-19,45.40,45.40,44.60,44.95,755100,44.95
2015-02-18,45.28,45.76,45.12,45.40,586500,45.40
2015-02-17,45.50,46.34,44.93,45.10,941000,45.10
2015-02-16,45.85,46.33,45.85,46.09,364000,46.09
2015-02-13,46.13,46.47,45.52,45.93,604500,45.93
2015-02-12,44.90,46.13,44.90,45.94,828000,45.94
2015-02-11,44.76,45.15,44.33,44.90,659000,44.90
2015-02-10,45.54,45.60,44.28,44.81,1265700,44.81
2015-02-09,44.46,46.06,43.62,45.62,2352700,45.62
2015-02-06,44.39,44.94,44.33,44.63,679400,44.63
2015-02-05,43.56,44.49,43.06,44.38,693500,44.38
2015-02-04,44.20,44.22,43.46,43.85,796500,43.85
2015-02-03,43.97,44.48,43.20,44.06,1358400,44.06
2015-02-02,42.56,43.72,42.22,43.65,1217200,43.65
2015-01-30,42.05,42.71,41.80,42.55,1328400,42.55
2015-01-29,42.00,42.67,41.38,41.66,1822900,41.66
2015-01-28,39.39,42.55,39.06,42.10,3918500,42.10
2015-01-27,39.35,39.83,39.03,39.12,1084700,39.12
2015-01-26,38.21,39.31,38.06,39.29,1387400,39.29
2015-01-23,38.03,38.45,37.88,38.36,1583800,38.36
2015-01-22,36.50,37.83,36.42,37.76,2476500,37.76
2015-01-21,35.71,36.34,34.88,36.31,1893400,36.31
2015-01-20,35.36,35.96,35.24,35.88,1006300,35.88
2015-01-19,35.30,35.62,35.03,35.19,731900,35.19
2015-01-16,34.51,35.16,34.40,35.03,1239100,35.03
2015-01-15,34.25,34.79,33.53,34.56,1463800,34.56
2015-01-14,34.60,34.63,33.87,34.03,1131100,34.03
2015-01-13,34.40,35.23,34.35,35.05,783200,35.05
2015-01-12,35.50,35.50,34.22,34.54,1174500,34.54
2015-01-09,35.31,35.63,34.17,34.47,1053400,34.47
2015-01-08,35.49,35.66,34.99,35.47,1164900,35.47
2015-01-07,35.31,35.44,34.84,35.03,859900,35.03
2015-01-06,35.40,35.78,34.72,35.22,1386800,35.22
2015-01-05,37.32,37.58,35.17,35.43,1824300,35.43
2015-01-02,38.50,38.60,37.81,37.92,552700,37.92
2015-01-01,38.46,38.46,38.46,38.46,000,38.46
2014-12-31,38.46,38.46,38.46,38.46,000,38.46
2014-12-30,38.60,38.81,38.46,38.46,319300,38.46
2014-12-29,38.80,39.17,38.65,38.75,504500,38.75
2014-12-26,39.03,39.03,39.03,39.03,000,39.03
2014-12-25,39.03,39.03,39.03,39.03,000,39.03
2014-12-24,39.03,39.03,39.03,39.03,000,39.03
2014-12-23,38.50,39.08,38.26,39.03,476700,39.03
2014-12-22,38.46,38.87,38.30,38.40,552800,38.40
2014-12-19,38.71,38.83,38.00,38.25,1044400,38.25
2014-12-18,37.89,38.80,37.89,38.49,1023500,38.49
2014-12-17,36.88,37.51,36.63,37.37,581500,37.37
2014-12-16,37.03,37.34,36.24,37.31,1353600,37.31
2014-12-15,37.81,38.51,37.00,37.06,722500,37.06
2014-12-12,38.01,38.21,37.52,37.55,656200,37.55
2014-12-11,37.88,38.65,37.88,38.38,588100,38.38
2014-12-10,38.49,38.81,37.88,38.11,812700,38.11
2014-12-09,38.50,38.92,38.24,38.35,1069500,38.35
2014-12-08,39.26,39.53,38.76,38.85,780900,38.85
2014-12-05,39.94,40.15,39.29,39.41,1047600,39.41
2014-12-04,40.71,40.90,39.62,39.79,1095200,39.79
2014-12-03,39.83,40.67,39.78,40.54,819000,40.54
2014-12-02,39.73,40.13,39.51,39.81,551500,39.81
2014-12-01,39.66,39.98,39.30,39.71,649400,39.71
2014-11-28,40.40,40.40,39.55,39.94,770200,39.94
2014-11-27,40.69,41.30,40.38,40.47,870000,40.47
2014-11-26,39.16,40.55,39.16,40.47,1368900,40.47
2014-11-25,39.35,39.59,39.00,39.12,963300,39.12
2014-11-24,39.30,39.67,39.12,39.37,647400,39.37
2014-11-21,38.44,39.47,38.37,39.27,1394200,39.27
2014-11-20,38.30,38.54,37.65,38.26,1243700,38.26
2014-11-19,38.54,39.29,38.40,38.90,748100,38.90
2014-11-18,38.55,39.12,38.44,38.54,764300,38.54
2014-11-17,37.95,38.48,37.81,38.40,803700,38.40
2014-11-14,38.50,38.62,37.88,38.28,824000,38.28
2014-11-13,38.73,39.50,38.39,38.46,1032400,38.46
2014-11-12,38.58,38.82,37.92,38.42,992700,38.42
2014-11-11,38.88,38.92,38.20,38.72,883900,38.72
2014-11-10,37.72,38.83,37.51,38.78,1473300,38.78
2014-11-07,39.03,39.04,37.26,37.64,3101400,37.64
2014-11-06,41.90,41.90,38.69,39.00,3394900,39.00
2014-11-05,41.95,42.04,41.47,41.94,676000,41.94
2014-11-04,41.35,42.30,41.06,41.49,1145800,41.49
2014-11-03,41.42,42.06,41.22,41.42,820200,41.42
2014-10-31,41.06,41.76,40.82,41.48,1260500,41.48
2014-10-30,40.97,41.01,39.28,40.26,1225000,40.26
2014-10-29,40.77,41.64,40.65,40.79,1199000,40.79
2014-10-28,39.70,40.53,39.70,40.47,855200,40.47
2014-10-27,40.22,40.22,39.00,39.48,745200,39.48
2014-10-24,40.01,40.33,39.69,39.88,704900,39.88
2014-10-23,40.22,40.54,39.62,40.13,936600,40.13
2014-10-22,40.54,40.90,39.92,40.58,937700,40.58
2014-10-21,39.36,40.51,39.05,40.39,726300,40.39
2014-10-20,40.37,40.72,39.40,39.53,840200,39.53
2014-10-17,39.81,40.44,39.40,40.38,1314600,40.38
2014-10-16,40.33,40.83,38.94,39.74,1104100,39.74
2014-10-15,40.81,41.15,39.56,39.94,991100,39.94
2014-10-14,40.06,41.08,40.01,40.85,937100,40.85
2014-10-13,39.99,41.03,39.51,40.28,1033100,40.28
2014-10-10,41.51,41.52,40.28,40.33,1385600,40.33
2014-10-09,42.77,42.87,41.90,41.90,1026600,41.90
2014-10-08,42.59,42.87,42.22,42.50,994900,42.50
2014-10-07,42.86,43.76,42.62,42.81,970600,42.81
2014-10-06,43.02,43.28,42.76,42.83,841100,42.83
2014-10-03,42.33,42.33,42.33,42.33,000,42.33
2014-10-02,42.59,43.31,42.31,42.33,936000,42.33
2014-10-01,43.53,43.78,42.49,42.76,1014000,42.76
2014-09-30,43.95,44.10,43.37,43.71,945400,43.71
2014-09-29,44.52,44.55,43.58,43.94,996400,43.94
2014-09-26,44.91,45.09,44.49,44.60,812600,44.60
2014-09-25,45.40,45.86,44.60,44.90,828100,44.90
2014-09-24,45.01,45.50,44.53,45.42,1263200,45.42
2014-09-23,46.49,46.49,44.55,44.95,1478700,44.95
2014-09-22,47.13,47.14,46.29,46.56,488100,46.56
2014-09-19,47.20,47.78,47.05,47.43,884100,47.43
2014-09-18,46.99,47.20,46.76,46.99,451800,46.99
2014-09-17,47.16,47.38,46.92,46.92,356300,46.92
2014-09-16,47.42,47.47,46.80,47.03,567500,47.03
2014-09-15,47.71,47.93,47.22,47.49,397100,47.49
2014-09-12,47.88,47.98,47.74,47.91,447200,47.91
2014-09-11,48.25,48.25,47.22,47.87,652500,47.87
