Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,104.85,105.65,103.65,104.65,543800,104.65
2015-03-17,106.30,106.40,103.15,104.40,573900,104.40
2015-03-16,103.00,106.85,102.90,105.90,636300,105.90
2015-03-13,102.10,102.90,101.00,102.60,546900,102.60
2015-03-12,101.70,102.10,100.70,101.90,431900,101.90
2015-03-11,98.49,101.55,98.39,101.50,615600,101.50
2015-03-10,97.94,98.72,96.98,98.14,617500,98.14
2015-03-09,98.34,98.72,96.86,97.91,625500,97.91
2015-03-06,98.00,98.76,97.85,98.36,533200,98.36
2015-03-05,96.92,98.35,96.92,97.75,571400,97.75
2015-03-04,95.60,96.87,94.68,96.87,764900,96.87
2015-03-03,94.30,96.24,94.24,94.75,1049500,94.75
2015-03-02,92.85,95.06,92.83,94.27,892300,94.27
2015-02-27,92.02,92.64,91.41,92.20,580700,92.20
2015-02-26,91.09,91.92,90.20,91.84,456300,91.84
2015-02-25,89.55,91.88,89.18,90.61,551300,90.61
2015-02-24,89.47,89.63,88.58,89.55,348500,89.55
2015-02-23,88.40,89.97,88.19,89.65,510300,89.65
2015-02-20,87.80,88.63,87.28,87.70,728700,87.70
2015-02-19,86.40,87.97,86.40,87.73,372300,87.73
2015-02-18,87.13,87.49,86.53,87.01,415600,87.01
2015-02-17,87.00,87.61,86.36,87.61,339800,87.61
2015-02-16,87.72,87.76,87.12,87.12,236400,87.12
2015-02-13,88.12,88.20,87.08,87.66,409800,87.66
2015-02-12,87.26,88.10,87.00,87.77,533400,87.77
2015-02-11,87.40,87.47,86.30,86.96,314400,86.96
2015-02-10,85.85,87.31,85.15,87.28,425300,87.28
2015-02-09,87.52,87.78,84.93,85.74,592100,85.74
2015-02-06,87.47,88.10,86.55,87.90,468000,87.90
2015-02-05,88.45,89.06,86.54,87.63,466200,87.63
2015-02-04,87.08,88.44,86.65,88.44,605000,88.44
2015-02-03,88.07,88.52,86.98,86.98,575000,86.98
2015-02-02,89.37,89.54,86.94,88.15,636200,88.15
2015-01-30,89.72,89.77,88.31,88.71,433700,88.71
2015-01-29,88.77,89.65,88.31,89.25,331700,89.25
2015-01-28,89.88,89.88,88.37,89.07,502400,89.07
2015-01-27,89.69,90.16,88.67,89.05,482100,89.05
2015-01-26,87.66,89.56,87.53,89.56,522700,89.56
2015-01-23,87.31,88.31,86.37,87.67,937400,87.67
2015-01-22,86.56,86.66,84.25,86.50,830700,86.50
2015-01-21,87.66,88.18,86.17,86.73,745600,86.73
2015-01-20,88.06,88.25,86.82,87.41,617700,87.41
2015-01-19,87.38,88.62,86.99,87.86,620200,87.86
2015-01-16,84.55,86.66,83.94,86.44,996700,86.44
2015-01-15,84.39,84.76,81.32,84.76,945000,84.76
2015-01-14,83.26,83.97,82.67,83.68,589500,83.68
2015-01-13,83.06,84.66,83.00,84.07,511100,84.07
2015-01-12,82.80,84.15,82.59,83.21,562700,83.21
2015-01-09,83.57,84.17,81.93,82.29,978300,82.29
2015-01-08,81.40,81.77,80.55,81.64,784200,81.64
2015-01-07,78.75,80.98,78.39,80.22,811200,80.22
2015-01-06,78.31,79.50,77.63,78.44,663600,78.44
2015-01-05,77.56,79.07,77.30,78.03,583600,78.03
2015-01-02,79.02,79.35,77.30,77.81,408300,77.81
2015-01-01,78.42,78.42,78.42,78.42,000,78.42
2014-12-31,78.42,78.42,78.42,78.42,000,78.42
2014-12-30,78.92,79.04,78.28,78.42,197200,78.42
2014-12-29,78.85,79.19,78.28,78.91,254200,78.91
2014-12-26,78.56,78.56,78.56,78.56,000,78.56
2014-12-25,78.56,78.56,78.56,78.56,000,78.56
2014-12-24,78.56,78.56,78.56,78.56,000,78.56
2014-12-23,79.85,80.17,77.94,78.56,374400,78.56
2014-12-22,78.80,80.05,78.64,79.64,419300,79.64
2014-12-19,78.75,79.01,77.40,78.38,872700,78.38
2014-12-18,77.97,78.04,76.70,77.87,642300,77.87
2014-12-17,76.80,77.11,76.17,76.58,591700,76.58
2014-12-16,75.95,77.82,74.89,77.80,955600,77.80
2014-12-15,76.72,77.46,75.79,75.79,740500,75.79
2014-12-12,78.80,78.85,76.72,76.72,632900,76.72
2014-12-11,79.01,79.74,78.32,79.49,590700,79.49
2014-12-10,79.15,79.56,78.72,79.19,425500,79.19
2014-12-09,79.69,80.21,78.33,78.75,603000,78.75
2014-12-08,80.02,80.89,79.90,80.07,422600,80.07
2014-12-05,79.44,79.75,78.76,79.66,379300,79.66
2014-12-04,79.16,80.12,78.75,79.04,687700,79.04
2014-12-03,79.04,79.52,78.51,78.74,471700,78.74
2014-12-02,80.25,80.30,78.41,78.69,582200,78.69
2014-12-01,79.78,80.74,79.78,80.08,305500,80.08
2014-11-28,80.49,80.93,79.47,80.08,429700,80.08
2014-11-27,79.23,80.75,79.09,80.40,458100,80.40
2014-11-26,78.01,79.02,77.72,78.92,466900,78.92
2014-11-25,79.00,79.38,77.96,78.05,604900,78.05
2014-11-24,78.18,78.89,77.96,78.89,386900,78.89
2014-11-21,77.99,78.62,77.45,78.54,843100,78.54
2014-11-20,77.53,77.98,76.84,77.80,504300,77.80
2014-11-19,78.51,79.35,77.04,77.39,857100,77.39
2014-11-18,77.11,78.47,77.11,78.26,826800,78.26
2014-11-17,77.00,77.99,75.60,76.67,1182100,76.67
2014-11-14,76.75,76.95,73.98,74.29,935800,74.29
2014-11-13,72.00,75.29,69.35,74.67,1147100,74.67
2014-11-12,71.75,72.07,70.85,71.54,493000,71.54
2014-11-11,71.69,73.01,71.69,72.01,527600,72.01
2014-11-10,71.07,71.88,70.76,71.88,313100,71.88
2014-11-07,72.08,72.32,70.80,71.07,337600,71.07
2014-11-06,71.87,72.12,70.83,72.12,470900,72.12
2014-11-05,72.00,72.46,71.75,72.18,392800,72.18
2014-11-04,71.55,72.24,71.42,71.56,402400,71.56
2014-11-03,71.96,72.08,71.00,71.69,364700,71.69
2014-10-31,73.02,73.11,71.85,72.07,564500,72.07
2014-10-30,71.25,72.02,70.16,71.68,446200,71.68
2014-10-29,70.65,71.49,70.35,71.21,370400,71.21
2014-10-28,69.76,70.61,69.76,70.35,423900,70.35
2014-10-27,71.50,71.76,69.69,69.99,742600,69.99
2014-10-24,70.84,71.50,70.73,70.95,419700,70.95
2014-10-23,70.02,71.35,69.76,71.28,447100,71.28
