Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,196.20,199.10,196.20,198.45,832900,190.70
2015-03-17,198.30,198.30,195.35,196.25,809700,188.59
2015-03-16,194.55,199.40,194.55,198.65,790000,190.89
2015-03-13,193.95,194.45,191.75,194.40,637100,186.81
2015-03-12,189.65,194.10,189.45,193.85,876000,186.28
2015-03-11,189.35,190.35,187.75,189.45,824500,182.05
2015-03-10,186.75,189.60,186.60,188.85,734800,181.47
2015-03-09,186.00,188.25,185.50,187.85,517000,180.51
2015-03-06,187.45,187.85,186.35,187.05,487500,179.75
2015-03-05,186.50,187.65,186.00,187.25,575300,179.94
2015-03-04,185.55,185.55,183.50,185.35,683800,178.11
2015-03-03,186.00,186.90,184.35,184.45,553800,177.25
2015-03-02,185.85,186.50,185.25,185.60,480000,178.35
2015-02-27,184.25,185.55,183.70,185.50,601800,178.26
2015-02-26,183.20,184.10,181.65,184.00,494700,176.81
2015-02-25,182.00,183.00,181.50,182.50,537900,175.37
2015-02-24,180.55,182.15,179.80,181.75,546900,174.65
2015-02-23,180.05,180.60,178.80,180.45,574800,173.40
2015-02-20,180.20,180.20,177.10,178.50,1339900,171.53
2015-02-19,179.95,181.30,178.30,181.30,447900,174.22
2015-02-18,180.85,181.00,179.25,180.10,505400,173.07
2015-02-17,179.50,180.10,178.10,179.75,522800,172.73
2015-02-16,182.00,182.25,180.05,180.85,370000,173.79
2015-02-13,183.20,183.55,181.85,182.40,580300,175.28
2015-02-12,180.15,183.15,180.00,182.35,560900,175.23
2015-02-11,179.75,180.35,178.65,179.90,378800,172.87
2015-02-10,179.60,180.20,177.90,180.00,582700,172.97
2015-02-09,179.60,179.90,177.80,179.35,648600,172.35
2015-02-06,179.40,181.25,178.35,180.45,581900,173.40
2015-02-05,179.90,181.85,178.90,180.25,785700,173.21
2015-02-04,181.55,182.45,180.55,181.85,703600,174.75
2015-02-03,182.40,184.25,181.60,182.40,687900,175.28
2015-02-02,178.25,181.65,178.25,181.55,871500,174.46
2015-01-30,180.60,180.60,176.85,178.00,797200,171.05
2015-01-29,178.90,180.80,178.55,180.30,513400,173.26
2015-01-28,180.00,180.15,177.35,180.15,592800,173.11
2015-01-27,178.15,179.05,177.65,178.60,662700,171.63
2015-01-26,176.80,179.20,175.40,179.10,705200,172.11
2015-01-23,176.50,180.60,175.95,178.30,1171200,171.34
2015-01-22,173.80,176.55,171.80,175.90,936300,169.03
2015-01-21,172.80,174.00,170.95,173.35,671700,166.58
2015-01-20,172.75,173.50,171.65,172.75,689400,166.00
2015-01-19,172.90,173.15,170.75,172.30,535200,165.57
2015-01-16,167.80,171.85,166.70,171.10,1019100,164.42
2015-01-15,165.65,168.60,160.40,168.25,1214100,161.68
2015-01-14,163.60,166.00,163.45,163.85,734200,157.45
2015-01-13,162.90,165.75,162.75,165.00,573400,158.56
2015-01-12,162.65,164.20,161.00,163.05,588200,156.68
2015-01-09,163.80,164.70,160.60,161.40,707700,155.10
2015-01-08,162.20,164.60,161.00,164.40,742500,157.98
2015-01-07,160.50,162.30,158.70,160.45,851400,154.18
2015-01-06,162.00,162.95,160.20,160.70,627500,154.42
2015-01-05,164.00,165.15,161.15,161.35,699000,155.05
2015-01-02,166.20,166.95,163.65,164.85,465000,158.41
2015-01-01,165.75,165.75,165.75,165.75,000,159.28
2014-12-31,165.75,165.75,165.75,165.75,000,159.28
2014-12-30,167.00,167.25,165.75,165.75,239200,159.28
2014-12-29,167.85,168.40,165.40,167.60,476400,161.05
2014-12-26,168.50,168.50,168.50,168.50,000,161.92
2014-12-25,168.50,168.50,168.50,168.50,000,161.92
2014-12-24,168.50,168.50,168.50,168.50,000,161.92
2014-12-23,167.35,168.50,167.20,168.50,443000,161.92
2014-12-22,165.70,167.80,165.25,167.40,568400,160.86
2014-12-19,166.45,166.90,164.10,165.10,1428800,158.65
2014-12-18,163.40,165.30,162.60,165.30,938500,158.84
2014-12-17,158.15,161.65,158.10,160.90,1002100,154.62
2014-12-16,156.80,159.75,154.20,159.40,1393900,153.17
2014-12-15,160.50,161.95,156.65,156.70,1048000,150.58
2014-12-12,163.15,163.90,159.95,160.25,625900,153.99
2014-12-11,163.20,164.95,162.80,164.40,510400,157.98
2014-12-10,162.35,163.90,162.05,162.80,550100,156.44
2014-12-09,162.95,163.70,161.30,161.75,803700,155.43
2014-12-08,165.90,165.95,164.60,165.00,304500,158.56
2014-12-05,164.75,165.95,164.10,165.95,575600,159.47
2014-12-04,165.65,166.60,162.65,163.20,775800,156.83
2014-12-03,165.05,166.30,165.05,165.50,487500,159.04
2014-12-02,165.40,166.45,164.50,164.95,513600,158.51
2014-12-01,164.25,165.75,164.20,164.80,447700,158.36
2014-11-28,164.70,165.65,164.20,165.65,571800,159.18
2014-11-27,164.00,164.85,163.60,164.60,476300,158.17
2014-11-26,162.90,164.00,162.30,163.45,468500,157.07
2014-11-25,161.40,163.60,161.05,162.75,703500,156.39
2014-11-24,161.60,163.35,161.25,161.80,600300,155.48
2014-11-21,158.35,162.35,158.10,161.75,1196000,155.43
2014-11-20,158.35,158.65,156.85,158.25,495600,152.07
2014-11-19,157.60,159.40,157.15,158.15,495900,151.97
2014-11-18,155.80,157.50,155.25,157.40,444800,151.25
2014-11-17,153.90,156.05,153.35,155.65,562700,149.57
2014-11-14,155.00,155.20,153.60,155.20,487400,149.14
2014-11-13,155.20,155.65,153.30,154.65,522800,148.61
2014-11-12,155.80,156.10,153.90,154.25,603600,148.23
2014-11-11,156.35,156.90,155.45,156.15,566200,150.05
2014-11-10,153.85,155.45,153.20,155.45,507700,149.38
2014-11-07,156.05,156.70,152.35,154.00,833400,147.99
