Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,23.73,24.99,23.62,24.53,8637600,24.53
2015-03-17,23.79,23.86,23.40,23.67,3597800,23.67
2015-03-16,23.59,23.93,23.16,23.79,4555100,23.79
2015-03-13,23.86,23.86,23.26,23.56,3716300,23.56
2015-03-12,24.00,24.11,23.76,23.82,2718700,23.82
2015-03-11,23.67,23.98,23.42,23.98,4219200,23.98
2015-03-10,24.50,24.53,23.55,23.67,7193800,23.67
2015-03-09,24.22,24.42,24.02,24.35,2700600,24.35
2015-03-06,24.83,24.95,24.25,24.30,5410800,24.30
2015-03-05,24.42,25.00,24.32,24.95,3108400,24.95
2015-03-04,24.74,24.87,24.20,24.48,3006900,24.48
2015-03-03,24.85,24.97,24.54,24.56,2742600,24.56
2015-03-02,24.89,25.08,24.64,24.67,2951800,24.67
2015-02-27,24.70,25.10,24.69,24.99,3085300,24.99
2015-02-26,25.13,25.30,24.53,24.70,3175900,24.70
2015-02-25,24.67,25.42,24.61,25.06,4645300,25.06
2015-02-24,23.70,24.82,23.66,24.60,6192300,24.60
2015-02-23,23.47,23.72,23.29,23.70,2164700,23.70
2015-02-20,23.42,23.58,23.17,23.33,3895000,23.33
2015-02-19,23.65,23.68,23.27,23.48,3465900,23.48
2015-02-18,24.12,24.22,23.60,23.81,2516400,23.81
2015-02-17,23.66,24.09,23.36,24.03,2250900,24.03
2015-02-16,23.62,23.99,23.43,23.82,2122000,23.82
2015-02-13,23.53,23.74,23.27,23.70,3054100,23.70
2015-02-12,23.30,23.67,23.03,23.55,2766700,23.55
2015-02-11,23.22,23.53,22.98,23.41,3568700,23.41
2015-02-10,22.67,23.19,22.20,23.11,4817400,23.11
2015-02-09,23.10,23.12,22.64,22.74,3579300,22.74
2015-02-06,23.34,23.50,23.07,23.29,2727400,23.29
2015-02-05,23.40,23.44,22.70,23.33,5563200,23.33
2015-02-04,23.90,23.90,23.37,23.58,3274800,23.58
2015-02-03,25.11,25.48,23.32,23.91,8281100,23.91
2015-02-02,24.60,25.05,24.56,25.05,3206200,25.05
2015-01-30,24.75,24.82,24.48,24.61,3519000,24.61
2015-01-29,24.11,24.60,24.05,24.57,3285800,24.57
2015-01-28,23.95,24.38,23.83,24.26,3656700,24.26
2015-01-27,23.95,24.09,23.58,23.77,2697500,23.77
2015-01-26,23.78,24.00,23.70,23.89,2710000,23.89
2015-01-23,23.94,24.12,23.64,23.86,3796400,23.86
2015-01-22,23.31,23.75,23.18,23.72,5065200,23.72
2015-01-21,23.55,23.57,23.00,23.32,4864500,23.32
2015-01-20,23.65,23.70,23.34,23.58,3446400,23.58
2015-01-19,23.97,23.98,23.41,23.52,2739800,23.52
2015-01-16,22.44,24.26,22.30,23.50,9473500,23.50
2015-01-15,22.33,22.65,21.66,22.51,4923200,22.51
2015-01-14,22.41,22.53,22.00,22.10,5275000,22.10
2015-01-13,22.96,23.12,22.58,22.77,5081300,22.77
2015-01-12,23.82,23.86,22.51,23.10,6142500,23.10
2015-01-09,24.55,24.73,23.50,23.72,4688500,23.72
2015-01-08,24.39,24.67,24.08,24.62,3289200,24.62
2015-01-07,24.46,24.60,24.00,24.10,2728100,24.10
2015-01-06,24.56,24.71,24.11,24.31,2534100,24.31
2015-01-05,25.57,25.78,24.50,24.51,3367200,24.51
2015-01-02,25.74,25.81,25.11,25.68,2368800,25.68
2015-01-01,25.65,25.65,25.65,25.65,000,25.65
2014-12-31,25.65,25.65,25.65,25.65,000,25.65
2014-12-30,26.05,26.07,25.63,25.65,1223300,25.65
2014-12-29,26.27,26.45,25.83,26.20,1521400,26.20
2014-12-26,26.38,26.38,26.38,26.38,000,26.38
2014-12-25,26.38,26.38,26.38,26.38,000,26.38
2014-12-24,26.38,26.38,26.38,26.38,000,26.38
2014-12-23,26.20,26.42,25.88,26.38,1454500,26.38
2014-12-22,26.35,26.55,26.02,26.18,1735800,26.18
2014-12-19,26.79,26.79,25.99,26.25,6923000,26.25
2014-12-18,26.81,26.98,26.45,26.96,3874100,26.96
2014-12-17,25.88,26.59,25.75,26.43,3369900,26.43
2014-12-16,25.99,26.40,25.05,26.36,5593800,26.36
2014-12-15,26.88,26.89,25.73,25.77,4569200,25.77
2014-12-12,27.88,27.94,26.80,27.03,5046600,27.03
2014-12-11,28.30,28.58,27.98,28.08,2960300,28.08
2014-12-10,28.32,28.83,28.32,28.49,1703000,28.49
