Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,31.99,32.35,31.52,32.14,3034000,31.24
2015-03-17,33.23,33.46,31.82,31.85,2573800,30.96
2015-03-16,32.00,33.08,31.92,32.84,3136900,31.92
2015-03-13,32.32,32.88,31.08,31.51,3730000,30.63
2015-03-12,30.30,32.17,30.20,31.87,6917700,30.98
2015-03-11,29.17,29.86,29.11,29.66,2055200,28.83
2015-03-10,29.25,29.82,29.00,29.06,2382300,28.24
2015-03-09,28.65,29.39,28.52,29.24,1775900,28.42
2015-03-06,28.70,28.92,28.35,28.74,1371600,27.93
2015-03-05,28.48,28.95,28.47,28.75,1303800,27.94
2015-03-04,28.45,28.57,27.91,28.48,1349700,27.68
2015-03-03,28.85,29.03,28.43,28.43,830200,27.64
2015-03-02,28.80,29.15,28.70,28.95,1202300,28.14
2015-02-27,28.57,28.83,28.31,28.83,1367400,28.02
2015-02-26,28.80,28.89,28.60,28.72,885500,27.91
2015-02-25,28.80,28.97,28.75,28.80,864200,27.99
2015-02-24,28.85,28.88,28.51,28.75,839200,27.95
2015-02-23,28.75,28.92,28.50,28.85,811200,28.05
2015-02-20,28.77,28.97,28.43,28.51,1584900,27.72
2015-02-19,28.79,29.24,28.56,28.85,2097000,28.04
2015-02-18,28.08,28.85,28.08,28.82,1658900,28.01
2015-02-17,28.15,28.47,27.82,27.90,1283100,27.11
2015-02-16,28.58,28.66,28.12,28.36,1102000,27.57
2015-02-13,28.85,28.90,28.62,28.67,1131400,27.87
2015-02-12,28.09,28.93,28.09,28.73,1657400,27.93
2015-02-11,27.92,28.21,27.83,28.06,1035500,27.27
2015-02-10,28.00,28.22,27.68,27.81,1420400,27.03
2015-02-09,28.03,28.13,27.65,27.86,1311900,27.08
2015-02-06,28.20,28.35,27.97,28.15,1396800,27.36
2015-02-05,27.68,28.32,27.67,28.25,1612700,27.46
2015-02-04,28.17,28.32,27.61,27.85,1587100,27.07
2015-02-03,28.11,28.46,27.94,28.19,1975600,27.41
2015-02-02,27.99,28.25,27.81,27.98,1869100,27.20
2015-01-30,28.11,28.29,27.78,28.00,1696500,27.22
2015-01-29,27.72,28.27,27.72,28.07,1854000,27.28
2015-01-28,27.56,28.03,27.50,27.84,1819000,27.07
2015-01-27,27.55,27.98,27.34,27.44,2676800,26.67
2015-01-26,26.89,27.45,26.77,27.40,2688800,26.63
2015-01-23,26.90,27.24,26.74,27.10,3247400,26.34
2015-01-22,26.31,26.83,26.19,26.73,3768500,25.98
