Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,104.75,105.95,103.95,105.35,2564600,105.35
2015-03-17,105.90,106.00,103.45,104.45,2856300,104.45
2015-03-16,103.90,106.35,103.75,105.90,3419800,105.90
2015-03-13,102.55,103.40,101.40,103.40,2099100,103.40
2015-03-12,101.90,102.70,101.20,102.20,2106900,102.20
2015-03-11,99.45,102.50,99.20,102.10,3117200,102.10
2015-03-10,99.09,99.64,98.21,99.07,2004300,99.07
2015-03-09,98.88,99.78,98.04,99.58,1814000,99.58
2015-03-06,99.99,99.99,99.07,99.47,1888100,99.47
2015-03-05,98.86,99.96,98.60,99.54,2513600,99.54
2015-03-04,98.42,98.42,97.03,98.31,2284700,98.31
2015-03-03,98.70,99.32,97.75,97.93,1989900,97.93
2015-03-02,99.68,99.95,98.23,98.63,2942900,98.63
2015-02-27,99.10,99.82,99.00,99.82,2465500,99.82
2015-02-26,98.80,99.03,98.24,98.93,1754000,98.93
2015-02-25,98.46,98.85,98.31,98.78,1681100,98.78
2015-02-24,97.68,98.57,97.47,98.31,2102700,98.31
2015-02-23,98.27,98.54,97.42,98.00,1975200,98.00
2015-02-20,97.00,98.00,96.74,97.48,4157500,97.48
2015-02-19,96.45,97.71,96.34,97.48,2455600,97.48
2015-02-18,95.90,96.92,95.51,96.80,2003300,96.80
2015-02-17,95.00,96.20,94.53,95.64,2668600,95.64
2015-02-16,95.68,95.90,94.74,95.24,2524200,95.24
2015-02-13,94.72,96.23,94.34,95.96,2853600,95.96
2015-02-12,92.85,94.96,92.78,94.39,3634000,94.39
2015-02-11,94.21,94.53,93.50,94.38,1994700,94.38
2015-02-10,94.50,94.92,93.47,94.51,2431900,94.51
2015-02-09,94.80,95.00,93.49,94.12,2725600,94.12
2015-02-06,95.61,95.72,94.91,95.30,2217700,95.30
2015-02-05,95.40,96.57,94.67,96.30,2654700,96.30
2015-02-04,95.83,96.28,95.03,95.54,2722400,95.54
2015-02-03,95.17,96.64,95.16,96.01,3496100,96.01
2015-02-02,93.31,94.85,92.79,94.85,3284400,94.85
2015-01-30,94.00,94.21,92.57,93.00,4559400,93.00
2015-01-29,94.10,94.52,92.51,93.60,4452400,93.60
2015-01-28,97.17,97.17,93.65,95.02,6014600,95.02
2015-01-27,100.85,101.60,99.05,99.83,6451200,96.53
2015-01-26,100.80,103.30,100.15,102.90,3091500,99.50
2015-01-23,100.00,101.40,99.56,101.00,4579900,97.66
2015-01-22,98.68,99.65,97.85,99.25,3952500,95.97
2015-01-21,98.29,98.79,97.27,98.63,3167200,95.37
2015-01-20,98.00,98.42,97.17,97.41,3096000,94.19
2015-01-19,96.55,97.33,95.90,96.93,2351500,93.73
2015-01-16,94.55,96.08,93.83,95.47,3911200,92.31
2015-01-15,93.74,94.98,90.93,94.65,4442400,91.52
2015-01-14,93.10,93.93,92.22,92.74,2809700,89.67
2015-01-13,92.70,94.07,92.41,93.85,2930800,90.75
2015-01-12,92.80,94.31,92.25,93.44,2321400,90.35
2015-01-09,94.45,94.78,92.21,92.49,2943500,89.43
2015-01-08,92.90,94.50,92.30,94.42,3039000,91.30
2015-01-07,91.40,92.33,90.68,91.43,2032700,88.41
2015-01-06,91.31,92.28,89.63,90.85,2718100,87.85
2015-01-05,93.23,94.43,90.90,90.93,3126300,87.92
2015-01-02,94.01,95.00,92.67,93.76,1758800,90.66
2015-01-01,93.75,93.75,93.75,93.75,000,90.65
2014-12-31,93.75,93.75,93.75,93.75,000,90.65
2014-12-30,94.13,94.61,93.71,93.75,1090000,90.65
2014-12-29,94.25,94.85,93.24,94.85,1345300,91.71
2014-12-26,94.59,94.59,94.59,94.59,000,91.46
2014-12-25,94.59,94.59,94.59,94.59,000,91.46
2014-12-24,94.59,94.59,94.59,94.59,000,91.46
2014-12-23,94.12,94.88,93.52,94.59,1475600,91.46
2014-12-22,92.90,94.37,92.90,93.81,1805900,90.71
2014-12-19,94.61,94.97,92.45,92.76,7916800,89.69
2014-12-18,92.50,93.89,91.85,93.86,3551900,90.76
2014-12-17,90.02,91.85,89.78,91.10,2426600,88.09
2014-12-16,89.50,91.44,87.96,91.44,5192900,88.42
2014-12-15,91.55,92.85,88.90,88.98,3313300,86.04
2014-12-12,93.09,93.27,91.35,91.38,2523600,88.36
2014-12-11,92.70,94.18,92.66,93.81,2432600,90.71
2014-12-10,93.00,94.22,92.65,93.11,2277400,90.03
2014-12-09,92.63,93.39,92.06,92.64,3391200,89.58
2014-12-08,94.40,94.66,93.94,94.11,1780400,91.00
2014-12-05,93.04,94.52,93.04,94.39,2841900,91.27
2014-12-04,93.69,94.53,91.81,92.56,3236200,89.50
2014-12-03,94.08,94.48,93.74,93.90,2057000,90.80
2014-12-02,94.83,95.15,93.59,93.80,2323500,90.70
2014-12-01,94.17,94.74,93.60,94.53,1680500,91.41
2014-11-28,96.49,96.63,94.06,95.16,3465300,92.01
2014-11-27,95.99,96.63,95.70,96.40,1621300,93.21
2014-11-26,95.77,95.95,95.03,95.93,2131900,92.76
2014-11-25,94.30,95.59,94.14,95.23,2512200,92.08
2014-11-24,94.15,94.83,93.72,94.30,2504100,91.18
2014-11-21,91.35,94.30,91.22,93.98,5440700,90.87
2014-11-20,91.00,91.26,89.93,90.89,1960100,87.89
2014-11-19,90.90,91.51,90.65,90.97,1552500,87.96
2014-11-18,89.06,91.03,88.95,90.96,2333400,87.95
2014-11-17,87.42,89.14,87.33,88.92,1985900,85.98
2014-11-14,88.36,88.97,87.69,88.50,1842400,85.57
2014-11-13,88.43,88.98,87.51,88.16,1943000,85.25
2014-11-12,88.60,88.90,87.57,87.89,2328600,84.98
2014-11-11,88.41,89.20,88.41,88.98,2047900,86.04
2014-11-10,86.90,88.65,86.64,88.58,2013500,85.65
2014-11-07,89.65,89.92,86.92,88.03,3572600,85.12
2014-11-06,88.80,91.16,88.39,89.61,4519700,86.65
2014-11-05,88.21,89.08,88.17,89.08,2691700,86.14
2014-11-04,88.72,89.89,87.62,87.90,3548300,84.99
2014-11-03,89.62,90.21,88.87,89.06,2229400,86.12
2014-10-31,88.90,90.00,88.23,89.91,3599000,86.94
2014-10-30,87.48,87.75,85.58,87.36,2560500,84.47
2014-10-29,87.68,88.39,87.27,87.31,2096000,84.42
2014-10-28,86.05,87.32,86.02,87.03,2004700,84.15
2014-10-27,86.97,87.07,84.97,85.56,2433400,82.73
2014-10-24,86.26,86.84,85.91,86.09,2661300,83.24
2014-10-23,84.95,86.94,84.33,86.64,2663500,83.78
2014-10-22,85.97,86.37,85.09,85.53,2942900,82.70
2014-10-21,82.59,85.56,82.23,85.43,3297100,82.61
2014-10-20,84.49,84.50,82.72,83.08,2480100,80.33
2014-10-17,82.83,84.35,82.07,84.20,6321300,81.42
2014-10-16,82.70,83.25,80.17,82.42,5452200,79.70
2014-10-15,85.01,85.17,81.98,82.34,3925300,79.62
2014-10-14,83.72,85.16,82.90,84.71,3068900,81.91
2014-10-13,83.00,85.73,82.61,84.50,3782800,81.71
2014-10-10,86.05,86.54,83.41,83.60,5973500,80.84
2014-10-09,87.90,89.39,86.69,87.01,3938500,84.13
2014-10-08,87.57,87.85,86.26,86.65,3357600,83.79
2014-10-07,89.20,89.20,87.67,87.96,4152000,85.05
2014-10-06,91.10,91.69,89.38,89.95,4981900,86.98
2014-10-03,91.40,91.40,91.40,91.40,000,88.38
2014-10-02,93.00,93.98,91.40,91.40,3025200,88.38
