Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,17.07,17.10,16.92,17.00,1117500,17.00
2014-02-20,16.94,17.05,16.88,17.05,1643800,17.05
2014-02-19,17.09,17.24,17.02,17.18,1331700,17.18
2014-02-18,17.01,17.15,16.91,17.11,5544600,17.11
2014-02-17,17.20,17.25,17.02,17.02,581900,17.02
2014-02-14,17.10,17.24,17.03,17.16,1028600,17.16
2014-02-13,16.86,17.19,16.76,17.14,1463400,17.14
2014-02-12,16.98,17.02,16.85,16.92,1599400,16.92
2014-02-11,17.00,17.00,16.85,16.98,1516900,16.98
2014-02-10,17.00,17.00,16.77,16.85,1382500,16.85
2014-02-07,16.82,16.98,16.70,16.98,1502000,16.98
2014-02-06,16.60,16.84,16.53,16.79,1643900,16.79
2014-02-05,16.38,16.66,16.32,16.57,1216800,16.57
2014-02-04,16.44,16.55,16.25,16.42,1608600,16.42
2014-02-03,16.50,16.67,16.44,16.51,1975000,16.51
2014-01-31,16.62,16.67,16.37,16.58,1711400,16.58
2014-01-30,16.58,16.72,16.45,16.63,1420400,16.63
2014-01-29,16.48,16.82,16.27,16.58,2167100,16.58
2014-01-28,16.24,16.44,16.18,16.40,1524200,16.40
2014-01-27,16.45,16.53,16.12,16.31,2079000,16.31
2014-01-24,17.01,17.05,16.33,16.38,2242400,16.38
2014-01-23,17.07,17.17,16.81,16.97,1451600,16.97
2014-01-22,17.38,17.42,17.05,17.08,1644400,17.08
2014-01-21,17.29,17.37,17.22,17.32,1620700,17.32
2014-01-20,17.33,17.40,17.20,17.38,2072400,17.38
2014-01-17,17.15,17.61,16.95,17.39,2164600,17.39
2014-01-16,16.98,17.16,16.95,17.12,1603500,17.12
2014-01-15,16.90,17.08,16.85,17.00,2051000,17.00
2014-01-14,16.59,16.83,16.45,16.83,2083400,16.83
2014-01-13,16.63,16.77,16.50,16.72,965900,16.72
2014-01-10,16.62,16.77,16.55,16.59,1281000,16.59
2014-01-09,16.52,16.93,16.41,16.59,3689900,16.59
2014-01-08,16.45,16.60,16.38,16.51,1756200,16.51
2014-01-07,16.17,16.42,16.10,16.40,3745200,16.40
2014-01-06,16.04,16.25,16.04,16.20,1195600,16.20
2014-01-03,16.08,16.24,16.06,16.10,976400,16.10
2014-01-02,16.20,16.31,16.01,16.10,1753100,16.10
2014-01-01,16.15,16.15,16.15,16.15,000,16.15
2013-12-31,16.23,16.24,16.15,16.15,2544200,16.15
2013-12-30,16.20,16.24,16.09,16.23,1154100,16.23
2013-12-27,16.15,16.22,16.05,16.20,1430200,16.20
2013-12-26,16.11,16.11,16.11,16.11,000,16.11
2013-12-25,16.11,16.11,16.11,16.11,000,16.11
2013-12-24,16.10,16.24,16.06,16.11,327800,16.11
2013-12-23,15.68,16.05,15.66,16.02,1455500,16.02
2013-12-20,15.59,15.68,15.52,15.56,10384400,15.56
2013-12-19,15.27,15.62,15.27,15.61,2424400,15.61
2013-12-18,15.30,15.35,15.10,15.15,2861100,15.15
2013-12-17,15.38,15.43,15.22,15.24,2324700,15.24
2013-12-16,15.15,15.45,15.10,15.39,3267000,15.39
2013-12-13,15.15,15.28,15.03,15.16,2395200,15.16
2013-12-12,15.40,15.50,15.23,15.27,1160700,15.27
2013-12-11,15.50,15.60,15.41,15.43,1838700,15.43
2013-12-10,15.65,15.69,15.43,15.48,1358100,15.48
2013-12-09,15.49,15.65,15.48,15.64,5511900,15.64
2013-12-06,15.55,15.61,15.26,15.50,3498200,15.50
2013-12-05,15.61,15.65,15.49,15.52,3981100,15.52
2013-12-04,15.60,15.68,15.45,15.59,10318600,15.59
2013-12-03,15.64,15.71,15.49,15.56,3976700,15.56
2013-12-02,15.65,15.68,15.40,15.60,1072300,15.60
2013-11-29,15.65,15.73,15.60,15.65,1712300,15.65
2013-11-28,15.57,15.72,15.55,15.62,1103600,15.62
2013-11-27,15.40,15.66,15.35,15.63,1393100,15.63
2013-11-26,15.16,15.40,15.15,15.40,1952300,15.40
2013-11-25,15.23,15.32,15.15,15.20,1610600,15.20
2013-11-22,15.05,15.23,14.99,15.14,1348800,15.14
2013-11-21,14.89,15.14,14.84,15.06,1213100,15.06
2013-11-20,15.06,15.06,14.86,14.95,1842300,14.95
2013-11-19,15.26,15.28,15.08,15.08,1254400,15.08
2013-11-18,15.25,15.45,15.12,15.30,6483600,15.30
2013-11-15,15.34,15.40,15.24,15.33,1228300,15.33
2013-11-14,15.34,15.49,15.27,15.37,1121100,15.37
2013-11-13,15.28,15.38,15.17,15.25,16132000,15.25
2013-11-12,15.33,15.34,15.15,15.27,1787900,15.27
2013-11-11,15.36,15.44,15.23,15.33,15740900,15.33
2013-11-08,15.19,15.39,15.14,15.38,2947200,15.38
2013-11-07,15.30,15.57,15.19,15.21,2309800,15.21
2013-11-06,15.19,15.37,15.19,15.30,2242000,15.30
2013-11-05,15.58,15.60,15.36,15.40,4719600,15.14
2013-11-04,15.52,15.59,15.46,15.52,1792800,15.26
2013-11-01,15.77,15.79,15.41,15.49,4424800,15.23
2013-10-31,15.60,15.82,15.42,15.80,4390300,15.53
2013-10-30,15.98,16.12,15.70,15.73,5797600,15.46
2013-10-29,15.82,15.99,15.78,15.95,1497600,15.68
2013-10-28,15.90,15.95,15.78,15.89,12177200,15.62
2013-10-25,15.90,15.96,15.77,15.90,5695600,15.64
2013-10-24,15.77,15.98,15.72,15.98,1872100,15.71
2013-10-23,15.91,15.93,15.65,15.75,5912900,15.48
2013-10-22,15.98,16.13,15.91,15.94,2849600,15.68
2013-10-21,15.90,16.05,15.84,15.95,3426500,15.68
2013-10-18,15.79,15.95,15.79,15.90,4695500,15.63
2013-10-17,15.68,15.85,15.61,15.76,1509300,15.49
