Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,26.59,26.65,26.46,26.55,1255900,26.55
2014-02-20,26.12,26.44,25.92,26.44,1205200,26.44
2014-02-19,26.36,26.59,26.27,26.45,962000,26.45
2014-02-18,26.38,26.50,26.16,26.38,918000,26.38
2014-02-17,26.60,26.80,26.38,26.38,786400,26.38
2014-02-14,26.70,26.78,26.47,26.61,1366000,26.61
2014-02-13,26.58,26.82,26.47,26.70,1095000,26.70
2014-02-12,26.73,26.75,26.59,26.62,1613100,26.62
2014-02-11,26.68,26.78,26.47,26.70,1265200,26.70
2014-02-10,27.05,27.07,26.51,26.58,1148400,26.58
2014-02-07,26.52,27.05,26.33,26.92,1325800,26.92
2014-02-06,25.66,26.44,25.59,26.34,1547600,26.34
2014-02-05,25.64,25.88,25.40,25.56,1139700,25.56
2014-02-04,25.37,25.98,25.11,25.74,797600,25.74
2014-02-03,26.06,26.33,25.45,25.52,2204200,25.52
2014-01-31,26.36,26.50,25.75,26.08,973000,26.08
2014-01-30,26.27,26.48,25.99,26.38,986500,26.38
2014-01-29,27.00,27.17,26.12,26.65,1010500,26.65
2014-01-28,26.36,26.80,26.22,26.75,913900,26.75
2014-01-27,26.50,26.82,25.92,26.22,2790000,26.22
2014-01-24,27.56,27.61,26.36,26.40,1181600,26.40
2014-01-23,27.51,27.62,27.33,27.48,919200,27.48
2014-01-22,27.40,27.59,27.24,27.50,1930400,27.50
2014-01-21,27.74,27.86,27.10,27.25,2909500,27.25
2014-01-20,28.02,28.17,27.60,27.70,1072300,27.70
2014-01-17,27.88,28.24,27.45,28.03,1234600,28.03
2014-01-16,27.80,27.92,27.36,27.78,1073200,27.78
2014-01-15,27.20,27.75,27.14,27.75,1175900,27.75
2014-01-14,26.72,27.17,26.57,27.07,967400,27.07
2014-01-13,26.60,26.95,26.46,26.85,786800,26.85
2014-01-10,26.47,26.73,26.31,26.55,759500,26.55
2014-01-09,26.00,26.65,25.84,26.34,1310600,26.34
2014-01-08,25.93,26.07,25.62,25.94,2878900,25.94
2014-01-07,25.26,25.92,25.03,25.92,1232600,25.92
2014-01-06,24.95,25.25,24.56,25.14,537300,25.14
2014-01-03,25.02,25.17,24.88,24.99,472700,24.99
2014-01-02,25.15,25.26,24.80,25.01,792300,25.01
2014-01-01,25.02,25.02,25.02,25.02,000,25.02
2013-12-31,25.05,25.15,24.95,25.02,212100,25.02
2013-12-30,25.02,25.19,24.91,24.98,641600,24.98
2013-12-27,24.65,25.00,24.65,24.95,805500,24.95
2013-12-26,24.65,24.65,24.65,24.65,000,24.65
2013-12-25,24.65,24.65,24.65,24.65,000,24.65
2013-12-24,24.47,24.79,24.44,24.65,431600,24.65
2013-12-23,23.90,24.31,23.90,24.30,593100,24.30
2013-12-20,23.90,24.18,23.66,23.84,1775300,23.84
2013-12-19,23.29,23.83,23.24,23.83,824100,23.83
2013-12-18,23.17,23.17,22.88,23.05,859500,23.05
2013-12-17,22.99,23.10,22.66,22.99,5060600,22.99
2013-12-16,22.28,23.13,22.20,23.08,1047700,23.08
2013-12-13,21.98,22.41,21.92,22.32,882500,22.32
2013-12-12,22.29,22.33,21.92,22.03,826900,22.03
2013-12-11,22.47,22.62,22.26,22.30,471400,22.30
2013-12-10,22.51,22.76,22.30,22.46,917700,22.46
2013-12-09,22.03,22.56,21.93,22.50,1462800,22.50
2013-12-06,22.60,22.67,21.74,22.03,1841700,22.03
2013-12-05,22.85,23.04,22.56,22.62,1706900,22.62
2013-12-04,23.20,23.30,22.86,22.96,1086600,22.96
2013-12-03,23.51,23.64,23.16,23.22,985800,23.22
2013-12-02,23.83,23.86,23.45,23.51,787400,23.51
2013-11-29,23.75,23.99,23.67,23.78,1063300,23.78
2013-11-28,23.48,23.84,23.44,23.76,524800,23.76
2013-11-27,23.09,23.45,23.02,23.43,1181000,23.43
2013-11-26,22.88,23.11,22.80,23.04,956600,23.04
2013-11-25,23.05,23.20,22.81,22.95,699200,22.95
2013-11-22,23.06,23.10,22.71,22.93,821300,22.93
2013-11-21,22.86,22.96,22.58,22.93,1128300,22.93
2013-11-20,23.31,23.31,22.83,22.95,1225200,22.95
2013-11-19,23.80,23.87,23.30,23.32,999200,23.32
2013-11-18,23.60,24.09,23.45,23.85,773900,23.85
2013-11-15,23.75,24.00,23.52,23.62,1127500,23.62
2013-11-14,24.02,24.28,23.75,23.88,1179000,23.88
