Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,31.50,31.76,31.31,31.75,1485200,31.75
2014-02-20,31.12,31.52,31.03,31.46,1491800,31.46
2014-02-19,31.26,31.61,31.14,31.48,944300,31.48
2014-02-18,31.36,31.86,31.08,31.39,1362100,31.39
2014-02-17,31.33,31.55,31.18,31.25,522300,31.25
2014-02-14,31.25,31.57,31.01,31.33,1592700,31.33
2014-02-13,30.67,31.22,30.32,31.13,1641200,31.13
2014-02-12,30.84,30.86,30.54,30.78,2430800,30.78
2014-02-11,30.24,30.82,30.18,30.67,3002400,30.67
2014-02-10,29.97,30.14,29.83,30.11,2139100,30.11
2014-02-07,29.84,30.02,29.66,29.83,5210900,29.83
2014-02-06,29.61,29.80,29.53,29.70,5540000,29.70
2014-02-05,29.67,29.80,29.32,29.45,3115200,29.45
2014-02-04,29.67,29.99,29.11,29.71,5547200,29.71
2014-02-03,29.50,30.16,29.40,29.65,12311800,29.65
2014-01-31,30.00,30.18,29.20,29.35,43362000,29.35
2014-01-30,30.28,30.42,29.86,30.25,7055400,30.01
2014-01-29,30.11,30.45,29.62,30.22,1493200,29.98
2014-01-28,29.76,30.02,29.58,29.97,9847500,29.73
2014-01-27,29.89,30.07,29.25,29.58,13884500,29.35
2014-01-24,30.56,30.74,29.74,29.83,30775300,29.60
2014-01-23,30.05,30.58,29.88,30.54,3984100,30.30
2014-01-22,30.06,30.27,29.97,30.11,3531500,29.87
2014-01-21,30.15,30.25,29.90,30.00,1614800,29.76
2014-01-20,30.01,30.41,29.99,30.15,1778600,29.91
2014-01-17,30.05,30.29,29.62,30.01,2974400,29.77
2014-01-16,30.85,30.90,30.55,30.59,1376500,30.35
2014-01-15,30.50,30.87,30.50,30.72,2413400,30.47
2014-01-14,30.39,30.62,30.01,30.43,1797300,30.20
2014-01-13,31.15,31.21,30.45,30.56,1945000,30.32
2014-01-10,31.00,31.33,30.93,31.13,1047600,30.89
2014-01-09,30.65,31.34,30.54,30.97,3597600,30.73
2014-01-08,30.55,30.70,30.38,30.70,3540700,30.46
2014-01-07,31.00,31.03,30.47,30.49,3552900,30.25
2014-01-06,30.44,31.03,30.43,30.85,932500,30.61
2014-01-03,30.50,30.76,30.38,30.52,1669700,30.28
2014-01-02,31.36,31.40,30.43,30.43,1589800,30.20
2014-01-01,31.10,31.10,31.10,31.10,000,30.86
2013-12-31,31.18,31.25,31.00,31.10,762900,30.86
2013-12-30,30.90,31.20,30.80,30.92,1052300,30.67
2013-12-27,30.75,31.08,30.67,30.92,2134700,30.67
2013-12-26,30.51,30.51,30.51,30.51,000,30.27
2013-12-25,30.51,30.51,30.51,30.51,000,30.27
2013-12-24,30.43,30.75,30.32,30.51,411300,30.27
2013-12-23,30.20,30.41,30.12,30.21,2258200,29.97
2013-12-20,30.00,30.39,29.91,30.17,4490800,29.93
2013-12-19,28.72,29.52,28.66,29.51,2424200,29.28
2013-12-18,28.09,28.42,28.03,28.38,1583500,28.16
2013-12-17,27.91,28.07,27.78,28.00,1847200,27.78
2013-12-16,27.17,28.04,27.17,27.88,1362000,27.66
2013-12-13,27.52,27.59,27.18,27.24,1690000,27.02
2013-12-12,27.57,27.86,27.41,27.58,1423300,27.36
2013-12-11,27.62,27.92,27.40,27.70,3464900,27.49
2013-12-10,27.66,27.92,27.54,27.76,1700600,27.54
2013-12-09,27.29,27.74,27.27,27.59,1540100,27.38
2013-12-06,27.53,27.65,26.86,27.32,3059100,27.10
2013-12-05,27.53,27.77,27.40,27.56,1062500,27.34
2013-12-04,27.63,27.67,27.38,27.59,1632200,27.38
2013-12-03,27.75,27.87,27.31,27.50,2177400,27.29
2013-12-02,27.64,27.85,27.53,27.76,1078500,27.54
2013-11-29,27.60,27.83,27.43,27.57,1876400,27.35
2013-11-28,27.52,27.71,27.47,27.50,687300,27.28
2013-11-27,27.55,27.71,27.33,27.59,1108000,27.38
2013-11-26,27.38,27.66,27.31,27.57,1098800,27.35
2013-11-25,27.42,27.58,27.25,27.43,1636000,27.22
2013-11-22,27.03,27.33,26.98,27.22,1734100,27.00
2013-11-21,27.12,27.27,26.90,27.07,1110100,26.85
2013-11-20,27.29,27.44,27.07,27.10,1638400,26.89
2013-11-19,27.54,27.60,27.25,27.33,954900,27.11
2013-11-18,27.76,27.99,27.56,27.62,933600,27.40
2013-11-15,27.97,27.98,27.61,27.75,781200,27.54
2013-11-14,27.82,28.02,27.73,27.89,1094100,27.67
2013-11-13,27.63,27.82,27.50,27.60,1330000,27.38
2013-11-12,27.85,27.96,27.50,27.63,2701100,27.41
2013-11-11,28.15,28.17,27.80,27.85,742900,27.64
2013-11-08,27.51,28.01,27.08,27.97,2751400,27.75
2013-11-07,27.05,27.50,26.85,27.33,3016900,27.11
2013-11-06,27.00,27.13,26.60,26.77,3457200,26.57
2013-11-05,27.15,27.18,26.58,26.79,1954500,26.58
2013-11-04,27.01,27.17,26.92,27.02,1283000,26.81
2013-11-01,27.43,27.43,26.76,26.83,1282300,26.62
2013-10-31,27.10,27.35,27.01,27.35,2032600,27.14
