Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,8.98,8.98,8.84,8.90,32720700,8.90
2014-02-20,8.79,8.94,8.76,8.92,20911200,8.92
2014-02-19,8.89,8.97,8.76,8.91,23381000,8.91
2014-02-18,9.02,9.04,8.86,8.90,35273700,8.90
2014-02-17,8.99,9.01,8.88,9.01,15126700,9.01
2014-02-14,9.00,9.10,8.90,8.94,34447300,8.94
2014-02-13,8.94,8.96,8.78,8.96,28980300,8.96
2014-02-12,9.09,9.13,8.90,8.99,33861600,8.99
2014-02-11,8.99,9.06,8.90,9.04,27444600,9.04
2014-02-10,9.11,9.13,8.84,8.88,28984000,8.88
2014-02-07,8.96,9.11,8.84,9.05,37840200,9.05
2014-02-06,8.87,8.98,8.75,8.96,46983200,8.96
2014-02-05,8.68,8.83,8.61,8.78,36563500,8.78
2014-02-04,8.52,8.77,8.51,8.66,41752800,8.66
2014-02-03,8.83,8.89,8.54,8.56,71318100,8.56
2014-01-31,8.95,8.99,8.65,8.86,57070400,8.86
2014-01-30,8.76,8.90,8.56,8.84,34892600,8.84
2014-01-29,8.96,9.02,8.56,8.76,62677800,8.76
2014-01-28,8.70,8.87,8.67,8.79,47759600,8.79
2014-01-27,8.76,8.93,8.65,8.65,64676700,8.65
2014-01-24,9.14,9.19,8.74,8.85,111548500,8.85
2014-01-23,9.37,9.55,9.28,9.33,45713100,9.33
2014-01-22,9.61,9.66,9.35,9.42,28607400,9.42
2014-01-21,9.68,9.79,9.54,9.54,23987100,9.54
2014-01-20,9.68,9.73,9.58,9.66,17610700,9.66
2014-01-17,9.68,9.78,9.55,9.71,50733000,9.71
2014-01-16,9.93,9.96,9.68,9.68,39579500,9.68
2014-01-15,9.59,9.93,9.58,9.93,37529400,9.93
2014-01-14,9.40,9.54,9.33,9.54,30679700,9.54
2014-01-13,9.47,9.58,9.40,9.49,27241000,9.49
2014-01-10,9.39,9.40,9.24,9.31,50780200,9.31
2014-01-09,9.39,9.53,9.24,9.30,43034900,9.30
2014-01-08,9.35,9.56,9.23,9.39,43445900,9.39
2014-01-07,8.88,9.32,8.82,9.32,71463800,9.32
2014-01-06,8.68,8.88,8.68,8.82,21417600,8.82
2014-01-03,8.73,8.76,8.64,8.73,34109300,8.73
2014-01-02,8.96,9.00,8.71,8.75,89390900,8.75
2014-01-01,8.95,8.95,8.95,8.95,000,8.95
2013-12-31,8.95,8.95,8.91,8.95,8107600,8.95
2013-12-30,8.97,9.00,8.90,8.95,24247400,8.95
2013-12-27,8.84,8.97,8.84,8.97,24693400,8.97
2013-12-26,8.86,8.86,8.86,8.86,000,8.86
