Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,1.57,1.57,1.55,1.57,63347900,1.57
2014-02-20,1.54,1.58,1.53,1.56,66506000,1.56
2014-02-19,1.52,1.57,1.51,1.56,104366500,1.56
2014-02-18,1.50,1.52,1.49,1.52,130077600,1.52
2014-02-17,1.49,1.50,1.47,1.50,55316000,1.50
2014-02-14,1.49,1.49,1.47,1.49,51307700,1.49
2014-02-13,1.45,1.50,1.43,1.50,90856300,1.50
2014-02-12,1.48,1.50,1.41,1.45,122792300,1.45
2014-02-11,1.40,1.48,1.40,1.47,97533700,1.47
2014-02-10,1.40,1.40,1.38,1.40,55039400,1.40
2014-02-07,1.37,1.40,1.36,1.40,97361300,1.40
2014-02-06,1.35,1.37,1.33,1.37,76786200,1.37
2014-02-05,1.34,1.35,1.31,1.33,51404600,1.33
2014-02-04,1.28,1.33,1.27,1.33,60808100,1.33
2014-02-03,1.30,1.32,1.27,1.29,44507900,1.29
2014-01-31,1.32,1.32,1.26,1.29,39972700,1.29
2014-01-30,1.30,1.32,1.27,1.31,28947200,1.31
2014-01-29,1.31,1.34,1.26,1.31,50365800,1.31
2014-01-28,1.25,1.30,1.25,1.29,40687300,1.29
2014-01-27,1.26,1.27,1.19,1.23,59254000,1.23
2014-01-24,1.31,1.31,1.24,1.26,57662600,1.26
2014-01-23,1.27,1.33,1.27,1.31,42380000,1.31
2014-01-22,1.33,1.35,1.26,1.27,58962200,1.27
2014-01-21,1.37,1.37,1.31,1.32,48812000,1.32
2014-01-20,1.35,1.38,1.34,1.36,41963200,1.36
2014-01-17,1.35,1.37,1.32,1.35,54226000,1.35
2014-01-16,1.38,1.39,1.34,1.35,108179000,1.35
2014-01-15,1.35,1.38,1.34,1.38,96712900,1.38
2014-01-14,1.31,1.35,1.29,1.34,94261700,1.34
2014-01-13,1.30,1.33,1.30,1.33,65321500,1.33
2014-01-10,1.28,1.30,1.27,1.30,75161800,1.30
2014-01-09,1.26,1.29,1.24,1.28,66175500,1.28
