Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,5.87,5.89,5.80,5.87,2726700,5.86
2014-02-20,5.87,5.91,5.78,5.86,4089600,5.86
2014-02-19,5.97,5.99,5.89,5.94,3089500,5.94
2014-02-18,5.97,5.99,5.87,5.97,3134100,5.97
2014-02-17,5.95,5.98,5.91,5.96,2543200,5.96
2014-02-14,6.00,6.01,5.93,5.95,5240000,5.95
2014-02-13,5.93,6.02,5.81,6.02,4614200,6.02
2014-02-12,6.00,6.03,5.91,5.93,6777400,5.93
2014-02-11,6.02,6.04,5.91,5.99,6443600,5.98
2014-02-10,6.03,6.09,5.91,6.01,6688900,6.01
2014-02-07,5.95,6.08,5.84,6.04,7011500,6.04
2014-02-06,5.75,5.95,5.71,5.93,9849500,5.93
2014-02-05,5.61,5.79,5.57,5.71,9528200,5.71
2014-02-04,5.42,5.61,5.40,5.59,4366000,5.59
2014-02-03,5.56,5.64,5.42,5.46,5302900,5.46
2014-01-31,5.59,5.60,5.47,5.55,5230600,5.55
2014-01-30,5.43,5.59,5.35,5.57,4682100,5.57
2014-01-29,5.30,5.43,5.20,5.43,8054200,5.42
2014-01-28,5.24,5.30,5.18,5.25,5286300,5.25
2014-01-27,5.15,5.25,5.07,5.18,5826200,5.18
2014-01-24,5.34,5.38,5.09,5.15,7634000,5.15
2014-01-23,5.44,5.45,5.30,5.34,6662200,5.34
2014-01-22,5.59,5.65,5.20,5.38,13380600,5.38
2014-01-21,5.61,5.65,5.55,5.55,3613800,5.54
2014-01-20,5.59,5.65,5.51,5.59,2916300,5.59
2014-01-17,5.65,5.68,5.55,5.61,3970900,5.61
2014-01-16,5.73,5.74,5.62,5.64,4973900,5.64
2014-01-15,5.66,5.72,5.63,5.70,6291500,5.70
2014-01-14,5.53,5.65,5.45,5.65,5353700,5.65
2014-01-13,5.64,5.65,5.56,5.58,6150900,5.58
2014-01-10,5.55,5.65,5.54,5.60,5585200,5.60
2014-01-09,5.51,5.63,5.42,5.49,7728300,5.49
2014-01-08,5.50,5.65,5.36,5.49,9526100,5.48
2014-01-07,5.25,5.51,5.24,5.47,11927000,5.47
2014-01-06,4.99,5.25,4.98,5.21,5493200,5.21
2014-01-03,4.98,5.05,4.93,5.02,5199900,5.00
2014-01-02,5.01,5.06,4.98,4.99,5111100,4.98
2014-01-01,4.99,4.99,4.99,4.99,000,4.97
2013-12-31,5.03,5.04,4.98,4.99,1669400,4.97
2013-12-30,5.05,5.06,5.00,5.03,2926400,5.02
2013-12-27,4.92,5.05,4.92,5.03,6277500,5.01
2013-12-26,4.95,4.95,4.95,4.95,000,4.93
2013-12-25,4.95,4.95,4.95,4.95,000,4.93
2013-12-24,5.03,5.09,4.95,4.95,2309400,4.93
2013-12-23,4.95,5.05,4.95,5.03,6592900,5.01
2013-12-20,4.95,4.97,4.90,4.95,15391000,4.93
2013-12-19,4.93,5.02,4.90,4.94,9729200,4.92
2013-12-18,4.75,4.92,4.73,4.85,7652100,4.84
2013-12-17,4.69,4.85,4.67,4.73,7398600,4.71
2013-12-16,4.60,4.76,4.58,4.70,6371300,4.68
2013-12-13,4.50,4.67,4.50,4.63,4260400,4.61
2013-12-12,4.58,4.60,4.43,4.51,4153100,4.49
2013-12-11,4.52,4.62,4.50,4.58,5976300,4.57
2013-12-10,4.44,4.53,4.44,4.49,3855100,4.48
2013-12-09,4.37,4.50,4.37,4.49,3322500,4.48
2013-12-06,4.40,4.41,4.20,4.36,6396100,4.34
2013-12-05,4.51,4.60,4.35,4.35,4901100,4.34
2013-12-04,4.60,4.61,4.45,4.51,4655000,4.50
2013-12-03,4.67,4.70,4.60,4.60,5020600,4.58
2013-12-02,4.67,4.70,4.58,4.67,2883200,4.65
2013-11-29,4.68,4.73,4.65,4.65,3515200,4.63
2013-11-28,4.60,4.69,4.59,4.67,3576900,4.65
2013-11-27,4.55,4.60,4.51,4.58,3068800,4.57
2013-11-26,4.45,4.55,4.41,4.55,7432900,4.53
2013-11-25,4.48,4.49,4.44,4.45,2840800,4.44
2013-11-22,4.36,4.48,4.35,4.45,4064400,4.43
2013-11-21,4.31,4.40,4.29,4.36,4100700,4.34
2013-11-20,4.45,4.49,4.31,4.35,4235200,4.33
2013-11-19,4.57,4.58,4.44,4.44,4348900,4.42
2013-11-18,4.47,4.61,4.45,4.60,5088600,4.58
2013-11-15,4.47,4.50,4.43,4.47,2932900,4.45
2013-11-14,4.53,4.54,4.40,4.45,3696900,4.44
2013-11-13,4.50,4.55,4.43,4.47,3902600,4.45
2013-11-12,4.52,4.58,4.49,4.53,4972300,4.51
2013-11-11,4.52,4.54,4.46,4.51,3018100,4.50
2013-11-08,4.45,4.53,4.41,4.51,5347500,4.49
2013-11-07,4.49,4.65,4.45,4.47,6640200,4.45
2013-11-06,4.50,4.55,4.48,4.53,4881800,4.52
2013-11-05,4.52,4.52,4.38,4.50,6142100,4.49
2013-11-04,4.52,4.55,4.47,4.49,2794300,4.47
2013-11-01,4.51,4.57,4.45,4.51,2554200,4.49
2013-10-31,4.41,4.51,4.40,4.50,5092900,4.48
2013-10-30,4.51,4.57,4.38,4.40,5490200,4.38
2013-10-29,4.26,4.50,4.20,4.50,7038800,4.48
2013-10-28,4.45,4.47,4.20,4.30,5526900,4.28
2013-10-25,4.53,4.54,4.38,4.39,6255600,4.37
2013-10-24,4.38,4.54,4.38,4.53,8566100,4.51
2013-10-23,4.49,4.49,4.31,4.34,9459100,4.32
2013-10-22,4.47,4.61,4.46,4.55,7516000,4.53
2013-10-21,4.44,4.48,4.40,4.48,7253300,4.46
2013-10-18,4.50,4.52,4.39,4.47,6164900,4.45
2013-10-17,4.53,4.53,4.46,4.49,4830500,4.47
2013-10-16,4.50,4.55,4.46,4.51,6649300,4.49
2013-10-15,4.49,4.56,4.47,4.53,7366400,4.51
2013-10-14,4.49,4.50,4.33,4.44,6103600,4.43
2013-10-11,4.64,4.66,4.46,4.49,12265700,4.47
2013-10-10,4.45,4.62,4.44,4.60,9374200,4.58
2013-10-09,4.41,4.47,4.32,4.42,7817700,4.40
2013-10-08,4.30,4.44,4.28,4.41,14227700,4.39
2013-10-07,4.14,4.28,4.14,4.28,5720700,4.27
2013-10-04,4.07,4.20,4.05,4.20,9581700,4.16
2013-10-03,4.13,4.17,4.06,4.07,4227300,4.04
2013-10-02,4.11,4.12,4.05,4.11,37255100,4.08
2013-10-01,3.96,4.12,3.92,4.11,6622100,4.08
2013-09-30,3.91,3.98,3.85,3.98,5170700,3.95
2013-09-27,3.96,4.02,3.94,3.97,5019000,3.94
2013-09-26,4.03,4.05,3.93,4.00,7186800,3.97
2013-09-25,4.05,4.05,4.00,4.03,5493900,4.00
2013-09-24,4.08,4.11,4.04,4.06,8357700,4.03
2013-09-23,4.10,4.11,4.04,4.09,13615400,4.06
2013-09-20,4.08,4.11,3.98,4.09,12999200,4.06
2013-09-19,4.00,4.11,4.00,4.09,13753200,4.06
2013-09-18,3.88,4.00,3.86,3.94,7614200,3.91
2013-09-17,3.84,3.86,3.78,3.83,6678100,3.80
2013-09-16,3.86,3.88,3.82,3.83,3463700,3.81
2013-09-13,3.79,3.83,3.77,3.82,4808300,3.80
2013-09-12,3.83,3.89,3.76,3.81,8280400,3.78
2013-09-11,3.71,3.84,3.71,3.81,7755000,3.78
2013-09-10,3.66,3.77,3.64,3.73,11499100,3.70
2013-09-09,3.54,3.60,3.52,3.60,11178800,3.58
2013-09-06,3.55,3.58,3.50,3.55,5275000,3.52
2013-09-05,3.58,3.60,3.52,3.54,11468100,3.52
2013-09-04,3.43,3.57,3.40,3.56,112965800,3.53
2013-09-03,3.51,3.51,3.40,3.48,3460800,3.46
2013-09-02,3.46,3.52,3.44,3.49,3711500,3.46
2013-08-30,3.54,3.54,3.38,3.38,3653700,3.36
2013-08-29,3.50,3.55,3.42,3.53,2713600,3.50
2013-08-28,3.40,3.50,3.35,3.48,4419200,3.46
2013-08-27,3.62,3.66,3.42,3.44,6015900,3.41
2013-08-26,3.71,3.71,3.58,3.65,2799600,3.63
2013-08-23,3.73,3.76,3.67,3.71,3634300,3.69
2013-08-22,3.58,3.72,3.56,3.70,6553800,3.67
2013-08-21,3.55,3.62,3.50,3.57,3938600,3.54
2013-08-20,3.65,3.65,3.48,3.52,5422500,3.50
2013-08-19,3.86,3.86,3.61,3.65,6937200,3.63
2013-08-16,3.79,3.86,3.79,3.86,5047600,3.83
2013-08-15,3.82,3.91,3.74,3.82,5568100,3.79
2013-08-14,3.84,3.86,3.77,3.83,5697500,3.80
2013-08-13,3.73,3.87,3.72,3.82,10045000,3.79
2013-08-12,3.63,3.77,3.61,3.70,7847000,3.67
2013-08-09,3.57,3.65,3.51,3.61,6359700,3.58
2013-08-08,3.46,3.57,3.46,3.55,6978300,3.52
2013-08-07,3.37,3.47,3.32,3.45,4925700,3.43
2013-08-06,3.48,3.49,3.37,3.41,4513100,3.38
2013-08-05,3.54,3.56,3.47,3.49,6166700,3.47
2013-08-02,3.55,3.58,3.35,3.50,6438200,3.48
2013-08-01,3.45,3.58,3.43,3.55,7401500,3.53
2013-07-31,3.40,3.45,3.37,3.42,6305600,3.40
2013-07-30,3.31,3.45,3.30,3.42,7295700,3.40
2013-07-29,3.33,3.34,3.29,3.31,2767200,3.28
2013-07-26,3.31,3.35,3.24,3.32,4669600,3.29
2013-07-25,3.27,3.39,3.20,3.29,9880400,3.27
2013-07-24,3.16,3.21,3.15,3.20,3422300,3.18
2013-07-23,3.13,3.18,3.09,3.15,3916300,3.13
2013-07-22,3.05,3.15,3.05,3.08,5959000,3.06
2013-07-19,2.98,3.09,2.97,3.03,3979500,3.00
2013-07-18,2.84,3.07,2.83,3.06,7074100,3.04
2013-07-17,2.84,2.86,2.79,2.82,1144300,2.80
2013-07-16,2.83,2.85,2.81,2.83,1909200,2.81
2013-07-15,2.84,2.86,2.79,2.85,1486200,2.83
2013-07-12,2.91,2.91,2.79,2.81,2032600,2.79
2013-07-11,2.93,2.95,2.88,2.91,1634500,2.89
2013-07-10,2.88,2.92,2.84,2.90,1301800,2.88
2013-07-09,2.95,2.97,2.88,2.90,2596900,2.88
2013-07-08,2.90,2.95,2.87,2.93,2588000,2.91
2013-07-05,2.93,2.95,2.87,2.88,3453400,2.84
2013-07-04,2.78,2.94,2.76,2.94,4131000,2.90
2013-07-03,2.75,2.77,2.69,2.77,2819600,2.74
2013-07-02,2.81,2.84,2.77,2.78,4695100,2.75
2013-07-01,2.70,2.84,2.70,2.82,4555100,2.79
2013-06-28,2.83,2.85,2.70,2.74,3454700,2.71
2013-06-27,2.80,2.85,2.71,2.83,3718300,2.79
2013-06-26,2.67,2.81,2.63,2.79,13762800,2.76
2013-06-25,2.71,2.73,2.59,2.60,4652300,2.57
2013-06-24,2.70,2.73,2.62,2.70,4574500,2.67
2013-06-21,2.65,2.73,2.64,2.73,7804600,2.70
2013-06-20,2.66,2.72,2.60,2.63,4541400,2.60
2013-06-19,2.83,2.83,2.67,2.70,4273100,2.66
2013-06-18,2.76,2.84,2.75,2.81,1745200,2.78
2013-06-17,2.82,2.82,2.76,2.76,4276200,2.72
2013-06-14,2.79,2.84,2.78,2.79,2308100,2.75
2013-06-13,2.79,2.79,2.75,2.79,3575100,2.75
2013-06-12,2.77,2.84,2.77,2.79,1545000,2.76
2013-06-11,2.87,2.87,2.76,2.78,3092100,2.75
2013-06-10,2.86,2.89,2.84,2.85,2304900,2.82
2013-06-07,2.85,2.89,2.83,2.86,2380900,2.82
2013-06-06,2.85,2.93,2.84,2.86,15100600,2.82
2013-06-05,2.85,2.89,2.83,2.87,2750800,2.83
2013-06-04,2.85,2.91,2.84,2.87,3073600,2.83
2013-06-03,2.86,2.86,2.81,2.82,1639400,2.79
2013-05-31,2.86,2.89,2.83,2.87,2283000,2.83
2013-05-30,2.84,2.90,2.84,2.87,2670200,2.84
2013-05-29,2.88,2.89,2.85,2.87,1845200,2.83
2013-05-28,2.77,2.90,2.74,2.89,3330300,2.86
2013-05-27,2.73,2.77,2.70,2.75,1100100,2.71
2013-05-24,2.78,2.81,2.70,2.73,2807700,2.70
2013-05-23,2.75,2.80,2.73,2.77,2652100,2.74
2013-05-22,2.79,2.86,2.79,2.84,2890400,2.81
2013-05-21,2.81,2.84,2.78,2.81,2047200,2.78
2013-05-20,2.86,2.90,2.78,2.83,2042200,2.80
2013-05-17,2.85,2.90,2.85,2.89,2982100,2.85
2013-05-16,2.87,2.90,2.84,2.85,3571300,2.82
2013-05-15,2.78,2.90,2.77,2.89,3768000,2.86
2013-05-14,2.78,2.81,2.73,2.77,2412700,2.74
2013-05-13,2.83,2.83,2.72,2.76,3882800,2.73
2013-05-10,2.86,2.90,2.81,2.82,2508900,2.79
2013-05-09,2.88,2.90,2.85,2.86,1390100,2.83
2013-05-08,2.87,2.90,2.85,2.89,3602500,2.85
2013-05-07,2.89,2.94,2.87,2.90,1933500,2.86
2013-05-06,2.92,2.92,2.80,2.90,1836400,2.87
2013-05-03,2.84,2.89,2.84,2.89,2328500,2.85
2013-05-02,2.82,2.94,2.77,2.86,2966700,2.82
2013-05-01,2.80,2.80,2.80,2.80,000,2.76
2013-04-30,2.80,2.80,2.72,2.80,3465200,2.76
2013-04-29,2.70,2.78,2.67,2.76,3165800,2.73
2013-04-26,2.70,2.70,2.66,2.68,3010300,2.64
2013-04-25,2.70,2.71,2.63,2.69,2798300,2.66
2013-04-24,2.77,2.80,2.65,2.68,3572200,2.65
2013-04-23,2.68,2.73,2.66,2.72,3009000,2.68
2013-04-22,2.52,2.62,2.48,2.62,2735800,2.58
