Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,30.20,30.20,29.58,30.00,257200,30.00
2014-02-20,29.80,30.08,29.56,29.91,193200,29.91
2014-02-19,29.90,30.25,29.70,30.15,280900,30.15
2014-02-18,30.30,30.30,29.80,29.82,192700,29.82
2014-02-17,30.30,30.38,30.06,30.09,134100,30.09
2014-02-14,30.05,30.47,29.83,30.32,317500,30.32
2014-02-13,29.70,30.02,29.60,30.02,362600,30.02
2014-02-12,29.83,29.90,29.70,29.82,444900,29.82
2014-02-11,29.35,29.70,29.20,29.70,583300,29.70
2014-02-10,29.74,29.75,29.06,29.18,1188600,29.18
2014-02-07,29.90,29.91,29.40,29.59,494500,29.59
2014-02-06,29.34,29.80,29.19,29.80,268900,29.80
2014-02-05,29.00,29.45,28.77,29.25,363900,29.25
2014-02-04,28.85,29.08,28.50,28.98,623900,28.98
2014-02-03,28.95,29.10,28.75,28.82,517100,28.82
2014-01-31,29.15,29.39,28.70,29.01,384100,29.01
2014-01-30,29.00,29.33,28.85,29.09,601200,29.09
2014-01-29,29.47,29.50,28.75,28.97,377200,28.97
2014-01-28,28.68,29.35,28.58,29.05,417400,29.05
2014-01-27,28.61,28.76,27.75,28.39,858500,28.39
2014-01-24,29.83,29.83,28.50,28.54,583400,28.54
2014-01-23,30.00,30.08,29.51,29.69,338500,29.69
2014-01-22,30.13,30.16,29.32,29.88,1444700,29.88
2014-01-21,30.78,30.89,29.74,29.74,511900,29.74
2014-01-20,30.83,31.00,30.45,30.66,291800,30.66
2014-01-17,30.26,31.04,29.76,30.86,5729100,30.86
2014-01-16,30.74,30.86,30.50,30.75,551500,30.75
2014-01-15,30.66,30.80,30.32,30.60,249500,30.60
2014-01-14,31.00,31.00,29.76,30.62,422800,30.62
2014-01-13,30.95,31.10,30.36,30.96,471900,30.96
2014-01-10,29.62,30.98,29.62,30.90,653400,30.90
2014-01-09,29.60,30.28,29.01,29.61,501500,29.61
2014-01-08,28.55,29.78,28.55,29.63,1470100,29.63
2014-01-07,28.10,28.90,28.00,28.76,591900,28.76
2014-01-06,27.65,28.04,27.65,27.98,134500,27.98
2014-01-03,27.49,28.00,27.44,27.67,373400,27.67
2014-01-02,27.80,28.09,27.36,27.41,416300,27.41
2014-01-01,27.66,27.66,27.66,27.66,000,27.66
2013-12-31,27.90,27.95,27.60,27.66,197300,27.66
2013-12-30,28.66,28.78,27.70,27.85,483300,27.85
2013-12-27,28.80,28.91,28.50,28.76,657700,28.76
