Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,4.64,4.64,4.53,4.58,11876400,4.58
2014-02-20,4.64,4.64,4.54,4.61,20673200,4.61
2014-02-19,4.72,4.72,4.60,4.68,15212000,4.68
2014-02-18,4.78,4.79,4.71,4.72,16256100,4.72
2014-02-17,4.76,4.79,4.72,4.78,7514800,4.78
2014-02-14,4.74,4.75,4.66,4.74,15261200,4.74
2014-02-13,4.78,4.78,4.60,4.74,23367200,4.74
2014-02-12,4.85,4.85,4.72,4.74,20861600,4.74
2014-02-11,4.76,4.84,4.73,4.84,13779000,4.84
2014-02-10,4.76,4.78,4.70,4.74,11795900,4.74
2014-02-07,4.78,4.79,4.65,4.76,13922400,4.76
2014-02-06,4.66,4.81,4.65,4.80,23141800,4.80
2014-02-05,4.53,4.67,4.49,4.65,17198500,4.65
2014-02-04,4.41,4.55,4.37,4.54,16718100,4.54
2014-02-03,4.54,4.55,4.41,4.44,11781400,4.44
2014-01-31,4.48,4.56,4.37,4.55,22529300,4.55
2014-01-30,4.45,4.49,4.32,4.49,13909500,4.49
2014-01-29,4.46,4.50,4.28,4.44,17089100,4.44
2014-01-28,4.35,4.46,4.33,4.42,17892100,4.42
2014-01-27,4.20,4.28,4.16,4.22,16526200,4.22
2014-01-24,4.35,4.37,4.20,4.21,15252300,4.21
2014-01-23,4.25,4.37,4.25,4.36,14639100,4.36
2014-01-22,4.35,4.36,4.23,4.25,14643700,4.25
2014-01-21,4.35,4.38,4.30,4.31,15066700,4.31
2014-01-20,4.38,4.43,4.38,4.39,8942400,4.39
2014-01-17,4.38,4.42,4.36,4.40,13795900,4.40
2014-01-16,4.36,4.42,4.32,4.39,16628300,4.39
2014-01-15,4.31,4.38,4.27,4.36,19598600,4.36
2014-01-14,4.25,4.33,4.20,4.31,20785800,4.31
2014-01-13,4.28,4.32,4.23,4.31,12239500,4.31
2014-01-10,4.30,4.30,4.22,4.26,16728800,4.26
2014-01-09,4.26,4.37,4.20,4.28,40273200,4.28
2014-01-08,4.15,4.29,4.01,4.28,30781500,4.28
2014-01-07,3.89,4.17,3.88,4.15,43940300,4.15
2014-01-06,3.76,3.87,3.76,3.87,57986000,3.87
2014-01-03,3.75,3.79,3.74,3.78,6097200,3.78
2014-01-02,3.79,3.80,3.72,3.76,10380100,3.76
2014-01-01,3.79,3.79,3.79,3.79,000,3.79
2013-12-31,3.76,3.79,3.76,3.79,3488300,3.79
2013-12-30,3.78,3.80,3.75,3.78,8422400,3.78
2013-12-27,3.73,3.80,3.71,3.77,19022800,3.77
2013-12-26,3.74,3.74,3.74,3.74,000,3.74
2013-12-25,3.74,3.74,3.74,3.74,000,3.74
2013-12-24,3.74,3.77,3.73,3.74,4981300,3.74
2013-12-23,3.76,3.79,3.72,3.79,11507200,3.79
2013-12-20,3.75,3.76,3.70,3.76,43110400,3.76
2013-12-19,3.65,3.75,3.64,3.74,21425800,3.74
2013-12-18,3.59,3.64,3.57,3.62,12634200,3.62
2013-12-17,3.61,3.62,3.57,3.59,6080900,3.59
2013-12-16,3.53,3.62,3.53,3.61,11190800,3.61
2013-12-13,3.50,3.57,3.50,3.54,8634500,3.54
2013-12-12,3.52,3.53,3.45,3.50,8088500,3.50
2013-12-11,3.55,3.58,3.51,3.52,8405200,3.52
2013-12-10,3.53,3.59,3.52,3.54,9493000,3.54
2013-12-09,3.50,3.54,3.49,3.53,40543700,3.53
2013-12-06,3.52,3.53,3.45,3.49,11687100,3.49
2013-12-05,3.59,3.62,3.49,3.50,13433800,3.50
2013-12-04,3.64,3.66,3.56,3.59,17028800,3.59
2013-12-03,3.68,3.70,3.64,3.64,14009500,3.64
2013-12-02,3.74,3.75,3.64,3.68,29126400,3.68
2013-11-29,3.79,3.79,3.71,3.72,16469500,3.72
2013-11-28,3.75,3.80,3.73,3.78,14916800,3.78
2013-11-27,3.65,3.73,3.61,3.73,25097900,3.73
2013-11-26,3.60,3.64,3.56,3.64,45290000,3.64
2013-11-25,3.65,3.68,3.61,3.61,25307200,3.57
2013-11-22,3.56,3.64,3.52,3.64,40684600,3.61
2013-11-21,3.42,3.56,3.41,3.53,25423200,3.49
2013-11-20,3.41,3.46,3.38,3.43,24964400,3.40
2013-11-19,3.48,3.49,3.40,3.41,46904000,3.37
2013-11-18,3.47,3.52,3.46,3.46,30108900,3.43
2013-11-15,3.47,3.52,3.45,3.47,54141000,3.44
2013-11-14,3.59,3.62,3.41,3.41,459801200,3.37
2013-11-13,3.76,3.80,3.74,3.79,8773500,3.74
2013-11-12,3.80,3.82,3.73,3.77,8826900,3.73
2013-11-11,3.77,3.78,3.72,3.76,8656600,3.72
2013-11-08,3.72,3.78,3.68,3.76,33341200,3.72
2013-11-07,3.79,3.89,3.70,3.74,13439100,3.70
2013-11-06,3.80,3.83,3.76,3.78,17064800,3.74
