Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,6.33,6.34,6.14,6.18,5255900,6.18
2014-02-20,6.15,6.35,6.06,6.29,6967200,6.29
2014-02-19,6.10,6.17,6.05,6.14,2804000,6.14
2014-02-18,6.15,6.17,6.11,6.14,3931300,6.14
2014-02-17,6.18,6.22,6.11,6.11,1841300,6.11
2014-02-14,6.08,6.18,6.04,6.18,2833200,6.18
2014-02-13,6.12,6.12,5.99,6.07,4243500,6.07
2014-02-12,6.16,6.17,6.10,6.12,2824100,6.12
2014-02-11,6.17,6.18,6.05,6.13,4607000,6.13
2014-02-10,6.14,6.18,6.07,6.13,4504700,6.13
2014-02-07,6.00,6.12,5.99,6.10,6479500,6.10
2014-02-06,5.93,5.98,5.86,5.98,5397700,5.98
2014-02-05,6.02,6.04,5.88,5.91,4558300,5.91
2014-02-04,5.95,6.04,5.89,6.01,4450200,6.01
2014-02-03,6.11,6.16,5.97,5.99,3502200,5.99
2014-01-31,6.18,6.20,6.02,6.10,6614200,6.10
2014-01-30,6.16,6.20,6.02,6.18,6857000,6.18
2014-01-29,6.24,6.38,6.06,6.15,5702900,6.15
2014-01-28,6.34,6.35,6.16,6.18,7180000,6.18
2014-01-27,6.21,6.31,6.06,6.29,6273200,6.29
2014-01-24,6.47,6.48,6.15,6.19,11261000,6.19
2014-01-23,6.58,6.66,6.48,6.48,4139300,6.48
2014-01-22,6.65,6.66,6.57,6.60,3911400,6.60
2014-01-21,6.69,6.71,6.62,6.65,4533300,6.65
2014-01-20,6.66,6.69,6.64,6.69,1386700,6.69
2014-01-17,6.62,6.68,6.60,6.68,2440400,6.68
2014-01-16,6.67,6.67,6.58,6.61,3579800,6.61
2014-01-15,6.65,6.67,6.61,6.65,3011100,6.65
2014-01-14,6.53,6.63,6.47,6.63,2767300,6.63
2014-01-13,6.60,6.62,6.57,6.57,2204300,6.57
2014-01-10,6.64,6.64,6.57,6.57,1690400,6.57
2014-01-09,6.62,6.71,6.51,6.59,4060900,6.59
2014-01-08,6.58,6.62,6.56,6.61,2677500,6.61
2014-01-07,6.46,6.59,6.40,6.58,4204700,6.58
2014-01-06,6.41,6.50,6.40,6.47,1214900,6.47
2014-01-03,6.45,6.51,6.43,6.45,1196100,6.45
2014-01-02,6.50,6.55,6.43,6.43,2963100,6.43
2014-01-01,6.50,6.50,6.50,6.50,000,6.50
2013-12-31,6.53,6.55,6.47,6.50,626400,6.50
2013-12-30,6.50,6.56,6.49,6.53,2009500,6.53
