Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,15.46,15.57,15.35,15.48,503500,15.09
2014-02-20,15.38,15.49,15.22,15.43,900500,15.04
2014-02-19,15.93,15.99,15.45,15.49,855900,15.10
2014-02-18,16.13,16.13,15.81,15.97,331800,15.57
2014-02-17,16.20,16.22,16.03,16.09,227100,15.69
2014-02-14,16.09,16.19,16.00,16.16,201200,15.75
2014-02-13,16.10,16.17,15.98,16.10,301900,15.70
2014-02-12,16.15,16.24,16.05,16.17,789400,15.76
2014-02-11,16.00,16.14,15.94,16.09,374900,15.69
2014-02-10,16.18,16.21,15.88,15.95,1180700,15.55
2014-02-07,16.07,16.26,15.92,16.17,882500,15.77
2014-02-06,16.08,16.09,15.91,16.00,1149500,15.60
2014-02-05,16.24,16.26,15.91,15.99,911800,15.59
2014-02-04,16.05,16.30,15.15,16.25,718000,15.84
2014-02-03,16.38,16.49,16.16,16.18,486000,15.77
2014-01-31,16.49,16.63,16.26,16.43,602000,16.01
2014-01-30,16.64,16.67,16.45,16.49,417400,16.07
2014-01-29,16.69,16.91,16.50,16.58,584400,16.17
2014-01-28,16.66,16.75,16.50,16.67,612100,16.24
2014-01-27,16.82,16.86,16.55,16.60,573500,16.18
2014-01-24,17.04,17.05,16.72,16.80,575600,16.38
2014-01-23,17.11,17.16,16.88,16.99,1845600,16.56
2014-01-22,17.02,17.21,16.93,17.08,782400,16.65
2014-01-21,17.00,17.20,16.92,16.99,670200,16.56
2014-01-20,16.96,17.07,16.90,16.99,261500,16.56
2014-01-17,16.99,17.08,16.84,17.00,400800,16.58
2014-01-16,16.92,17.07,16.84,16.94,452700,16.52
2014-01-15,16.83,16.92,16.75,16.91,424000,16.48
2014-01-14,16.68,16.90,16.51,16.82,579100,16.39
2014-01-13,17.00,17.00,16.65,16.75,656200,16.33
2014-01-10,16.85,17.00,16.80,17.00,226000,16.57
2014-01-09,16.98,17.07,16.75,16.81,971200,16.39
2014-01-08,17.05,17.08,16.85,17.00,212700,16.57
2014-01-07,16.89,17.09,16.77,17.06,559800,16.63
2014-01-06,16.92,17.11,16.86,16.90,276500,16.47
2014-01-03,16.85,17.03,16.71,16.98,234300,16.55
2014-01-02,17.06,17.37,16.85,16.87,686500,16.44
2014-01-01,17.03,17.03,17.03,17.03,000,16.60
2013-12-31,17.08,17.08,16.94,17.03,60800,16.60
2013-12-30,16.96,17.08,16.90,17.02,339300,16.59
2013-12-27,16.85,17.08,16.80,16.90,499400,16.47
2013-12-26,16.79,16.79,16.79,16.79,000,16.37
2013-12-25,16.79,16.79,16.79,16.79,000,16.37
2013-12-24,16.69,16.84,16.69,16.79,71600,16.37
2013-12-23,16.50,16.71,16.50,16.65,185000,16.22
2013-12-20,16.50,16.70,16.42,16.48,1529900,16.06
2013-12-19,16.35,16.55,16.30,16.47,814800,16.05
2013-12-18,16.28,16.33,16.08,16.25,648300,15.83
2013-12-17,16.33,16.42,16.16,16.19,361300,15.79
2013-12-16,16.25,16.47,16.20,16.32,565600,15.91
2013-12-13,16.24,16.37,16.17,16.22,423000,15.81
2013-12-12,16.40,16.45,16.23,16.33,286800,15.91
2013-12-11,16.64,16.65,16.35,16.37,310200,15.96
2013-12-10,16.58,16.67,16.47,16.60,275900,16.18
2013-12-09,16.53,16.72,16.47,16.60,382500,16.18
2013-12-06,16.65,16.76,16.45,16.55,362700,16.13
2013-12-05,16.41,16.68,16.41,16.62,454700,16.20
2013-12-04,16.64,16.65,16.32,16.36,660100,15.95
2013-12-03,16.80,16.80,16.50,16.66,478200,16.23
2013-12-02,17.02,17.08,16.77,16.78,347600,16.36
2013-11-29,16.86,17.15,16.86,16.97,244800,16.54
2013-11-28,16.94,17.05,16.90,16.94,167900,16.52
2013-11-27,16.85,16.99,16.80,16.89,380500,16.46
2013-11-26,16.89,16.95,16.76,16.89,261400,16.46
2013-11-25,16.93,17.03,16.82,16.93,584200,16.51
2013-11-22,17.00,17.14,16.88,16.91,427000,16.48
2013-11-21,16.95,17.15,16.82,17.03,883900,16.60
2013-11-20,17.00,17.33,16.93,17.01,837800,16.58
2013-11-19,17.04,17.11,17.00,17.01,701700,16.59
2013-11-18,16.93,17.17,16.85,17.06,1142000,16.62
2013-11-15,16.86,16.97,16.83,16.92,841700,16.49
2013-11-14,16.74,16.90,16.70,16.82,1168100,16.40
2013-11-13,16.56,16.72,16.55,16.65,806500,16.23
2013-11-12,16.51,16.66,16.44,16.61,1560300,16.20
2013-11-11,16.35,16.54,16.28,16.44,342300,16.02
2013-11-08,16.27,16.50,16.21,16.35,1023000,15.94
2013-11-07,16.22,16.58,16.15,16.37,721200,15.96
2013-11-06,16.27,16.35,16.16,16.23,497600,15.82
2013-11-05,16.49,16.49,16.19,16.30,501300,15.89
2013-11-04,16.58,16.58,16.32,16.45,538300,16.04
2013-11-01,16.68,16.70,16.33,16.55,702700,16.13
2013-10-31,17.20,17.26,16.17,16.64,1731700,16.22
2013-10-30,17.70,17.90,17.42,17.51,875500,17.07
2013-10-29,17.66,17.70,17.54,17.66,319000,17.21
2013-10-28,17.55,17.74,17.52,17.67,422200,17.22
2013-10-25,17.42,17.62,17.40,17.53,705200,17.09
2013-10-24,17.44,17.45,17.31,17.41,729200,16.97
2013-10-23,17.45,17.45,17.30,17.42,591000,16.98
2013-10-22,17.45,17.50,17.35,17.45,489900,17.01
2013-10-21,17.34,17.52,17.33,17.43,945300,16.99
2013-10-18,17.14,17.34,17.12,17.29,381500,16.85
2013-10-17,17.04,17.10,16.95,17.08,539800,16.65
2013-10-16,16.95,17.07,16.89,16.99,506900,16.56
2013-10-15,17.08,17.15,16.91,16.94,484100,16.52
2013-10-14,16.90,17.14,16.90,17.06,246200,16.62
2013-10-11,17.00,17.05,16.90,17.04,227000,16.61
2013-10-10,16.90,17.03,16.83,16.98,606700,16.55
2013-10-09,16.87,16.94,16.79,16.88,240000,16.45
2013-10-08,16.92,16.98,16.79,16.85,1312900,16.42
2013-10-07,16.83,16.94,16.75,16.94,362400,16.51
2013-10-04,16.81,16.88,16.76,16.85,949600,16.42
2013-10-03,16.85,16.91,16.76,16.88,403200,16.45
2013-10-02,16.65,16.86,16.55,16.86,1039200,16.44
2013-10-01,16.67,16.83,16.61,16.83,549300,16.40
2013-09-30,16.62,16.81,16.51,16.70,354100,16.28
2013-09-27,16.88,16.88,16.63,16.70,919900,16.28
2013-09-26,16.65,16.88,16.61,16.88,970400,16.45
2013-09-25,16.76,16.83,16.60,16.62,2146200,16.20
2013-09-24,16.92,17.11,16.92,17.06,309700,16.63
2013-09-23,16.90,17.00,16.89,16.97,377200,16.54
2013-09-20,16.81,17.01,16.80,16.91,652500,16.48
2013-09-19,16.97,17.03,16.83,16.86,849600,16.43
2013-09-18,16.80,16.88,16.68,16.85,489500,16.43
2013-09-17,16.67,16.87,16.67,16.82,1292000,16.40
2013-09-16,16.68,16.75,16.60,16.64,539800,16.22
2013-09-13,16.45,16.59,16.45,16.59,249600,16.17
2013-09-12,16.51,16.61,16.44,16.48,484700,16.06
2013-09-11,16.46,16.62,16.41,16.56,2269100,16.14
2013-09-10,16.38,16.55,16.36,16.47,327000,16.05
2013-09-09,16.81,16.81,16.42,16.50,1230300,15.96
2013-09-06,16.62,16.81,16.41,16.81,1336600,16.25
2013-09-05,16.39,16.65,16.25,16.60,346500,16.06
