Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,20.89,20.95,20.71,20.85,1256900,20.85
2014-02-20,20.55,20.87,20.48,20.85,880900,20.85
2014-02-19,20.51,20.77,20.40,20.67,1823900,20.67
2014-02-18,20.72,20.75,20.10,20.50,1616900,20.50
2014-02-17,20.70,20.77,20.58,20.67,819700,20.67
2014-02-14,20.42,20.70,20.25,20.68,1261300,20.68
2014-02-13,20.42,20.53,20.08,20.36,1426000,20.36
2014-02-12,20.44,20.44,20.12,20.40,1133800,20.40
2014-02-11,20.50,20.64,20.26,20.40,1015100,20.40
2014-02-10,20.37,20.49,20.19,20.40,906600,20.40
2014-02-07,20.49,20.51,20.11,20.32,1583900,20.32
2014-02-06,20.20,20.51,19.93,20.46,2165300,20.46
2014-02-05,20.11,20.19,20.01,20.14,856100,20.14
2014-02-04,20.36,20.39,20.05,20.07,2185600,20.07
2014-02-03,20.50,20.78,20.34,20.42,3120700,20.42
2014-01-31,20.46,20.48,20.01,20.30,2154700,20.30
2014-01-30,20.30,20.46,20.14,20.44,1906700,20.44
2014-01-29,20.41,20.48,20.08,20.20,4380700,20.20
2014-01-28,20.03,20.08,19.82,20.02,1497100,20.02
2014-01-27,20.12,20.28,19.86,19.91,1274000,19.91
2014-01-24,20.10,20.15,19.83,20.00,2677500,20.00
2014-01-23,20.26,20.44,20.01,20.14,1296200,20.14
2014-01-22,20.43,20.53,20.06,20.24,2002900,20.24
2014-01-21,20.55,20.69,20.38,20.43,1677100,20.43
2014-01-20,20.72,20.82,20.36,20.56,1942000,20.56
2014-01-17,20.35,20.77,20.32,20.77,1843200,20.77
2014-01-16,20.16,20.57,19.98,20.31,2629400,20.31
2014-01-15,19.58,20.15,19.49,20.15,3225500,20.15
2014-01-14,19.57,19.59,19.32,19.56,2750700,19.56
2014-01-13,20.09,20.09,19.64,19.71,1324200,19.71
2014-01-10,19.50,20.10,19.42,19.88,2741500,19.88
2014-01-09,18.95,19.39,18.93,19.29,2226700,19.29
2014-01-08,19.23,19.27,18.87,18.98,3189900,18.98
2014-01-07,18.99,19.31,18.89,19.29,2420000,19.29
2014-01-06,18.85,19.09,18.81,19.00,1230600,19.00
2014-01-03,18.73,19.03,18.73,18.89,1128600,18.89
2014-01-02,18.92,19.01,18.63,18.70,1434300,18.70
2014-01-01,19.00,19.00,19.00,19.00,000,19.00
2013-12-31,18.88,19.00,18.86,19.00,552600,19.00
2013-12-30,18.75,18.85,18.68,18.80,695600,18.80
2013-12-27,18.71,18.90,18.61,18.70,3380300,18.70
2013-12-26,18.67,18.67,18.67,18.67,000,18.67
2013-12-25,18.67,18.67,18.67,18.67,000,18.67
2013-12-24,18.59,18.73,18.50,18.67,250500,18.67
2013-12-23,18.26,18.48,18.23,18.46,2677300,18.46
2013-12-20,18.59,18.62,18.16,18.26,14219300,18.26
2013-12-19,18.50,18.68,18.47,18.59,36425900,18.59
2013-12-18,19.05,19.12,18.85,18.85,3201400,18.46
2013-12-17,19.05,19.11,18.94,18.95,8344200,18.55
2013-12-16,18.93,19.13,18.75,19.05,2504900,18.64
2013-12-13,19.03,19.22,18.99,19.02,16844400,18.62
2013-12-12,19.00,19.15,18.95,19.01,22430800,18.61
2013-12-11,19.10,19.25,18.98,18.98,1356100,18.58
2013-12-10,19.05,19.32,19.00,19.06,937200,18.66
2013-12-09,19.05,19.28,19.05,19.05,4839900,18.65
2013-12-06,19.18,19.18,18.82,19.05,3572000,18.64
2013-12-05,18.98,19.36,18.96,19.16,1075600,18.75
2013-12-04,19.18,19.24,18.94,18.94,1119300,18.55
2013-12-03,19.32,19.40,19.15,19.20,6178200,18.80
2013-12-02,19.42,19.42,19.08,19.25,1136600,18.85
2013-11-29,19.40,19.45,19.30,19.36,753800,18.96
2013-11-28,19.25,19.47,19.25,19.38,503700,18.97
2013-11-27,19.01,19.33,18.96,19.26,1050100,18.86
2013-11-26,19.28,19.32,18.82,18.90,2155600,18.50
2013-11-25,19.51,19.53,19.27,19.33,1452300,18.92
2013-11-22,19.57,19.62,19.41,19.45,1166000,19.04
2013-11-21,19.30,19.59,19.25,19.57,806300,19.16
2013-11-20,19.33,19.43,19.18,19.33,1013000,18.92
2013-11-19,19.56,19.57,19.33,19.36,1146300,18.96
2013-11-18,19.43,19.64,19.37,19.57,1894200,19.15
2013-11-15,19.55,19.55,19.39,19.43,2938700,19.03
2013-11-14,19.62,19.63,19.45,19.51,869100,19.10
2013-11-13,19.53,19.74,19.46,19.48,866300,19.07
2013-11-12,19.60,19.69,19.43,19.61,1191000,19.20
2013-11-11,19.58,19.62,19.38,19.60,1207600,19.19
2013-11-08,19.43,19.68,19.31,19.57,1189900,19.15
2013-11-07,19.63,19.82,19.41,19.50,1091800,19.08
