Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,18.50,18.60,18.21,18.50,1376900,18.50
2014-02-20,17.31,18.30,17.20,18.30,3571800,18.30
2014-02-19,17.80,17.82,17.39,17.44,3092800,17.44
2014-02-18,18.10,18.12,17.67,17.80,903200,17.80
2014-02-17,18.28,18.42,18.02,18.02,935200,18.02
2014-02-14,18.17,18.32,18.05,18.24,1039100,18.24
2014-02-13,18.35,18.49,18.03,18.20,1164100,18.20
2014-02-12,18.92,18.94,18.28,18.51,1013500,18.51
2014-02-11,19.15,19.28,18.85,18.88,841400,18.88
2014-02-10,19.20,19.34,19.02,19.10,1129800,19.10
2014-02-07,19.01,19.20,18.66,19.15,1410900,19.15
2014-02-06,19.38,19.50,18.88,18.98,1495000,18.98
2014-02-05,19.54,19.59,19.13,19.37,682100,19.37
2014-02-04,19.01,19.55,18.40,19.45,931200,19.45
2014-02-03,19.76,19.96,19.11,19.19,771300,19.19
2014-01-31,20.00,20.00,19.42,19.88,578400,19.88
2014-01-30,19.90,20.05,19.43,20.00,632900,20.00
2014-01-29,20.20,20.39,19.23,19.72,1061600,19.72
2014-01-28,19.29,20.12,19.29,20.11,1361000,20.11
2014-01-27,19.00,19.54,18.80,19.15,845800,19.15
2014-01-24,19.90,19.99,18.79,19.17,1205100,19.17
2014-01-23,20.00,20.17,19.83,19.91,526300,19.91
2014-01-22,19.80,20.50,19.80,20.00,756100,20.00
2014-01-21,20.59,20.65,19.65,19.77,1378100,19.77
2014-01-20,21.19,21.92,20.34,20.59,2321500,20.59
2014-01-17,19.70,21.34,19.70,21.16,3099800,21.16
2014-01-16,18.60,19.80,18.27,19.75,2393500,19.75
2014-01-15,18.25,18.60,18.06,18.60,4132800,18.60
2014-01-14,18.10,18.25,17.85,18.15,866200,18.15
2014-01-13,18.33,18.59,18.22,18.33,771800,18.33
2014-01-10,17.90,18.33,17.76,18.22,1041400,18.22
2014-01-09,18.09,18.16,17.40,17.76,716700,17.76
2014-01-08,18.15,18.62,17.71,17.99,901300,17.99
2014-01-07,17.70,18.15,17.32,18.15,1127500,18.15
2014-01-06,16.90,17.66,16.85,17.60,818300,17.60
2014-01-03,16.35,17.30,16.30,16.83,1179600,16.83
2014-01-02,16.20,16.43,15.96,16.30,636900,16.30
2014-01-01,16.17,16.17,16.17,16.17,000,16.17
2013-12-31,16.26,16.34,16.17,16.17,167700,16.17
2013-12-30,16.21,16.38,16.05,16.25,641000,16.25
2013-12-27,16.99,17.00,15.85,16.05,1330200,16.05
2013-12-26,15.63,15.63,15.63,15.63,000,15.63
2013-12-25,15.63,15.63,15.63,15.63,000,15.63
2013-12-24,15.80,15.84,15.61,15.63,273100,15.63
