Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,14.48,14.52,14.22,14.40,1528300,14.40
2014-02-20,14.22,14.41,14.10,14.40,1565300,14.40
2014-02-19,14.36,14.45,14.26,14.37,1164000,14.37
2014-02-18,14.56,14.56,14.32,14.44,1367200,14.44
2014-02-17,14.67,14.79,14.60,14.60,894400,14.60
2014-02-14,14.50,14.69,14.47,14.66,1485300,14.66
2014-02-13,14.40,14.55,14.30,14.52,1058000,14.52
2014-02-12,14.35,14.46,14.32,14.38,1458200,14.38
2014-02-11,14.36,14.45,14.27,14.34,1160900,14.34
2014-02-10,14.42,14.48,14.24,14.30,701800,14.30
2014-02-07,14.30,14.47,14.19,14.39,1285500,14.39
2014-02-06,14.09,14.28,14.02,14.23,1381700,14.23
2014-02-05,14.14,14.21,13.96,14.01,1647200,14.01
2014-02-04,14.03,14.18,13.88,14.10,1264300,14.10
2014-02-03,14.25,14.40,14.02,14.14,2345100,14.14
2014-01-31,14.26,14.35,14.07,14.26,1685800,14.26
2014-01-30,14.33,14.40,14.13,14.32,1325200,14.32
2014-01-29,14.49,14.65,14.10,14.34,2056400,14.34
2014-01-28,14.40,14.44,14.27,14.43,1594600,14.43
2014-01-27,14.26,14.34,14.10,14.31,1746700,14.31
2014-01-24,14.73,14.78,14.16,14.26,2260700,14.26
2014-01-23,14.68,14.84,14.58,14.65,1983700,14.65
2014-01-22,14.81,14.85,14.58,14.68,2785000,14.68
2014-01-21,14.95,14.96,14.71,14.76,2600800,14.76
2014-01-20,14.98,15.10,14.85,14.92,1568600,14.92
2014-01-17,14.76,15.03,14.72,15.00,2850000,15.00
2014-01-16,14.73,14.79,14.64,14.73,2367100,14.73
2014-01-15,14.46,14.78,14.43,14.73,1902900,14.73
2014-01-14,14.36,14.52,14.32,14.43,4038900,14.43
2014-01-13,14.40,14.52,14.30,14.52,1720700,14.52
2014-01-10,14.47,14.52,14.36,14.40,1410200,14.40
2014-01-09,14.47,14.62,14.34,14.44,4783600,14.44
2014-01-08,14.20,14.44,14.16,14.44,5335800,14.44
2014-01-07,13.99,14.21,13.90,14.20,5959900,14.20
2014-01-06,13.90,14.00,13.85,13.93,1029200,13.93
2014-01-03,13.92,14.04,13.87,13.96,833000,13.96
2014-01-02,14.10,14.18,13.90,13.91,1389300,13.91
2014-01-01,14.06,14.06,14.06,14.06,000,14.06
2013-12-31,14.07,14.09,14.02,14.06,497600,14.06
2013-12-30,14.02,14.10,13.99,14.07,1178400,14.07
2013-12-27,13.98,14.02,13.91,14.01,1749000,14.01
2013-12-26,13.90,13.90,13.90,13.90,000,13.90
2013-12-25,13.90,13.90,13.90,13.90,000,13.90
2013-12-24,13.95,14.03,13.90,13.90,526300,13.90
2013-12-23,13.75,13.91,13.70,13.90,1282100,13.90
2013-12-20,13.67,13.74,13.60,13.71,5920800,13.71
2013-12-19,13.45,13.67,13.45,13.67,3126800,13.67
2013-12-18,13.40,13.44,13.27,13.34,3846900,13.34
2013-12-17,13.38,13.45,13.30,13.32,10147700,13.32
2013-12-16,13.39,13.52,13.35,13.46,2504300,13.46
2013-12-13,13.37,13.47,13.31,13.39,1854800,13.39
2013-12-12,13.48,13.56,13.31,13.35,1208700,13.35
2013-12-11,13.57,13.66,13.48,13.52,15405700,13.52
2013-12-10,13.60,13.73,13.45,13.52,54468700,13.52
2013-12-09,13.53,14.00,13.53,13.95,8103600,13.63
