Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,8.10,8.15,7.95,8.07,1548000,8.07
2014-02-20,8.16,8.16,7.90,8.06,2446800,8.06
2014-02-19,8.32,8.38,8.20,8.24,3293600,8.24
2014-02-18,8.35,8.41,8.28,8.36,1388800,8.36
2014-02-17,8.49,8.54,8.35,8.35,1117600,8.35
2014-02-14,8.45,8.57,8.37,8.47,1843600,8.47
2014-02-13,8.26,8.45,8.17,8.44,1921800,8.44
2014-02-12,8.12,8.32,8.06,8.30,2009100,8.30
2014-02-11,8.15,8.18,8.07,8.14,1895500,8.14
2014-02-10,8.23,8.25,8.06,8.09,1620000,8.09
2014-02-07,8.15,8.23,7.97,8.18,2771100,8.18
2014-02-06,7.92,8.10,7.86,8.08,2340400,8.08
2014-02-05,7.93,8.05,7.77,7.84,2710500,7.84
2014-02-04,7.76,7.95,7.59,7.92,3774600,7.92
2014-02-03,8.12,8.13,7.80,7.81,3458900,7.81
2014-01-31,8.10,8.15,7.86,8.15,2490200,8.15
2014-01-30,7.93,8.13,7.73,8.11,3386700,8.11
2014-01-29,8.23,8.45,7.69,7.89,4792700,7.89
2014-01-28,7.68,8.18,7.66,8.14,3970400,8.14
2014-01-27,7.74,7.84,7.57,7.62,3359900,7.62
2014-01-24,8.30,8.30,7.84,7.84,3534200,7.84
2014-01-23,8.29,8.45,8.24,8.29,2092900,8.29
2014-01-22,8.46,8.49,8.15,8.27,2964400,8.27
2014-01-21,8.53,8.57,8.38,8.46,3320200,8.46
2014-01-20,8.59,8.68,8.43,8.45,1972900,8.45
2014-01-17,8.59,8.70,8.49,8.59,2646200,8.59
2014-01-16,8.79,8.87,8.56,8.56,5342200,8.56
2014-01-15,8.65,8.87,8.61,8.71,4271900,8.71
2014-01-14,8.55,8.61,8.36,8.58,2745700,8.58
2014-01-13,8.56,8.69,8.48,8.62,2317700,8.62
2014-01-10,8.50,8.86,8.38,8.48,4602800,8.48
2014-01-09,8.72,8.95,8.55,8.72,4216500,8.72
2014-01-08,9.00,9.25,8.53,8.63,6489400,8.63
2014-01-07,8.54,8.99,8.52,8.93,4192000,8.93
2014-01-06,8.24,8.52,8.20,8.46,2402700,8.46
2014-01-03,7.88,8.29,7.86,8.24,3904200,8.24
2014-01-02,7.64,7.97,7.58,7.88,3023800,7.88
2014-01-01,7.58,7.58,7.58,7.58,000,7.58
2013-12-31,7.60,7.62,7.53,7.58,695400,7.58
2013-12-30,7.59,7.64,7.52,7.59,1701200,7.59
2013-12-27,7.48,7.60,7.48,7.59,1601700,7.59
2013-12-26,7.46,7.46,7.46,7.46,000,7.46
2013-12-25,7.46,7.46,7.46,7.46,000,7.46
2013-12-24,7.46,7.54,7.42,7.46,666400,7.46
2013-12-23,7.44,7.55,7.41,7.45,1502400,7.45
2013-12-20,7.41,7.58,7.39,7.45,7497200,7.45
2013-12-19,7.32,7.50,7.28,7.49,3703100,7.49
2013-12-18,7.00,7.29,6.99,7.26,2438700,7.26
2013-12-17,7.00,7.08,6.92,6.98,1507000,6.98
2013-12-16,7.00,7.16,6.86,7.03,1526500,7.03
2013-12-13,6.98,7.18,6.96,7.03,1664300,7.03
2013-12-12,6.90,7.03,6.80,6.91,1103700,6.91
2013-12-11,6.91,7.08,6.79,6.91,4940300,6.91
2013-12-10,6.59,6.81,6.59,6.73,1238600,6.73
2013-12-09,6.64,6.75,6.55,6.59,1839200,6.59
2013-12-06,6.70,6.78,6.53,6.62,969100,6.62
