Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,18.65,18.80,18.56,18.75,1176800,18.75
2014-02-20,18.40,18.65,18.33,18.57,1372900,18.57
2014-02-19,18.47,18.49,18.30,18.49,1209300,18.49
2014-02-18,18.80,18.88,18.17,18.36,1903100,18.36
2014-02-17,18.58,18.72,18.50,18.67,1314800,18.67
2014-02-14,18.44,18.75,18.37,18.61,1441300,18.61
2014-02-13,18.50,18.60,18.19,18.36,1844100,18.36
2014-02-12,18.59,18.76,18.48,18.76,1332300,18.76
2014-02-11,18.49,18.62,18.39,18.59,856300,18.59
2014-02-10,18.45,18.45,18.07,18.44,1551200,18.44
2014-02-07,18.16,18.43,18.11,18.43,1225500,18.43
2014-02-06,17.97,18.15,17.88,18.10,1357000,18.10
2014-02-05,18.18,18.31,17.83,17.88,1593300,17.88
2014-02-04,18.26,18.40,18.11,18.23,925400,18.23
2014-02-03,18.45,18.67,18.17,18.23,2112700,18.23
2014-01-31,18.66,18.73,18.25,18.35,1556400,18.35
2014-01-30,18.41,18.69,18.26,18.67,1559900,18.67
2014-01-29,18.35,18.57,18.12,18.31,2214000,18.31
2014-01-28,18.12,18.31,18.00,18.21,1312200,18.21
2014-01-27,18.26,18.45,17.93,18.04,1822000,18.04
2014-01-24,18.86,19.00,18.12,18.17,1898700,18.17
2014-01-23,18.93,19.11,18.78,18.87,801700,18.87
2014-01-22,19.07,19.18,18.80,18.89,1667800,18.89
2014-01-21,19.15,19.28,19.04,19.06,1464800,19.06
2014-01-20,19.14,19.20,19.02,19.06,1263800,19.06
2014-01-17,18.76,19.23,18.76,19.23,7214300,19.23
2014-01-16,18.76,18.82,18.63,18.69,1524600,18.69
2014-01-15,18.42,18.83,18.40,18.74,2643500,18.74
2014-01-14,18.15,18.40,18.08,18.38,2080400,18.38
2014-01-13,18.26,18.28,18.05,18.24,1880300,18.24
2014-01-10,18.45,18.49,18.10,18.17,13207600,18.17
2014-01-09,18.46,18.52,18.24,18.33,25755500,18.33
2014-01-08,18.70,18.70,18.16,18.39,5472500,18.39
2014-01-07,19.00,19.09,18.85,18.97,3739200,18.66
2014-01-06,18.71,19.00,18.65,18.93,1423900,18.62
2014-01-03,18.64,18.81,18.60,18.71,13125100,18.40
2014-01-02,18.69,18.82,18.56,18.56,33459300,18.26
2014-01-01,18.69,18.69,18.69,18.69,000,18.39
